BOR;AN;nofinesset;nofinessej;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFPL_PM;USP_EFFPL_PMPAL;USP_EFFPL_CADRES;USP_EFFPL_IDE;USP_EFFPL_IDEPAL;USP_EFFPL_AIDES;USP_EFFPL_PSY;USP_EFFPL_PNMAUT;USP_EFFPA_PM;USP_EFFPA_PMPAL;USP_EFFPA_CADRES;USP_EFFPA_IDE;USP_EFFPA_IDEPAL;USP_EFFPA_AIDES;USP_EFFPA_PSY;USP_EFFPA_PNMAUT;USP_ETP_PM;USP_ETP_PMPAL;USP_ETP_CADRES;USP_ETP_IDE;USP_ETP_IDEPAL;USP_ETP_AIDES;USP_ETP_PSY;USP_ETP_PNMAUT;EMSP_EFFPL_PM;EMSP_EFFPL_PMPAL;EMSP_EFFPL_CADRES;EMSP_EFFPL_IDE;EMSP_EFFPL_IDEPAL;EMSP_EFFPL_AIDES;EMSP_EFFPL_PSY;EMSP_EFFPL_PNMAUT;EMSP_EFFPA_PM;EMSP_EFFPA_PMPAL;EMSP_EFFPA_CADRES;EMSP_EFFPA_IDE;EMSP_EFFPA_IDEPAL;EMSP_EFFPA_AIDES;EMSP_EFFPA_PSY;EMSP_EFFPA_PNMAUT;EMSP_ETP_PM;EMSP_ETP_PMPAL;EMSP_ETP_CADRES;EMSP_ETP_IDE;EMSP_ETP_IDEPAL;EMSP_ETP_AIDES;EMSP_ETP_PSY;EMSP_ETP_PNMAUT
PALIA;2019;020000394;020000253;1;7;0;0;56;0;;;;;;;1;6482;12;3;232;148;84;0;194;8;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0.2;1;0;0;1;0.8
PALIA;2019;020000519;020000261;1;8;;;114;1;1;12;314;;;23;1;1256;2;;;;;;988;10;87;;;;;7;5;7;;;4;4;1;4;;3;2;1;2.3;2.3;0.8;10.2;5;9.4;0.6;0.8;;;;2;;;;;4;4;1;;;;4;1;0.6;0.6;0.1;1.85;;;1.28;0.1
PALIA;2019;020000535;020000287;1;5;0;0;31;0;;;;;;;1;2651;2;;0;;;;245;9;59;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;020001061;020004404;1;6;;;12;0;;;;;;;1;107;;;;;;;100;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;1;1;;0.1;0.1;;0.2;0.2;0.2;0.5;
PALIA;2019;020001087;020004495;1;6;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;020010047;020001632;1;4;;;254;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;030000061;030780092;1;6;0;0;61;0;;;;;;;1;4083;2;2;87;19;13;55;603;0;48;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;0;0;0;0;1;0;1;2;0;0;1;3;0.5;0;0.25;3.47;0;0;0.11;0.78
PALIA;2019;030000079;030780100;1;8;0;0;168;0;;;;;;;1;3303;3;;79;3;27;49;696;;9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;1;1;1;1;;;;;;1;0.3;0.3;;2;2;;0.78;0.6
PALIA;2019;030000087;030780118;1;6;4;0;117;0;;;;;;;1;7276;22;1;831;583;26;222;652;69;57;0;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;1.5;1.5;;;;;;
PALIA;2019;030000095;030780126;1;1;1;0;15;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;030781116;030000426;1;7;0;0;102;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;3;3;;;
PALIA;2019;040000093;040780215;1;3;;;156;0;;;;;;;0;;;;;;;;;;;;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PALIA;2019;040000911;040788879;1;10;4;0;256;0;;;;;;;1;1088;32;8;503;84;112;307;958;0;170;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;2;1;2;2;;1;1;;1;1;0.89;0.89;;2.72;2.72;;1.8;1.5
PALIA;2019;040782021;130037815;1;4;4;;58;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000058;050000033;1;4;4;0;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000231;050000116;1;4;;;48;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000256;050000124;1;2;;;42;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;050000348;050002948;1;4;4;0;25;1;1;10;283;0;0;;1;1143;19;28;2888;1851;574;463;742;;22;76;4;2;2;8;1;7;0;3;2;1;0;6;3;3;1;0;1.97;1.6;0.55;9.33;2.6;9.92;0.5;2;4;2;1;4;1;0;0;2;0;0;0;1;0;0;2;1;0.64;0.4;0.5;2.68;0.8;0;1.3;2.2
PALIA;2019;050000991;050000546;1;4;4;;65;0;;;;;;;0;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;0.2;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060000478;060780897;1;10;2;0;32;0;;;;;;;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PALIA;2019;060000510;060780954;1;10;0;0;297;1;1;12;172;0;0;0;1;819;72;4;1339;1116;223;;926;;16;105;;;;;;;;;4;;;;;;;;2.4;;;;;;;;1;;;;;;;;4;;;;;;;;2.5;;;;;;;
PALIA;2019;060000528;060780962;1;9;0;0;94;0;;;;;;;1;1939;0;0;0;0;0;0;823;;92;48;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;3;3;0;0;1;2;2;0;0;0;0;0;1;1.02;1.02;0.3;1.4;1.4;0;0;0.7
PALIA;2019;060000544;060780988;1;4;0;0;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060001625;060006889;1;2;2;;9;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060002102;060791761;1;4;;;67;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060780145;060000049;1;14;14;0;159;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060780186;060006939;1;4;4;;47;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060780277;920030269;1;7;;;66;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060780517;060000239;1;4;;;151;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060780715;060000361;1;3;;;100;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060780947;060800174;0;;;;;0;;;;;;;1;313;;9;180;151;1;28;43;;5;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060785219;060780608;1;6;;;260;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060785227;060780608;1;2;2;;89;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;060789195;060785011;1;6;1;2;;1;1;12;261;0;0;6;1;1936;9;49;73;0;0;0;587;0;89;81;0;;;;;;;;5;;;;;;;;2.37;;;;;;;;0;;;;;;;;5;;;;;;;;3.02;;;;;;;
PALIA;2019;060791811;060010808;1;6;2;0;75;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;070000013;070002878;0;;;;;1;1;10;108;;;;1;388;12;2;116;3;89;24;173;;17;4;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;1;;;2;1;;;;1.5;;;0.5;0.5
PALIA;2019;070000062;070005558;1;8;;;196;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;070000179;070780358;1;4;0;0;144;0;;;;;;;1;1279;11;7;193;52;141;;391;;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;;0;;;;0;0;0;2;0;;1;3;1;0;0.05;1.2;0;;0.8;1.2
PALIA;2019;070000195;070780374;1;3;0;0;105;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;070000609;070005566;1;6;;;88;0;;;;;;;1;974;23;17;643;253;151;239;353;4;48;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;2;0;0;2;0;1.5;0;0;2.6;0;0;0.62;1
PALIA;2019;080000219;080001969;1;6;;;66;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;080000276;080001969;1;4;;;60;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;080000425;080000615;1;8;;;232;0;;;;;;;1;2157;2;9;332;157;57;118;550;;116;123;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;3;;;;1;1;0;;2.84;;;1;0.77
PALIA;2019;090000175;090781774;1;9;6;0;202;0;;;;;;;1;1525;0;;;;;;356;10;56;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;2;1;0.75;;;1.09;;;1.5;0.43
PALIA;2019;090000183;090781816;1;2;1;;77;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;090001629;090781774;1;3;0;0;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;100000090;100000017;1;15;0;0;18;0;;;;;;;1;1497;30;7;579;130;105;347;734;0;50;0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;2;0;0;0;0;3;3;0;0;0;0;2;1;1.21;1.21;0;2;0;0;0.89;0.5
PALIA;2019;100000124;100009075;0;;;;;0;;;;;;;1;2;;;;;;;2;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;100000199;100006279;;;;;;1;;;142;;;;;;;;;;;;;;;;;;;6;;5;;;;;;;;2;1;1;;;;6.74;;5.79;0.68;0.64;;;;1;;;;;;;;;;;;;;;;1.11;;;0.58;
PALIA;2019;100009364;100000017;0;;;;;1;1;12;261;;;9;0;;;;;;;;;;;;0;0;1;9;2;9;0;2;5;4;0;3;0;0;1;3;1.95;1.56;1;10.68;1.97;10.67;0.8;3.25;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;100010818;100010792;1;3;;;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;110000023;110780061;1;6;;;43;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;110000049;110780087;1;3;0;0;93;0;;;;;;;0;;;;;;;;;;;;2;;;;;;;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;110000056;110780137;1;7;;;;0;;;;;;;1;2160;17;8;260;55;69;150;307;;220;230;2;;;6;;10;;;0;;;1;;;;;0.41;;;1.78;;2.74;;;1;;;;;;;2;1;;;2;;;2;1;0.97;;;1.81;;;0.7;1
PALIA;2019;110780228;110000114;1;12;;;261;0;;;;;;;1;6209;13;3;2662;;30;95;847;9;98;90;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;4;4;;2;;1;;2;2.81;2.81;;1.38;;0.41;;1.29
PALIA;2019;110780483;110000155;0;;;;;1;1;10;269;;;;0;;;;;;;;;;;;;;1;8;;8;;;;;;1;;;1;1;;;1;6.72;;6.97;0.5;0.57;0;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;110786746;110786324;1;3;3;;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120000039;120780044;0;;;;;1;1;10;304;0;0;12;1;991;8;3;136;127;0;9;338;0;5;5;1;1;1;8;;8;1;;1;1;;;;1;;;1;0.4;0.9;8;;8.8;0.25;;1;1;1;2;2;;1;;1;1;;;;;;;0.4;0.2;0.1;1.3;1.3;;0.25;
PALIA;2019;120000054;120780069;1;4;;;64;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120000096;120780101;1;2;;;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120000153;120780291;1;3;3;0;146;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120004569;120004528;1;3;;;32;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120004668;120004619;1;3;1;0;55;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120780135;120000104;1;12;12;0;129;1;2;12;0;105;0;0;0;;;;;;;;;;;;;;;;;;;;2;2;4;7;;8;1;6;0.8;0.8;1.1;5;;7.33;0.5;3.9;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;120780143;120000112;1;6;6;0;29;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130000409;130041916;1;4;4;;42;0;;;;;;;1;3266;;;9;6;;3;588;3;4;4;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;0;0;;;;;1;1;1;1;;1;;;0.5;0.83
PALIA;2019;130000516;130781339;1;2;0;0;33;0;;;;;;;1;541;11;5;229;45;179;5;150;;420;75;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;1;;1;;;;3;;;2;;0.5;;0.7;2.9;;0.13;1;0.33
PALIA;2019;130000565;130781446;1;2;0;0;16;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130001225;130782634;1;6;3;;82;1;1;8;227;0;0;13;1;3294;;;;;;;1212;4;20;;2;2;;;;4;;;1;1;1;6;;5;1;6;1.8;1.8;0.3;4.76;;7.06;0.5;1.9;;;;;;;;;2;2;1;5;1;;1;2;1;1;0.1;1;0.2;;0.5;0.75
PALIA;2019;130001647;130784127;1;16;;;503;0;;;;;;;1;0;;;;;;;1106;;10;0;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;2;;;2;5;1;1;;;;;;;2.8;2.5;0.1;2;;;1;3.3
PALIA;2019;130002827;130789274;1;4;;;118;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130002835;130789316;1;3;0;0;70;0;;;;;;;1;1862;19;23;10;0;10;0;215;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;2;1;0.8;;;2;;;1.3;0.5
PALIA;2019;130043664;130002157;1;16;0;0;187;0;;;;;;;1;12117;0;0;0;0;0;0;453;5;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;3;2;1;2;;;1;3;1.9;1.6;0.25;2.3;1;;0.8;1.5
PALIA;2019;130045263;130007487;0;;;;;1;1;14;91;;;108;0;;;;;;;;;;;;;;1;;;;;1;2;;;10;;9;1;1;0.85;;1;9.4;;8.55;0.57;1.6;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130780521;130786049;1;8;0;0;0;0;;;;;;;1;4522;0;0;0;0;0;0;1449;6;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;1;2;;;;1;1;;0.55;2.06;;;1;0.6
PALIA;2019;130781255;220020739;0;;;;;1;1;10;312;;;;1;1;35;0;473;0;75;398;208;0;0;0;0;0;0;6;0;6;0;2;2;2;1;0;0;1;1;1;1;1;0.8;6;0;6.6;0.5;2.1;0;0;0;2;0;0;0;;1;1;1;0;0;0;1;;0.5;0.5;0.1;2;0;0;0.5;
PALIA;2019;130781289;130002447;1;3;;;31;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130782451;130001118;1;2;2;;40;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130783152;130001365;1;10;10;0;167;1;1;12;419;0;0;16;1;0;3;1;614;0;6;608;241;0;9;20;0;0;0;5;0;8;0;;4;2;2;12;1;7;3;10;2.21;0.8;1.07;10.72;0.98;12.96;0.7;8.32;0;0;0;1;1;0;0;0;2;2;2;3;3;0;2;1;0.8;0.8;0.25;2.5;2.5;0;0.5;0.5
PALIA;2019;130783293;130786049;0;;;;;1;1;7;148;;;8;1;3915;;;;;;;1158;8;;;5;;;2;;;1;4;5;;;0;;;;;3.09;;;1;;;0.5;1.95;5;;;2;;;1;4;5;;;;;;;;3.09;;;1;;;0.5;1.95
PALIA;2019;130783475;690795331;1;8;8;0;163;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130784051;130037823;1;8;0;0;111;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130785652;130014228;1;4;;;27;1;1;12;323;;;;1;2618;;;485;;;;872;10;153;26;2;2;1;11;2;8;1;7;1;;;5;;1;;;1.5;1;0.35;13.53;2;8.53;0.8;5.87;2;2;;3;2;;2;;;;;2;1;;;;1.4;1.4;;4.6;2.5;;1;
PALIA;2019;130785975;310021340;1;13;13;0;72;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130785983;130002306;1;14;14;;176;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130786361;130002447;1;3;;;30;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130786742;750821092;1;6;0;0;140;0;;;;;;;1;524;0;0;0;0;0;0;179;97;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;1;0;0;0;0.05;0.05;0.1;1;0.05;;;
PALIA;2019;130804297;130786049;1;3;;3;60;0;;;;;;;1;800;0;7;90;50;10;30;72;0;210;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2019;130808843;920030152;0;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;2;;;;;;;;;;;;;1;1;;2;;
PALIA;2019;130809015;130001928;1;4;2;;39;0;;;;;;;1;39;70;2;427;16;411;;442;;39;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;4;1;;;;;2;2;1.34;0.4;;2;2;;0.9;1.14
PALIA;2019;130811102;130007487;0;;;;;1;1;24;367;;;151;1;;3;;707;;12;695;;;;40;3;;2;;;;1;;;;1;21;;18;1;3;3;;2.8;18.56;;15.91;1.74;2.11;1;;1;3;;;;1;;;;;;;1;;0.75;;0.5;3;;;0.5;0.5
PALIA;2019;140000027;140000035;1;8;0;0;267;0;;;;;;;1;2299;1;0;6;0;3;3;421;0;80;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;1;1;0;0;0;2;1;1.6;0.6;0.2;1;1;0;1.4;0.5
PALIA;2019;140000076;140000092;1;3;3;0;23;0;;;;;;;1;890;1;0;35;0;35;0;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;1;;;;0.4;;;0.5;0.5;;;
PALIA;2019;140000209;140000100;1;17;0;0;422;0;;;;;;;1;5584;1;0;64;58;0;0;904;0;164;208;;;;;;;;;;;;;;;;;;;;;;;;;2;;;5;;;1;1;3;;;1;;;2;2;2.51;;;4.62;;;2.2;1.7
PALIA;2019;140000233;140000118;1;1;0;0;12;1;1;10;241;;;;1;1162;4;1;108;9;19;80;244;;60;32;;;;2;;3;;;2;;1;5;;4;;2;2.04;;0.44;6.43;;6.25;0.4;1;;;;;;;;;;;1;1;;1;1;1;0.18;;0.05;0.55;;0.14;0.9;0.2
