BOR;AN;nofinesset;nofinessej;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_B17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2020;030000061;030780092;1;1;1;12879;0;12412;6829;0;1;;;;4750;0;64;4512;0;497;0;0;0;2;1;0;338;7851;93;0;0;392;0;0;1;3;7;0;2;0;0;2;0;2;1.43;3;8.63;0;2.63;;8;;;;4576;;;;;;;;;;;2;;2;;2.81;;3;2;0;0;4;6;1;0;0;2;7.54;2.5;0;0;5.18
CANCERO;2020;030000079;030780100;1;0;1;3232;1;2904;3934;2;1;;;;2905;1;20;2788;2;284;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;11;9;;;351;3178;0;0;0;0;0;0;4398;0;0;0;1;;;;1;0.76;10;8;;1;11;;;;;;8.92;6.22;;0.5;8.17
CANCERO;2020;030000087;030780118;1;0;1;5477;39;4976;3311;44;1;;;;5140;39;248;4822;44;512;17;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;6379;0;0;0;4;0;0;0;0;0;0;3;;;;1.8;;9;7;1;0;5;4;3;0;0;0;12.24;8.96;1;0;5
CANCERO;2020;030001689;030005821;0;1;0;14994;;14357;;;;;;;;;;;;;;;;2;;0;637;14357;1331;;;623;;;2;2;3;1;3;;;3;0;0;2;2;5.2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;030780548;030000194;1;0;1;1755;0;1498;1558;0;1;;;;1421;0;0;1405;0;111;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1366;0;0;0;0;0;0;0;0;0;0;;;1;;0.8;;2;;;;;;;;;;1.5;;;;
CANCERO;2020;030781116;030000426;1;0;1;7325;1;6679;7988;1;1;;;;6518;0;61;6310;0;576;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;0;6356;0;0;0;0;0;0;0;0;0;0;3;1;3;;3;1;4;;1;;1;;;;1;1;4;;0.8;0.5;1.5
CANCERO;2020;030785430;030785422;1;0;1;1390;0;801;3212;0;1;;;;1190;0;446;707;0;133;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;0;1063;0;0;0;0;0;0;0;0;0;0;1;;1;1;1.2;0.5;1;;;;;4;;;;;2.36;;;;
CANCERO;2020;040000093;040780215;1;0;1;4434;0;4221;2354;0;0;40788879;;;4251;0;1;4195;0;418;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;0;5336;0;0;0;8;0;0;0;0;0;0;0;0;2;0;1.1;0.01;7;0;1;0;1;2;0;1;0;0;5.32;0.7;0.45;0;0.97
CANCERO;2020;040000911;040788879;1;0;1;1227;0;1143;884;0;1;;;;1194;0;18;1126;0;145;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;3;13;;;12;2042;0;0;0;1;0;0;12;0;0;0;;;1;4;0.15;2.26;14;10;;;4;1;1;1;;3;14.77;10.9;0.5;;5.56
CANCERO;2020;040780470;040000192;0;0;0;321;0;263;216;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;050000090;050006931;1;0;0;694;0;498;552;0;0;;;;166;0;0;166;0;24;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;050000231;050000116;1;0;0;523;0;484;221;0;0;50000348;;;467;0;0;452;0;86;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2020;050000348;050002948;1;1;1;6815;2;6214;4104;2;1;;;;6345;2;98;6192;2;725;2;1;0;;;;0;0;7;0;0;6;0;0;0;1;1;0;2;0;1;7;0;5;0;1.8;6.5;0;3.83;;1;;;2;7451;0;0;0;7;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
