BOR;AN;nofinesset;nofinessej;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2020;660780735;920030269;570;;;;;;;;;;;;;29994;;;;;;;7848;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;
PSY2;2020;670000025;670780055;10085;95;43;4;1;113;74;22;0;4;0;84;46;18029;1180;0;183;0;2448;1160;6897;0;0;0;1;0;0;52564;131;130;0;0;55;39;1;1;0;;1;28;0;;0;;0;0
PSY2;2020;670000058;670013366;16855;132;18;2;25;525;585;111;31;0;1;481;631;85018;7531;2020;0;401;15666;16561;34677;79;96;0;210;58;4;193854;471;15;18;434;1309;707;1;2.45;1;110.2;1;6.59;0;;1;18.25;0;0
PSY2;2020;670000603;670781152;8359;78;21;3;10;327;222;69;18;3;11;263;180;45071;4767;1405;;335;7882;4206;12124;191;112;2;0;175;35;104084;1661;897;10;11;2569;1983;1;1.03;1;46.13;1;33.65;0;;0;;0;0
PSY2;2020;670013754;670013754;808;8;0;0;2;28;14;8;;;2;27;14;9903;69;;;97;1333;303;2535;72;;;;197;100;9134;128;;;;170;70;0;;0;;0;;0;;0;;0;0
PSY2;2020;680000627;680020336;7210;48;1;1;7;126;55;10;1;1;7;73;55;18622;1227;;267;70;2887;1135;3655;;;;;;;50104;560;1;;;9;;1;;1;;1;;;;0;;0;
PSY2;2020;680000684;680000973;4898;9;;;;7;6;9;;;;7;6;13998;;;;;;;7159;;;;;18;;30692;189;;;;234;162;1;5;1;1;1;10.8;0;;0;;0;0
PSY2;2020;680000874;680001179;14770;120;26;1;15;537;193;123;26;1;17;579;203;61916;5241;2084;15;89;20547;7829;10226;144;111;0;0;189;82;122158;1691;608;3;2;2694;917;1;1.03;1;89.94;1;22.75;0;;0;;0;0
PSY2;2020;680001294;680000890;420;0;0;0;0;0;0;0;0;0;0;0;0;14606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;0
PSY2;2020;690000088;690780101;24617;390;29;;179;1145;469;407;34;;225;1303;514;107292;27279;4932;;8130;38979;16845;22367;524;37;;160;1323;407;270320;3439;206;;1;6400;1367;0;;1;141;1;34.32;1;103.11;1;34.33;1;
PSY2;2020;690000096;690780119;10493;67;9;;3;322;176;60;5;;3;320;188;28861;4404;1246;;22;12521;5158;7188;76;11;;;219;61;109732;183;107;;7;952;345;1;2.21;1;5.13;1;20.52;0;;0;;0;0
PSY2;2020;690000310;690000310;1246;;;;;;;;;;;;;50621;;;;;;;7075;;;;;;;;;;;;;;0;;1;1.9;0;;0;;0;;0;0
PSY2;2020;690000336;690780564;585;;;;;;;;;;;;;31106;;;;;;;2214;;;;;;;532;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690002092;010783009;725;;;;;;;;;;;;;19600;;;;;;;2376;;;;;;;1645;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690007539;690781810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;0
PSY2;2020;690036108;690036090;265;;;;;;;;;;;;;;;;;;;;6827;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690041488;690041488;503;;;;;;;;;;;;;;;;;;;;11349;;;;;;;;;;;;;;0;;0;;;;0;;0;;0;0
PSY2;2020;690041579;690044052;163;;;;;;;;;;;;;;;;;;;;6575;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690044623;690042593;506;;;;;;;;;;;;;;;;;;;;13172;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690780093;750821092;119;;;;;;;;;;;;;2534;;;;;;;1170;;;;;;;3315;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690780507;920031721;1556;;;;;;;;;;;;;63728;;;;;;;6177;;;;;;;;;;;;;;0;;1;7;0;;0;;0;;;
PSY2;2020;690780515;690000294;680;;;;;;;;;;;;;20575;;;;;;;6026;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690780523;920031739;374;;;;;;;;;;;;;19234;;;;;;;4611;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;
PSY2;2020;690780549;920030269;3048;;;;;;;;;;;;;60479;;;;;;;2220;;;;;;;;;;;;;;0;;1;19.5;0;;0;;0;;0;
PSY2;2020;690781745;690000542;857;;;;;;;;;;;;;42562;;;;;;;4169;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690782081;750005068;328;;;;;;;;;;;;;;;;;;;;4911;;;;;;;;;;;;;;0;;0;;1;4.81;0;;0;;0;0
PSY2;2020;690782172;690782172;776;;;;;;;;;;;;;8915;;;;;;;1522;;;;;;;6492;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;690796727;690796727;13712;196;30;1;0;589;265;196;28;1;0;583;262;60053;15012;2584;0;0;23407;9420;10046;597;165;0;0;767;226;160204;2559;566;61;0;3110;1529;0;;1;113.52;1;63.98;0;;0;;0;0
PSY2;2020;700780075;700004096;7674;26;1;1;2;165;53;26;1;1;2;181;60;81471;1701;233;9;14;5848;1913;8640;;;;;32;;73158;131;17;;;72;;1;0.37;1;81.24;1;46.36;0;;0;;0;0
PSY2;2020;710015587;750060246;137;;;;;;;;;;;;;7372;;;;;;;224;;;;;;;0;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;710780818;710000233;783;;;;;316;173;;;;;341;186;30574;;;;;6989;2853;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;710978230;710781329;11506;13;14;35;7;271;202;13;14;27;7;239;206;58230;3247;2972;2686;134;15682;11773;12498;0;0;0;0;167;0;107879;74;18;485;32;1733;674;1;1.5;;2.08;;11.6;0;;0;;0;0
PSY2;2020;710978289;710780263;370;27;1;;;108;31;28;1;;;114;31;11055;4280;365;;;9305;1872;;;;;;;;897;;;;;;;1;2;0;;0;;0;;0;;0;0
PSY2;2020;720000041;720000058;19281;91;26;1;18;347;273;94;28;1;22;369;287;60728;3675;2093;0;269;10317;7568;14679;241;131;0;0;691;573;173673;1673;684;17;0;3001;1550;1;1.79;1;4.16;1;19.39;0;;0;;0;0
PSY2;2020;720017748;720000561;516;;;;;;;;;;;;;14229;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;720018100;750720575;192;;;;;;;;;;;;;18009;;;;;;;1131;;;;;;;1174;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;730000304;730780582;14071;37;13;1;25;353;254;56;14;1;33;438;312;42896;1275;2359;35;408;16527;8926;2390;21;26;;;53;55;135546;180;76;1;12;1823;988;1;0.76;1;4.7;1;37.57;0;;0;;0;0
PSY2;2020;730007978;730011731;742;;;;;;;;;;;;;32133;;;;;;;3896;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;740000583;740785035;8460;76;10;4;19;352;237;76;10;4;23;360;240;43474;4195;1667;46;210;11850;7932;8343;59;9;0;;25;50;93091;852;4;19;56;929;182;0;;1;35.61;1;19.39;0;;0;;0;0
PSY2;2020;740013412;740781133;5966;32;7;;;184;62;42;8;;;259;87;15478;1929;746;;;7318;3008;3144;13;;;;;32;46821;274;93;;;627;103;1;3;1;0.8;0;;0;;0;;0;0
PSY2;2020;740780184;920030269;475;;;;;;;;;;;;;18545;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;
PSY2;2020;740781026;740000211;1496;;;2;;;;;;2;;;;50712;;;19;;;;10845;;;;;;;;;;;;;;0;;1;21.5;1;47.22;0;;0;;0;0
PSY2;2020;740781034;920030905;801;;;;;;;;;;;;;24308;;;;;;;9963;;;;;;;;;;;;;;0;;0;;1;25.38;0;;0;;0;
PSY2;2020;750000499;750062036;55259;829;40;9;10;2274;1571;841;41;9;12;2473;1728;173321;45040;4235;107;639;74193;50512;31429;2254;92;93;0;1919;836;559369;10529;966;55;23;13942;6971;0;;1;2;1;44;0;;1;25.06;0;0
PSY2;2020;750006538;940016819;9264;212;8;0;1;341;312;237;17;0;1;404;441;29426;9569;816;0;47;7785;7903;11517;19;74;0;0;1;2;227400;2481;0;0;0;506;251;0;;0;;0;;0;;0;;0;0
PSY2;2020;750007528;750804940;74;;;;;;;;;;;;;0;;;;;;;11476;;;;;;;;;;;;;;0;;0;;1;28.6;0;;0;;0;0
PSY2;2020;750007668;750719270;476;;;;;;;;;;;;;;;;;;;;20394;;;;;;;;;;;;;;0;;1;;1;;0;;0;;0;0
PSY2;2020;750039448;750720914;6422;119;5;0;0;290;162;119;5;;;336;1088;15564;2152;;;;2252;1088;15357;891;4;;;454;62;86146;2121;86;0;0;1755;454;0;;1;0.6;1;0.9;;;0;;0;0
PSY2;2020;750052037;750052037;10728;47;4;2;8;206;79;48;4;2;10;234;84;45758;2791;1317;18;118;6735;2192;13846;281;171;0;0;437;47;92142;582;34;3;0;707;57;1;0.5;1;51.67;1;32.53;0;;0;;0;0
PSY2;2020;750057028;750005068;1138;;;;;;;;;;;;;0;;;;;;;20747;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750100018;750712184;1524;;;;;;;;;;;;;5358;;;;;;;;;;;;;;1626;;;;;;;1;11;0;;0;;0;;0;;0;0
PSY2;2020;750100042;750712184;437;;;;;;;;;;;;;6314;;;;;;;279;;;;;;;;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;750100091;750712184;4414;;;;;;;;;;;;;20235;;;;;;;2829;;;;;;;15965;;;;;;;1;1.5;0;;0;;0;;0;;0;0
PSY2;2020;750100109;750712184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;5.5;0;;0;;0;0
PSY2;2020;750100125;750712184;9458;;;;;;;;;;;;;65266;;;;;;;6505;;;;;;;21407;;;;;;;1;1;0;;0;;0;;0;;0;0
PSY2;2020;750100166;750712184;2768;;;;;;;;;;;;;2394;;;;;;;1128;;;;;;;10686;;;;;;;1;2.5;0;;1;34.14;0;;0;;0;0
PSY2;2020;750100208;750712184;1963;;;;;;;;;;;;;;;;;;;;423;;;;;;;11545;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;750100232;750712184;161;;;;;;;;;;;;;2181;;;;;;;754;;;;;;;;;;;;;;1;;0;;0;;0;0;0;0;0;0
PSY2;2020;750100273;750712184;2069;;;;;;;;;;;;;10661;;;;;;;;;;;;;;4158;;;;;;;1;1.6;0;;0;;0;;0;;0;0
PSY2;2020;750140022;750720575;614;;;;;;;;;;;;;11408;;;;;;;2578;;;;;;;3918;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750150104;750720476;1644;;;2;;1;;;;2;;1;;8193;;;59;;317;;1790;;;;;;;21778;;;;;;;0;;0;;1;102.45;0;;0;;0;0
PSY2;2020;750170102;750721391;2796;;;;;;;;;;;;;51;;;;;;;19259;;;;;;;41642;;;;;;;0;;0;;0;;;;;;;
PSY2;2020;750170128;750710428;52;;;;;;;;;;;;;;;;;;;;2306;;;;;;;;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;750170243;750720922;101;;;;;;;;;;;;;;;;;;;;11144;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750170490;750719312;21;;;;;;;;;;;;;1728;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;;0;;0;0
PSY2;2020;750310013;920030269;340;;;;;;;;;;;;;19448;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;
PSY2;2020;750710782;750001190;1266;;;;;;;;;;;;;;;;;;;;;;;;;;;4715;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750719361;750719361;190;;;;;;;;;;;;;;;;;;;;27089;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750720674;750720674;232;;;;;;;;;;;;;13;;;;;;;154;;;;;;;78;;;;;;;0;0;0;0;1;25;0;;0;;0;0
PSY2;2020;750802316;750720492;206;;;;;;;;;;;;;;;;;;;;;;;;;;;4254;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750802985;750802985;570;;;;;;;;;;;;;6272;;;;;;;3805;;;;;;;6277;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750803447;750712184;4490;2;;;;3;13;3;;;;3;13;;;;;;;;;;;;;;;14772;3;;;;3;13;1;6.9;0;;0;;0;;0;;0;0
PSY2;2020;750803454;750712184;3132;;;;;;;;;;;;;5004;;;;;;;3769;;;;;;;;;;;;;;;;;;;;;;;;;
PSY2;2020;750813016;750001711;302;;;;;;;;;;;;;;;;;;;;;;;;;;;758;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750826141;750825960;80;;;;;;;;;;;;;;;;;;;;5606;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;750827214;750815607;289;;;;;;;;;;;;;;;;;;;;;;;;;;;3645;;;;;;;0;;1;0.1;0;;0;;0;;0;0
PSY2;2020;760000018;760780023;4090;29;;;;223;41;16;;;;132;23;18441;705;;;;4827;487;660;21;;;;37;27;28975;740;;;;1619;344;0;;1;;1;;0;;0;;0;0
PSY2;2020;760000158;760780239;58;;;;;;;;;;;;;3199;;;;;;;;;;;;;;;;;;;;;1;;0;;1;;0;;0;;0;0
PSY2;2020;760000190;760780270;28155;211;23;0;149;890;394;211;23;0;241;976;421;126494;22010;2988;0;3463;41201;16811;29404;1193;301;0;11;1153;715;268687;3770;289;0;285;8206;3871;1;3.7;1;48.26;1;44.57;1;100.71;1;27.01;0;0
PSY2;2020;760000356;760780726;2083;;;;;;;;;;;;;10167;;;;;;;0;;;;;;;10527;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;760026674;750035578;647;;;;;;;;;;;;;28980;;;;;;;3270;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;760035147;760035139;550;;;;;;;;;;;;;18981;;;;;;;;;;;;;;;;;;;;;0;;1;9;1;7;0;;0;;0;0
PSY2;2020;760780288;750005068;281;;;;;;;;;;;;;;;;;;;;6400;;;;;;;455;;;;;;;0;;0;;1;3;0;;0;;0;0
PSY2;2020;760781070;760780726;12097;63;;;15;227;46;106;2;;32;304;199;61607;6094;;;90;15797;895;6796;105;;;;324;;118120;;;;;;;1;0.1;0;;1;46.82;0;;0;;0;0
PSY2;2020;760783563;760919373;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PSY2;2020;760805770;760780726;1201;;;;;;;;;;;;;;;;;;;;;;;;;;;3800;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;770000131;770021145;337;8;;1;;25;;;;;;;;12765;947;;92;;1165;;1719;;;;;;;18300;;;;;;;;;0;;1;0.9;0;;0;;0;0
PSY2;2020;770000156;770110054;315;45;1;2;21;216;36;64;1;3;23;285;38;14185;4314;359;63;194;12415;929;1492;;;;;;;;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;770000172;770110070;1235;18;1;;;55;5;9;1;;;35;5;5966;130;;;;1063;9;577;12;1;;;17;;7320;238;42;;;391;;1;;0;;0;;0;;0;;;0
PSY2;2020;770000214;770021152;395;21;0;0;0;126;21;0;0;0;0;0;0;11872;1306;0;0;0;5979;857;3552;23;0;0;0;40;0;34269;207;0;0;0;336;8;1;1;0;;0;;;;;;;
PSY2;2020;770000446;770021145;638;19;1;;3;28;1;;;;;;;25709;2853;8;;43;1269;37;2520;;;;;;;20346;;;;;;;;;1;2.32;1;49.68;0;;0;;0;0
PSY2;2020;770006138;770020113;739;;;;;;;;;;;;;40717;;;;;;;6673;;;;;;;;;;;;;;0;;0;;1;15;0;;0;;0;0
PSY2;2020;770019032;770021145;1153;59;;;;153;22;;;;;;;29988;4581;;;;4295;604;12660;153;;;;;;39951;794;;;;;;;;1;13.6;1;75.35;0;;0;;0;0
PSY2;2020;770150027;750720575;479;;;;;;;;;;;;;7873;;;;;;;2595;;;;;;;4082;;;;;;;0;;0;;1;;0;;0;;0;0
PSY2;2020;770310019;770000370;801;;;;;;;;;;;;;36150;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;770310027;770000388;171;;;;;;;;;;;;;3786;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;770510055;750719270;261;;;;;;;;;;;;;17668;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;780000287;780110011;1906;9;0;;7;89;21;9;0;7;7;104;23;16865;79;;;62;788;186;5022;24;;;18;234;55;;;;;;;;0;;0;;1;21.68;0;;0;;0;0
PSY2;2020;780000303;780024113;101;;;;;;;;;;;;;;;;;;;;932;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;780000311;780001236;2287;11;1;;;114;23;12;1;;;126;23;7923;863;361;;;3061;569;3511;;5;;;;2;21811;1;57;;;;31;1;;0;;1;;0;;0;;0;0
PSY2;2020;780000337;780001236;1160;22;1;0;2;165;41;22;1;0;2;177;43;5939;611;3;0;11;2056;466;5407;456;50;0;0;172;0;15201;63;3;0;0;23;0;1;;0;;0;;0;;0;;0;0
PSY2;2020;780000402;780024113;10969;127;6;0;13;369;109;125;8;0;12;361;110;16584;5653;580;0;126;13710;4550;16428;2;1;0;0;7;0;135315;537;0;0;2;297;19;0;;1;4.97;1;;0;;1;15.36;0;0
PSY2;2020;780000410;780140059;4063;16;1;8;6;171;35;6;1;4;7;148;29;15432;2317;54;331;82;7886;2561;6407;46;0;0;0;63;14;55106;114;0;0;0;274;7;1;1.8;0;;1;0.84;0;;0;;0;0
PSY2;2020;780000428;780002697;735;24;1;2;7;75;10;;;;;;;16875;1773;64;53;137;2854;664;3735;;;;;;;;;;;;;;1;0.5;0;;1;38.9;0;;0;;0;0
PSY2;2020;780009528;780009528;36;;;;;;;;;;;;;4379;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;780020111;780020111;472;;;;;;;;;;;;;;;;;;;;4614;;;;;;;6069;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;780023909;780025441;62;;;;;;;;;;;;;0;;;;;;;2263;;;;;;;;;;;;;;;;;;;;0;;0;;0;0
PSY2;2020;780140018;750005068;1464;10;2;;2;99;37;10;2;;2;99;37;35138;867;366;;12;4656;1544;3413;72;;;;512;15;10459;21;;;3;68;11;0;;1;20.22;1;28.2;0;;0;;0;0
PSY2;2020;780140042;780017455;1683;;;;;;;;;;;;;51746;;;;;;;1446;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;780140075;750721391;444;;;;;;;;;;;;;13701;;;;;;;1015;;;;;;;0;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;780170056;780825097;36;;;;;;;;;;;;;;;;;;;;3952;;;;;;;;;;;;;;0;;0;;1;3;0;;0;;0;0
PSY2;2020;780310025;920030269;497;;;;;;;;;;;;;16286;;;;;;;1637;;;;;;;;;;;;;;0;;0;;1;15.46;0;;0;;0;
PSY2;2020;780800256;780110078;5872;77;;;5;342;133;33;;;4;147;49;6541;753;;;14;2331;706;;;;;;;;36208;1;;;384;383;149;1;10.3;0;;1;21.16;0;;0;;0;0
PSY2;2020;790000087;790000012;3387;35;2;0;2;249;42;35;2;0;2;265;42;42348;1868;303;0;21;14419;796;5716;148;0;0;0;573;1;19616;21;0;0;0;88;26;0;;1;54.33;1;30.21;0;;0;;0;0
PSY2;2020;790003537;790006654;283;7;1;;;27;;23;1;;;47;6;12648;105;4;;;669;;;;;;;;;;;;;;;;0;;1;2.88;0;;0;;0;;0;0
PSY2;2020;790007694;790006654;3448;;;;;;;;;;;;;8648;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;790012355;790000012;9032;18;0;0;0;153;20;18;0;0;0;159;20;3522;;0;;;0;0;1054;8;;;;174;38;69400;98;2;;;109;42;0;;1;3.53;0;;0;;0;;0;
PSY2;2020;800000143;800000028;456;25;;;;149;40;29;;;;167;42;7219;904;;;;4054;591;2278;3;;;;;;28925;440;;;;786;73;1;12;0;;1;1.17;0;;0;;0;0
PSY2;2020;800000457;800000119;8248;46;4;1;40;339;93;51;4;1;52;446;112;43368;2739;572;43;141;22355;4764;11933;209;113;0;0;1330;152;148220;1705;171;0;2;1667;34;1;0.8;1;31.33;1;51.68;0;0;1;16.45;0;1
PSY2;2020;800004111;800000093;115;9;;;;30;8;10;;;;30;8;3372;165;;;;477;84;;;;;;;;;;;;;;;1;0.05;0;;0;;0;;0;;0;0
PSY2;2020;800018228;800018210;1464;;;;;;;;;;;;;24917;;;;;;;6070;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;810000562;810000455;5136;12;1;0;1;88;22;14;7;0;1;157;40;25861;689;52;0;9;4918;914;12721;113;0;0;0;161;10;39015;0;0;0;6392;0;0;1;;1;;1;;0;;0;;0;
PSY2;2020;810100008;810100008;10320;111;13;1;9;153;113;116;14;1;13;165;122;41494;13199;1997;28;1013;6712;5918;14346;240;5;;;279;196;68618;624;72;;;486;463;1;;1;;1;;1;;0;;0;0
PSY2;2020;820000032;820000016;2984;29;;;3;171;19;23;;;3;198;19;27820;1067;;;11;7329;221;15;;;;;;;16864;31;;;;53;3;0;;0;;0;;0;;0;;0;1
PSY2;2020;820003911;240000265;38;;;;;;;;;;;;;9461;;;;;;;220;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;820004067;820000016;5060;18;;1;1;52;11;108;;1;1;99;13;27853;118;;;;2177;342;2646;;;;;;;43249;104;;1;9;50;3;0;;1;5.34;1;5.38;0;;0;;0;0
PSY2;2020;820005908;310781562;30;;;;;;;;;;;;;;;;;;;;210;;;;;;;1731;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;830000287;830100525;2932;29;4;;14;84;8;29;4;;15;91;6;7422;1553;157;;79;2798;202;1749;38;40;;;30;;24058;267;90;;31;332;4;1;;0;;1;0.5;0;;0;;0;0
PSY2;2020;830000311;830100566;4627;52;;;;97;4;56;;;;116;4;5603;2213;;;;2554;43;4699;154;;;;0;;44925;424;;;;150;;1;0.8;1;8.08;1;29.17;0;;0;;0;0
PSY2;2020;830000345;830100616;6399;134;4;;;261;70;89;1;;;205;64;23415;4072;366;;;6565;1703;1980;26;;;;19;;57029;1834;26;;34;2078;270;1;;1;3.11;0;;0;;0;;0;0
PSY2;2020;830000600;830101200;755;44;4;;19;186;146;59;8;;19;222;166;31249;2580;980;;206;6254;4026;11763;197;;;;140;78;125640;968;2145;;16;1635;1239;0;;0;;0;;0;;0;;0;0
PSY2;2020;830003877;920030921;500;;;;;;;;;;;;;19973;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;
PSY2;2020;830017497;830004958;432;0;0;0;0;0;0;;;;;;;19141;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;830100442;830000204;678;;;;;;;;;;;;;30338;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;830100574;750821092;1660;;;;;;;;;;;;;4824;;;;;;;;;;;;;;;;;;;;;1;5;0;;0;;0;;0;;0;0
PSY2;2020;830100608;830100616;2654;60;2;;;175;47;38;1;;;171;51;10555;1917;352;;;5789;1801;1851;;;;;;;36248;369;2;;2;1741;218;1;;1;;0;;0;;0;;0;0
PSY2;2020;830100756;920030269;1001;;;;;;;;;;;;;43584;;;;;;;3227;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;830200515;830001012;694;;;;;;;;;;;;;36437;;;;;;;2692;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;830215919;750056335;222;;;;;;;;;;;;;29982;;;;;;;2913;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;840000509;840000707;766;;;;;;;;;;;;;32960;;;;;;;2176;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;840000541;840000137;20383;166;18;3;43;719;358;173;18;3;53;802;393;63563;22485;1229;66;2610;24300;8826;14404;197;3;0;0;649;127;278241;1805;31;0;14;5462;2480;1;2.55;1;33.53;1;53.29;1;163.3;0;;0;0
PSY2;2020;840018691;130781131;26;;;;;;;;;;;;;;;;;;;;1941;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;850000175;850009010;2743;32;;1;;200;35;11;;1;;99;13;7916;1068;0;0;0;4782;338;1109;2;0;0;0;121;12;19009;232;0;1;0;1357;379;1;;1;2.52;0;;0;0;0;0;0;0
PSY2;2020;850000258;850000092;15411;57;4;;13;609;242;58;5;;16;648;253;59398;3728;772;;92;20971;6719;25579;268;;;;1431;370;109186;790;88;;;3315;1081;0;;1;70.28;1;39.33;0;;0;;0;0
PSY2;2020;860000017;860780048;20277;34;12;;3;328;224;35;12;;3;362;243;89687;1951;1523;;48;13660;7513;25355;395;267;;;1184;638;158935;231;339;;;801;795;0;;1;36.59;1;97.57;0;;1;29.27;0;0
PSY2;2020;870000221;870000973;427;;;;;;;;;;;;;10627;;;;;;;1444;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;870006137;870002466;17042;95;15;2;23;351;125;127;14;2;20;491;132;66167;3950;2768;28;196;11488;4689;20667;232;38;0;0;446;44;144453;1098;451;1;223;1299;513;1;6.28;1;13.58;1;2.9;0;;0;;0;0
PSY2;2020;880000088;880780119;14659;82;1;7;4;214;278;115;1;7;4;209;278;57643;7054;366;176;5;7757;6813;5132;27;0;0;0;37;54;10567;173;0;46;8;215;229;1;0.95;1;19.45;1;9.95;0;;0;;0;0
PSY2;2020;880008529;880008511;112;;;;;;;;;;;;;;;;;;;;2121;;;;;;;;;;;;;;0;;0;;1;10;0;;0;;0;0
PSY2;2020;890000326;890008105;57;;;;;;;;;;;;;8270;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;890002298;890000672;458;;;;;;;;;;;;;31496;;;;;;;634;;;;;;;;;;;;;;0;;1;;0;;0;;0;;0;0
PSY2;2020;890002371;890000722;1733;;;;;;;;;;;;;49438;;;;;;;5871;;;;;;;;;;;;;;0;;1;7.6;0;;0;;0;;0;0
PSY2;2020;890975519;890000052;10479;94;4;;1054;260;134;29;4;0;33;284;134;57731;3167;764;;532;4971;2448;9365;53;0;0;0;;;70049;515;5;0;7584;151;112;1;1.1;0;;1;57.42;0;;0;;0;0
PSY2;2020;900002429;700004096;4569;1;1;1;;14;2;1;1;1;;17;2;29755;;;14;;54;;2913;;;;;;;30289;14;2;;;7;1;1;0.29;1;76.5;0;;0;;0;;0;0
PSY2;2020;910000330;910140029;14170;129;9;;;427;308;58;4;;;348;262;57988;6505;1021;;;13208;10174;8436;48;;;;9;11;145466;1492;40;;;6214;2090;1;10.41;1;8.25;1;54.23;1;26.91;0;;0;0
