BOR;AN;nofinesset;nofinessej;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETP_PM;ETP_PMDOU;ETP_IDE;ETP_IDEDOU;ETP_PSY;ETP_PNMAUT
DOULEUR;2020;070000609;070005566;Consultation;;;0;;;;;;;;114;;672;447;225;269;1055;25;245;99;;;0;;;;;;;;0;0;;;;;;;1;3;;2;;1;;2;;;;1;;1;;2;;;;;;;;;;0.48;;0.37;;0.1;1
DOULEUR;2020;080000425;080011174;Consultation;;;0;;;;;;;;64;386;233;233;;89;386;;197;152;;;0;;;;;;;;34;27;;;;;;;;2;1;2;;1;2;1;;;;;1;1;1;1;;;1;;;1;;1;;0.14;0.13;0.3;;0.09;0.29
DOULEUR;2020;090000175;090781774;Consultation;;;1;1;;6;7;;4;;149;;188;188;;544;881;;177;73;;;0;;;1;1;;1;;0;0;;;;;;;;1;1;1;;1;2;1;1;;;1;1;;;;;;;;;1;;;1;0.2;0.2;0.6;;0.15;0.6
DOULEUR;2020;100000090;100000017;Centre;90;;0;;;;90;;;;793;;1456;1411;45;1271;3520;;;213;;;0;;;;;;;;0;0;;0;0;1;1;1;1;3;3;1;0;0;4;2;2;0;0;0;2;0;0;1;0;0;1;1;1;0;0;0;1;0.63;0.63;1.09;0.79;1;1.85
DOULEUR;2020;110000023;110780061;Consultation;18;5;0;0;0;5;23;0;;;476;439;506;506;0;439;1421;35;237;112;;;1;1;;;1;0;1;0;0;0;35;0;0;0;;0;0;2;2;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;0.43;0.43;0.5;0.5;0.64;0.5
DOULEUR;2020;110000056;110780137;Consultation;;0;9;9;0;;9;;;;;686;621;621;0;124;745;30;275;160;;0;0;0;0;0;0;;;;0;0;0;;;1;;1;1;1;;;;;;;;;;;;;;;;;;1;;;;;;0.4;;0.91;;0.47;0.5
DOULEUR;2020;120000039;120780044;Consultation;;;104;104;;148;252;252;;;356;642;712;712;0;1082;2150;2792;313;125;;;0;;;;;;;;0;0;1;0;0;0;0;0;0;2;2;1;1;1;4;1;1;0;0;0;3;1;1;0;0;1;1;0;0;1;1;0;0;0.57;0.55;0.77;0.77;0.25;0.7
DOULEUR;2020;120004569;120004528;Consultation;;;0;;;;;;;;;161;258;258;;265;523;;162;126;;;0;;;;;;;;0;0;;;;;;;;1;;1;;;1;;;;;;;1;;;;;;;;1;;;1;0.2;;0.4;;;0.5
DOULEUR;2020;120004668;120004619;Consultation;;;0;;;;;;;;;240;404;32;372;149;553;;237;205;;;0;;;;;;;;0;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;0.95;;;
DOULEUR;2020;130000409;130041916;Consultation;30;58;89;89;0;3;122;0;29;27;1352;196;2682;2016;666;897;4931;74;970;377;3;0;24;22;2;0;27;0;18;13;397;193;129;0;;2;;1;3;7;;1;;;;3;;;;;;1;;;;;;3;;1;;;;2.52;;2.01;;1;3.16
DOULEUR;2020;130001225;130782634;Consultation;65;3;111;111;0;264;440;22;59;45;318;306;1276;1276;0;280;1874;10;527;207;;;0;;;;;;;;0;0;6;;;;;;;3;3;1;1;1;1;;;;;;;3;3;;;;;;;1;1;1;1;0.69;0.69;0.5;0.5;0.55;0.11
DOULEUR;2020;130001647;130784127;Consultation;1610;232;2346;2173;173;20;3976;;659;509;278;;1331;1331;;194;1803;;655;452;;;0;;;;;;;;0;0;381;;;1;;;;2;;;;1;1;;;;;;;1;;;;;;1;;;;1;1;1.15;;1;;0.5;0.5
DOULEUR;2020;130783293;130786049;Centre;;;0;;;;;;;;636;405;9198;9189;9;580;10414;;5383;1335;;;554;554;;11;565;;350;226;692;262;;4;;3;;1;3;3;;1;;;;1;;;;;;;;;;;;2;;1;;;;5.37;;2.59;;1;3.28
DOULEUR;2020;130784903;130002041;Consultation;;;0;;;;;;;;68;;1984;1984;;201;2253;;1307;;;;0;;;;;;;;0;0;;;;4;2;;;2;2;;;1;;;;;;;;;;;;;;2;2;;;1;;1.5;1.5;4;2;0.5;
DOULEUR;2020;130785652;130014228;Consultation;;;0;;;;;;;;249;;1934;1934;;;2183;;859;;;;0;;;;;;;;285;172;407;4;4;16;16;;17;;;6;6;2;1;;;;;;;;;1;1;1;;;;5;5;1;1;4.7;4.7;13.94;13.94;0.24;14.3
DOULEUR;2020;140000027;140000035;Consultation;7;601;270;270;0;480;757;15;240;103;270;790;1163;1144;19;552;1985;311;811;319;20;32;34;34;0;31;85;11;16;13;0;0;52;1;;;;;;;;2;;1;1;;;;;;;;;;;;;;;2;;1;1;0.9;;1.51;;0.57;0.5
DOULEUR;2020;140000233;140000118;Consultation;;38;0;;;29;29;;;;;290;286;286;;255;541;145;145;86;;;0;;;;;;;;0;0;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;1;1;1;1;;;0.8;0.8;0.5;0.5;;
DOULEUR;2020;140000555;140000639;Consultation;83;0;1132;1099;33;341;1556;0;439;209;318;0;1148;1025;123;1716;3182;5;514;215;;;0;;;;;;;;0;0;80;2;2;1;;;;2;2;1;;6;;;;;;1;;1;1;;;5;;1;1;1;;;;1.39;1.39;1.36;;2.98;
DOULEUR;2020;140004383;140000100;Centre;3;244;121;116;5;289;413;7;219;111;572;958;2748;2141;607;41;3361;143;1429;717;0;346;751;365;386;284;1035;28;483;261;0;0;42;1;;1;;1;1;5;;;;2;3;4;;;;;1;;;;;;;1;;;;2;2;1.18;;1;;1.03;1.57
