BOR;AN;nofinesset;nofinessej;STRUCTURE;CONS_PSY_INT;ACT_INF_INT;CONS_MED_INT;CONS_MED_INT_HORSPSY;CONS_MED_INT_PSY;CONS_IDE_INT;CONS_TOT_INT;CAS_RSP_INT;FILACT_INT;dt_NOUV_INT;CONS_PSY_EXT;ACT_INF_EXT;CONS_MED_EXT;CONS_MED_EXT_HORSPSY;CONS_MED_EXT_PSY;CONS_IDE_EXT;CONS_TOT_EXT;CAS_RSP_EXT;FILACT_EXT;dt_NOUV_EXT;CONS_PSY18;ACT_INF18;CONS_MED18;CONS_MED18_HORSPSY;CONS_MED18_PSY;CONS_IDE18;CONS_TOT18;CAS_RSP18;FILACT18;dt_NOUV18;SEJ;HOSP;CAS_RCP;EFFPL_PM;EFFPL_PMDOU;EFFPL_IDE;EFFPL_IDEDOU;EFFPL_PSY;EFFPL_PNMAUT;EFFPA_PM;EFFPA_PMDOU;EFFPA_IDE;EFFPA_IDEDOU;EFFPA_PSY;EFFPA_PNMAUT;EFFPA1_PM;EFFPA1_PMDOU;EFFPA1_IDE;EFFPA1_IDEDOU;EFFPA1_PSY;EFFPA1_PNMAUT;EFFPA2_PM;EFFPA2_PMDOU;EFFPA2_IDE;EFFPA2_IDEDOU;EFFPA2_PSY;EFFPA2_PNMAUT;EFFPA3_PM;EFFPA3_PMDOU;EFFPA3_IDE;EFFPA3_IDEDOU;EFFPA3_PSY;EFFPA3_PNMAUT;ETP_PM;ETP_PMDOU;ETP_IDE;ETP_IDEDOU;ETP_PSY;ETP_PNMAUT
DOULEUR;2020;830100608;830100616;Consultation;;;0;;;;;;;;;;48;48;;;48;;44;18;;;0;;;;;;;;0;0;;0;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;0.1;;;;;
DOULEUR;2020;830202743;830100616;Consultation;;;0;;;;;;;;;;399;399;;;399;;230;;;;5;5;;;5;;4;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;0.2;;;;;
DOULEUR;2020;840000285;840000608;Consultation;;;0;;;;;;;;611;1758;5507;5296;211;;6118;;1711;350;;;0;;;;;;;;0;0;238;3;1;;;;2;5;;2;1;1;;;;1;;;;5;;;;;;;;1;1;1;;5.5;1;0.8;0.5;0.5;2
DOULEUR;2020;840000350;840000657;Consultation;2;175;510;501;9;428;940;;221;46;10;428;1414;1413;1;175;1599;;340;153;;;0;;;;;;;;0;0;5;0;;1;1;;;3;2;;;1;1;1;;;;;;1;1;;;1;;1;1;;;;1;1.33;0.9;1;1;0.2;0.5
DOULEUR;2020;840001861;840006597;Centre;;6;1097;1097;;;1097;;195;183;;254;3737;3737;;;3737;;832;676;;2;10;10;;;10;;4;4;809;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;;3.86;;1.32;3.69
DOULEUR;2020;850000142;850000019;Centre;;;250;250;0;57;307;17;;;911;1810;4880;4745;135;1513;7304;;3234;1594;;;16;16;;;16;;;;1171;463;78;5;;;;;;3;;6;;1;3;0;;;;;;2;;;;;;1;;;;;;5.05;;6.19;;0.6;3.65
DOULEUR;2020;850000175;850009010;Consultation;;0;2;2;0;0;2;;2;0;;43;559;559;0;43;602;;555;90;;0;0;0;0;0;0;;0;0;0;0;;;;;;0;0;2;;;;1;1;;;;;1;1;2;;;;0;0;;;;;0;0;0.4;;;;0.05;0.12
DOULEUR;2020;850000209;850000019;Centre;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;128;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;850000225;850000019;Centre;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;246;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;850000647;850025867;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;850009630;850000035;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;137;69;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;860000223;860014208;Centre;0;0;187;172;15;;187;0;12;12;664;825;5959;5600;359;;6623;300;2401;838;75;1;54;54;;;129;0;28;17;2779;621;170;4;4;3;;1;4;3;1;4;;0;1;;;0;;0;0;1;;0;;0;0;2;1;4;;0;1;5.3;4.8;4.39;;0.5;3.48
DOULEUR;2020;870000064;870000015;Centre;;20;0;;;;;;;;492;810;1242;1218;24;886;2620;22;910;518;;;126;126;;;126;;73;55;0;0;34;3;;1;1;1;2;3;;;;;1;2;;;;;1;1;;;;;;0;;;;;;1.73;;1.23;1.23;1;1.42
DOULEUR;2020;880006663;880007059;Consultation;1;0;99;99;0;101;201;3;16;0;686;0;1621;1621;0;753;3060;245;782;242;6;0;4;4;0;4;14;2;2;2;0;0;248;;;;;;;4;2;2;2;2;1;1;;0;;;0;;;1;1;;;3;2;1;1;2;1;1.8;1.3;1;1;1;0.5
DOULEUR;2020;890975527;890000037;Consultation;;17;0;;;;;;;;258;;1016;1016;;339;1613;;;176;;;0;;;;;;;;0;0;;;;;;1;;1;;2;;;1;;;;;;;;;;;;;1;;2;;;1;0.5;;1.71;;1;0.86
DOULEUR;2020;890975543;890000417;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;890975550;890970569;Consultation;;19;0;;;2;2;;;;22;202;848;848;;227;1097;200;538;256;;;0;;;;;;;;0;0;10;3;1;;;;;;;1;;1;1;;;;;;;;;;;1;;;;1;;;1;0.49;0.2;0.5;;0.03;0.86
DOULEUR;2020;900003039;900000365;Consultation;;17;100;100;;153;253;;69;51;791;604;2297;2297;;1640;4728;302;1030;409;;;8;8;;10;18;;7;7;1129;259;216;1;;1;;0;;4;;3;;2;;1;;;;;;2;;1;;;;1;;2;;2;;1.34;;3.03;;1;
DOULEUR;2020;910020254;910002773;Consultation;0;115;94;94;0;71;165;0;94;0;0;359;815;815;0;72;887;0;325;104;0;2;0;0;0;2;2;0;0;0;0;0;;;;1;1;0;0;1;1;0;0;0;0;;;0;0;0;0;;;0;0;0;0;1;1;0;0;0;0;0.5;0.5;1;1;0;0
DOULEUR;2020;920000460;750813321;Consultation;;;299;299;;;299;;44;;;179;937;937;;0;937;;150;86;;;0;;;;;;;;0;0;70;;;;;;;4;2;1;;;3;;;;;;1;;;;;;2;;;1;;;;1.35;0.7;0.5;;;0.2
DOULEUR;2020;920000650;920150059;Consultation;528;1086;625;625;;;1153;85;;;;;2977;2977;;;2977;;1703;830;;;0;;;;;;;;0;0;15;1;0;1;0;0;3;1;0;4;0;4;2;0;0;0;0;1;0;0;0;0;0;2;1;1;0;4;0;1;1;1.82;0;4.01;0;1.63;4.01
DOULEUR;2020;920100013;750712184;Centre;;;314;314;;;314;;;;300;1143;4478;4375;103;;4778;140;1807;1180;;;0;;;;;;;;268;163;150;;;1;1;1;2;11;11;1;1;;1;;;;;;;;;;;;;;;;;;;4.92;4.92;1.61;1.61;1;2.43
DOULEUR;2020;920100054;750712184;Consultation;;200;54;54;;;54;;;;520;380;847;847;;;1367;15;514;;;;0;;;;;;;;700;313;15;;;;;;;3;3;1;1;1;;;;;;;;;;;;;;;;;;;;0.6;0.6;0.5;0.5;0.3;
DOULEUR;2020;920120011;750821092;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2020;930000336;930110069;Consultation;122;702;306;306;;398;826;;1087;;770;155;2885;2777;108;1200;4855;;292;;42;2;37;36;1;2;81;;;;0;0;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1.7;0.9;1.29;1.9
DOULEUR;2020;930100037;750712184;Consultation;251;828;1134;1134;0;282;1667;12;604;451;;;0;;;;;;;;;;0;;;;;;;;0;0;;1;;1;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;1;1.12;;1;1;;1.42
DOULEUR;2020;940000649;940150014;Consultation;;170;328;328;;;328;;171;171;806;123;2660;2648;12;123;3589;60;1009;423;;;0;;;;;;;;0;0;60;2;1;1;;1;;1;;;;;3;1;;;;;;;;;;;1;;;;;;2;1.35;0.3;0.5;;1;1.27
DOULEUR;2020;940000664;940160013;Centre;1252;303;3013;2494;519;646;4911;384;777;484;943;628;2522;2143;379;162;3627;159;878;294;235;14;179;132;47;9;423;29;42;29;0;0;978;2;2;2;3;;1;4;;0;;2;;1;;;;;;;;;;;;3;;;;2;;4.26;2;2;3;1.7;1
DOULEUR;2020;940100027;750712184;Centre;;7;504;504;;37;541;48;400;385;90;28;2702;2702;;138;2930;7;2010;1399;;;0;;;;;;;;0;0;12;2;;1;;;;;;1;;1;2;;;;;1;;;;1;;;;;;;;;2;2;;1.2;;0.15;1
DOULEUR;2020;940100043;750712184;Consultation;;;0;;;;;;;;;;0;;;;;;965;;;;0;;;;;;;;133;57;;2;2;3;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;2.6;2;3;3;1.5;1
DOULEUR;2020;940100068;750712184;Consultation;;;1271;957;314;;1271;;;;;;0;;;;;;;;;;1271;957;314;;1271;;;;0;0;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;
DOULEUR;2020;950000307;950110015;Consultation;;130;130;130;;130;260;;;;258;68;1419;1419;;68;1745;80;1156;304;;;9;9;;;9;;;;0;0;16;1;1;0;0;0;1;3;1;1;1;1;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;1.3;1.1;0.6;0.6;0.6;1.1
DOULEUR;2020;950000323;950013870;Consultation;;;0;;;;;;;;60;10;64;64;;7;131;;104;1;;;0;;;;;;;;0;0;0;2;1;2;2;;;4;2;;;1;6;1;;;;;5;1;;;;;;2;2;;;1;1;2.51;1.98;2;2;0.76;0.82
DOULEUR;2020;950000331;950110049;Consultation;;;0;;;;;;;;269;210;711;711;0;326;1306;16;445;174;;;0;;;;;;;;0;0;65;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;0.8;0.8;0.9;0.9;0.4;0.3
DOULEUR;2020;950000364;950110080;Consultation;;;0;;;;;;;;314;159;979;928;51;108;1401;168;762;515;;;0;;;;;;;;31;24;;3;3;1;;0;0;0;0;0;;;;0;0;0;;;;0;0;0;;;;0;0;0;;;;2.4;2.4;0.41;;0.49;0.5
DOULEUR;2020;970100020;970100152;Consultation;;;0;;;;;;;;;;239;239;;;239;;108;65;;;0;;;;;;;;0;0;239;;;;;;;1;1;1;1;1;;;;;;;;1;1;1;1;1;;;;;;;;0.4;0.4;0.4;0.4;0.4;
DOULEUR;2020;970100442;970100228;Consultation;72;589;222;222;;;294;;226;81;397;27;1265;1265;;22;1684;22;485;87;6;;11;11;;;17;;4;;0;0;12;;;;;;;2;2;4;1;1;1;;;;;;;;;;;;;;;;;;;1;1;2;0.5;0.5;0.5
DOULEUR;2020;970211215;970211207;Consultation;;36;0;;;;;;;;;354;1960;1960;;;1960;;;;;;0;;;;;;;;0;0;;3;;1;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;2.45;;0.99;;0.98;1.97
DOULEUR;2020;970400024;970408589;Consultation;9;142;119;119;;;128;;65;65;56;531;887;887;;;943;;454;223;;;0;;;;;;;;0;0;;;;1;;;1;5;;1;;1;;2;;1;;1;;;;;;;;3;;;;;;1.2;;1.5;;0.5;1
DOULEUR;2020;970400065;970421038;Consultation;;;0;;;;;;;;328;;1326;1326;;;1654;72;453;124;;;0;;;;;;;;0;0;72;0;0;0;0;0;1;3;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;1;1.2;0;0;0;0.5;1.5
DOULEUR;2020;970400081;970408589;Centre;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;1;1;;4;4;2;;;1;;4;2;;;1;;;;;;;;;;;;;;2;1.6;1;1;0.5;1.5
DOULEUR;2020;970462107;970400305;Centre;209;;516;516;;;725;;;;234;;1030;1019;11;;1264;;532;358;0;;0;0;;;0;;;;0;0;;;;;;;2;2;;;;1;6;;;;;;;;;;;;2;2;;;;1;4;1.25;;;;0.5;4.85
DOULEUR;2018;010000024;010780054;Consultation;6;88;21;21;;;;;7;0;370;435;557;557;;;;;260;149;;;3;3;;;;;2;;0;0;0;2;2;;;;;1;;3;;2;1;;;;;;;;;;;;;;;;;;;0.51;0.35;1.2;;0.42;0.5
DOULEUR;2018;020000162;020000063;Consultation;0;13;0;0;0;;;0;0;0;981;995;1834;1834;0;;;15;446;135;0;0;0;0;0;;;0;6;6;240;83;15;1;1;1;1;1;0;2;2;1;0;0;1;;;;;;;;;;;;;;;;;;;1.31;1.31;1.17;1;1;0.1
DOULEUR;2018;020000394;020000253;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;349;161;;1;1;1;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;1;1;0.99;0;1.25;0.5
DOULEUR;2018;020000519;020000261;Consultation;;;3432;2794;638;;;642;354;109;444;1824;3762;3462;300;;;;1360;667;;;31;31;;;;;21;19;0;0;202;1;1;2;1;;1;1;1;1;;1;3;;;;;;;;;;;;;;;;;;;1.8;1.8;2.13;1;0.8;3.82
DOULEUR;2018;020001061;020004404;Consultation;;12;0;;;;;;;;167;169;1148;1148;;;;;;;;;0;;;;;;;;0;0;;1;1;3;3;1;1;5;5;;;;;;;;;;;;;;;;;;;;;;;0.75;0.75;0.2;0.2;0.35;0.2
DOULEUR;2018;020001087;020004495;Consultation;37;;936;907;29;;;;280;168;;;854;854;;;;;;;;;59;59;;;;;;;0;0;;0;0;0;0;0;0;4;0;1;1;1;2;;;;;;;;;;;;;;;;;;;0.4;0;0.2;0.1;0.1;0.3
DOULEUR;2018;030000061;030780092;Centre;1;112;155;155;0;;;;72;36;374;510;1651;1651;0;;;600;668;327;2;5;38;38;0;;;0;15;11;0;0;0;;;1;;;;1;;2;;1;2;;;;;;;;;;;;;;;;;;;0.8;;1.53;;0.5;0.65
DOULEUR;2018;030000079;030780100;Consultation;;;0;;;;;;;;133;559;373;373;;;;;343;95;;10;52;52;;;;;32;2;0;0;0;1;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;0.13;0.05;0.8;0.8;;0.5
DOULEUR;2018;030000087;030780118;Consultation;;;56;56;;;;;;;243;513;1141;1141;0;;;35;663;;;;70;70;;;;;;;0;0;35;2;;0;;0;0;0;;1;;1;0;;;;;;;;;;;;;;;;;;;0.8;;0.8;;0.1;0
DOULEUR;2018;050000348;050002948;Consultation;;86;22;22;0;;;8;;;261;1208;570;570;0;;;40;415;173;0;0;0;0;0;;;0;0;0;0;0;40;0;0;1;1;0;0;3;0;1;1;0;2;;;;;;;;;;;;;;;;;;;0.7;0;1.3;1.3;0;0.51
DOULEUR;2018;060000510;060780954;Consultation;221;;1188;1188;;;;;726;715;183;;691;691;;;;25;442;183;;;0;;;;;;;;242;66;644;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.8;;;;
DOULEUR;2018;060000528;060780962;Consultation;2355;1102;1092;989;103;;;75;391;291;1287;376;1287;955;332;;;;435;257;;;0;;;;;;;;0;0;403;;;3;1;2;3;2;2;;;1;2;;;;;;;;;;;;;;;;;;;1.49;1.49;2;1;0.98;1.5
DOULEUR;2018;060780947;060800174;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2018;060788957;060785011;Centre;16;29;706;706;;;;14;706;348;1529;5658;9568;9568;;;;887;3987;1876;129;265;776;776;;;;30;776;218;1946;436;150;5;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;5.3;;;;;
DOULEUR;2018;070000096;070780184;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2018;070000609;070005566;Consultation;;;0;;;;;;;;;396;999;999;;;;;342;;;;6;6;;;;;4;;0;0;;0;;0;;0;1;3;;2;;0;0;;;;;;;;;;;;;;;;;;;0.63;;0.37;;0;0.91
DOULEUR;2018;080000425;080000615;Consultation;0;0;0;0;0;;;0;0;0;0;497;594;594;0;;;0;310;173;0;0;0;0;0;;;0;0;0;0;0;;2;;;;;;;;3;;;5;;;;;;;;;;;;;;;;;;;0.61;;0.8;;;0.37
DOULEUR;2018;090000175;090781774;Consultation;;;3;3;;;;;;;345;652;519;519;;;;;304;116;;;0;;;;;;;;0;0;0;;;;;;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;0.5;0.26;0.6;;0.28;
DOULEUR;2018;100000090;100000017;Centre;;;0;;;;;;;;;;0;;;;;;;391;;;0;;;;;;;;0;0;;0;0;1;1;1;1;2;0;1;0;0;3;;;;;;;;;;;;;;;;;;;1;0;1.3;1;1;1.72
DOULEUR;2018;110000023;110780061;Consultation;11;7;72;72;0;;;50;67;66;482;423;1529;1529;0;;;53;541;413;1;0;12;12;0;;;0;5;4;0;0;53;0;0;0;0;0;0;2;2;1;1;1;1;;;;;;;;;;;;;;;;;;;0.8;0.8;0.5;0.5;0.5;0.5
DOULEUR;2018;110000056;110780137;Consultation;;;17;17;;;;;;;237;1258;1130;1130;;;;12;414;253;;;0;;;;;;;;0;0;;;;;;;;1;;4;;;;;;;;;;;;;;;;;;;;;;0.6;;2.2;;;
DOULEUR;2018;120000039;120780044;Consultation;0;58;54;54;0;;;0;0;0;496;1667;858;858;0;;;36;257;87;0;0;0;0;0;;;0;0;0;0;0;36;;;;;;;1;;2;2;1;4;;;;;;;;;;;;;;;;;;;0.55;;0.8;0.8;0.5;0.7
DOULEUR;2018;120004569;120004528;Consultation;;;0;;;;;;;;136;345;252;252;0;;;15;140;69;;;0;;;;;;;;0;0;15;;;;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;0.2;;0.4;;0.2;0.5
DOULEUR;2018;120004668;120004619;Consultation;;;0;;;;;;;;267;991;356;356;0;;;15;209;103;;;0;;;;;;;;0;0;15;;;1;1;;;3;;;;1;1;;;;;;;;;;;;;;;;;;;0.36;;1;1;0.2;0.5
DOULEUR;2018;130000409;130041916;Consultation;25;166;241;241;;;;;123;90;1030;1154;3369;2799;570;;;90;1042;530;;;0;;;;;;;;574;200;363;2;;2;;1;3;5;;;;;1;;;;;;;;;;;;;;;;;;;2.55;;2;;1;3.5
DOULEUR;2018;130001225;130782634;Consultation;34;96;215;215;0;;;;142;;519;478;1241;1241;0;;;156;456;210;0;0;0;0;0;;;0;0;0;0;0;312;;;;;;;2;2;1;1;1;2;;;;;;;;;;;;;;;;;;;0.6;0.6;0.5;0.5;0.5;0.46
DOULEUR;2018;130001647;130784127;Consultation;506;55;632;632;;;;;478;392;314;;899;899;;;;;587;409;;;0;;;;;;;;0;0;13;1;;1;;;;1;;3;;5;;;;;;;;;;;;;;;;;;;;1.7;;1;;0.63;0.95
DOULEUR;2018;130783293;130786049;Centre;;;56;56;;;;;;;578;2508;8320;8275;45;;;175;5050;2699;9;28;645;645;;;;;458;328;587;223;;4;;2;;1;3;5;;;;;1;;;;;;;;;;;;;;;;;;;5.23;;1.33;;1;3.24
DOULEUR;2018;130784051;130037823;Consultation;;;0;;;;;;;;;;161;161;;;;;143;141;;;0;;;;;;;;0;0;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;
DOULEUR;2018;130784903;130002041;Consultation;;;0;;;;;;;;125;;2301;2298;3;;;;1372;;;;0;;;;;;;;0;0;;;;4;2;;;2;2;;;1;;;;;;;;;;;;;;;;;;;;1.5;1.5;4;2;0.5;
DOULEUR;2018;130785652;130014228;Centre;;;0;;;;;;;;272;;2617;2617;;;;;915;;;;0;;;;;;;;214;148;465;5;5;13;;;16;;;4;;;;;;;;;;;;;;;;;;;;;;4.08;4.08;15.5;;;14.91
DOULEUR;2018;140000027;140000035;Consultation;54;558;386;386;0;;;41;264;157;361;605;1328;1311;17;;;153;666;279;7;45;42;42;0;;;25;25;19;0;0;45;0;0;0;0;0;0;3;2;2;2;1;0;;;;;;;;;;;;;;;;;;;1;1;1.5;1.5;0.5;0
DOULEUR;2018;140000233;140000118;Consultation;;78;19;19;;;;19;19;19;;272;352;352;;;;80;193;133;;;9;9;;;;;6;6;0;0;;;;;;;;1;1;1;;;1;;;;;;;;;;;;;;;;;;;0.8;0.8;0.63;;;0.33
DOULEUR;2018;140000555;140000639;Consultation;388;1038;658;634;24;;;30;362;53;126;520;1197;1144;53;;;;499;257;;;0;;;;;;;;0;0;0;0;0;1;1;0;0;6;2;1;1;2;3;;;;;;;;;;;;;;;;;;;1.3;0.9;1.5;1.5;0.2;0.55
DOULEUR;2018;140004383;140000100;Centre;0;77;256;245;11;;;108;202;194;475;1013;4052;3107;945;;;295;1464;737;0;167;928;491;437;;;37;386;295;0;0;37;2;;1;;;2;8;;;;2;2;;;;;;;;;;;;;;;;;;;2.7;;1;;0.78;1.63
DOULEUR;2018;140016759;140003146;Consultation;;;0;;;;;;;;800;1756;1688;1688;0;;;104;742;437;;;0;;;;;;;;0;0;33;;;2;1;;1;4;2;2;1;1;1;;;;;;;;;;;;;;;;;;;1.25;1;3;1.5;0.6;1.1
DOULEUR;2018;140024886;140000092;Centre;14;222;184;184;;;;199;117;38;810;1325;2454;2454;;;;;896;258;;26;18;18;;;;;10;10;245;152;145;;;1;1;;;7;5;2;1;2;;;;;;;;;;;;;;;;;;;;2.04;1.9;1.7;1.2;0.9;
DOULEUR;2018;150000040;150780096;Consultation;47;53;38;38;;;;8;12;8;596;169;1349;1348;1;;;24;559;160;;11;15;14;1;;;2;8;;0;0;24;1;1;1;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;0.6;0.6;1;;0.52;0.47
DOULEUR;2018;160000253;160000451;Consultation;;;0;;;;;;;;103;366;1043;1043;0;;;;541;224;;;0;;;;;;;;0;0;;2;;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;;1;0.75;0.38;
DOULEUR;2018;160013207;160001632;Consultation;;;0;;;;;;;;145;663;1694;1694;0;;;358;552;263;;;0;;;;;;;;0;0;41;1;1;;;;1;3;;1;1;1;4;;;;;;;;;;;;;;;;;;;1.12;1;0.6;0.6;0.15;1.13
DOULEUR;2018;170000087;170024194;Consultation;;17;43;43;;;;43;;;735;140;1584;1584;;;;211;643;324;;;0;;;;;;;;0;0;62;1;1;;;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;1.5;1.5;0.5;0.5;0.8;0.5
DOULEUR;2018;170000103;170780175;Consultation;;;0;;;;;;;;361;599;1258;1258;;;;;450;189;;;0;;;;;;;;0;0;10;3;0;4;0;2;4;2;0;0;0;0;1;;;;;;;;;;;;;;;;;;;3.55;0;4;0;2.03;3.51
DOULEUR;2018;180000010;180000028;Consultation;3;71;120;120;;;;4;;;792;909;2099;2099;;;;430;1165;312;;;0;;;;;;;;0;0;434;1;1;1;1;;;;;;;2;1;;;;;;;;;;;;;;;;;;;1;1;1;1;1.02;0.3
DOULEUR;2018;190000018;190000042;Consultation;;;82;82;0;;;7;71;;724;1386;1217;1217;0;;;340;694;491;;;71;71;0;;;;43;28;0;0;28;2;1;2;1;;2;;;;;1;;;;;;;;;;;;;;;;;;;;0.6;0.5;1.36;1;0.43;0.4
DOULEUR;2018;210987558;210780581;Centre;;;0;;;;;;;;375;;5278;5278;;;;;2053;1437;;;0;;;;;;;;0;0;24;7;4;2;2;1;4;5;;;;;1;;;;;;;;;;;;;;;;;;;2.6;1.7;1;1;0.5;2.2
DOULEUR;2018;210987731;210780417;Centre;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;329;256;;3;2;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;5.95;4.95;;;;
DOULEUR;2018;220000012;220000020;Consultation;0;209;508;508;0;;;;299;127;213;613;1673;1673;0;;;;828;556;1;0;13;13;0;;;;7;6;0;0;160;2;1;;;;;2;;2;2;1;;;;;;;;;;;;;;;;;;;;0.68;0.4;1.5;1.5;0.3;
DOULEUR;2018;220012884;220000103;Consultation;;;0;;;;;;;;202;311;1513;1513;;;;;957;327;;;0;;;;;;;;0;0;;;;;;;;8;3;1;1;1;2;;;;;;;;;;;;;;;;;;;0.9;0.65;0.5;0.5;0.3;0.2
DOULEUR;2018;230000820;230780041;Consultation;;;0;;;;;;;;316;719;919;919;;;;26;347;180;;;0;;;;;;;;0;0;12;1;1;2;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;0.4;0.4;1.5;;0.4;0.5
DOULEUR;2018;240000372;240000059;Consultation;;;0;;;;;;;;;;233;233;;;;;105;;;;0;;;;;;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;0.1;0;0.12;0;0;0
DOULEUR;2018;240000489;240000117;Consultation;20;69;138;138;0;;;110;100;100;683;624;680;680;0;;;30;347;169;6;0;9;9;;;;9;;9;0;0;0;;;2;0;1;1;3;2;0;0;0;0;;;;;;;;;;;;;;;;;;;1;0.2;2;0;0.5;0.25
DOULEUR;2018;240000687;240000448;Centre;;142;5;5;;;;;;;73;61;94;94;;;;;54;34;;;0;;;;;;;;0;0;;;;;;;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;0.1;;0.8;0.8;0.05;
DOULEUR;2018;250000700;250000452;Consultation;;;115;115;;;;;;;581;585;2247;2247;;;;50;644;244;;;0;;;;;;;;0;0;;1;1;2;2;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;1.21;1.21;0.5;0.61
DOULEUR;2018;250006954;250000015;Centre;5;0;144;144;0;;;13;113;104;701;196;3176;2989;187;;;187;1647;1000;29;0;146;144;2;;;20;211;148;1700;649;70;3;3;3;3;;1;;;;;2;4;;;;;;;;;;;;;;;;;;;2.3;2.3;3;3;1.22;2.58
DOULEUR;2018;260000013;260000021;Consultation;144;158;40;40;0;;;22;40;40;1188;1431;2090;2090;0;;;100;922;418;;;6;6;;;;;;;0;0;24;0;0;0;0;0;1;5;3;3;2;2;1;;;;;;;;;;;;;;;;;;;1.4;1.1;1.5;1.5;1.1;1.3
DOULEUR;2018;270000359;270023724;Consultation;143;393;947;947;0;;;63;216;134;332;582;1713;1713;0;;;13;664;313;0;0;49;49;0;;;18;29;24;0;0;43;4;;;;;1;1;;;;;1;;;;;;;;;;;;;;;;;;;3.17;;;;;1.3
DOULEUR;2018;270000458;270023724;Consultation;;;0;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOULEUR;2018;280000084;280000183;Consultation;32;72;11;11;;;;;10;8;878;927;1283;1283;;;;;609;354;;10;4;4;;;;;5;3;0;0;292;;;;;;;4;3;1;1;1;;;;;;;;;;;;;;;;;;;;1.1;0.6;0.5;0.5;0.5;
DOULEUR;2018;280504267;280000134;Consultation;21;30;8;8;0;;;;41;33;727;888;1416;1416;0;;;;894;423;0;15;13;13;0;;;;10;7;0;0;;2;1;0;0;0;1;3;3;2;2;3;0;;;;;;;;;;;;;;;;;;;1.1;1;1;1;0.94;1
DOULEUR;2018;290000025;290020700;Consultation;7;153;42;37;5;;;;22;22;312;481;2331;2175;156;;;15;887;360;1;1;14;7;7;;;;7;6;0;0;188;;;0;0;0;;9;2;1;0;1;3;;;;;;;;;;;;;;;;;;;1.15;0.5;0.5;0;0.3;1.5
