BOR;AN;nofinesset;nofinessej;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2020;030000061;030780092;SITOT;8;2928;571;;;1612;;;;;;;;;;;;;;;;;;;;;
REA;2020;030000061;030780092;SURVADU;0;762;136;;;587;;;;0;3;0.15;;;;;;;;;;;;;;;
REA;2020;030000061;030780092;USIC;8;2928;571;;;1612;;;;0;5;1.05;0;1;0.48;10;0;9.91;11;1;10.17;0;0;0;0;1;0.5
REA;2020;030000079;030780100;REAADU;8;2920;300;303;9;2996;16;49;65;5;;4.6;1;;0.17;27;1;21.06;15;;11.88;;;;2;1;1.92
REA;2020;030000079;030780100;SITOT;10;3650;1089;;;3098;;;;;;;;;;;;;;;;;;;;;
REA;2020;030000079;030780100;SIUNV;4;1460;338;;;1061;;;;;;;;;;6;;5.27;8;;7.78;;;;;;
REA;2020;030000079;030780100;SURVADU;4;1460;46;;;169;;;;;1;0.26;;;0.1;2;;1.42;1;;0.8;;;;;;0.13
REA;2020;030000079;030780100;SURVENF;2;730;136;;;270;;;;5;3;0.31;1;;0.45;1;;0.9;2;;1.6;;;;1;;0.44
REA;2020;030000079;030780100;USIC;6;2190;751;;;2037;;;;2;;1.2;;;;7;;5.43;5;;4.79;;;;;;
REA;2020;030000087;030780118;REAADU;8;4352;475;494;36;2620;4;45;81;8;0;5.32;3;0;1.39;18;0;17.39;11;0;10.86;;;;2;1;2.05
REA;2020;030000087;030780118;SITOT;10;2608;860;;;1725;;;;;;;;;;;;;;;;;;;;;
REA;2020;030000087;030780118;SIUNV;2;396;94;;;213;;;;;;;0;0;0;3;1;3.8;4;3;6.41;;;;3;0;2.87
REA;2020;030000087;030780118;SURVADU;2;374;89;;;312;;;;;;;0;0;0;4;0;4;3;0;3;;;;0;0;0
REA;2020;030000087;030780118;SURVENF;4;1464;224;;;615;;;;;;;;;;;;;;;;;;;;;
REA;2020;030000087;030780118;USIC;8;2212;766;;;1512;;;;3;;1.08;0;0;0;9;0;8.54;7;0;7.08;;;;0;1;1
REA;2020;030781116;030000426;SURVADU;10;3650;1342;;;7957;;;;9;;9;1;;1;4;1;4.4;4;;4;;;;;;
REA;2020;040000093;040780215;REAADU;8;2240;374;386;11;1585;3;29;155;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2020;040000093;040780215;SURVADU;8;2920;128;;;595;;;;7;3;8.03;1;0;0.74;5;1;12.14;10;1;11.07;0;0;0;9;3;2.55
REA;2020;040000911;040788879;REAADU;6;1555;120;120;5;1555;6;60;24;2;2;3.42;;1;0.62;11;5;12.57;6;2;7.22;;1;0.04;1;;1.29
REA;2020;040000911;040788879;SURVADU;2;513;122;;;513;;;;1;1;1.14;;0;0.21;4;2;4.19;2;1;2.41;;0;0.01;0;;0.43
REA;2020;050000090;050006931;SURVADU;3;1095;28;;;134;;;;5;2;0.25;;;;6;;0.5;6;;0.25;;;;;;
REA;2020;050000231;050000116;REAADU;;1768;162;163;3;810;11;33;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2020;050000231;050000116;SURVADU;8;2920;201;;;775;;;;4;12;7.95;0;2;0.75;10;5;10.94;4;1;4.04;0;0;0;1;0;0.4
REA;2020;050000348;050002948;REAADU;16;4306;379;388;15;2718;20;45;56;4;8;5.1;0;0;1.27;14;14;20.52;10;3;12.14;0;0;0;1;1;1.58
REA;2020;050000348;050002948;SURVADU;0;2544;1078;;;3754;;;;2;4;1.41;0;0;0.43;10;5;11.85;3;6;7.94;0;0;0;1;2;1.56
REA;2020;060000478;060780897;REAADU;8;2920;329;338;11;1627;6;40;62;16;1;1.41;3;0;1.95;27;0;23.69;15;1;12.17;1;0;0.33;3;0;3.26
