BOR;AN;nofinesset;nofinessej;UNI;LIT;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;EFFPL_MED;EFFPA_MED;ETP_MED;EFFPL_INFSP;EFFPA_INFSP;ETP_INFSP;EFFPL_INFNS;EFFPA_INFNS;ETP_INFNS;EFFPL_AID;EFFPA_AID;ETP_AID;EFFPL_KINE;EFFPA_KINE;ETP_KINE;EFFPL_APNM;EFFPA_APNM;ETP_APNM
REA;2020;780300406;780018032;USIC;12;4128;1393;;;3274;;;;4;;4;;1;0.6;7;3;9.4;3;0;3;;;;;;
REA;2020;780300414;780000675;REAADU;8;2920;294;306;18;3223;6;42;82;4;0;4;2;0;2;12;0;14;8;0;10;1;0;1;4;0;4
REA;2020;780300414;780000675;SITOT;10;3650;507;;;2924;;;;;;;;;;;;;;;;;;;;;
REA;2020;780300414;780000675;SURVADU;18;6570;566;;;4807;;;;4;0;4;1;0;1;12;0;14;10;0;12;1;0;1;4;0;4
REA;2020;780300414;780000675;USIC;10;3650;507;;;2924;;;;5;0;5;1;0;1;6;0;7;4;0;5;1;0;1;4;0;4
REA;2020;780300422;780002259;REAADU;11;4015;247;251;5;3371;23;50;41;4;;4;2;;1.3;16;6;19.3;8;3;9.6;;;;;;
REA;2020;780300422;780002259;SURVADU;15;5475;369;;;3619;;;;4;;4;2;;0.7;6;2;7.2;6;2;7.2;;;;;;
REA;2020;780800256;780110078;AUTSI;15;5490;344;;;5589;;;;;;;;;;;;;;;;;;;;;
REA;2020;780800256;780110078;REAADU;16;5840;868;935;67;6842;5;44;118;12;2;12.35;2;;2.25;44;9;49.61;25;7;31;;;;2;1;1.72
REA;2020;780800256;780110078;SITOT;31;11346;1979;;;11611;;;;;;;;;;;;;;;;;;;;;
REA;2020;780800256;780110078;SIUNV;6;2196;734;;;3262;;;;2;1;2.5;1;;1;11;1;12.06;12;1;11.82;;;;3;2;4.08
REA;2020;780800256;780110078;SURVADU;12;4392;1900;;;8378;;;;2;0;2.38;;;;12;;12;14;2;12;;;;;;
REA;2020;780800256;780110078;SURVENF;4;1464;872;;;2380;;;;;;;;;;;;;;;;;;;;;
REA;2020;780800256;780110078;USIC;10;3660;901;;;2760;;;;;10;3.25;1;;1;14;1;15.47;7;;7.01;;;;;;
REA;2020;790000087;790000012;REAADU;10;3660;937;1003;333;3492;5;24;204;4;4;5.67;;1;0.75;22;7;28.46;17;2;18.49;;1;0.33;3;1;3.57
REA;2020;790000087;790000012;SITOT;18;6588;1752;;;5454;;;;;;;;;;;;;;;;;;;;;
REA;2020;790000087;790000012;SIUNV;4;1464;600;;;1405;;;;5;1;4.5;1;;1;6;1;6.1;6;1;6.1;;;;;4;0.95
REA;2020;790000087;790000012;SURVADU;5;1830;193;;;848;;;;;;;;1;0.25;3;;4.3;4;;3.91;;;;1;;1
REA;2020;790000087;790000012;USIC;14;5124;1152;;;4049;;;;10;1;10.75;;1;0.6;13;3;15.57;11;1;12.18;;1;0.16;;1;0.26
REA;2020;790009948;790001242;REAADU;2;80;2;2;0;43;50;33;1;1;;;;1;0.5;;;;;;;;;;;;
REA;2020;790009948;790001242;SURVADU;6;2195;538;;;1584;;;;1;;1;;;;7;;7;2;;2;;;;;;
REA;2020;790019848;790006654;REAADU;0;720;5;5;1;97;40;38;0;0;;;;;;;;;;;;;;;;;
REA;2020;790019848;790006654;SURVADU;6;2806;303;;;1861;;;;2;;2.1;1;;0.83;8;3;12.11;9;;7.82;;;;2;1;2.37
REA;2020;800000143;800000028;REAADU;6;2190;344;361;21;1741;3;37;34;4;1;3.78;1;0;1;17;1;17.28;15;0;12.97;0;1;0.19;2;0;1.97
REA;2020;800000143;800000028;SITOT;7;2555;605;;;1933;;;;;;;;;;;;;;;;;;;;;
REA;2020;800000143;800000028;USIC;7;2555;605;;;1933;;;;1;0;1.1;0;0;0;7;3;9.56;9;1;9.81;0;0;0;0;0;0
REA;2020;800000226;800000069;SURVADU;6;2196;206;;;1500;;;;;11;1.69;;1;0.04;5;3;6.34;6;1;6.36;;;;;1;0.05
REA;2020;800000432;800000093;SURVADU;4;1460;125;;;692;;;;1;;0.35;0;1;0.3;4;1;4.69;3;1;3.7;0;0;0;0;1;0.23
REA;2020;800002503;800001141;REAADU;3;380;20;20;1;111;65;36;4;2;;2;;;;;5;1;;3;0.75;;;;;;
REA;2020;800002503;800001141;SURVADU;6;2154;322;;;1747;;;;2;;2;;;;5;;5;3;;3;;;;;;
REA;2020;800006124;800000044;AUTSI;34;12236;877;;;9987;;;;;23;5.01;;1;0.16;11;13;14.23;4;10;7.29;;;;1;1;1
REA;2020;800006124;800000044;REAADU;56;20125;2658;2876;133;20995;30;43;193;18;25;28.83;10;;4.76;140;14;133.11;80;5;73.67;;;;11;12;7.15
REA;2020;800006124;800000044;REAENF;8;3040;198;207;15;903;39;;;;7;1.4;;4;2.05;4;3;5.8;2;0;2;;;;;;
REA;2020;800006124;800000044;SITOT;57;20654;3353;;;17234;;;;;;;;;;;;;;;;;;;;;
REA;2020;800006124;800000044;SIUNV;9;3294;963;;;2806;;;;;6;1.47;;1;0.5;6;2;8.47;11;;9.44;;;;;;
REA;2020;800006124;800000044;SURVADU;30;8174;1307;;;5387;;;;;10;1.8;1;;2.08;33;3;31.61;24;2;23.07;;;;2;1;1.35
REA;2020;800006124;800000044;SURVENF;8;2816;533;;;1594;;;;;11;1.18;3;1;3.03;6;3;6.53;6;0;5;;;;1;1;0.5
REA;2020;800006124;800000044;USIC;14;5124;1513;;;4441;;;;;7;3.5;1;;1;15;3;17.28;15;3;17.24;;;;2;2;2.07
REA;2020;800009466;800002982;SURVADU;17;6205;727;;;4210;;;;1;;1;;;;;;;;;;;;;;;
REA;2020;800009920;800003071;AUTSI;15;5475;1007;;;3545;;;;44;45;5;;;;14;;11.55;2;;1.69;2;;2;2;;1.46
REA;2020;800009920;800003071;REAADU;2;730;13;13;0;147;62;33;2;44;45;5;;;;6;;4.81;1;;0.7;1;;0.8;1;;0.61
REA;2020;800009920;800003071;SITOT;15;5475;1007;;;3545;;;;;;;;;;;;;;;;;;;;;
REA;2020;800009920;800003071;SURVADU;13;4745;341;;;1839;;;;44;45;48;;;;14;;11;8;3;10.19;2;;2;;3;1.81
REA;2020;800015729;800015679;SITOT;10;3650;687;;;2578;;;;;;;;;;;;;;;;;;;;;
REA;2020;800015729;800015679;SURVADU;16;5840;1002;;;3929;;;;;2;1.8;;;;;29;5.5;;15;3.43;;;;;8;1.59
REA;2020;800015729;800015679;USIC;10;3650;687;;;2578;;;;;3;3;;;;;24;7.25;;8;1.36;;;;;9;1.8
REA;2020;810000224;810000471;AUTSI;4;1460;389;;;1024;;;;4;;4;;;;;;;;;;;;;;;
REA;2020;810000224;810000471;REAADU;8;2920;418;429;27;3104;6;48;131;6;2;7;1;;0.5;12;7;17.42;11;2;13;;;;;;
REA;2020;810000224;810000471;SITOT;15;5475;1767;;;4798;;;;;;;;;;;;;;;;;;;;;
REA;2020;810000224;810000471;SIUNV;4;1460;350;;;1543;;;;4;;4;1;;0.33;4;;3.95;4;;4;;;;;;
REA;2020;810000224;810000471;SURVADU;18;6570;1021;;;5319;;;;30;4;32;1;;0.5;9;;9.1;10;;9.5;;;;;;
REA;2020;810000224;810000471;USIC;7;2555;1028;;;2231;;;;7;1;7.5;1;;0.25;7;;6.25;3;2;4.33;;;;;;
REA;2020;810000505;810000331;REAADU;8;2928;318;323;17;2272;9;35;56;4;1;3.7;0;0;0.18;28;4;25.36;20;1;15.75;0;1;0.29;2;1;1.89
REA;2020;810000505;810000331;SITOT;12;4392;865;;;3273;;;;;;;;;;;;;;;;;;;;;
REA;2020;810000505;810000331;SIUNV;6;2196;411;;;1601;;;;0;0;0;0;3;0.71;2;3;3.66;2;1;3.05;0;0;0;0;0;0
REA;2020;810000505;810000331;SURVADU;4;1464;234;;;681;;;;1;1;0.69;0;0;0;2;0;1;0;0;0.31;0;0;0;0;1;0.39
REA;2020;810000505;810000331;USIC;6;2196;454;;;1672;;;;0;0;0;0;1;0.21;5;5;8.9;6;0;6.46;0;0;0;1;1;1.15
REA;2020;810000521;810000380;REAADU;8;2928;369;384;34;2385;7;43;86;3;2;2.92;1;1;0.71;28;13;19.73;16;10;12.41;5;5;0.22;4;;1.02
REA;2020;810000521;810000380;SITOT;12;4392;875;;;2010;;;;;;;;;;;;;;;;;;;;;
REA;2020;810000521;810000380;SIUNV;4;1464;261;;;585;;;;5;1;0.94;;1;0.2;25;10;6.64;16;10;5.71;;;;5;;1.25
REA;2020;810000521;810000380;SURVADU;5;1830;431;;;1282;;;;3;2;1.94;;1;0.2;27;13;8.94;16;10;5.94;5;5;0.22;3;;0.9
REA;2020;810000521;810000380;USIC;8;2928;614;;;1425;;;;4;2;1.88;1;;0.5;9;;8.13;6;4;8.5;;;;;;
REA;2020;810000562;810000455;SURVADU;4;1464;292;;;1095;;;;1;2;2.94;1;;0.4;;;;6;;4.85;;;;;;
REA;2020;810101170;810101162;SURVADU;6;2190;338;;;1451;;;;;;;2;;2;4;;4;4;;4;;;;;;
REA;2020;810101444;810000992;SURVADU;6;2190;405;;;1968;;;;;;;;1;0.8;6;;6.34;6;0;6.38;;;;;;
REA;2020;820000032;820000016;REAADU;10;4089;341;351;5;3490;19;42;84;;5;3.36;2;;3.88;33;2;30.44;22;3;22.45;2;;0.71;3;;1.25
REA;2020;820000032;820000016;SITOT;12;4392;1143;;;4039;;;;;;;;;;;;;;;;;;;;;
REA;2020;820000032;820000016;SIUNV;6;2196;789;;;2888;;;;;4;0.45;2;;0.12;13;1;10.99;12;1;10.05;;;;;1;0.5
REA;2020;820000032;820000016;SURVADU;5;1830;250;;;1087;;;;;5;0.84;;;;4;;4.51;3;;3.08;;;;;;
REA;2020;820000032;820000016;USIC;6;2196;354;;;1151;;;;;1;0.2;3;;0.36;8;;5.69;5;1;4.68;1;;0.33;3;1;0.37
REA;2020;820000057;820000131;REAADU;8;2928;299;311;54;2732;7;37;53;;7;3.5;;1;0.5;17;5;20.25;5;6;15.2;;;;2;2;4.36
REA;2020;820000057;820000131;SITOT;8;2928;1272;;;2652;;;;;;;;;;;;;;;;;;;;;
REA;2020;820000057;820000131;SURVADU;12;4392;568;;;3400;;;;;7;3.5;;1;0.5;5;1;10.36;5;3;9.65;;;;0;1;1.42
REA;2020;820000057;820000131;USIC;8;2928;1272;;;2652;;;;10;;10;;1;0.5;7;0;8.73;7;3;8.49;;;;;;
REA;2020;830000279;830100517;REAADU;8;600;87;89;5;401;5;30;22;1;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REA;2020;830000279;830100517;SURVADU;6;2190;330;;;1307;;;;0;7;5.13;7;3;8.82;14;1;14.11;3;1;3.57;0;0;0;2;1;2.14
REA;2020;830000287;830100525;REAADU;14;4606;456;467;26;3232;18;35;93;9;2;9.37;1;0;1;23;3;21.78;20;2;16.52;0;1;0.59;4;2;3.78
REA;2020;830000295;830100533;SURVADU;4;3174;507;;;2176;;;;2;3;3.84;11;10;18.77;;;;7;2;8.83;;;;1;7;3.21
REA;2020;830000311;830100566;REAADU;8;2920;474;485;44;2581;12;46;103;7;1;4.52;1;;1;22;2;22.84;10;1;10.98;;;;6;;4.48
REA;2020;830000311;830100566;SITOT;6;2190;634;;;1876;;;;;;;;;;;;;;;;;;;;;
REA;2020;830000311;830100566;SURVADU;8;2920;592;;;2009;;;;8;1;2.37;;;;2;13;8.05;4;6;6.1;;;;;3;1.18
REA;2020;830000311;830100566;USIC;6;2190;634;;;1876;;;;4;0;1.03;;1;0.6;;12;6.58;;6;3.7;;;;1;3;1.47
REA;2020;830000345;830100616;REAADU;26;7230;1112;1163;55;6283;29;42;189;7;11;10.27;2;3;2.82;38;31;51.18;19;31;27.93;;;;9;8;13.04
REA;2020;830000345;830100616;SITOT;12;5312;1790;;;4013;;;;;;;;;;;;;;;;;;;;;
REA;2020;830000345;830100616;SIUNV;4;1464;492;;;993;;;;;3;1.8;;1;0.17;;22;6.33;;17;2.74;;;;;8;1.15
REA;2020;830000345;830100616;SURVADU;8;2544;577;;;2103;;;;;;;;;;3;;3;5;3;6.87;;;;1;;1
REA;2020;830000345;830100616;SURVENF;4;1464;381;;;843;;;;;3;0.36;2;6;5.62;1;;1;3;4;5.5;;;;;4;0.26
REA;2020;830000345;830100616;USIC;8;3848;1298;;;3020;;;;;5;0.63;1;2;1.27;10;11;15.22;5;6;8.64;;;;0;8;2.69
REA;2020;830100103;830000022;SURVADU;15;5475;662;;;3702;;;;8;;8;;;;8;;7.97;5;;5.24;;2;1;3;;1.64
REA;2020;830100251;830000063;SURVADU;7;2555;224;;;552;;;;28;;28;;;;5;;5;;;;;;;;;
REA;2020;830100319;830020855;REAADU;12;4392;406;421;13;4179;48;45;116;12;;5;1;;1;35;;28.45;8;1;11.37;;;;;;
REA;2020;830100319;830020855;SITOT;8;2928;845;;;2507;;;;;;;;;;;;;;;;;;;;;
REA;2020;830100319;830020855;SURVADU;16;5856;623;;;4107;;;;12;;3;1;;1;21;;17.13;6;;6.85;;;;;;
REA;2020;830100319;830020855;USIC;8;2928;845;;;2507;;;;9;;5;;;;6;4;7.03;3;1;4.87;;;;;;
REA;2020;830100392;830000154;SURVADU;10;3660;1487;;;6592;;;;;;;5;1;6;;;;2;;2;;;;;;
REA;2020;830100434;830000196;REAADU;6;2190;37;37;0;143;51;33;10;5;;5;;;;8;;8;4;;4;;1;0.5;2;;2
REA;2020;830100434;830000196;SURVADU;17;6205;1238;;;5542;;;;8;;8;1;;1;9;2;10.63;6;1;6.79;;4;2;2;;2.2
REA;2020;830100459;830000212;SURVADU;6;2196;443;;;1364;;;;14;5;16.5;;;;5;;5;;;;;;;;;
REA;2020;830100574;750821092;AUTSI;1;365;2;;;23;;;;4;;3.41;1;;0.04;1;;0.6;1;;0.3;;;;;;
REA;2020;830100574;750821092;REAADU;10;3650;747;842;112;4390;17;45;87;8;;4;1;;0.9;36;;36;17;;17;1;;0.1;5;;2.1
REA;2020;830100574;750821092;SITOT;10;3650;742;;;2659;;;;;;;;;;;;;;;;;;;;;
REA;2020;830100574;750821092;SIUNV;1;365;83;;;115;;;;5;;4.48;1;;0.02;1;;0.2;1;;0.2;;;;;;
REA;2020;830100574;750821092;SURVADU;10;3650;458;;;2127;;;;8;;4;1;;1;13;;13;13;;13;;;;2;;2
REA;2020;830100574;750821092;USIC;8;2920;657;;;2521;;;;7;;5.17;1;;0.95;15;;14.68;12;;11.4;;;;;;
REA;2020;830200523;830210084;SURVADU;4;1460;16;;;43;;;;;4;0.5;;;;3;;3;;;;;;;;;
REA;2020;840000285;840000608;SURVADU;5;1825;91;;;350;;;;;5;0.3;;;;2;1;2.5;2;1;3;;;;;;
REA;2020;840000327;840000640;SURVADU;3;1095;19;;;24;;;;;2;0.1;;;;11;2;0.3;7;;0.3;;5;0.1;;;
REA;2020;840000392;840000046;SURVADU;6;2196;744;;;2343;;;;1;;1;;;;5;2;5.72;3;1;3.3;;;;;;
REA;2020;840000400;840000673;SURVADU;10;3660;300;;;613;;;;1;;1;;1;0.2;4;1;4.7;;2;1;;;;;;
REA;2020;840000418;840004659;SURVADU;4;1464;388;;;384;;;;;3;1.8;;1;0.3;;23;5.8;;12;4.3;;;;;3;0.97
REA;2020;840000483;840000087;SURVADU;8;2928;664;;;2280;;;;;3;1.25;;;;6;1;7.19;7;1;6.68;;;;;3;1.39
REA;2020;840001861;840006597;AUTSI;6;2196;18;;;452;;;;;;2.2;;;0.14;;;6.8;;;0;;;0;;;1.88
REA;2020;840001861;840006597;REAADU;20;9922;921;985;83;6274;4;34;70;;;7.24;;;6.5;;;58.53;;;42.62;;;0;;;11.64
REA;2020;840001861;840006597;SITOT;22;8052;2094;;;4567;;;;;;;;;;;;;;;;;;;;;
REA;2020;840001861;840006597;SIUNV;4;1464;610;;;1252;;;;;;0.88;;;0.16;;;2.94;;;5.73;;;0;;;3.55
REA;2020;840001861;840006597;SURVADU;21;7686;2192;;;8608;;;;;;2.83;;;2.01;;;32.24;;;23.34;;;0;;;6.28
REA;2020;840001861;840006597;SURVENF;4;1464;878;;;1787;;;;;;0.21;;;0.41;;;1.98;;;0;;;0.1;;;3.82
REA;2020;840001861;840006597;USIC;12;4392;1466;;;2863;;;;;;0.75;;;0.97;;;12.66;;;11.04;;;0;;;3.45
REA;2020;840013312;840003685;SITOT;8;2920;892;;;2029;;;;;;;;;;;;;;;;;;;;;
REA;2020;840013312;840003685;SURVADU;16;5840;3368;;;10330;;;;15;;15;;;;;;;;;;;;;;;
REA;2020;840013312;840003685;USIC;8;2920;892;;;2029;;;;14;;14;;;;;;;;;;;;;;;
REA;2020;840017172;840017164;SURVADU;10;3660;347;;;1616;;;;;2;0.5;;1;0.5;4;2;4.75;2;2;2.4;;;;2;2;2.4
REA;2020;850000118;850013244;SURVADU;8;2920;490;;;1100;;;;7;;7;1;;0.3;5;3;7.9;3;2;4.24;;;;;;
REA;2020;850000134;850013269;SURVADU;8;2928;338;;;2028;;;;1;4;3;;;;7;;7;7;;7;;6;1;;;
REA;2020;850000142;850000019;REAADU;20;6632;1011;1027;74;6095;14;40;61;1;12;8.21;1;1;4.86;2;87;56.27;1;58;28.33;;;0;;11;5.95
REA;2020;850000142;850000019;SITOT;22;8052;1892;;;7431;;;;;;;;;;;;;;;;;;;;;
REA;2020;850000142;850000019;SIUNV;6;2196;414;;;1986;;;;0;7;0.73;;;0.3;;;6.88;;;6.41;;;0;;;0.52
REA;2020;850000142;850000019;SURVADU;28;10248;1259;;;7692;;;;1;58;4.65;;;1.11;;;29.22;;;31.32;;;0.1;;;6.18
REA;2020;850000142;850000019;SURVENF;4;1464;370;;;1119;;;;;;;;;;;;;;;;;;;;;
REA;2020;850000142;850000019;USIC;16;5856;1478;;;5445;;;;0;12;2.97;;;0.58;;;18.3;;;13.81;;;0;;;1.7
REA;2020;850000175;850009010;SURVADU;10;3660;530;;;2427;;;;;6;1.66;;1;0.04;9;6;11.92;4;2;5.71;;;;;1;0.04
REA;2020;850000241;850000084;SURVADU;6;1919;313;;;1381;;;;3;4;0.84;1;0;0.2;16;8;5.77;8;4;3.25;0;0;0;8;0;0.83
REA;2020;850009630;850000035;SURVADU;10;3660;661;;;2082;;;;1;;1;1;;0.6;5;10;11.42;2;7;5.91;;;;;;
REA;2020;860000025;860013382;SURVADU;8;2928;485;;;2159;;;;8;35;8.32;6;8;12.57;;;;4;0;3.2;;;;4;1;3.16
REA;2020;860000058;860014208;SURVADU;3;1098;324;;;892;;;;;3;0.88;1;0;0.2;7;1;3.65;4;0;3.47;0;0;0;1;0;0.1
REA;2020;860000223;860014208;AUTSI;33;12078;1227;;;14175;;;;;14;3.84;2;0;2;30;13;39.46;20;8;23.1;0;0;0;3;3;3.4
REA;2020;860000223;860014208;REAADU;53;19398;2170;2323;102;17381;30;35;113;7;13;12.72;3;0;4.08;87;13;90.14;64;11;64.74;4;0;4;18;1;13.93
REA;2020;860000223;860014208;REAENF;3;1098;170;177;17;1249;38;;;;11;9.97;12;2;2.02;24;13;6.75;3;2;4.7;0;1;0.3;0;0;0
REA;2020;860000223;860014208;SITOT;57;20862;3169;;;20871;;;;;;;;;;;;;;;;;;;;;
REA;2020;860000223;860014208;SIUNV;8;2928;765;;;2763;;;;;3;1;2;0;0.5;31;4;7.82;40;5;8.2;0;2;0.4;9;3;0.2
REA;2020;860000223;860014208;SURVADU;21;7686;1742;;;6199;;;;;11;1.75;1;0;1.43;13;2;14.59;9;7;10.3;0;2;1;2;0;0.66
REA;2020;860000223;860014208;SURVENF;5;1830;306;;;1320;;;;;10;2.18;1;0;0.5;2;2;4.36;1;2;2.41;0;1;0.25;1;0;0.5
REA;2020;860000223;860014208;USIC;16;5856;1177;;;3933;;;;;3;0.58;1;0;1;24;3;24.89;18;2;18.47;0;1;0.25;1;0;1.01
REA;2020;860010321;860010313;SURVADU;10;3660;660;;;2211;;;;;;;;;;8;1;9.29;5;1;6.48;;;;;;
REA;2020;870000064;870000015;AUTSI;30;10980;1416;;;10479;;;;15;4;3.69;1;;1.75;40;13;50.95;24;11;34.81;;;0.7;7;;5.01
REA;2020;870000064;870000015;REAADU;46;14662;1287;1392;39;10362;15;36;41;10;0;6.58;;2;1.67;65;14;76.38;38;10;46.88;2;1;2.25;2;;5.16
REA;2020;870000064;870000015;SITOT;54;19764;3241;;;18894;;;;;;;;;;;;;;;;;;;;;
REA;2020;870000064;870000015;SIUNV;8;2928;547;;;2923;;;;8;0;2.36;;;;13;;13.34;8;;7.91;;;0.4;;2;1.55
REA;2020;870000064;870000015;SURVADU;107;33472;5040;;;38954;;;;44;1;5.21;1;;1.1;37;7;43.93;29;4;32.75;1;;0.7;1;1;2.15
REA;2020;870000064;870000015;USIC;16;5856;1278;;;5492;;;;6;0;1.11;;;;20;3;22.83;14;4;19.2;;;0.3;;;1
REA;2020;870000098;870000023;SURVADU;14;5124;813;;;3706;;;;7;2;2;;;;5;2;6.16;4;3;6.16;;;;1;1;1.86
REA;2020;870000270;870000031;SURVADU;6;2196;508;;;2204;;;;1;;1;1;;0.5;5;1;5.86;4;;4;;;;1;;1
REA;2020;870000288;870017415;SITOT;;;322;;;1025;;;;;;;;;;;;;;;;;;;;;
REA;2020;870000288;870017415;SURVADU;20;7320;1038;;;3901;;;;7;;7;2;;2;17;2;18.77;16;;17.16;;;;;;
REA;2020;870000288;870017415;USIC;;;322;;;1025;;;;;;;;;;;;;;;;;;;;;
REA;2020;870000411;870017415;SURVADU;6;2196;362;;;688;;;;;;;;;;3;4;6.29;3;;3.67;;;;;;
REA;2020;870014859;870000015;AUTSI;0;0;0;;;0;;;;0;0;0;8;1;7.32;3;6;5.38;2;1;2.8;;;;1;1;1.8
REA;2020;870014859;870000015;REAENF;2;732;64;66;3;421;16;;;14;0;2.13;1;1;2.15;1;;1;1;;1;;;;1;;1
REA;2020;870014859;870000015;SURVADU;2;732;148;;;540;;;;5;0;0.25;;;;2;;2;3;;3;;;;;;
REA;2020;870014859;870000015;SURVENF;4;1464;345;;;1345;;;;5;0;0.32;;2;1.9;1;2;3.16;1;;1;;;;;;
REA;2020;880000021;880007059;REAADU;8;2920;411;416;29;2939;31;49;51;6;;5.95;1;;0.47;30;16;32.68;10;4;12.29;;;;1;;1
REA;2020;880000021;880007059;SITOT;12;4380;938;;;3785;;;;;;;;;;;;;;;;;;;;;
REA;2020;880000021;880007059;SIUNV;4;1460;342;;;1923;;;;;;;;;;;;;;;;;;;;;
REA;2020;880000021;880007059;SURVADU;4;1460;284;;;1174;;;;;;;;;;;;;;;;;;;;;
REA;2020;880000021;880007059;USIC;8;2920;596;;;1862;;;;3;;4.4;;;;;;;;;;;;;;;
REA;2020;880000047;880780077;SURVADU;8;3159;685;;;2295;;;;10;;1.77;;;;11;2;12.84;6;;5.92;;;;;;
REA;2020;880000054;880007299;SURVADU;8;2828;597;;;1830;;;;3;1;0.78;;2;0.37;9;3;11.05;1;3;1.96;;;;;6;1.64
REA;2020;880000062;880780093;SURVADU;6;2190;432;;;1735;;;;;;;0;0;0;8;4;10.26;0;4;2.15;0;0;0;0;4;0.66
REA;2020;880788591;880780150;SURVADU;16;5856;738;;;4809;;;;2;;;;;;3;;3;2;;2;;;;;;
REA;2020;890000169;890000151;SURVADU;5;1825;167;;;847;;;;6;;1.25;;;;2;1;2.75;;;;;;;;;
REA;2020;890002389;890000730;SURVADU;6;2190;318;;;1715;;;;6;;6;0;1;0.13;3;2;4.07;4;1;5.4;;;;;3;1.6
REA;2020;890975527;890000037;REAADU;10;3650;341;348;21;3581;26;50;68;3;1;3.45;1;;1;25;5;29.29;18;3;20.57;;;;4;2;5.71
REA;2020;890975527;890000037;SITOT;8;2920;955;;;2065;;;;;;;;;;;;;;;;;;;;;
REA;2020;890975527;890000037;SURVADU;4;1460;86;;;457;;;;3;1;3.45;;;;1;3;3.57;;;;;;;;;
REA;2020;890975527;890000037;USIC;8;2920;955;;;2065;;;;5;;1.23;1;;1;4;1;4.86;2;;2;;;;1;;1
REA;2020;890975535;890000409;SURVADU;4;1464;426;;;544;;;;;6;0.59;;;;;15;3.74;;7;2.41;;;;;1;0.25
REA;2020;890975543;890000417;SURVADU;5;1830;290;;;1554;;;;4;1;4.06;1;;0.46;5;1;5.6;7;;7;;;;1;;0.3
REA;2020;890975550;890970569;REAADU;8;2928;318;328;10;3444;13;42;84;9;;8.11;1;;0.15;17;3;21.57;14;;13.96;;;;3;;3.59
REA;2020;890975550;890970569;SITOT;6;2196;386;;;1666;;;;;;;;;;;;;;;;;;;;;
REA;2020;890975550;890970569;SURVADU;4;1464;95;;;526;;;;;;;;;0.04;6;;6.26;3;;3;;;;3;;2.32
REA;2020;890975550;890970569;USIC;6;2196;386;;;1666;;;;3;;0.2;;;;6;;6.26;3;;3;;;;2;;2.11
REA;2020;890975568;890000433;SURVADU;4;1464;596;;;1139;;;;2;5;2.73;;1;0.28;4;1;4.4;4;;4;;;;;1;0.3
REA;2020;900000035;900003880;SURVADU;4;1460;113;;;515;;;;1;;1;;;;;;;;;;;;;;;
REA;2020;900003039;900000365;REAADU;25;10101;997;1043;65;7211;3;48;146;0;12;7.74;2;0;2.08;63;23;65.24;31;6;31.17;;;;;;
REA;2020;900003039;900000365;SITOT;20;7320;1830;;;5735;;;;;;;;;;;;;;;;;;;;;
REA;2020;900003039;900000365;SIUNV;4;1464;480;;;1229;;;;3;2;4.35;;;;;;;;;;;;;;;
REA;2020;900003039;900000365;SURVADU;10;2725;616;;;2287;;;;0;8;1.69;;;;;;;;;;;;;;;
REA;2020;900003039;900000365;USIC;16;5856;1350;;;4506;;;;0;1;0.63;;;;21;10;27.78;17;4;19.2;;;;;;
REA;2020;910000272;910110014;REAADU;3;1080;91;92;11;702;11;41;22;2;3;3.51;0;1;0.39;9;0;9.19;5;1;5.95;0;0;0;1;0;0.75
REA;2020;910000272;910110014;SURVADU;6;1998;294;;;1431;;;;1;1;1.17;0;0;0.13;3;0;3.06;2;0;1.98;0;0;0;0;0;0.25
REA;2020;910000280;910019447;SURVADU;6;2190;209;;;1860;;;;3;;0.29;1;;0.3;11;;6.68;12;1;8.4;;;;1;;1.79
REA;2020;910000298;910110055;REAADU;15;5294;595;603;37;3905;15;34;61;6;1;4.8;;;;27;6;28.59;24;3;21.83;;;;2;;0.92
REA;2020;910000298;910110055;SITOT;7;1218;269;;;1049;;;;;;;;;;;;;;;;;;;;;
REA;2020;910000298;910110055;SURVADU;0;164;47;;;145;;;;;;;;;;;;;;;;;;;;;
REA;2020;910000298;910110055;SURVENF;5;418;338;;;789;;;;;1;0.6;1;1;1.59;0;0;1.1;;;;;;;3;1;0.67
REA;2020;910000298;910110055;USIC;7;1218;269;;;1049;;;;;1;1.83;;;;2;2;3.06;3;;3.67;;;;;;
REA;2020;910000306;910110055;REAADU;6;827;116;118;4;1084;11;35;30;;;;;;;;;;;;;;;;;;
REA;2020;910000306;910110055;SITOT;6;2137;486;;;1609;;;;;;;;;;;;;;;;;;;;;
REA;2020;910000306;910110055;SIUNV;6;2137;486;;;1609;;;;0;5;0.7;;;;1;1;1.75;1;;1;;;;;;
REA;2020;910000306;910110055;SURVADU;7;1272;158;;;875;;;;6;;6;;;;15;2;14.27;9;1;8.12;;;;;1;0.95
REA;2020;910001973;910019447;REAADU;10;3650;368;379;10;4069;14;38;67;7;2;6.35;2;;0.93;28;1;24.58;21;;15.84;;1;0.34;1;;1
REA;2020;910001973;910019447;SURVADU;6;2190;172;;;1306;;;;2;1;2.8;;;;5;;5.08;7;;5.55;;1;0.26;1;;1
REA;2020;910020254;910002773;AUTSI;8;2928;143;;;2233;;;;1;;1;;;;;;;;;;;;;;;
