BOR;AN;nofinesset;nofinessej;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;CRAN;CERE;STEREOT;NPED;ENDO;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2020;450002613;450000088;1;18;0;0;0;;0;0;;0;;1;0;1;0;0;594;4;4858;1;0;4;74;548;153;652;0;0;0
NEUROCHIR;2020;490000049;490000031;1;32;0;1;1;2;1;1;;1;;1;1;0;1;1;1614;33;9195;18;0;79;153;861;12;39;222;29;1219
NEUROCHIR;2020;510004302;510000029;1;30;0;1;1;5;1;1;520;0;0;1;1;0;0;1;1456;89;5094;8;0;23;34;341;448;1317;254;10;1174
NEUROCHIR;2020;540001138;540023264;1;72;1;1;1;8;1;1;;1;;1;1;1;0;1;2442;14;20809;11;0;68;143;1438;145;1213;452;33;2417
NEUROCHIR;2020;540002698;540023264;1;8;0;0;1;8;1;0;;0;;1;1;1;1;0;0;0;0;376;6;1829;122;483;8;28;18;3;76
NEUROCHIR;2020;590000618;590782215;1;20;1;1;0;;1;1;675;1;177;1;0;0;0;;1021;152;5264;11;7;10;102;531;27;142;0;0;0
NEUROCHIR;2020;590796975;590780193;1;125;1;1;1;1;1;1;5284;1;531;1;1;1;1;1;3956;58;22039;753;139;2626;294;4248;36;513;563;60;2807
NEUROCHIR;2020;630000404;630780989;1;60;1;1;1;0;1;1;5366;0;;1;1;1;1;1;2167;30;13911;25;0;86;245;2527;122;1529;339;24;2152
NEUROCHIR;2020;630781268;630780989;0;;0;0;0;;1;;;;;0;0;0;1;0;;;;26;;139;13;33;6;171;;;
NEUROCHIR;2020;640000162;640780417;1;21;0;1;0;;0;1;;0;;1;1;1;0;1;1109;94;4445;6;0;18;32;264;93;201;0;0;0
NEUROCHIR;2020;640780946;640000469;1;32;0;1;0;;1;0;;0;;1;1;1;0;0;211;5;971;0;0;0;0;0;16;39;0;0;0
NEUROCHIR;2020;660000084;660780180;1;23;1;1;1;2;1;1;360;1;1560;1;0;0;0;1;752;24;6040;4;0;26;65;362;86;275;0;0;0
NEUROCHIR;2020;660780669;660000324;1;4;0;0;0;;0;0;;0;;0;0;0;0;0;118;0;532;1;0;4;0;0;0;0;0;0;0
NEUROCHIR;2020;670783273;670780055;1;50;0;1;0;;1;0;;0;;1;1;0;1;1;1654;74;9689;21;0;95;104;770;34;407;278;19;1642
NEUROCHIR;2020;680000684;680000973;1;45;0;0;1;1;1;1;1500;1;70;1;1;0;0;1;2198;91;12400;5;0;33;178;1512;8;29;144;26;640
NEUROCHIR;2020;690007539;690781810;1;10;0;0;0;;0;0;;0;;0;0;0;1;0;0;0;0;669;22;4122;79;383;235;367;0;0;0
NEUROCHIR;2020;690041124;690000724;1;15;0;0;0;;1;0;;0;;1;0;0;0;1;478;1;2316;1;0;1;22;171;174;310;0;0;0
NEUROCHIR;2020;690780648;690036900;1;2;0;0;0;;0;0;;0;;0;0;0;0;1;346;1;829;0;0;0;2;4;2;5;0;0;0
NEUROCHIR;2020;690784178;690781810;1;114;1;1;1;5;1;;;0;;1;1;1;1;1;4982;1350;25378;60;50;67;308;2456;691;2148;790;52;3202
NEUROCHIR;2020;740000237;740781133;1;10;0;1;0;;1;1;700;0;;1;0;0;0;0;821;16;4030;6;0;26;84;325;68;163;0;0;0
NEUROCHIR;2020;750000499;750062036;1;41;1;1;1;7;1;1;;0;;1;;1;0;1;1069;20;9538;15;1;104;128;1569;352;1248;388;128;1527
NEUROCHIR;2020;750000549;750150229;1;32;1;1;1;12;1;0;;1;666;1;1;1;1;1;450;149;1076;0;0;0;5;90;3;34;597;54;3106
NEUROCHIR;2020;750100042;750712184;1;42;0;0;0;;1;0;;1;;1;1;0;0;1;1491;99;7782;4;0;11;172;1662;81;814;462;40;2543
NEUROCHIR;2020;750100125;750712184;1;90;;;;;1;;;1;8;1;1;1;0;0;4359;803;20856;31;4;225;515;6967;1153;1273;499;73;3238
NEUROCHIR;2020;750100208;750712184;1;16;1;1;0;;1;1;;1;1226;0;0;0;1;1;20;4;40;1333;99;4251;512;1219;567;1764;0;0;0
NEUROCHIR;2020;760000158;760780239;1;58;1;1;1;3;1;1;1185;1;269;1;1;0;1;1;2613;110;16361;38;5;176;299;2474;681;1000;299;46;1199
NEUROCHIR;2020;800006124;800000044;1;39;1;1;1;1;1;1;;1;;1;1;0;1;1;2058;142;9521;157;16;384;250;1915;179;400;290;46;1205
NEUROCHIR;2020;830100574;750821092;1;20;1;1;1;4;1;1;1187;;;1;0;0;0;1;855;10;6519;6;0;26;105;531;93;466;175;44;653
NEUROCHIR;2020;860000223;860014208;1;29;1;0;0;0;1;1;150;1;0;1;1;1;1;0;1272;4;9014;8;0;46;223;2711;347;527;447;32;2744
NEUROCHIR;2020;870000064;870000015;1;43;;1;1;7;1;1;;1;;1;1;;;1;1630;35;8040;11;0;27;56;540;325;2584;333;1;1402
NEUROCHIR;2020;890975550;890970569;0;0;0;0;0;;0;0;;0;;;;;1;;23;0;144;1;0;3;0;0;0;0;0;0;0
NEUROCHIR;2020;920000650;920150059;1;40;0;0;1;7;1;0;;1;77;1;1;1;0;1;891;34;3543;3;0;6;24;340;394;2260;340;42;1286
NEUROCHIR;2020;920100039;750712184;1;22;0;0;0;;1;0;;1;;1;1;0;0;1;1189;517;5011;9;2;31;133;1464;133;154;0;0;0
NEUROCHIR;2020;920120011;750821092;1;15;0;0;0;;1;0;;0;;1;1;1;0;0;502;16;3839;5;0;36;71;484;0;0;1;0;13
NEUROCHIR;2020;930300025;930000393;1;9;0;1;0;;1;1;;1;;1;0;1;0;0;248;6;1176;0;0;0;30;239;41;130;0;0;0
NEUROCHIR;2020;940100027;750712184;1;30;1;1;1;10;1;1;;1;;1;1;0;0;1;1536;284;8293;4;0;22;344;1402;119;881;364;80;1364
NEUROCHIR;2020;940100043;750712184;1;34;1;1;1;4;1;1;300;1;67;1;1;1;0;1;1765;367;9641;21;4;90;210;1392;377;985;484;36;2170
NEUROCHIR;2020;970100442;970100228;1;11;0;0;0;;1;1;25;1;;1;1;;;;629;19;3335;7;0;28;59;403;25;56;0;0;0
NEUROCHIR;2020;970107249;970100731;1;2;0;0;0;;0;0;;0;;0;0;0;0;0;7;0;171;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2020;970211215;970211207;;10;;;;;;;;;;;;;;;419;5;3527;6;0;42;33;346;20;41;0;0;0
NEUROCHIR;2020;970400057;970408589;1;18;1;0;1;;1;1;1121;0;;1;0;0;1;1;861;21;5809;11;1;49;266;1614;24;72;180;11;1311
NEUROCHIR;2019;060780947;060800174;0;;0;0;0;;1;0;;0;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;060785003;060785011;1;28;;;1;14;;1;;0;;1;1;1;1;1;2400;34;12086;17;1;70;104;971;669;1935;323;36;1838
NEUROCHIR;2019;080010473;080010242;0;3;0;0;0;;0;0;;0;;0;0;0;0;0;181;2;816;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;130780521;130786049;1;25;;;;;;1;250;0;;1;0;0;0;0;1265;28;7835;11;0;57;183;1093;218;429;0;0;0
NEUROCHIR;2019;130783293;130786049;1;61;1;1;0;;1;1;;0;;1;1;1;1;1;4028;43;22982;36;0;200;161;1322;687;2044;517;53;2523
NEUROCHIR;2019;130784051;130037823;1;111;0;1;1;4;1;1;;0;;1;1;1;0;1;4436;14;26019;7;0;63;235;823;88;480;157;0;540
NEUROCHIR;2019;130804297;130786049;1;;0;0;0;;1;;;;;0;1;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;140000209;140000100;1;42;0;1;0;0;1;1;2950;0;0;1;1;0;1;1;2090;51;14204;13;0;60;186;2321;515;1848;402;60;2192
NEUROCHIR;2019;210987558;210780581;1;30;;;1;6;;1;2500;0;;;;;;;1846;38;7390;6;0;43;169;932;101;573;396;35;1927
NEUROCHIR;2019;250006954;250000015;1;33;0;1;0;;1;1;;1;;1;0;1;0;1;1709;24;9145;14;1;80;78;819;215;1196;233;8;1480
NEUROCHIR;2019;260020078;420784878;1;10;0;0;0;;0;0;;0;;0;0;0;0;0;547;19;2894;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2019;290004324;290000017;1;42;0;1;1;0;1;1;;0;;1;1;1;1;1;1582;34;12069;17;0;76;120;894;40;81;334;8;1530
NEUROCHIR;2019;2B0000012;2B0000020;1;20;0;0;0;;1;0;;0;;1;0;0;0;0;908;29;5466;9;1;35;29;579;54;211;0;0;0
NEUROCHIR;2019;300780152;300017985;1;29;0;0;0;;1;0;;0;;1;0;0;0;0;2069;5;8574;4;0;10;70;312;320;406;0;0;0
NEUROCHIR;2019;300782117;300780038;1;10;0;0;0;;1;1;;1;;1;0;0;0;0;513;11;2932;2;0;6;28;292;94;161;0;0;0
NEUROCHIR;2019;310780283;310000112;1;34;0;0;0;;1;0;;0;;1;0;0;0;0;370;7;3232;0;0;0;6;120;27;109;0;0;0
NEUROCHIR;2019;310781000;310788880;1;35;;;1;2;1;0;;0;;1;1;1;0;1;3066;8;12969;1;0;1;41;251;199;758;109;1;476
