BOR;AN;nofinesset;nofinessej;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2020;010000081;010780112;30;9775;17;20;;;;;;;;;;;;;;;;;;;;;
USLD;2020;010000115;010009132;30;10980;44;16;0;0;6;0;0;18;10;0;0;1;0;0;4;0;0;8;0;0;5;0;0
USLD;2020;010009314;010780054;94;30017;72;46;;;13;7;4;;42;3;;;1;;2;;;;;;;;
USLD;2020;010009702;010780054;11;3781;4;2;;;;;;;4;;;;;;;;;;;;;;
USLD;2020;010786259;010008407;0;1736;0;;;;;;;;;;;;;;;;;;;;;;
USLD;2020;010789576;010780096;30;10263;35;24;;;3;2;;;19;;;;;;11;;;;;;9;6;
USLD;2020;010789717;010008407;35;10110;40;10;;;;;;;;;;;;;;;;;;;;;
USLD;2020;020000089;020000022;30;10443;10;10;0;0;2;3;0;0;3;;0;1;0;0;1;;;;;;;;
USLD;2020;020000162;020000063;60;19251;43;38;0;0;3;4;0;0;17;4;0;0;0;0;15;15;0;0;1;0;3;0;4
USLD;2020;020000535;020000287;44;12411;16;17;;;2;2;;;4;0;;;;;;;;;;;2;;1
USLD;2020;020004677;020000261;50;15403;30;34;;;;;;;;;;;;;;;;;;;;;
USLD;2020;020005476;020000253;41;8765;25;28;;;22;;;;;;;;;;3;;;;;;1;;
USLD;2020;020009684;020002085;30;9058;10;17;;;;;;1;;1;;;;;8;;;;14;;1;;
USLD;2020;030000061;030780092;80;29313;46;33;0;0;8;0;1;0;13;2;1;0;0;0;21;0;0;3;2;0;17;1;0
USLD;2020;030000079;030780100;60;19760;21;18;;;12;;;;3;1;;;;;5;;61;;3;;;;
USLD;2020;030000087;030780118;115;41192;67;49;2;;11;;9;;34;2;0;;0;;3;581;726;;575;;0;2;6
USLD;2020;030000160;030780282;40;15551;5;3;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
USLD;2020;040780405;040000168;41;11663;12;14;;;;;;;1;4;;;5;;2;;;;;;4;2;3
USLD;2020;040788440;040780215;30;9208;11;20;0;;0;;0;;0;9;0;;0;;2;0;0;2;3;0;5;0;0
USLD;2020;050000132;050007145;25;8555;10;11;;;;;;;;;;;;;;;;;;;;;
