BOR;AN;nofinesset;nofinessej;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM;PCON;PACT
MCO;2019;130782675;130001233;;;0;0;0;19;6935;945;60;2447;;;0;0;0;19;6935;945;60;2447;;0;;;39;39;7369;;0;;;39;7369;;;39;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130783152;130001365;12;4152;419;37;4214;0;0;0;0;0;0;0;0;0;0;12;4152;419;37;4214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;
MCO;2019;130783236;130786049;197;71761;11651;162;84423;156;52220;3478;57;14539;82;28074;5403;227;24809;435;152055;20532;446;123771;106;6196;;;36473;20;2436;22;3632;;;148;12264;;;36473;1;0;1;1;0;0;0;0;0;;;;;155064;5839;77654;32;4044;18051;;
MCO;2019;130783293;130786049;622;211413;37153;4201;198412;330;120718;12316;131;77905;;;0;0;0;952;332131;49469;4332;276317;100;17722;;;39174;27;1762;;0;;;127;19484;;;39174;1;1;1;1;1;0;1;0;1;;;;;212121;3;163709;14060;10;31395;;
MCO;2019;130783327;130001415;57;20805;3132;66;16599;44;16060;2398;418;4613;40;14600;2361;121;10604;141;51465;7891;605;31816;;0;;;24323;21;9360;0;0;;;21;9360;;;24323;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130783665;130043722;29;10585;977;4;6148;20;7300;548;6;1580;;;0;0;0;49;17885;1525;10;7728;12;527;;;151;18;5801;1;40;;;31;6368;;;151;1;1;1;1;1;1;1;1;1;62;12;2;4;47806;;;;;40946;;
MCO;2019;130783723;130001456;;;0;0;0;66;23232;4792;3;9956;;;0;0;0;66;23232;4792;3;9956;;0;;;3;54;17201;;0;;;54;17201;;;3;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130784051;130037823;100;35405;5234;57;36683;196;71540;6997;36;45427;;;0;0;0;296;106945;12231;93;82110;22;78;;;14229;18;2158;;0;;;40;2236;;;14229;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;130784226;130804032;0;3407;94;0;271;0;;0;0;0;0;;0;0;0;0;3407;94;0;271;0;805;;;0;;0;;0;;;0;805;;;0;0;0;0;0;1;1;0;0;0;;;;;1449;0;200;0;0;94;;
MCO;2019;130784234;130786049;49;17834;1782;8;14710;32;11115;1490;8;7477;;;0;0;0;81;28949;3272;16;22187;46;6724;;;11561;4;579;;0;;;50;7303;;;11561;0;0;0;0;0;0;0;1;0;;;;;79287;1;39407;103;1;5068;;
MCO;2019;130784481;130006562;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;48300;;0;;0;;;;0;;;48300;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;130784713;130038847;85;31025;5457;120;37491;75;27375;2311;81;10860;103;37595;6332;2210;16029;263;95995;14100;2411;64380;;0;;;5752;38;10413;;0;;;38;10413;;;5752;;;;;;;;;;;;;;205;;;;;;;
MCO;2019;130784903;130002041;43;15695;1521;1;12814;2;730;3;0;3;;;0;0;0;45;16425;1524;1;12817;;0;;;0;8;3840;;0;;;8;3840;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;130785389;130002173;;;0;0;0;57;18900;1519;58;4674;;;0;0;0;57;18900;1519;58;4674;;0;;;7;30;8384;;0;;;30;8384;;;7;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130785652;130014228;407;147095;24768;2844;123395;191;69715;9175;171;48696;80;29200;6414;138;23076;678;246010;40357;3153;195167;26;2148;0;0;12903;55;14395;0;0;0;0;81;16543;0;0;12903;1;1;1;1;1;1;1;1;1;120;60;32;90;192184;14189;160917;643;20982;48102;;
MCO;2019;130785678;130002249;50;18250;2191;21;25806;40;14600;662;21;2930;;;0;0;0;90;32850;2853;42;28736;;0;;;2177;25;6127;;0;;;25;6127;;;2177;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130786361;130002447;60;21900;3243;126;23548;114;41610;7473;0;26680;;;4;1;5;174;63510;10720;127;50233;;6702;;;4816;41;10512;;0;;;41;17214;;;4816;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130786445;130002488;12;4380;564;12;3041;20;7300;430;34;927;62;22630;3158;8;16311;94;34310;4152;54;20279;2;54;;;0;4;624;;0;;;6;678;;;0;;;;;;;;;;;;;;4125;5450;;;;;;
MCO;2019;130786742;750821092;82;29930;5810;620;26759;50;18250;2240;62;10193;0;0;0;0;0;132;48180;8050;682;36952;2;0;;;196;6;2277;0;0;;;8;2277;;;196;1;1;;1;;;1;;1;;;;39;27059;0;51687;1626;0;8945;;
MCO;2019;130789159;920030269;33;12045;919;5;8849;;;0;0;0;;;0;0;0;33;12045;919;5;8849;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;130804297;130786049;123;44465;7843;1015;36849;89;31565;5299;561;20097;;;0;0;0;212;76030;13142;1576;56946;43;5942;;;5946;10;1353;;0;;;53;7295;;;5946;1;0;1;1;0;1;1;0;0;;;;;74851;1413;37640;3;1208;22270;;
MCO;2019;130809015;130001928;43;15695;976;15;12013;;;0;0;0;;;0;0;0;43;15695;976;15;12013;5;788;;;12;;0;;0;;;5;788;;;12;1;1;0;0;1;0;0;0;0;;20;;;1304;;642;24;;;;
MCO;2019;130809809;130007156;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;23647;;0;;0;;;;0;;;23647;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130810740;130007362;47;17155;1618;28;11775;62;22630;3746;76;11835;0;0;0;0;0;109;39785;5364;104;23610;0;0;;;32;19;21320;0;0;;;19;21320;;;32;;;;;;;;;;;;;;;;;;;;;
MCO;2019;130811102;130007487;24;8760;367;4;7705;;;0;0;0;;;0;0;0;24;8760;367;4;7705;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;
MCO;2019;140000027;140000035;218;80110;13959;2758;67887;37;13277;2264;120;11029;32;11680;2258;295;8704;287;105067;18481;3173;87620;13;1074;;;12649;10;2003;2;44;;;25;3121;;;12649;1;1;1;1;1;1;1;1;0;;;;;41195;6356;36065;1495;5848;2211;;
MCO;2019;140000209;140000100;633;222607;36931;6702;193244;343;117521;17782;1956;92773;82;29930;4655;259;22523;1058;370058;59368;8917;308540;120;13356;0;0;38585;36;8496;2;296;0;0;158;22148;0;0;38585;1;1;1;1;1;1;1;1;1;148;111;57;25;240085;13652;180058;1498;3384;70343;;
MCO;2019;140000233;140000118;89;30595;5128;638;30575;15;4425;967;0;3019;;;0;0;0;104;35020;6095;638;33594;2;359;;;85;8;1317;;0;;;10;1676;;;85;;;1;;1;1;;;1;18;75;56;90;26334;3309;39565;;10126;14381;;
MCO;2019;140000290;140000449;4;1460;66;0;667;50;18250;2167;73;7431;;;0;0;0;54;19710;2233;73;8098;;0;;;120;34;4621;;0;;;34;4621;;;120;;;;;;;;;;;;;;;;;;;;;
MCO;2019;140000340;140025800;12;4380;204;3;4066;;;0;0;0;;;0;0;0;12;4380;204;3;4066;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2019;140000373;140000159;63;23410;3773;403;23643;0;0;0;0;0;0;0;0;0;0;63;23410;3773;403;23643;5;269;1;13;600;0;0;0;0;;;5;269;1;13;600;1;0;1;1;1;1;1;0;0;10;110;5;;5141;357;6899;0;386;70;;
MCO;2019;140000555;140000639;117;39413;3853;36;32460;32;10622;1892;67;6718;;;0;0;0;149;50035;5745;103;39178;6;1246;;;74212;10;2439;;0;;;16;3685;;;74212;0;0;0;1;0;0;1;1;0;;;;;61022;;38655;388;;19434;;
MCO;2019;140002452;140025800;50;18934;2451;564;17505;0;;0;0;0;0;;0;0;0;50;18934;2451;564;17505;5;1059;;;131;6;4029;;0;;;11;5088;;;131;1;0;0;1;0;0;0;0;1;;;;;20784;;19936;244;;1571;;
MCO;2019;140004383;140000100;46;17307;1074;12;13173;;;0;0;0;;;0;0;0;46;17307;1074;12;13173;4;312;0;0;0;;0;;0;;;4;312;0;0;0;0;0;0;0;0;0;0;0;0;;;;;8206;4;1255;0;1;1841;;
MCO;2019;140016759;140003146;30;10950;9301;5638;17476;108;39420;6296;7;18077;44;16060;2013;62;9059;182;66430;17610;5707;44612;0;28;;;4881;30;10791;0;0;;;30;10819;;;4881;;;;;;;;;;;;;;;;;;;;;
MCO;2019;140017237;140003278;78;28470;7225;515;23135;144;52560;9706;449;35857;0;;0;0;0;222;81030;16931;964;58992;1;1;;;15601;80;22172;0;0;;;81;22173;;;15601;;;;;;;;;;;;;;;;;;;;;
MCO;2019;140018730;140000423;4;1460;47;14;314;34;12410;1633;87;4511;;;0;0;0;38;13870;1680;101;4825;;0;;;63;20;5281;;0;;;20;5281;;;63;;;;;;;;;;;;;;16;;;;;;;
MCO;2019;140024886;140000092;106;37778;6860;1455;31683;29;10585;1832;228;7644;16;5840;714;59;2542;151;54203;9406;1742;41869;5;505;;;1957;10;3037;;62;;;15;3604;;;1957;1;1;1;1;0;1;1;1;1;120;;7;90;37375;1963;28548;;748;14756;;
MCO;2019;140026410;140026279;76;27740;4569;1362;24657;;;0;0;0;;;0;0;0;76;27740;4569;1362;24657;;0;0;0;4;;0;;0;;;;0;0;0;4;1;1;1;0;0;1;0;0;0;;;;;5660;2573;6040;;2476;6;;
MCO;2019;140026709;140000415;6;2190;148;0;914;26;9490;1591;168;4863;;;0;0;0;32;11680;1739;168;5777;;0;;;10;7;3495;;0;0;0;7;3495;0;0;10;;;;;;;;;;;;;;;;;;;;;
MCO;2019;140030891;140000639;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;2373;;0;;0;;;;0;;;2373;;;;;;;;;;;;;;;;;;;;;
MCO;2019;150000024;150780047;15;5475;111;5;2465;0;0;0;0;0;0;0;0;0;0;15;5475;111;5;2465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;
MCO;2019;150000032;150780088;71;25884;2536;206;22046;22;8030;1040;45;5375;15;5475;530;178;1295;108;39389;4106;429;28716;5;466;0;0;532;4;406;0;4;0;0;9;876;0;0;532;1;0;0;1;0;0;0;0;0;;;;;10146;883;21406;0;1112;849;;
MCO;2019;150000040;150780096;218;71805;10559;828;65546;60;19543;3114;255;13650;24;8030;1505;322;5032;302;99378;15178;1405;84228;20;1737;;;4257;12;2373;0;0;;;32;4110;;;4257;1;1;1;1;1;1;1;1;1;130;130;25;200;42900;6974;78841;57;20913;32248;;
MCO;2019;150000164;150780468;40;14600;1921;283;14643;;;0;0;0;;;0;0;0;40;14600;1921;283;14643;;0;;;13;;0;;0;;;;0;;;13;1;1;0;1;0;1;0;1;0;;;30;;3185;1755;7662;;1126;2141;;
MCO;2019;150000180;150780500;25;9125;433;4;6158;;;0;0;0;;;0;0;0;25;9125;433;4;6158;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;988;;337;;;;;
MCO;2019;150780120;150000065;10;3650;261;3;1629;;;0;0;0;;;0;0;0;10;3650;261;3;1629;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2019;150780732;150000271;81;29565;1721;4;18891;129;47085;3241;83;11479;0;0;0;0;0;210;76650;4962;87;30370;4;21;;;16691;10;6733;1;9;;;15;6763;;;16691;;;;;;;;;;;;;;;;;;;;;
MCO;2019;160000170;160000204;8;2920;151;0;783;55;19625;2443;146;7100;;;0;0;0;63;22545;2594;146;7883;;0;;;0;32;7905;;0;;;32;7905;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2019;160000188;160000121;12;4380;279;3;3926;;;0;0;0;;;0;0;0;12;4380;279;3;3926;3;150;0;0;0;;0;;0;;;3;150;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;160000253;160000451;280;90707;18503;3273;75445;70;25312;4481;114;20331;25;9125;1821;90;7192;375;125144;24805;3477;102968;24;1623;0;0;24253;19;4125;0;0;0;0;43;5748;0;0;24253;1;0;1;1;1;1;1;1;1;150;77;77;120;78346;5862;85542;1162;18792;33016;;
MCO;2019;160000279;160000212;;;0;0;0;43;15695;1434;97;4255;;;0;0;0;43;15695;1434;97;4255;;0;;;0;23;5336;;0;;;23;5336;;;0;0;0;0;0;0;0;0;0;0;;;;;5784;;;;;;;
MCO;2019;160000303;160006037;53;19345;2762;366;16432;;;0;0;0;;;0;0;0;53;19345;2762;366;16432;4;13;;;3;;0;;0;;;4;13;;;3;1;0;0;1;1;1;1;0;0;;20;7;;4399;1463;12022;;1028;255;;
MCO;2019;160000311;160000485;27;9855;2643;755;8183;;;0;0;0;;;0;0;0;27;9855;2643;755;8183;2;55;;;0;;0;;0;;;2;55;;;0;1;0;1;1;1;0;1;1;1;220;60;;100;7269;;25251;;;6135;;
MCO;2019;160000337;160000493;29;10585;2319;617;10882;0;;0;0;0;0;;0;0;0;29;10585;2319;617;10882;0;83;;;48;0;0;0;0;;;0;83;;;48;0;0;0;1;0;0;1;1;0;;;;;4771;1206;15649;;1539;159;;
MCO;2019;160000360;160000519;10;3650;153;1;2038;;;0;0;0;;;0;0;0;10;3650;153;1;2038;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;160013207;160001632;24;8760;1740;84;9082;63;22995;3316;66;9075;24;8760;1159;10;4350;111;40515;6215;160;22507;16;4303;;;4291;35;8445;0;108;;;51;12856;;;4291;;;;;;;;;;;;;;;;;;;;;
MCO;2019;160014650;160014643;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;20757;;0;;0;;;;0;;;20757;;;;;;;;;;;;;;;;;;;;;
MCO;2019;160015368;160014411;103;33154;7064;2062;30909;;;0;0;0;15;5475;887;165;2888;118;38629;7951;2227;33797;10;637;;;2317;;0;;0;;;10;637;;;2317;1;1;1;1;1;1;1;0;1;94;46;59;76;9157;2649;29578;;5770;2396;;
MCO;2019;170000038;170780050;69;25185;3615;333;23032;19;6935;1156;54;5800;;;0;0;0;88;32120;4771;387;28832;4;239;;;805;7;2316;0;0;;;11;2555;;;805;1;0;1;1;0;1;1;1;1;80;;5;180;21594;1080;30619;110;1315;45636;;
MCO;2019;170000079;170780142;11;4015;102;0;2398;;;0;0;0;;;0;0;0;11;4015;102;0;2398;1;26;;;0;;0;;0;;;1;26;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;170000087;170024194;418;147576;21148;1018;127108;104;38279;6620;273;33193;42;15127;3189;94;11883;564;200982;30957;1385;172184;29;3535;;;32236;30;6840;2;874;;;61;11249;;;32236;1;1;1;1;1;1;1;1;1;95;91;70;70;96796;7373;85942;1804;3288;29683;;
MCO;2019;170000095;170780167;54;20517;2515;280;18821;6;2058;687;55;1343;0;0;0;0;0;60;22575;3202;335;20164;6;767;0;0;59;6;727;0;0;0;0;12;1494;0;0;59;1;0;1;1;0;0;1;0;1;30;;;90;12469;423;17074;0;57;692;;
MCO;2019;170000103;170780175;232;81168;12190;1222;71769;78;25303;4463;383;18972;24;8760;1860;75;7227;334;115231;18513;1680;97968;9;420;2;330;45797;10;4193;0;0;;;19;4613;2;330;45797;1;1;0;1;1;1;1;1;1;;;;;65512;14807;57808;578;11445;3664;;
MCO;2019;170000111;170024194;3;1095;24;0;389;;;0;0;0;;;0;0;0;3;1095;24;0;389;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;170000129;170780191;113;41215;5285;217;38840;;;0;0;0;;;0;0;0;113;41215;5285;217;38840;10;429;;;3575;;0;;0;;;10;429;;;3575;1;0;0;0;0;0;1;0;0;;;;;8646;;12711;;;4476;;
MCO;2019;170000152;170780225;172;64054;10885;675;56553;35;13137;2706;103;10643;18;6570;1730;112;6148;225;83761;15321;890;73344;14;1198;;;2550;12;5318;0;0;;;26;6516;;;2550;1;1;1;1;1;1;1;1;1;123;0;40;7;52466;2533;50807;332;4458;3297;;
MCO;2019;170000178;170780266;10;3650;253;0;3643;;;0;0;0;;;0;0;0;10;3650;253;0;3643;1;47;;;0;;0;;0;;;1;47;;;0;0;0;0;0;0;0;1;0;0;;;;;394;;83;;;;;
MCO;2019;170780563;170000251;8;2314;616;334;2314;79;18307;4510;169;15950;;0;0;0;0;87;20621;5126;503;18264;;0;;;177;40;7680;;0;;;40;7680;;;177;;;;;;;;;;;;;;;;;;;;;
MCO;2019;170780613;170024053;4;1460;565;0;1446;56;20440;3229;16;8349;;;0;0;0;60;21900;3794;16;9795;;0;;;121;17;4300;2;545;;;19;4845;;;121;;;;;;;;;;;;;;;;;;;;;
MCO;2019;170780621;170000285;2;120;23;23;0;35;12775;1884;165;7166;;;0;0;0;37;12895;1907;188;7166;;0;;;0;21;3528;1;0;;;22;3528;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2019;170780647;170000301;;;0;0;0;20;7300;1481;233;2982;;;0;0;0;20;7300;1481;233;2982;;0;;;0;29;6230;;0;;;29;6230;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2019;170780662;170024053;;;0;0;0;32;11680;2778;82;5738;;;0;0;0;32;11680;2778;82;5738;10;6937;;;17;30;11831;;0;;;40;18768;;;17;;;;;;;;;;;;;;;;;;;;;
MCO;2019;180000010;180000028;324;115266;14550;1016;97305;96;35040;3876;210;25197;36;13140;2062;176;7820;456;163446;20488;1402;130322;23;349;;;19528;18;5239;5;823;;;46;6411;;;19528;1;1;1;1;1;1;1;1;1;67;88;24;46;70865;3052;74324;114;2339;29931;;
MCO;2019;180000200;180000051;74;26152;4912;741;28943;17;6205;1178;68;5394;15;5475;696;61;2460;106;37832;6786;870;36797;2;33;0;;1613;15;2054;3;180;;;20;2267;0;;1613;1;1;1;1;1;1;1;1;0;90;45;30;;25951;2734;16337;;2481;3575;;
MCO;2019;180000283;180000069;85;28832;3925;777;27636;;;0;0;0;15;5475;607;114;2162;100;34307;4532;891;29798;0;71;;;15;;0;0;94;;;0;165;;;15;1;0;1;0;0;1;0;0;1;60;;12;35;9063;125;11266;;1420;435;;
MCO;2019;180000358;180000739;4;1460;57;1;516;15;5475;1151;0;4153;0;0;0;0;0;19;6935;1208;1;4669;0;0;;;915;10;3549;0;0;;;10;3549;;;915;;;;;;;;;;;;;;304;;2252;;;;;
MCO;2019;180004145;180000887;25;9125;815;1;9184;87;31755;4337;106;13606;11;4015;591;31;2359;123;44895;5743;138;25149;10;37;;;6546;18;11321;1;6;;;29;11364;;;6546;;;;;;;;;;;;;;;;;;;;;
MCO;2019;190000018;190000042;321;110125;15288;589;96722;63;22851;3386;115;18259;34;12409;2132;150;7973;418;145385;20806;854;122954;29;1947;;;41895;12;4089;0;319;;;41;6355;;;41895;1;1;1;1;1;1;1;1;1;90;120;40;260;70203;6688;72340;663;6176;15497;;
MCO;2019;190000026;190000059;165;59199;7549;617;51974;34;12182;1957;141;9025;21;6981;1293;156;4074;220;78362;10799;914;65073;14;108;;;563;6;1987;;0;;;20;2095;;;563;1;1;1;1;1;1;1;1;1;150;180;45;360;29273;890;38727;954;2037;4722;;
MCO;2019;190000034;190000067;19;6935;281;3;4901;;;0;0;0;;;0;0;0;19;6935;281;3;4901;1;1;;;0;;0;;0;;;1;1;;;0;0;0;0;0;0;0;0;0;0;;;;;192;;;;;;;
MCO;2019;190000091;190000075;72;26280;3135;210;21218;19;6935;1079;24;5274;12;4380;377;42;1145;103;37595;4591;276;27637;3;895;;;911;4;1235;1;72;;;8;2202;;;911;1;0;1;1;1;1;0;1;1;15;30;30;90;15058;1128;27102;0;477;1107;;
MCO;2019;190000224;190000901;27;9855;1604;0;9375;92;33580;4530;303;16644;0;;0;0;0;119;43435;6134;303;26019;;473;;;354;51;8539;;0;;;51;9012;;;354;;;;;;;;;;;;;;;;6609;;;;;
MCO;2019;190000257;190001131;4;1460;299;4;1421;33;12045;984;43;2423;0;0;1252;840;887;37;13505;2535;887;4731;;0;;;103;22;3399;;0;;;22;3399;;;103;;;;;;;;;;;;;;;;;;;;;
MCO;2019;210011847;210011839;39;14235;1494;7;11666;90;32850;2548;18;5250;0;0;0;0;0;129;47085;4042;25;16916;0;0;0;0;4565;22;12232;0;0;0;0;22;12232;0;0;4565;;;;;;;;;;;;;;;;;;;;;
MCO;2019;210012670;210011367;70;25462;12615;5761;18579;90;32595;5995;0;19000;23;8395;1651;14;6330;183;66452;20261;5775;43909;4;410;;;270;71;18396;;0;;;75;18806;;;270;;;;;;;;;;;;;;;;;;;;;
MCO;2019;210780789;210003208;64;23360;3050;34;16955;60;21900;3156;57;9937;;;0;0;0;124;45260;6206;91;26892;3;526;;;19383;17;5810;;0;;;20;6336;;;19383;;;;;;;;;;;;;;;;;;;;;
MCO;2019;210986089;210780581;60;21900;2066;27;22187;;;0;0;0;;;0;0;0;60;21900;2066;27;22187;10;1315;;;98;;0;;0;;;10;1315;;;98;0;0;0;0;0;0;0;0;0;;;;;930;;25;;;;;
MCO;2019;210987558;210780581;632;230680;35220;3650;201909;224;81760;14150;817;68302;95;34675;5490;128;23410;951;347115;54860;4595;293621;169;16313;;;40407;49;12724;15;2894;;;233;31931;;;40407;1;1;1;1;1;1;1;1;1;120;176;35;132;210489;11799;264307;10003;11060;4962;;
MCO;2019;210987574;210012175;8;2920;132;0;2036;;;0;0;0;;;0;0;0;8;2920;132;0;2036;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;210987582;210780631;8;2920;125;1;2182;;;0;0;0;;;0;0;0;8;2920;125;1;2182;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;210987590;210012175;8;2920;102;0;2309;;;0;0;0;;;0;0;0;8;2920;102;0;2309;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;210987616;210012175;12;4380;127;1;3068;;;0;0;0;;;0;0;0;12;4380;127;1;3068;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;210987632;210780607;18;6570;452;1;6138;;;0;0;0;;;0;0;0;18;6570;452;1;6138;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2019;210987657;210012175;108;39420;6187;1262;32967;40;14600;1921;176;9479;24;8760;1014;71;3472;172;62780;9122;1509;45918;14;962;;;1138;10;1828;0;0;;;24;2790;;;1138;1;0;0;1;1;1;1;1;1;;15;61;98;32636;801;34646;;993;2058;;
MCO;2019;210987665;210012142;52;18980;2491;843;13099;;;0;0;0;;;0;0;0;52;18980;2491;843;13099;2;3;;;41;;0;1;23;;;3;26;;;41;1;0;0;0;0;1;0;0;0;;;0;;1557;2951;20205;;1329;176;;
MCO;2019;210987673;210012142;35;12775;1158;10;10400;;;0;0;0;;;0;0;0;35;12775;1158;10;10400;2;251;;;8;;0;;0;;;2;251;;;8;1;0;1;0;0;0;1;0;1;0;;;10;2282;0;9636;84;0;218;;
MCO;2019;210987681;210012142;25;9125;646;11;7206;;;0;0;0;;;0;0;0;25;9125;646;11;7206;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;1;0;0;0;;;5;;5618;;5279;;;;;
MCO;2019;210987699;210780706;76;27182;4036;736;22289;50;18250;2214;0;11938;14;5110;542;0;2152;140;50542;6792;736;36379;11;1903;1;24;724;8;229;1;59;0;0;20;2191;1;24;724;1;1;1;1;1;1;1;1;1;45;90;7;180;22946;2294;39784;185;3015;12135;;
MCO;2019;210987731;210780417;101;32615;8123;823;26405;30;9707;1704;32;6809;;;0;0;0;131;42322;9827;855;33214;36;397;;;47123;8;1779;;0;;;44;2176;;;47123;0;0;0;0;0;0;0;0;0;;;;;39573;;62019;96;;2034;;
MCO;2019;220000012;220000020;459;163936;26857;3629;151532;113;40105;8222;754;31592;38;12410;2432;55;9615;610;216451;37511;4438;192739;50;3694;;;28639;20;5358;6;1196;;;76;10248;;;28639;1;1;1;1;1;1;1;1;1;;;;;93932;8944;112488;344;3091;26310;;
MCO;2019;220000095;220000046;192;70080;11727;2169;62289;3;1095;240;157;178;13;4745;843;188;2621;208;75920;12810;2514;65088;11;1528;0;0;2725;0;0;0;0;0;0;11;1528;0;0;2725;1;0;1;1;1;1;1;1;0;60;80;14;0;18772;1923;25496;;2711;10152;;
MCO;2019;220000111;220000376;4;1460;86;0;610;33;12045;1632;8;5915;;;0;0;0;37;13505;1718;8;6525;0;0;;;1641;33;5400;;0;;;33;5400;;;1641;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;
MCO;2019;220000236;220017974;10;3650;193;2;2027;;;0;0;0;;;0;0;0;10;3650;193;2;2027;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;220000343;220000079;114;41469;6859;766;37959;37;11003;1708;139;7019;10;3650;602;33;2244;161;56122;9169;938;47222;8;202;;;1094;20;4877;;0;;;28;5079;;;1094;1;0;1;1;1;1;1;1;1;18;60;2;126;16969;2159;35964;0;3505;7865;;
MCO;2019;220000368;220000103;137;49971;8099;1087;46242;28;9824;1415;111;7636;13;4745;914;172;2837;178;64540;10428;1370;56715;5;519;1;54;3765;7;1404;;0;;;12;1923;1;54;3765;1;1;1;1;1;1;1;1;1;60;90;25;70;29250;4031;48492;;5978;5805;;
MCO;2019;220000541;220000152;85;31025;4453;739;26988;;;0;0;0;;;0;0;0;85;31025;4453;739;26988;8;602;;;351;;0;;0;;;8;602;;;351;1;0;1;1;1;1;1;0;0;0;0;0;;8289;989;22443;;1538;6006;;
MCO;2019;220000566;220021968;26;9490;715;3;8427;;;0;0;0;;;0;0;0;26;9490;715;3;8427;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2019;220000574;220021968;12;4380;254;3;4169;;;0;0;0;;;0;0;0;12;4380;254;3;4169;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2019;220001259;220005045;30;10950;788;7;9742;;;0;0;0;;;0;0;0;30;10950;788;7;9742;5;741;;;9;;0;;0;;;5;741;;;9;1;0;0;1;1;0;0;0;0;;7;;;1003;;3392;;;210;;
MCO;2019;220005599;220017842;6;2160;163;3;1199;74;27010;2143;0;7030;0;0;0;0;0;80;29170;2306;3;8229;0;0;0;0;59;27;7621;0;0;0;0;27;7621;0;0;59;0;0;0;0;0;0;0;0;0;;;;;0;0;0;;0;0;;
MCO;2019;220013106;350000626;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;944;;0;;0;;;;0;;;944;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
