BOR;AN;nofinesset;nofinessej;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM;PCON;PACT
MCO;2020;020001061;020004404;144;51818;6990;1154;39904;15;4918;743;10;2654;15;5490;825;5;3161;174;62226;8558;1169;45719;4;96;2;19;595;10;3102;;250;;;14;3448;2;19;595;1;1;1;1;1;1;1;0;1;106;62;3;30;30397;2453;51574;390;2438;13042;;
MCO;2020;020001087;020004495;60;21900;2761;1088;14239;0;0;0;0;0;0;0;0;0;0;60;21900;2761;1088;14239;4;386;0;0;0;0;0;0;0;0;0;4;386;0;0;0;1;1;1;0;0;1;1;0;0;;;10;;;;;;;;;
MCO;2020;020010047;020001632;35;12810;1822;270;10069;68;24888;3272;19;8650;17;6222;525;4;2079;120;43920;5619;293;20798;4;85;;;3939;40;8571;;0;;;44;8656;;;3939;0;0;0;1;0;0;1;0;1;;;;;;;;;;;;
MCO;2020;030000061;030780092;206;78314;9018;1724;57998;65;18037;3009;274;16239;25;9150;1275;4;5004;296;105501;13302;2002;79241;14;766;0;0;20437;9;1529;2;305;;;25;2600;0;0;20437;1;0;1;1;0;1;1;0;1;104;0;52;60;35797;5287;36641;1186;3219;17391;;
MCO;2020;030000079;030780100;261;89359;13266;2627;76539;33;12078;1271;35;6692;33;12078;1612;79;5490;327;113515;16149;2741;88721;2;960;;;11800;4;562;3;572;;;9;2094;;;11800;1;1;1;1;1;1;1;1;0;120;120;100;;39049;2019;43415;0;2523;10233;;
MCO;2020;030000087;030780118;224;81739;13463;2575;71096;55;21937;2743;132;15227;21;7686;1654;265;4791;300;111362;17860;2972;91114;13;1611;;;14840;14;4963;0;0;;;27;6574;;;14840;1;1;1;1;1;1;1;1;1;80;130;10;60;47899;3680;57023;0;3110;7073;;
MCO;2020;030000095;030780126;8;2928;81;1;1951;;;0;0;0;;;0;0;0;8;2928;81;1;1951;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;030007942;030002158;10;3660;136;0;3483;;;0;0;0;;;0;0;0;10;3660;136;0;3483;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;502;;;;;;;
MCO;2020;030780548;030000194;10;3650;985;264;4088;57;20805;2183;152;5794;;;0;0;0;67;24455;3168;416;9882;5;17;;;1415;26;5497;;0;;;31;5514;;;1415;;;;;;;;;;;;;;;;;;;;;
MCO;2020;030781116;030000426;75;24037;2245;16;23396;50;16196;2726;35;10588;;;0;0;0;125;40233;4971;51;33984;3;84;0;0;7120;25;6136;;0;;;28;6220;0;0;7120;;;;;;;;;;;;;;;;;;;;;
MCO;2020;030785430;030785422;30;10950;1980;6;8602;62;18445;1717;37;5083;0;;0;0;0;92;29395;3697;43;13685;3;1;;;1064;27;4782;;0;;;30;4783;;;1064;0;0;0;0;0;0;0;0;0;;;;;0;0;0;;0;;;
MCO;2020;040000036;040780132;5;1825;91;7;996;;;0;0;0;;;0;0;0;5;1825;91;7;996;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;
MCO;2020;040000044;040780140;4;1460;74;10;508;;;0;0;0;;;0;0;0;4;1460;74;10;508;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;040000093;040780215;130;46030;6840;874;38728;41;13671;2845;928;8498;19;6935;990;205;2855;190;66636;10675;2007;50081;11;149;;;5258;10;872;0;0;;;21;1021;;;5258;1;0;1;1;0;1;0;0;1;60;;20;45;19125;1243;13938;;4455;1913;;
MCO;2020;040000119;040780231;4;1464;113;0;699;0;0;0;0;0;0;0;0;0;0;4;1464;113;0;699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;
MCO;2020;040000127;040780249;4;1460;57;0;609;;;0;0;0;;;0;0;0;4;1460;57;0;609;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
MCO;2020;040000135;050002948;15;9575;1873;542;7611;;;0;0;0;;;0;0;0;15;9575;1873;542;7611;2;0;1;0;1;;0;;0;;;2;0;1;0;1;;;;;;;;;;;;;;4591;523;10392;;229;333;;
MCO;2020;040000911;040788879;103;37595;3989;622;33861;30;10950;1168;34;5064;17;6205;574;107;1723;150;54750;5731;763;40648;25;758;;;1734;16;1796;1;255;;;42;2809;;;1734;0;0;0;1;0;0;1;1;0;;;;;15291;612;12624;25;1401;2881;;
MCO;2020;040780470;040000192;;;0;0;0;47;17155;496;8;1761;;;0;0;0;47;17155;496;8;1761;;0;;;0;20;3871;;0;;;20;3871;;;0;;;;;;;;;;;;;;;;;;;;;
MCO;2020;050000090;050006931;29;10585;197;0;666;29;10585;1432;0;2701;;;0;0;0;58;21170;1629;0;3367;29;26;;;614;25;9150;;0;;;54;9176;;;614;;;;;;;;;;;;;;;;;;;;;
MCO;2020;050000223;050000108;4;1464;50;1;1303;;;0;0;0;;;0;0;0;4;1464;50;1;1303;;0;;;0;;0;;0;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;
