BOR;AN;nofinesset;nofinessej;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;SEJ3M;JOUHP;EMSSR
SSR;2020;010780476;750005068;SSR_E55;1;46;;1;;1977;;45;
SSR;2020;010780476;750005068;SSR_E58;1;11;;1;;1936;;40;
SSR;2020;010780476;750005068;SSR_TOT;;115;25200;3;628;15633;15;311;0
SSR;2020;010780492;360000707;SSR_A;;0;0;20;74;666;1;2104;
SSR;2020;010780492;360000707;SSR_A51;0;;;;;15;;1;
SSR;2020;010780492;360000707;SSR_A52;0;;;;;516;;119;
SSR;2020;010780492;360000707;SSR_A57;1;0;;20;;135;;1984;
SSR;2020;010780492;360000707;SSR_E;;67;24455;20;1262;9515;12;5868;
SSR;2020;010780492;360000707;SSR_E50;1;0;;0;;0;;0;
SSR;2020;010780492;360000707;SSR_E51;1;6;;2;;1541;;132;
SSR;2020;010780492;360000707;SSR_E52;1;29;;6;;3550;;1019;
SSR;2020;010780492;360000707;SSR_E57;1;32;;12;;4424;;4717;
SSR;2020;010780492;360000707;SSR_TOT;;67;24455;40;1336;10181;13;7972;0
SSR;2020;010780708;310021381;SSR_A;;65;20451;10;721;19309;16;1681;
SSR;2020;010780708;310021381;SSR_A50;1;65;;10;;19309;;1681;
SSR;2020;010780708;310021381;SSR_TOT;;65;20451;10;721;19309;16;1681;0
SSR;2020;010780799;750721334;SSR_A;;30;7752;;174;7752;17;0;
SSR;2020;010780799;750721334;SSR_A50;1;20;;;;7660;;0;
SSR;2020;010780799;750721334;SSR_A51;1;10;;;;92;;0;
SSR;2020;010780799;750721334;SSR_TOT;;30;7752;;174;7752;17;0;0
SSR;2020;020000089;020000022;SSR_A;;42;15330;;449;12727;12;0;
SSR;2020;020000089;020000022;SSR_A50;1;22;;;;6848;;0;
SSR;2020;020000089;020000022;SSR_A59;1;20;;;;5879;;0;
SSR;2020;020000089;020000022;SSR_TOT;;42;15330;;449;12727;12;0;0
SSR;2020;020000097;020000048;SSR_A;;31;11346;;254;8208;6;0;
SSR;2020;020000097;020000048;SSR_A59;1;31;;;;8208;;0;
SSR;2020;020000097;020000048;SSR_TOT;;31;11346;;254;8208;6;0;
SSR;2020;020000105;020000055;SSR_A;;15;5475;;201;3492;1;0;
SSR;2020;020000105;020000055;SSR_A50;1;15;;;;3492;;0;
SSR;2020;020000105;020000055;SSR_TOT;;15;5475;;201;3492;1;0;
SSR;2020;020000162;020000063;SSR_A;;49;18018;;565;16863;27;0;
SSR;2020;020000162;020000063;SSR_A51;1;8;;;;6041;;0;
SSR;2020;020000162;020000063;SSR_A52;1;11;;;;1859;;0;
SSR;2020;020000162;020000063;SSR_A59;1;30;;;;8963;;0;
SSR;2020;020000162;020000063;SSR_TOT;;49;18018;;565;16863;27;0;
SSR;2020;020000246;020000071;SSR_A;;33;12045;;264;6418;11;0;
SSR;2020;020000246;020000071;SSR_A50;1;33;;;;6418;;0;
SSR;2020;020000246;020000071;SSR_TOT;;33;12045;;264;6418;11;0;0
SSR;2020;020000303;750814030;SSR_A;;307;86756;16;2322;75218;196;5975;
SSR;2020;020000303;750814030;SSR_A50;1;20;;;;4076;;0;
SSR;2020;020000303;750814030;SSR_A51;1;113;;6;;28065;;2705;
SSR;2020;020000303;750814030;SSR_A52;1;30;;5;;8991;;1640;
SSR;2020;020000303;750814030;SSR_A53;1;9;;;;2523;;0;
SSR;2020;020000303;750814030;SSR_A54;1;27;;;;4636;;0;
SSR;2020;020000303;750814030;SSR_A55;1;47;;1;;8177;;432;
SSR;2020;020000303;750814030;SSR_A59;1;61;;4;;18750;;1198;
SSR;2020;020000303;750814030;SSR_TOT;;307;86756;16;2322;75218;196;5975;1
SSR;2020;020000394;020000253;SSR_A;;;4048;16;0;0;0;1399;
SSR;2020;020000394;020000253;SSR_A53;1;;;16;;0;;1399;
SSR;2020;020000394;020000253;SSR_TOT;;;4048;16;0;0;0;1399;
SSR;2020;020000519;020000261;SSR_A;;60;18645;;692;16427;0;0;
SSR;2020;020000519;020000261;SSR_A50;1;60;;;;16427;;0;
SSR;2020;020000519;020000261;SSR_A59;1;;;;;0;;0;
SSR;2020;020000519;020000261;SSR_TOT;;60;18645;;692;16427;0;0;
SSR;2020;020000535;020000287;SSR_A;;38;9490;;219;6954;8;0;
SSR;2020;020000535;020000287;SSR_A50;1;38;;;;6954;;0;
SSR;2020;020000535;020000287;SSR_TOT;;38;9490;;219;6954;8;0;0
SSR;2020;020000915;020003620;SSR_A;;184;61516;16;931;37133;126;4781;
SSR;2020;020000915;020003620;SSR_A50;1;184;;16;;37133;;4781;
SSR;2020;020000915;020003620;SSR_A51;1;;;;;0;;0;
SSR;2020;020000915;020003620;SSR_A52;1;;;;;0;;0;
SSR;2020;020000915;020003620;SSR_A55;1;;;;;0;;0;
SSR;2020;020000915;020003620;SSR_TOT;;184;61516;16;931;37133;126;4781;1
SSR;2020;020001087;020004495;SSR_A;;30;10950;0;314;8420;8;0;
SSR;2020;020001087;020004495;SSR_A50;1;30;;0;;8420;;0;
SSR;2020;020001087;020004495;SSR_TOT;;30;10950;0;314;8420;8;0;0
SSR;2020;020003877;020000253;SSR_A;;40;12706;;401;10475;4;0;
SSR;2020;020003877;020000253;SSR_A59;1;40;;;;10475;;0;
SSR;2020;020003877;020000253;SSR_TOT;;40;12706;;401;10475;4;0;0
SSR;2020;020010310;750719361;SSR_A;;14;5124;;98;5045;12;0;
SSR;2020;020010310;750719361;SSR_A58;1;14;;;;5045;;0;
SSR;2020;020010310;750719361;SSR_TOT;;14;5124;;98;5045;12;0;0
SSR;2020;020016341;750814030;SSR_A;;;;8;0;0;0;1950;
SSR;2020;020016341;750814030;SSR_A51;1;;;6;;0;;1409;
SSR;2020;020016341;750814030;SSR_A52;1;;;1;;0;;513;
SSR;2020;020016341;750814030;SSR_A54;1;;;1;;0;;28;
SSR;2020;020016341;750814030;SSR_TOT;;;;8;0;0;0;1950;0
SSR;2020;030000012;030180020;SSR_A;;59;21594;10;390;15820;42;2835;
SSR;2020;030000012;030180020;SSR_A51;1;35;;6;;9391;;1526;
SSR;2020;030000012;030180020;SSR_A52;1;24;;4;;6429;;1309;
SSR;2020;030000012;030180020;SSR_TOT;;59;21594;10;390;15820;42;2835;0
SSR;2020;030000061;030780092;SSR_A;;40;14640;7;360;13032;32;451;
SSR;2020;030000061;030780092;SSR_A50;1;18;;1;;5918;;138;
SSR;2020;030000061;030780092;SSR_A59;1;22;;6;;7114;;313;
SSR;2020;030000061;030780092;SSR_TOT;;40;14640;7;360;13032;32;451;0
SSR;2020;030000079;030780100;SSR_A;;30;10950;;404;9293;0;0;
SSR;2020;030000079;030780100;SSR_A50;1;;;;;0;;0;
SSR;2020;030000079;030780100;SSR_A59;1;30;;;;9293;;0;
SSR;2020;030000079;030780100;SSR_TOT;;30;10950;;404;9293;0;0;0
SSR;2020;030000087;030780118;SSR_A;;70;25620;5;694;24512;56;450;
SSR;2020;030000087;030780118;SSR_A50;1;24;;5;;8464;;450;
SSR;2020;030000087;030780118;SSR_A59;1;46;;;;16048;;0;
SSR;2020;030000087;030780118;SSR_TOT;;70;25620;5;694;24512;56;450;0
SSR;2020;030000095;030780126;SSR_A;;40;14640;2;301;13838;36;47;
SSR;2020;030000095;030780126;SSR_A50;1;40;;2;;13838;;47;
SSR;2020;030000095;030780126;SSR_TOT;;40;14640;2;301;13838;36;47;0
SSR;2020;030002208;030002158;SSR_A;;89;32574;;449;17341;48;0;
SSR;2020;030002208;030002158;SSR_A50;1;61;;;;15946;;0;
SSR;2020;030002208;030002158;SSR_A58;1;28;;;;1395;;0;
SSR;2020;030002208;030002158;SSR_TOT;;89;32574;;449;17341;48;0;0
SSR;2020;030007942;030002158;SSR_A;;36;13176;5;218;5960;16;521;
SSR;2020;030007942;030002158;SSR_A50;1;36;;5;;5960;;521;
SSR;2020;030007942;030002158;SSR_TOT;;36;13176;5;218;5960;16;521;0
