BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2020;030000079;030780100;N9999;52;5;45.23;;
URGENCES_P;2020;030000079;030780100;NINF;29;3;23.36;3;1
URGENCES_P;2020;030000087;030780118;M9999;10;12;13.5;3;1
URGENCES_P;2020;030000087;030780118;N1220;5;0;5;;
URGENCES_P;2020;030000087;030780118;N2120;2;0;2;3;1
URGENCES_P;2020;030000087;030780118;N2500;24;0;21.09;;
URGENCES_P;2020;030000087;030780118;N3120;0;1;0.7;;
URGENCES_P;2020;030000087;030780118;N9999;90;13;96.92;;
URGENCES_P;2020;030000087;030780118;NINF;25;5;27.88;;
URGENCES_P;2020;030781116;030000426;M9999;4;1;4.7;;
URGENCES_P;2020;030781116;030000426;N1220;1;;1;;
URGENCES_P;2020;030781116;030000426;N2120;1;;0.15;;
URGENCES_P;2020;030781116;030000426;N2500;2;;2;;
URGENCES_P;2020;030781116;030000426;N2620;1;;1;;
URGENCES_P;2020;030781116;030000426;N9999;11;;10.15;;
URGENCES_P;2020;030781116;030000426;NINF;6;;6;;
URGENCES_P;2020;040000093;040780215;M9999;7;8;11.52;3;1
URGENCES_P;2020;040000093;040780215;N1220;1;1;1.5;3;1
URGENCES_P;2020;040000093;040780215;N2120;1;0;1;3;1
URGENCES_P;2020;040000093;040780215;N2500;12;3;11.88;;
URGENCES_P;2020;040000093;040780215;N2620;0;0;0;3;
URGENCES_P;2020;040000093;040780215;N9999;47;11;49.23;;
URGENCES_P;2020;040000093;040780215;NINF;26;6;27.82;3;1
URGENCES_P;2020;040000135;050002948;M9999;4;15;6.03;;
URGENCES_P;2020;040000135;050002948;N1220;0;0;0.23;;
URGENCES_P;2020;040000135;050002948;N2120;0;2;0.78;;
URGENCES_P;2020;040000135;050002948;N2500;5;3;5.66;;
URGENCES_P;2020;040000135;050002948;N9999;8;18;18.86;;
URGENCES_P;2020;040000135;050002948;NINF;3;11;10.39;;
URGENCES_P;2020;040000911;040788879;M9999;;13;5.88;2;1
URGENCES_P;2020;040000911;040788879;N1220;;2;1.32;2;1
URGENCES_P;2020;040000911;040788879;N2120;;1;0.5;2;1
URGENCES_P;2020;040000911;040788879;N2500;8;1;8.4;;
URGENCES_P;2020;040000911;040788879;N2620;;4;3.83;2;1
URGENCES_P;2020;040000911;040788879;N9999;13;31;31.55;;
URGENCES_P;2020;040000911;040788879;NINF;2;19;16.55;2;1
URGENCES_P;2020;050000231;050000116;M9999;11;20;18.37;;
URGENCES_P;2020;050000231;050000116;N1220;0;3;2.57;;
URGENCES_P;2020;050000231;050000116;N2120;0;2;0.6;;
URGENCES_P;2020;050000231;050000116;N2500;8;0;6.55;;
URGENCES_P;2020;050000231;050000116;N9999;11;23;23.51;;
URGENCES_P;2020;050000231;050000116;NINF;0;17;9.63;;
URGENCES_P;2020;050000256;050000124;M9999;3;2;3.95;;0
URGENCES_P;2020;050000256;050000124;N2120;0;3;0.18;;0
URGENCES_P;2020;050000256;050000124;N2500;2;2;3.27;;
URGENCES_P;2020;050000256;050000124;N9999;6;11;12.11;;
URGENCES_P;2020;050000256;050000124;NINF;4;6;8.61;;0
URGENCES_P;2020;050000348;050002948;M9999;12;24;17.95;;
URGENCES_P;2020;050000348;050002948;N1220;0;1;0.11;;
URGENCES_P;2020;050000348;050002948;N2120;0;2;0.95;;
URGENCES_P;2020;050000348;050002948;N2500;9;8;15.26;;
URGENCES_P;2020;050000348;050002948;N9999;20;36;41.87;;
URGENCES_P;2020;050000348;050002948;NINF;9;23;22.52;;
URGENCES_P;2020;060000478;060780897;M9999;19;4;8.44;;
URGENCES_P;2020;060000478;060780897;N1220;2;0;1.88;;
URGENCES_P;2020;060000478;060780897;N2120;5;0;3.47;;
URGENCES_P;2020;060000478;060780897;N2500;16;2;17.54;;
URGENCES_P;2020;060000478;060780897;N3120;0;1;0.54;;
URGENCES_P;2020;060000478;060780897;N9999;62;8;61.51;;
URGENCES_P;2020;060000478;060780897;NINF;34;4;34.38;;
URGENCES_P;2020;060000510;060780954;M3020;1;3;1.3;;
URGENCES_P;2020;060000510;060780954;M9999;14;8;15.92;1;1
URGENCES_P;2020;060000510;060780954;N1220;3;;3;1;1
URGENCES_P;2020;060000510;060780954;N2120;1;;1.45;1;1
URGENCES_P;2020;060000510;060780954;N2500;25;2;21.54;;
URGENCES_P;2020;060000510;060780954;N3120;1;;0.79;;
URGENCES_P;2020;060000510;060780954;N9999;72;4;70.8;;
URGENCES_P;2020;060000510;060780954;NINF;30;2;30.99;1;1
URGENCES_P;2020;060000544;060780988;M1140;0;4;1.05;;0
URGENCES_P;2020;060000544;060780988;M9999;6;10;11.78;3;1
URGENCES_P;2020;060000544;060780988;N1220;10;1;10.8;3;1
URGENCES_P;2020;060000544;060780988;N2120;;1;0.8;3;1
URGENCES_P;2020;060000544;060780988;N2500;24;12;29.83;;
URGENCES_P;2020;060000544;060780988;N2620;7;0;5.92;;0
URGENCES_P;2020;060000544;060780988;N3120;;1;0.1;;
URGENCES_P;2020;060000544;060780988;N9999;70;53;88.26;;
URGENCES_P;2020;060000544;060780988;NINF;28;28;34.17;3;1
URGENCES_P;2020;060002102;060791761;M9999;9;17;12.43;1;1
URGENCES_P;2020;060002102;060791761;N1220;5;;4.24;;0
URGENCES_P;2020;060002102;060791761;N2500;9;;7.9;;
URGENCES_P;2020;060002102;060791761;N2620;6;;6;1;1
URGENCES_P;2020;060002102;060791761;N3120;1;;0.5;;
URGENCES_P;2020;060002102;060791761;N9999;33;;30.64;;
URGENCES_P;2020;060002102;060791761;NINF;12;;12;1;1
URGENCES_P;2020;060780491;060790797;M9999;1;5;4.91;;
URGENCES_P;2020;060780491;060790797;N1220;5;;3.72;;
URGENCES_P;2020;060780491;060790797;N2120;;1;0.75;;
URGENCES_P;2020;060780491;060790797;N2500;5;;4.66;;
URGENCES_P;2020;060780491;060790797;N3120;;1;0.1;;
URGENCES_P;2020;060780491;060790797;N9999;18;2;17.82;;
URGENCES_P;2020;060780491;060790797;NINF;8;;8.08;;
URGENCES_P;2020;060780517;060000239;M9999;;11;0;;0
URGENCES_P;2020;060780517;060000239;N1220;5;;4.71;;
URGENCES_P;2020;060780517;060000239;N2120;2;0;2.18;;
URGENCES_P;2020;060780517;060000239;N2500;0;1;0.77;;
URGENCES_P;2020;060780517;060000239;N2620;5;0;6.21;;
URGENCES_P;2020;060780517;060000239;N9999;24;1;25.22;;
URGENCES_P;2020;060780517;060000239;NINF;12;;11.35;;
URGENCES_P;2020;060780715;060000361;M9999;;12;8;;0
URGENCES_P;2020;060780715;060000361;N1220;5;;5;;0
URGENCES_P;2020;060780715;060000361;N2500;5;1;4.8;;
URGENCES_P;2020;060780715;060000361;N2620;2;;2;;0
URGENCES_P;2020;060780715;060000361;N3120;;1;0.1;;
URGENCES_P;2020;060780715;060000361;N9999;19;3;19.8;;
URGENCES_P;2020;060780715;060000361;NINF;7;1;7.9;;0
URGENCES_P;2020;060780723;060004959;M9999;4;;4;;
URGENCES_P;2020;060780723;060004959;N1220;4;2;4.7;;
URGENCES_P;2020;060780723;060004959;N2500;1;;1.2;;
URGENCES_P;2020;060780723;060004959;N2620;1;;1.1;;
URGENCES_P;2020;060780723;060004959;N9999;11;4;13.8;;
URGENCES_P;2020;060780723;060004959;NINF;5;2;6.8;;
URGENCES_P;2020;060780947;060800174;M1140;5;6;8.98;;0
URGENCES_P;2020;060780947;060800174;M3020;;1;0.1;;
URGENCES_P;2020;060780947;060800174;M9999;9;10;13.63;;0
URGENCES_P;2020;060780947;060800174;N1220;1;3;2.47;;0
URGENCES_P;2020;060780947;060800174;N2120;1;2;2.34;;0
URGENCES_P;2020;060780947;060800174;N2500;15;10;23.18;;
URGENCES_P;2020;060780947;060800174;N2620;;1;0.98;;0
URGENCES_P;2020;060780947;060800174;N9999;47;47;69.91;;
URGENCES_P;2020;060780947;060800174;NINF;26;16;38.43;;0
URGENCES_P;2020;060785003;060785011;M3020;6;0;5.16;;
URGENCES_P;2020;060785003;060785011;M9999;13;44;31.33;3;1
URGENCES_P;2020;060785003;060785011;N1220;8;;5.57;;
URGENCES_P;2020;060785003;060785011;N2120;4;;2.41;;
URGENCES_P;2020;060785003;060785011;N2500;62;3;61.84;;
URGENCES_P;2020;060785003;060785011;N9999;221;15;198.18;;
URGENCES_P;2020;060785003;060785011;NINF;86;9;78.43;;
URGENCES_P;2020;070000013;070002878;M9999;3;1;3.49;;
URGENCES_P;2020;070000013;070002878;N1220;2;;0.69;;
URGENCES_P;2020;070000013;070002878;N2120;1;;1;;
URGENCES_P;2020;070000013;070002878;N2500;4;2;4.92;;
URGENCES_P;2020;070000013;070002878;N2620;3;;3;;
URGENCES_P;2020;070000013;070002878;N9999;23;2;21.85;;
URGENCES_P;2020;070000013;070002878;NINF;13;;12.24;;
URGENCES_P;2020;070000179;070780358;M9999;11;3;8.03;3;1
URGENCES_P;2020;070000179;070780358;N1220;0;2;1.6;3;1
URGENCES_P;2020;070000179;070780358;N2120;1;0;0.9;3;1
URGENCES_P;2020;070000179;070780358;N2500;21;4;24.17;;
URGENCES_P;2020;070000179;070780358;N9999;52;16;62.05;;
URGENCES_P;2020;070000179;070780358;NINF;23;7;25.25;3;1
URGENCES_P;2020;070000609;070005566;M1140;;;0.13;;
URGENCES_P;2020;070000609;070005566;M9999;5;5;7.38;;1
URGENCES_P;2020;070000609;070005566;N1220;8;1;8.72;;1
URGENCES_P;2020;070000609;070005566;N2120;1;;1.27;;1
URGENCES_P;2020;070000609;070005566;N2500;18;1;13.77;;
URGENCES_P;2020;070000609;070005566;N3120;;;0.03;;
URGENCES_P;2020;070000609;070005566;N9999;52;6;47.65;;
URGENCES_P;2020;070000609;070005566;NINF;22;3;20.84;;1
URGENCES_P;2020;070780424;070000245;M9999;3;4;4;;
URGENCES_P;2020;070780424;070000245;N2120;1;;1;;
URGENCES_P;2020;070780424;070000245;N2500;8;;8.98;;
URGENCES_P;2020;070780424;070000245;N2620;2;;2.14;;
URGENCES_P;2020;070780424;070000245;N9999;20;;21.34;;
URGENCES_P;2020;070780424;070000245;NINF;9;;9.22;;
URGENCES_P;2020;080000110;080011174;M9999;5;1;4.89;2;1
URGENCES_P;2020;080000110;080011174;N1220;4;;3.91;;0
URGENCES_P;2020;080000110;080011174;N2120;;1;0.32;2;1
URGENCES_P;2020;080000110;080011174;N2500;3;2;5.63;;
URGENCES_P;2020;080000110;080011174;N2620;5;;5;;0
URGENCES_P;2020;080000110;080011174;N3120;1;;1;;
URGENCES_P;2020;080000110;080011174;N9999;31;4;28.98;;
URGENCES_P;2020;080000110;080011174;NINF;18;1;13.12;1;1
URGENCES_P;2020;080000219;080001969;M9999;3;6;4.57;;
URGENCES_P;2020;080000219;080001969;N2120;0;2;0.23;;
URGENCES_P;2020;080000219;080001969;N2500;3;9;5.78;;
URGENCES_P;2020;080000219;080001969;N9999;3;31;13.57;;
URGENCES_P;2020;080000219;080001969;NINF;0;19;7.43;;
URGENCES_P;2020;080000276;080001969;M9999;0;2;0.67;;
URGENCES_P;2020;080000276;080001969;N1220;0;1;0.4;;
URGENCES_P;2020;080000276;080001969;N2120;0;2;0.23;;
URGENCES_P;2020;080000276;080001969;N9999;8;9;9.69;;
URGENCES_P;2020;080000276;080001969;NINF;8;6;9.07;;
URGENCES_P;2020;080000425;080011174;M1140;4;;0.63;;0
URGENCES_P;2020;080000425;080011174;M9999;27;1;14.52;3;1
URGENCES_P;2020;080000425;080011174;N1220;2;1;2.61;;0
URGENCES_P;2020;080000425;080011174;N2120;;1;0.98;;0
URGENCES_P;2020;080000425;080011174;N2500;16;10;19.04;;
URGENCES_P;2020;080000425;080011174;N3120;1;;1;;
URGENCES_P;2020;080000425;080011174;N9999;59;45;82.65;;
URGENCES_P;2020;080000425;080011174;NINF;32;29;48.82;;0
URGENCES_P;2020;090000175;090781774;M9999;;33;14.51;;1
URGENCES_P;2020;090000175;090781774;N1220;;9;7.03;;
URGENCES_P;2020;090000175;090781774;N2120;;1;0.71;;1
URGENCES_P;2020;090000175;090781774;N2500;;29;24.58;;
URGENCES_P;2020;090000175;090781774;N9999;;72;63.25;;
URGENCES_P;2020;090000175;090781774;NINF;;33;27.87;;1
URGENCES_P;2020;090000183;090781816;M9999;6;4;7.6;2;1
URGENCES_P;2020;090000183;090781816;N1220;3;;0.8;;0
URGENCES_P;2020;090000183;090781816;N2120;1;0;0.5;2;1
URGENCES_P;2020;090000183;090781816;N2500;4;;2.73;;
URGENCES_P;2020;090000183;090781816;N9999;16;1;12.89;;
URGENCES_P;2020;090000183;090781816;NINF;8;1;8.86;;0
URGENCES_P;2020;090001629;090781774;M9999;;21;4.49;;0
URGENCES_P;2020;090001629;090781774;N2120;;1;0.1;;0
URGENCES_P;2020;090001629;090781774;N2500;2;0;2.07;;
URGENCES_P;2020;090001629;090781774;N9999;7;2;8.07;;
URGENCES_P;2020;090001629;090781774;NINF;5;1;5.9;;0
URGENCES_P;2020;100000090;100000017;M1140;0;6;1.54;;0
URGENCES_P;2020;100000090;100000017;M9999;0;22;13.64;3;1
URGENCES_P;2020;100000090;100000017;N1220;2;0;2.01;;0
URGENCES_P;2020;100000090;100000017;N2120;1;1;1.15;;0
URGENCES_P;2020;100000090;100000017;N2500;25;15;28.38;;
URGENCES_P;2020;100000090;100000017;N3120;0;2;0.75;;
URGENCES_P;2020;100000090;100000017;N9999;79;62;101.78;;
URGENCES_P;2020;100000090;100000017;NINF;39;32;53.6;;0
URGENCES_P;2020;100000199;100006279;M9999;9;4;11.64;3;1
URGENCES_P;2020;100000199;100006279;N1220;3;;2.08;;0
URGENCES_P;2020;100000199;100006279;N2120;;;2;3;1
URGENCES_P;2020;100000199;100006279;N2500;5;;4.08;;
URGENCES_P;2020;100000199;100006279;NINF;18;1;18.8;3;1
URGENCES_P;2020;110000023;110780061;M9999;0;26;6.98;1;1
URGENCES_P;2020;110000023;110780061;N1220;0;5;1.91;1;1
URGENCES_P;2020;110000023;110780061;N2120;2;1;2.39;;0
URGENCES_P;2020;110000023;110780061;N2500;24;0;24.64;;
URGENCES_P;2020;110000023;110780061;N2620;10;1;11.11;;0
URGENCES_P;2020;110000023;110780061;N9999;72;15;78.74;;
URGENCES_P;2020;110000023;110780061;NINF;36;8;38.68;;0
URGENCES_P;2020;110000049;110780087;M9999;6;9;9.14;;1
URGENCES_P;2020;110000049;110780087;N1220;1;0;1;;
URGENCES_P;2020;110000049;110780087;N2120;0;1;0.5;;0
URGENCES_P;2020;110000049;110780087;N2500;7;0;6.45;;
URGENCES_P;2020;110000049;110780087;N9999;18;3;17.78;;
URGENCES_P;2020;110000049;110780087;NINF;10;1;9.33;;
URGENCES_P;2020;110000056;110780137;M9999;16;10;22.51;3;1
URGENCES_P;2020;110000056;110780137;N1220;1;;1;3;1
URGENCES_P;2020;110000056;110780137;N2120;2;;2;3;1
URGENCES_P;2020;110000056;110780137;N2500;15;1;14.37;;
URGENCES_P;2020;110000056;110780137;N2620;0;0;;;1
URGENCES_P;2020;110000056;110780137;N9999;54;4;36.83;;
URGENCES_P;2020;110000056;110780137;NINF;36;3;19.46;3;1
URGENCES_P;2020;110780228;110000114;M9999;;5;4;;
URGENCES_P;2020;110780228;110000114;N1220;2;1;2.6;;
URGENCES_P;2020;110780228;110000114;N2120;1;;1;;
URGENCES_P;2020;110780228;110000114;N2500;1;2;2.4;;
URGENCES_P;2020;110780228;110000114;N9999;13;6;17.8;;
URGENCES_P;2020;110780228;110000114;NINF;9;3;11.8;;
URGENCES_P;2020;110780483;110000155;M9999;3;;3;;0
URGENCES_P;2020;110780483;110000155;N1220;2;;2.25;;0
URGENCES_P;2020;110780483;110000155;N2120;1;;1;;0
URGENCES_P;2020;110780483;110000155;N2500;4;;4.5;;
URGENCES_P;2020;110780483;110000155;N9999;16;;17.75;;
URGENCES_P;2020;110780483;110000155;NINF;9;;10;;0
URGENCES_P;2020;120000039;120780044;M9999;0;23;19.22;1;1
URGENCES_P;2020;120000039;120780044;N1220;0;4;3.3;;1
URGENCES_P;2020;120000039;120780044;N2120;0;0;0;;1
URGENCES_P;2020;120000039;120780044;N2500;20;1;19.08;;
URGENCES_P;2020;120000039;120780044;N3120;0;2;1.52;;
URGENCES_P;2020;120000039;120780044;N9999;44;13;53.27;;
URGENCES_P;2020;120000039;120780044;NINF;24;4;28.38;;1
URGENCES_P;2020;120000054;120780069;M9999;0;7;6;2;1
URGENCES_P;2020;120000054;120780069;N1220;1;1;1.93;;0
URGENCES_P;2020;120000054;120780069;N2120;0;1;0.5;2;1
URGENCES_P;2020;120000054;120780069;N2500;6;;6.1;;
URGENCES_P;2020;120000054;120780069;N9999;11;6;14.16;;
URGENCES_P;2020;120000054;120780069;NINF;4;4;5.63;2;1
URGENCES_P;2020;120000070;120780085;M9999;;24;7.05;3;1
URGENCES_P;2020;120000070;120780085;N1220;1;;1;3;1
URGENCES_P;2020;120000070;120780085;N2120;;1;0.7;3;1
URGENCES_P;2020;120000070;120780085;N2500;6;3;6.8;;
URGENCES_P;2020;120000070;120780085;N3120;;1;0.1;;
URGENCES_P;2020;120000070;120780085;N9999;22;6;24.1;;
URGENCES_P;2020;120000070;120780085;NINF;15;1;15.5;3;1
URGENCES_P;2020;120004569;120004528;M9999;7;6;6.77;2;1
URGENCES_P;2020;120004569;120004528;N1220;1;;0.42;;
URGENCES_P;2020;120004569;120004528;N2120;1;;0.5;;
URGENCES_P;2020;120004569;120004528;N2500;4;1;3.09;;
URGENCES_P;2020;120004569;120004528;N9999;20;3;16.44;;
URGENCES_P;2020;120004569;120004528;NINF;14;2;12.43;;
URGENCES_P;2020;120004668;120004619;M9999;;9;3.03;1;1
URGENCES_P;2020;120004668;120004619;N1220;;2;0.25;;0
URGENCES_P;2020;120004668;120004619;N2120;;1;0.2;1;1
URGENCES_P;2020;120004668;120004619;N2500;4;;4;;
URGENCES_P;2020;120004668;120004619;N9999;16;10;18.23;;
URGENCES_P;2020;120004668;120004619;NINF;12;7;13.18;1;1
URGENCES_P;2020;130000409;130041916;M1140;0;7;0.59;;0
URGENCES_P;2020;130000409;130041916;M9999;6;25;21.08;3;1
URGENCES_P;2020;130000409;130041916;N1220;1;13;5.59;1;1
URGENCES_P;2020;130000409;130041916;N2120;1;3;2.15;;0
URGENCES_P;2020;130000409;130041916;N2500;57;20;56.61;;
URGENCES_P;2020;130000409;130041916;N2620;1;;1;;0
URGENCES_P;2020;130000409;130041916;N9999;120;69;135.57;;
URGENCES_P;2020;130000409;130041916;NINF;48;25;57.05;;0
URGENCES_P;2020;130000565;130781446;M1140;2;7;4.16;;
URGENCES_P;2020;130000565;130781446;M9999;13;10;13.7;;
URGENCES_P;2020;130000565;130781446;N1220;1;3;3.28;3;1
URGENCES_P;2020;130000565;130781446;N2120;;1;0.9;3;1
URGENCES_P;2020;130000565;130781446;N2500;11;4;13.81;;
URGENCES_P;2020;130000565;130781446;N2620;14;2;13.15;;0
URGENCES_P;2020;130000565;130781446;N3120;1;;0.98;;
URGENCES_P;2020;130000565;130781446;N9999;44;19;55.03;;
URGENCES_P;2020;130000565;130781446;NINF;17;9;22.91;3;1
URGENCES_P;2020;130001225;130782634;M9999;2;11;10.42;2;1
URGENCES_P;2020;130001225;130782634;N1220;2;2;2.6;2;1
URGENCES_P;2020;130001225;130782634;N2120;;1;0.6;2;1
URGENCES_P;2020;130001225;130782634;N2500;14;3;15.01;;
URGENCES_P;2020;130001225;130782634;N2620;4;2;3.78;2;1
URGENCES_P;2020;130001225;130782634;N9999;46;21;58.11;;
URGENCES_P;2020;130001225;130782634;NINF;23;9;31.18;2;1
URGENCES_P;2020;130002215;130785512;M9999;7;4;4.8;2;1
URGENCES_P;2020;130002215;130785512;N1220;1;;0.5;2;1
URGENCES_P;2020;130002215;130785512;N2120;1;;0.5;2;1
URGENCES_P;2020;130002215;130785512;N2500;2;2;3.6;;
URGENCES_P;2020;130002215;130785512;N2620;5;;5;;0
URGENCES_P;2020;130002215;130785512;N3120;1;;0.2;;
URGENCES_P;2020;130002215;130785512;N9999;32;3;26.5;;
URGENCES_P;2020;130002215;130785512;NINF;20;1;14.7;2;1
URGENCES_P;2020;130002827;130789274;M9999;4;9;7.7;;
URGENCES_P;2020;130002827;130789274;N1220;2;1;2.3;;
URGENCES_P;2020;130002827;130789274;N2120;0;2;0.07;;
URGENCES_P;2020;130002827;130789274;N2500;17;2;18.75;;
URGENCES_P;2020;130002827;130789274;N3120;0;1;0.5;;
URGENCES_P;2020;130002827;130789274;N9999;46;17;51.18;;
URGENCES_P;2020;130002827;130789274;NINF;24;6;26.17;;
URGENCES_P;2020;130002835;130789316;M9999;;21;8.43;3;1
URGENCES_P;2020;130002835;130789316;N1220;5;4;6.87;;
URGENCES_P;2020;130002835;130789316;N2120;1;;0.08;;
URGENCES_P;2020;130002835;130789316;N2500;13;13;17.01;;
URGENCES_P;2020;130002835;130789316;N9999;19;68;69.3;;
URGENCES_P;2020;130002835;130789316;NINF;;51;37.24;3;1
URGENCES_P;2020;130043664;130002157;M9999;7;12;14.44;;
URGENCES_P;2020;130043664;130002157;N1220;6;0;5.39;;
URGENCES_P;2020;130043664;130002157;N2120;2;0;1.85;;0
URGENCES_P;2020;130043664;130002157;N2500;8;2;7.5;;
URGENCES_P;2020;130043664;130002157;N9999;50;7;43.57;;
URGENCES_P;2020;130043664;130002157;NINF;34;5;22.66;;
URGENCES_P;2020;130780521;130786049;M1140;2;3;2.9;;
URGENCES_P;2020;130780521;130786049;M9999;19;15;25.99;;
