BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST;DISU;DISHU
IMAGES_P;2020;070000096;070780184;N4130;;1;0.8;0;0;;
IMAGES_P;2020;070000096;070780184;NAUT;;2;1.6;;;;
IMAGES_P;2020;070000179;070780358;M1160;5;1;5.4;0;1;0;
IMAGES_P;2020;070000179;070780358;N4130;10;9;16.6;0;1;;
IMAGES_P;2020;070000179;070780358;N4160;1;0;0.8;;;;
IMAGES_P;2020;070000179;070780358;NAUT;8;4;10.54;;;;
IMAGES_P;2020;070000187;070780366;N4130;0;1;0.57;0;0;;
IMAGES_P;2020;070000195;070780374;N4130;;1;0.3;0;0;;
IMAGES_P;2020;070000195;070780374;NAUT;1;;0.1;;;;
IMAGES_P;2020;070000609;070005566;M1160;5;2;6.09;;;;
IMAGES_P;2020;070000609;070005566;N4130;17;2;16.1;;;;
IMAGES_P;2020;070000609;070005566;N4160;1;;0.97;;;;
IMAGES_P;2020;070000609;070005566;NAUT;10;4;12.44;;;;
IMAGES_P;2020;080000110;080011174;M1160;1;;1;0;1;1;1
IMAGES_P;2020;080000110;080011174;N4130;8;2;9.45;0;1;;
IMAGES_P;2020;080000110;080011174;NAUT;3;;3.6;;;;
IMAGES_P;2020;080000219;080001969;M1160;0;3;1.54;;;;
IMAGES_P;2020;080000219;080001969;N4130;6;3;7.84;;;;
IMAGES_P;2020;080000276;080001969;M1160;0;2;0.36;;;;
IMAGES_P;2020;080000276;080001969;N4130;0;2;1.18;;;;
IMAGES_P;2020;080000276;080001969;NAUT;0;1;0.35;;;;
IMAGES_P;2020;080000284;080011174;M1160;;1;0.2;0;0;0;0
IMAGES_P;2020;080000284;080011174;N4130;1;3;2.24;0;0;;
IMAGES_P;2020;080000284;080011174;NAUT;;2;1.23;;;;
IMAGES_P;2020;080000425;080011174;M1160;5;4;6.35;0;1;0;1
IMAGES_P;2020;080000425;080011174;M1210;1;1;1.06;0;0;;
IMAGES_P;2020;080000425;080011174;N4130;32;12;41.67;1;0;;
IMAGES_P;2020;080000425;080011174;N4160;2;;1.97;;;;
IMAGES_P;2020;080000425;080011174;NAUT;12;5;16.38;;;;
IMAGES_P;2020;090000019;090180019;M1160;0;1;0.3;0;0;0;1
IMAGES_P;2020;090000019;090180019;N4130;0;1;0.1;0;0;;
IMAGES_P;2020;090000175;090781774;M1160;6;1;5.99;0;1;0;0
IMAGES_P;2020;090000175;090781774;N4130;22;6;27.25;1;0;;
IMAGES_P;2020;090000175;090781774;N4160;;1;0.7;;;;
IMAGES_P;2020;090000175;090781774;NAUT;8;;8.07;;;;
IMAGES_P;2020;090000183;090781816;M1160;;3;1.8;0;0;1;1
IMAGES_P;2020;090000183;090781816;N4130;9;2;10.7;0;1;;
IMAGES_P;2020;090000183;090781816;N4160;;1;0.3;;;;
IMAGES_P;2020;090000183;090781816;NAUT;3;2;4.31;;;;
IMAGES_P;2020;090001629;090781774;M1160;;1;0.17;0;0;0;0
IMAGES_P;2020;090001629;090781774;N4130;3;1;3.5;0;0;;
IMAGES_P;2020;090001629;090781774;N4160;;1;0.1;;;;
IMAGES_P;2020;100000090;100000017;M1160;8;1;8.66;0;1;0;0
IMAGES_P;2020;100000090;100000017;M1210;2;3;1.65;0;0;;
IMAGES_P;2020;100000090;100000017;N4130;34;13;45.73;1;1;;
IMAGES_P;2020;100000090;100000017;N4160;1;0;1.13;;;;
IMAGES_P;2020;100000090;100000017;NAUT;22;8;24.72;;;;
IMAGES_P;2020;100000199;100006279;M1160;;2;0.2;;;;
IMAGES_P;2020;100000199;100006279;N4130;4;1;4.76;;;;
IMAGES_P;2020;100000199;100006279;NAUT;3;;4.1;;;;
IMAGES_P;2020;100010818;100010792;M1160;5;0;5;0;1;0;0
IMAGES_P;2020;100010818;100010792;N4130;8;0;8;0;1;;
IMAGES_P;2020;100010818;100010792;N4160;1;0;1;;;;
IMAGES_P;2020;100010818;100010792;NAUT;12;2;13.37;;;;
IMAGES_P;2020;110000023;110780061;M1160;4;1;4.6;0;1;0;0
IMAGES_P;2020;110000023;110780061;M1210;2;2;3.32;0;0;;
IMAGES_P;2020;110000023;110780061;N4130;28;18;38.98;0;1;;
IMAGES_P;2020;110000023;110780061;N4160;3;;2.51;;;;
IMAGES_P;2020;110000023;110780061;NAUT;13;3;13.91;;;;
IMAGES_P;2020;110000049;110780087;M1160;;1;0.6;0;0;0;0
IMAGES_P;2020;110000049;110780087;N4130;6;1;6.8;0;1;;
IMAGES_P;2020;110000056;110780137;M1160;4;0;4;0;1;0;0
IMAGES_P;2020;110000056;110780137;N4130;22;;20.13;0;0;;
IMAGES_P;2020;110000056;110780137;N4160;1;0;0.6;;;;
IMAGES_P;2020;110000056;110780137;NAUT;8;;7.2;;;;
IMAGES_P;2020;120000039;120780044;M1160;2;5;3.95;1;1;1;1
IMAGES_P;2020;120000039;120780044;M1210;3;0;2.75;0;0;;
IMAGES_P;2020;120000039;120780044;N4130;21;12;25.59;;;;
IMAGES_P;2020;120000039;120780044;N4160;1;0;0.75;;;;
IMAGES_P;2020;120000039;120780044;NAUT;3;9;6.22;;;;
IMAGES_P;2020;120000054;120780069;M1160;1;0;1.66;0;1;;
IMAGES_P;2020;120000054;120780069;N4130;10;3;12.62;0;1;;
IMAGES_P;2020;120000054;120780069;N4160;1;0;1;;;;
IMAGES_P;2020;120000054;120780069;NAUT;0;1;1.01;;;;
IMAGES_P;2020;120000070;120780085;M1160;;4;1.84;0;;;
IMAGES_P;2020;120000070;120780085;N4130;7;2;8.6;;;;
IMAGES_P;2020;120000070;120780085;N4160;;1;0.9;;;;
IMAGES_P;2020;120000070;120780085;NAUT;4;;4;;;;
IMAGES_P;2020;120000088;120780093;N4130;0;1;0.2;0;0;;
IMAGES_P;2020;120000096;120780101;N4130;0;1;0.8;0;0;;
IMAGES_P;2020;120004569;120004528;M1160;2;1;2.44;0;1;1;0
IMAGES_P;2020;120004569;120004528;N4130;10;2;9.49;0;1;;
IMAGES_P;2020;120004569;120004528;N4160;1;;1;;;;
IMAGES_P;2020;120004569;120004528;NAUT;4;1;4;;;;
IMAGES_P;2020;120004668;120004619;M1160;;;;0;1;0;0
IMAGES_P;2020;120004668;120004619;N4130;3;4;5.13;0;1;;
IMAGES_P;2020;120004668;120004619;N4160;1;;0.84;;;;
IMAGES_P;2020;120004668;120004619;NAUT;3;3;4.75;;;;
IMAGES_P;2020;130000409;130041916;M1160;28;1;8.03;0;1;0;0
IMAGES_P;2020;130000409;130041916;M1210;4;0;4;0;0;;
IMAGES_P;2020;130000409;130041916;MAUT;0;2;1.3;;;;
IMAGES_P;2020;130000409;130041916;N4130;33;18;43.61;1;1;;
IMAGES_P;2020;130000409;130041916;N4160;1;2;1.51;;;;
IMAGES_P;2020;130000409;130041916;NAUT;19;14;25;;;;
IMAGES_P;2020;130000433;130781131;N4130;;1;0.5;0;0;;
IMAGES_P;2020;130000516;130781339;M1160;;1;0.1;0;0;;
IMAGES_P;2020;130000516;130781339;N4130;2;;2;0;0;;
IMAGES_P;2020;130000516;130781339;NAUT;1;;0.5;;;;
IMAGES_P;2020;130000565;130781446;M1160;3;2;3.23;0;1;;
IMAGES_P;2020;130000565;130781446;N4130;14;7;18.86;0;1;;
IMAGES_P;2020;130000565;130781446;N4160;;1;0.9;;;;
IMAGES_P;2020;130000565;130781446;NAUT;1;;1;;;;
IMAGES_P;2020;130001225;130782634;M1160;2;2;3.15;1;1;0;1
IMAGES_P;2020;130001225;130782634;N4130;11;8;16.37;1;1;;
IMAGES_P;2020;130001225;130782634;N4160;1;;0.82;;;;
IMAGES_P;2020;130001225;130782634;NAUT;5;1;4.32;;;;
IMAGES_P;2020;130001647;130784127;M1160;14;3;13.62;0;1;0;0
IMAGES_P;2020;130001647;130784127;M1210;6;1;6.8;0;0;;
IMAGES_P;2020;130001647;130784127;N4130;50;9;56.8;0;1;;
IMAGES_P;2020;130001647;130784127;N4160;4;;4;;;;
IMAGES_P;2020;130001647;130784127;NAUT;25;5;30.45;;;;
IMAGES_P;2020;130002215;130785512;M1160;;3;1.8;0;1;0;0
IMAGES_P;2020;130002215;130785512;N4130;11;1;11.8;1;0;;
IMAGES_P;2020;130002215;130785512;N4160;1;;0.66;;;;
IMAGES_P;2020;130002215;130785512;NAUT;6;;6;;;;
IMAGES_P;2020;130002827;130789274;N4130;14;5;18.12;1;;;
IMAGES_P;2020;130002827;130789274;N4160;1;0;1;;;;
IMAGES_P;2020;130002827;130789274;NAUT;7;2;9.23;;;;
IMAGES_P;2020;130002835;130789316;M1160;2;5;5;0;1;0;0
IMAGES_P;2020;130002835;130789316;N4130;15;13;24.39;1;0;;
IMAGES_P;2020;130002835;130789316;N4160;1;;1;;;;
IMAGES_P;2020;130002835;130789316;NAUT;3;5;7.55;;;;
IMAGES_P;2020;130037922;130037823;M1160;5;;5;0;1;0;0
IMAGES_P;2020;130037922;130037823;M1210;2;;2;0;0;;
IMAGES_P;2020;130037922;130037823;N4130;17;;17;0;1;;
IMAGES_P;2020;130037922;130037823;N4160;1;;1;;;;
IMAGES_P;2020;130037922;130037823;NAUT;25;;25;;;;
IMAGES_P;2020;130041767;130041262;N4130;6;0;3.44;0;1;;
IMAGES_P;2020;130041767;130041262;N4160;1;0;1;;;;
IMAGES_P;2020;130041767;130041262;NAUT;4;0;3.8;;;;
IMAGES_P;2020;130042096;130042062;M1160;;21;5.6;0;1;0;1
IMAGES_P;2020;130042096;130042062;N4130;4;0;4;0;1;;
IMAGES_P;2020;130042096;130042062;N4160;1;0;1;;;;
IMAGES_P;2020;130042526;310021399;M1160;;1;0.1;0;0;0;0
IMAGES_P;2020;130042526;310021399;N4130;1;;1;0;0;;
IMAGES_P;2020;130043664;130002157;N4130;21;2;13.24;;;;
IMAGES_P;2020;130043664;130002157;N4160;2;0;1.52;;;;
IMAGES_P;2020;130043664;130002157;NAUT;23;0;17.07;;;;
IMAGES_P;2020;130780521;130786049;M1160;7;10;9.78;1;1;;
IMAGES_P;2020;130780521;130786049;M1210;1;1;1.74;0;0;;
IMAGES_P;2020;130780521;130786049;MAUT;;2;0.45;;;;
IMAGES_P;2020;130780521;130786049;N4130;89;5;90.91;1;1;;
IMAGES_P;2020;130780521;130786049;N4160;4;1;2.76;;;;
IMAGES_P;2020;130780521;130786049;NAUT;18;9;19.74;;;;
IMAGES_P;2020;130781438;130000557;N4130;;1;0.31;0;0;;
IMAGES_P;2020;130781479;130000599;M1160;2;17;10.5;0;1;0;1
IMAGES_P;2020;130781479;130000599;M1210;2;;2;0;1;;
IMAGES_P;2020;130781479;130000599;N4130;21;;21.04;0;1;;
IMAGES_P;2020;130781479;130000599;N4160;2;;2;;;;
IMAGES_P;2020;130781479;130000599;NAUT;17;;18.4;;;;
IMAGES_P;2020;130782147;130000979;M1160;3;;3;0;1;0;0
IMAGES_P;2020;130782147;130000979;N4130;7;;7;1;0;;
IMAGES_P;2020;130782147;130000979;NAUT;6;;6;;;;
IMAGES_P;2020;130783236;130786049;M1160;7;3;5.78;1;0;;
IMAGES_P;2020;130783236;130786049;N4130;23;3;26.06;;;;
IMAGES_P;2020;130783236;130786049;N4160;2;0;0.98;;;;
IMAGES_P;2020;130783236;130786049;NAUT;9;4;11.71;;;;
IMAGES_P;2020;130783293;130786049;M1160;16;16;16.21;1;1;;
IMAGES_P;2020;130783293;130786049;M1210;2;4;2.84;;;;
IMAGES_P;2020;130783293;130786049;MAUT;2;16;4.69;;;;
IMAGES_P;2020;130783293;130786049;N4130;128;7;130.22;1;1;;
IMAGES_P;2020;130783293;130786049;N4160;8;;7.31;;;;
IMAGES_P;2020;130783293;130786049;NAUT;19;5;20.48;;;;
IMAGES_P;2020;130783327;130001415;M1160;;22;6.3;0;1;;
IMAGES_P;2020;130783327;130001415;N4130;7;14;8.52;0;1;;
IMAGES_P;2020;130783327;130001415;N4160;;1;0.5;;;;
IMAGES_P;2020;130783327;130001415;NAUT;7;3;8.29;;;;
IMAGES_P;2020;130783665;130043722;M1160;;3;3.35;0;0;0;0
IMAGES_P;2020;130783665;130043722;N4130;3;1;3;0;0;;
IMAGES_P;2020;130783665;130043722;NAUT;3;;3.5;;;;
IMAGES_P;2020;130783723;130001456;M1160;1;3;1.56;0;0;;
IMAGES_P;2020;130783723;130001456;N4130;2;0;2;0;1;;
IMAGES_P;2020;130783723;130001456;N4160;1;0;1.02;;;;
IMAGES_P;2020;130783723;130001456;NAUT;2;0;2.04;;;;
IMAGES_P;2020;130784051;130037823;M1160;8;1;8.5;0;1;0;0
IMAGES_P;2020;130784051;130037823;M1210;2;2;3;0;0;;
IMAGES_P;2020;130784051;130037823;N4130;27;2;28;0;1;;
IMAGES_P;2020;130784051;130037823;N4160;2;1;2.8;;;;
IMAGES_P;2020;130784051;130037823;NAUT;31;3;34;;;;
IMAGES_P;2020;130784234;130786049;M1160;7;3;6.64;1;0;;
IMAGES_P;2020;130784234;130786049;N4130;27;3;28.73;0;1;;
IMAGES_P;2020;130784234;130786049;N4160;2;;1.81;;;;
IMAGES_P;2020;130784234;130786049;NAUT;9;;9;;;;
IMAGES_P;2020;130784598;130001852;M1160;;1;0.21;;;;
IMAGES_P;2020;130784598;130001852;N4130;;1;0.19;;;;
IMAGES_P;2020;130784713;130038847;M1160;;11;5.5;0;1;1;
IMAGES_P;2020;130784713;130038847;N4130;8;3;9.44;;1;;
IMAGES_P;2020;130784713;130038847;N4160;;1;0.5;;;;
IMAGES_P;2020;130784713;130038847;NAUT;10;;8.82;;;;
IMAGES_P;2020;130784903;130002041;M1160;;1;0.1;;0;0;0
IMAGES_P;2020;130784903;130002041;N4130;;1;0.21;0;0;;
IMAGES_P;2020;130785389;130002173;M1160;;3;0.7;0;1;0;0
IMAGES_P;2020;130785389;130002173;N4130;2;;2;0;1;;
IMAGES_P;2020;130785389;130002173;NAUT;1;1;1.5;;;;
IMAGES_P;2020;130785652;130014228;M1160;3;17;10.6;0;0;0;
IMAGES_P;2020;130785652;130014228;M1210;;;;1;1;;
IMAGES_P;2020;130785652;130014228;N4130;54;2;44.39;1;1;;
IMAGES_P;2020;130785652;130014228;N4160;2;1;2.35;;;;
IMAGES_P;2020;130785652;130014228;NAUT;49;6;40.29;;;;
IMAGES_P;2020;130785678;130002249;M1160;;9;4.5;0;1;;
IMAGES_P;2020;130785678;130002249;N4130;6;;5.2;0;1;;
IMAGES_P;2020;130785678;130002249;N4160;;1;0.5;;;;
IMAGES_P;2020;130785678;130002249;NAUT;11;;10.14;;;;
IMAGES_P;2020;130786445;130002488;M1160;;4;3;0;1;0;0
IMAGES_P;2020;130786445;130002488;N4130;4;3;6;0;1;;
IMAGES_P;2020;130786445;130002488;N4160;1;;1;;;;
IMAGES_P;2020;130786445;130002488;NAUT;4;;4;;;;
IMAGES_P;2020;130786742;750821092;M1160;6;;6;1;0;0;0
IMAGES_P;2020;130786742;750821092;N4130;21;;19.3;1;1;;
IMAGES_P;2020;130786742;750821092;N4160;1;;1;;;;
IMAGES_P;2020;130786742;750821092;NAUT;1;;1;;;;
IMAGES_P;2020;130786932;130002660;N4130;;1;0.26;;;;
IMAGES_P;2020;130789159;920030269;M1160;;1;0.11;0;0;0;0
IMAGES_P;2020;130789159;920030269;M1210;;;;0;1;;
IMAGES_P;2020;130789159;920030269;N4130;;1;0.17;0;0;;
IMAGES_P;2020;130804297;130786049;M1160;2;5;4.12;;;;
IMAGES_P;2020;130804297;130786049;N4130;14;1;15;;;;
IMAGES_P;2020;130804297;130786049;N4160;1;;1;;;;
IMAGES_P;2020;130804297;130786049;NAUT;7;1;7.1;;;;
IMAGES_P;2020;130809015;130001928;N4130;;4;0.6;0;0;;
IMAGES_P;2020;130810740;130007362;M1160;3;30;3.8;0;1;0;0
IMAGES_P;2020;130810740;130007362;N4130;5;;5;0;1;;
IMAGES_P;2020;130810740;130007362;N4160;1;0;1;;;;
IMAGES_P;2020;130810740;130007362;NAUT;6;0;6;;;;
IMAGES_P;2020;140000027;140000035;M1160;1;1;2.75;;1;1;1
IMAGES_P;2020;140000027;140000035;N4130;15;2;15.91;;;;
IMAGES_P;2020;140000027;140000035;N4160;1;0;1;;;;
IMAGES_P;2020;140000027;140000035;NAUT;8;2;9.01;;;;
IMAGES_P;2020;140000076;140000092;M1160;;1;0.2;0;0;;
IMAGES_P;2020;140000076;140000092;N4130;2;3;3.49;0;0;;
IMAGES_P;2020;140000076;140000092;N4160;;1;0.1;;;;
IMAGES_P;2020;140000076;140000092;NAUT;1;1;1.9;;;;
IMAGES_P;2020;140000209;140000100;M1160;18;12;13.93;0;1;1;1
IMAGES_P;2020;140000209;140000100;M1210;4;2;3.13;0;0;;
IMAGES_P;2020;140000209;140000100;N4130;85;13;89.3;1;0;;
IMAGES_P;2020;140000209;140000100;N4160;6;;5.48;;;;
IMAGES_P;2020;140000209;140000100;NAUT;37;9;41.85;;;;
IMAGES_P;2020;140000233;140000118;M1160;1;2;2.81;;;;
IMAGES_P;2020;140000233;140000118;N4130;8;3;10.83;;;;
IMAGES_P;2020;140000233;140000118;N4160;;1;0.4;;;;
IMAGES_P;2020;140000233;140000118;NAUT;3;3;5.35;;;;
IMAGES_P;2020;140000373;140000159;M1160;1;2;1.2;;;0;0
