BOR;AN;nofinesset;nofinessej;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2018;920100039;750712184;1;1;0;0;0;;0;0;436;391;441;3;1;;;2479;1323;;2;2;;3806;1017;131;6;97;687;1485;161;257;308;1177;;;;;;;;;;;;;;;;
SMURSAMU;2018;920100054;750712184;1;1;0;0;0;;0;1;604;564;782;5;2;0;0;3275;1878;179;0;6;0;5338;1559;267;4;123;1029;1860;143;402;58;1802;412017;;404399;368815;268881;179270;73148;545;336;215;840;0;0;0;888;0
SMURSAMU;2018;930000286;930021480;1;1;0;0;0;;0;0;168;163;168;3;0;0;0;1828;60;;0;;;1888;940;143;26;158;562;857;130;219;475;382;;;;;;;;;;;;;;;;
SMURSAMU;2018;930000328;930110051;1;1;0;0;0;;0;0;203;203;203;3;0;0;0;1911;564;0;0;0;0;2475;895;111;13;133;592;1151;99;151;415;736;;;;;;;;;;;;;;;;
SMURSAMU;2018;930000336;930110069;1;1;0;0;0;;0;0;304;304;304;3;0;0;0;1791;552;0;10;12;0;2365;740;145;17;110;468;1051;101;465;979;72;;;;;;;;;;;;;;;;
SMURSAMU;2018;930100037;750712184;1;1;0;1;0;;0;1;732;732;732;7;1;;;4589;2499;;0;0;;7088;2115;297;25;329;1464;2588;506;405;594;2384;509699;;485287;406816;323038;240667;94313;672;336;336;1071;1;2;;3403;0
SMURSAMU;2018;940000599;940110042;1;1;0;0;0;;0;0;168;168;168;1;;;;1537;323;;;;;1860;546;120;7;29;372;1275;146;405;584;691;;;;;;;;;;;;;;;;
SMURSAMU;2018;940100027;750712184;1;1;0;0;0;;0;1;574;564;732;5;1;1;0;5259;1992;0;4;97;0;7352;2238;525;19;231;1539;3298;267;636;1274;2024;474831;;348806;298387;239132;162635;70647;714;358;228;783;0;0;0;206;0
SMURSAMU;2018;950000307;950110015;1;1;0;0;0;;0;0;336;336;336;2;;;;3116;331;;1;1;;3449;1805;160;28;353;1153;1312;119;276;883;429;;;;;;;;;;;;;;;;
SMURSAMU;2018;950000315;950001370;1;1;0;0;0;;0;0;168;168;168;2;0;0;0;1630;71;0;8;0;0;1709;810;92;18;163;537;1357;103;316;756;601;;;;;;;;;;;;;;;;
SMURSAMU;2018;950000323;950013870;1;1;0;0;0;;0;0;336;336;336;3;1;;;3418;659;;1;12;;4090;1542;184;16;280;1060;1663;227;848;1153;510;;;;;;;;;;;;;;;;
SMURSAMU;2018;950000331;950110049;1;1;0;0;0;;0;0;238;238;238;2;;;;2632;231;;;;;2863;1388;143;22;297;926;1244;250;512;842;402;;;;;;;;;;;;;;;;
SMURSAMU;2018;950000364;950110080;1;1;0;1;0;;0;1;564;504;564;4;2;0;0;3688;953;0;14;25;0;4680;1527;181;0;155;1217;;;;;;668838;;486231;349714;340362;214682;64404;682;346;315;1008;0;0;0;1045;0
SMURSAMU;2018;970100384;970100160;1;1;0;0;0;970100186;0;0;164;168;0;;;;;40;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2018;970100392;970100178;1;1;0;0;0;;0;0;168;168;168;;2;;;486;165;0;6;0;0;657;89;46;25;17;1;456;24;92;426;30;;;;;;;;;;;;;;;;
SMURSAMU;2018;970100400;970100186;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;146;60;22;0;225;0;453;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2018;970100442;970100228;1;1;0;0;0;;0;1;406;420;504;2;3;1;;3235;1189;31;311;606;8;5380;894;286;16;372;33;3922;236;163;3423;499;332880;;266263;201277;126934;67922;12473;358;238;120;547;1;3;;1715;0
SMURSAMU;2018;970112470;970100186;1;0;0;0;1;970100186;0;0;168;168;1;0;1;0;0;40;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2018;970112587;970100228;1;1;0;0;0;;0;0;336;504;168;;1;;;11;;;;;137;148;;;4;;;14;0;2;11;3;;;;;;;;;;;;;;;;
SMURSAMU;2018;970211215;970211207;1;1;0;0;0;;0;1;336;252;336;1;3;;;4441;675;27;636;217;10;6006;1725;345;40;3;1337;3686;260;261;1946;1740;305595;;264975;227275;146535;125921;29200;312;221;91;539;0;0;;1906;
SMURSAMU;2018;970211223;970211207;1;0;0;0;1;970211207;0;0;70;70;70;;1;;;189;44;18;13;2;0;266;85;11;2;0;72;152;8;17;39;113;;;;;;;;;;;;;;;;
SMURSAMU;2018;970300026;970302022;1;1;0;0;0;;0;1;248;390;230;2;2;2;;1209;244;0;596;219;0;2268;306;131;1;75;99;1694;342;;1644;50;540034;;540034;;36498;36498;0;168;168;;336;0;0;0;442;0
