BOR;AN;nofinesset;nofinessej;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;130001647;130784127;0;;;;;;1;1;0;0;1;1;;;0;0;0;1;20;693;0;153;200;11650;0;4018;3951;253;0;108;77;64;31;11;0;0;0;0
HAD;2020;130002215;130785512;0;;;;;52000;1;0;0;0;1;0;0;0;1;0;0;0;20;126;0;30;0;2753;0;303;0;100;0;24;0;50;14;0;25;0;8;0
HAD;2020;130021488;130021439;0;;;;;334000;1;0;0;0;1;0;1;0;1;0;0;0;40;676;0;48;1;17225;0;962;15;530;0;43;1;349;27;0;330;0;7;0
HAD;2020;130021819;130021769;0;;;;;710000;1;0;0;0;1;1;0;0;1;0;0;0;70;866;0;270;12;22642;0;7669;248;644;0;237;9;362;155;1;258;0;93;0
HAD;2020;130022619;130045339;0;;;;;106833;0;0;0;0;1;0;0;0;1;0;0;0;75;268;0;55;0;10737;0;1964;0;234;0;46;0;160;26;0;142;0;4;0
HAD;2020;130782071;130002454;0;;;;;200000;1;1;0;0;1;1;;;1;0;0;0;25;539;0;30;11;9862;0;550;101;381;0;29;5;159;14;3;131;0;6;0
HAD;2020;130783236;130786049;0;;;;;1500000;1;1;1;0;;;;;1;1;1;1;80;2052;223;24;33;24469;3791;502;170;1303;185;15;9;426;7;6;266;0;3;0
HAD;2020;130785652;130014228;0;;;;;864164;1;1;0;0;1;1;0;0;1;1;0;1;58;622;3;80;143;18376;52;2790;546;390;2;72;14;179;55;8;83;0;17;0
HAD;2020;130802143;130804396;0;;;;;866644;1;0;0;0;1;1;;;1;0;0;0;100;776;0;350;22;26939;0;9108;336;570;0;285;17;315;171;2;209;0;109;0
HAD;2020;130809015;130001928;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;45;428;0;110;0;14573;0;2074;0;345;0;106;0;276;85;0;332;0;98;0
HAD;2020;140000027;140000035;0;;;;;87761;1;1;0;0;1;1;0;0;1;0;1;1;25;408;0;155;59;7550;0;2179;826;283;0;138;15;148;82;5;77;0;54;1
HAD;2020;140000076;140000092;0;;;;;45000;1;0;0;0;1;1;;;1;0;0;0;12;99;0;58;2;3724;0;2216;47;76;0;45;2;38;25;0;16;0;11;0
HAD;2020;140000209;140000100;0;;;;;;0;0;0;0;1;1;;;0;1;0;0;5;146;0;0;0;1488;0;0;0;128;0;0;0;0;0;0;0;0;0;0
HAD;2020;140000233;140000118;0;;;;;67000;1;0;0;1;1;1;0;0;1;0;0;0;18;223;0;126;3;4596;0;2205;60;170;0;101;2;81;59;0;30;0;27;0
HAD;2020;140000373;140000159;1;4;500021274;500021282;610007312;;0;0;0;0;1;1;;;1;0;0;0;20;202;0;50;8;5213;0;1209;241;135;0;39;5;63;25;0;17;0;2;0
HAD;2020;140002619;750721334;0;;;;;300000;0;0;0;0;1;1;0;0;0;0;0;0;80;649;0;254;13;26354;0;9399;277;518;0;227;5;245;109;0;148;0;38;0
HAD;2020;140016155;140027426;0;;;;;87000;1;1;0;1;1;1;;;1;0;0;0;40;249;0;106;4;10650;0;4048;95;183;0;75;4;81;39;3;22;0;10;0
HAD;2020;140026709;140000415;0;;;;;71317;1;1;0;0;1;1;;;1;0;0;1;30;374;0;147;23;10658;0;3515;323;252;0;129;5;108;67;1;49;0;38;0
HAD;2020;150000040;150780096;1;3;150000040;;;143000;1;1;0;0;1;0;1;1;1;0;0;1;15;618;0;58;323;5702;0;1259;787;245;0;50;76;65;16;14;26;0;5;3
HAD;2020;160002036;160009908;0;;;;;352335;1;1;0;0;1;1;;;1;0;0;0;115;964;0;436;62;37115;0;14872;2281;703;0;361;36;255;148;11;60;0;25;0
HAD;2020;170000087;170024194;1;3;170000087;170000111;;365000;1;0;0;0;1;0;1;0;1;1;1;1;90;1285;0;433;381;30465;0;16116;1470;738;0;343;98;232;120;12;90;0;13;0
HAD;2020;170000103;170780175;1;3;170000095;170000038;170000129;;1;0;0;0;0;0;1;0;1;0;0;0;90;1363;0;244;523;27761;0;6268;1697;637;0;211;96;228;100;16;118;0;51;0
HAD;2020;180000010;180000028;0;;;;;177750;1;1;0;0;1;0;1;0;1;0;0;1;30;517;0;92;222;9025;0;3006;613;220;0;82;23;75;38;4;20;0;5;0
HAD;2020;180008278;750056335;0;;;;;180000;1;1;0;0;1;1;;;1;0;0;0;43;473;2;263;4;16354;81;8836;78;380;1;203;3;190;95;0;133;0;43;0
HAD;2020;190000026;190000059;0;;;;;243551;1;0;0;0;1;0;1;0;1;0;0;0;83;622;0;215;10;28069;0;2837;68;481;0;209;7;226;134;0;89;0;69;0
HAD;2020;190010629;190010579;0;;;;;240000;1;0;0;0;1;0;1;0;1;0;0;0;60;1262;0;97;889;16555;0;3618;2629;314;0;86;101;108;56;23;40;0;23;2
HAD;2020;210003059;210987400;0;;;;;384631;1;0;0;0;1;1;;;1;0;0;0;61;685;0;267;10;21861;0;10246;466;439;0;198;8;184;105;1;70;0;25;0
HAD;2020;210780789;210003208;0;;;;;367011;1;0;0;0;1;1;;;1;0;0;0;30;416;0;166;60;10239;0;3568;1430;295;0;124;32;115;60;4;42;0;12;0
HAD;2020;210987657;210012175;0;;;;;100000;1;0;0;0;1;1;0;0;1;0;0;0;35;346;0;133;23;6516;0;2174;328;230;0;111;15;100;61;2;67;0;43;0
HAD;2020;210987731;210780417;0;;;;;250000;1;1;0;0;1;1;;;0;0;0;1;18;357;0;59;230;4952;0;1746;1730;114;0;44;72;25;11;18;0;0;0;0
