BOR;AN;nofinesset;nofinessej;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2020;060785003;060785011;0;;;;;1;28;0;1151;0;9685;2;0;2;1;2.09;0.1;0;0;0;;85;102;;;463;17;11;;;89;86.01;106.81;;;454.19
MCOGER;2020;060788957;060785011;1;1476;252;1169;7;1;73;4;1906;432;16504;9;3;10;4;12.07;4.29;0;0;1;1;7;2;;;57;2;;;;17;8.14;1.96;;;58.69
MCOGER;2020;060789195;060785011;0;;;;;1;10;0;65;0;1050;1;;2;;1.07;;0;0;0;0;30;42;;;318;8;4;;;79;30.98;44.31;;;318.45
MCOGER;2020;070000013;070002878;1;196;30;226;0.6;1;28;0;693;0;7816;3;;1;;2.16;;;;;;4;1;;;1;;;;;1;2.47;1.11;;;0.79
MCOGER;2020;070000179;070780358;1;115;128;174;3.7;1;20;0;593;0;6330;34;3;5;1;23.98;2.66;0;0;0;0;8;13;0;0;81;18;16;0;0;56;24;27.82;0;0;103.72
MCOGER;2020;070000609;070005566;1;463;31;550;4.91;1;30;;870;0;9110;2;1;2;;3.64;1;;;;;14;15;;;2;;4;;;2;10.72;15.18;;;3.15
MCOGER;2020;080000110;080011174;0;;;;;1;30;1;576;34;7459;3;2;;;2.6;1.65;0;0;0;0;12;11;;;2;1;3;;1;3;12.39;12.85;;0.9;2.82
MCOGER;2020;080000425;080011174;1;250;113;321;3.59;1;29;3;585;370;9334;3;3;1;0;3.03;2.95;0;0;0;0;10;12;;;3;6;6;;;4;15.08;19.13;;;5.21
MCOGER;2020;090000175;090781774;1;209;177;331;3.01;1;18;0;599;0;7848;;;2;;1.6;;0;0;1;1;;;;;;14;11;;;;12.36;11.05;;;
MCOGER;2020;090000183;090781816;1;;;;2.58;1;10;;310;0;3018;1;1;;;0.5;0.5;0;0;1;1;10;3;;;3;;;;;2;6.8;3;;;1.45
MCOGER;2020;090001629;090781774;0;;;;;1;15;0;490;0;5677;1;1;2;;2.59;1;0;0;1;1;7;12;;;;2;;;;2;10.51;13.32;0.07;;2.3
MCOGER;2020;100000090;100000017;1;771;0;250;1.95;1;30;;967;0;11976;0;0;8;8;4.41;4.41;0;0;0;0;7;14;0;0;2;3;3;1;0;2;10.58;16.31;0.4;0;2.76
MCOGER;2020;100000199;100006279;0;;;;;1;;;329;0;3224;3;;;;3;;;;;;8;11;;;;1;1;;;;9.79;14.58;;;0.65
MCOGER;2020;110000023;110780061;1;2174;0;687;3.13;1;28;2;1215;210;9704;0;0;6;6;4.24;4.07;0;0;1;1;10;13;0;0;1;7;12;0;0;4;16.5;20.29;0;0;2.53
MCOGER;2020;110000056;110780137;1;518;736;845;2.7;1;25;0;884;0;8396;3;1;2;;1.46;0.5;0;0;1;1;11;18;;;3;2;;;;;10.6;15.65;;;1.5
MCOGER;2020;120000039;120780044;1;804;1963;788;3.6;1;29;1;1167;82;9384;3;0;1;0;2.8;0;0;0;1;1;17;15;0;0;2;3;6;0;0;5;19.01;18.55;0.37;0;4.04
MCOGER;2020;120000054;120780069;1;357;0;343;1.8;1;20;0;607;0;5694;0;0;3;1;1.78;0.57;;;1;1;10;10;0;0;1;3;4;0;0;2;11.41;12.36;0.2;0;1.95
MCOGER;2020;120000070;120780085;0;;;;;1;11;0;224;0;2020;;;9;2;1.11;0.85;;;;;5;5;;;;1;1;;;1;5.84;5.84;;;0.88
MCOGER;2020;120000096;120780101;1;190;47;181;1.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOGER;2020;120004569;120004528;1;61;138;166;1.6;1;10;0;471;0;3954;2;1;;;1.2;1;0;;1;;9;8;1;;2;3;2;;;;4.65;4.26;0.46;;0.23
MCOGER;2020;120004668;120004619;0;;;;;1;13;0;475;0;4766;;;3;;0.61;0.03;0;0;1;0;4;9;;;;3;1;;;2;6.35;9.8;;;0.58
MCOGER;2020;130000409;130041916;1;1129;148;1113;4.64;1;46;;1221;0;12825;2;0;2;1;2.92;0.2;0;0;1;1;19;23;;;10;5;7;;;6;16.65;17.75;;;9.59
