BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST;GARDED;ASTDED
PERINAT_P;2020;020010047;020001632;N280H;6;0;6;;;;
PERINAT_P;2020;020010047;020001632;NAUT;3;;3;;;;
PERINAT_P;2020;030000061;030780092;M1030;0;0;0;1;0;0;0
PERINAT_P;2020;030000061;030780092;M1140;0;5;0.4;0;1;;
PERINAT_P;2020;030000061;030780092;M2050;0;6;0.63;1;0;;
PERINAT_P;2020;030000061;030780092;MIVG;0;1;0.05;;;;
PERINAT_P;2020;030000061;030780092;N2200;1;2;2.33;;;;
PERINAT_P;2020;030000061;030780092;N2340;5;1;5.6;;;;
PERINAT_P;2020;030000061;030780092;N2530;11;3;11.19;;;;
PERINAT_P;2020;030000061;030780092;N2800;18;15;26.87;;;;
PERINAT_P;2020;030000061;030780092;N280H;14;14;13;;;;
PERINAT_P;2020;030000061;030780092;NAUT;24;11;31.9;;;;
PERINAT_P;2020;030000079;030780100;M1140;5;3;5.16;0;1;;
PERINAT_P;2020;030000079;030780100;M2050;4;2;5.7;0;1;;
PERINAT_P;2020;030000079;030780100;N2340;7;;6.3;;;;
PERINAT_P;2020;030000079;030780100;N2700;1;;1;;;;
PERINAT_P;2020;030000079;030780100;N2800;17;9;21.75;;;;
PERINAT_P;2020;030000087;030780118;M1030;5;3;7.18;1;0;0;
PERINAT_P;2020;030000087;030780118;M1140;5;2;5.79;0;1;;
PERINAT_P;2020;030000087;030780118;M2050;7;1;7.24;0;1;;
PERINAT_P;2020;030000087;030780118;MIVG;4;1;0.21;;;;
PERINAT_P;2020;030000087;030780118;N2530;12;1;12.8;;;;
PERINAT_P;2020;030000087;030780118;N2700;1;0;1;;;;
PERINAT_P;2020;030000087;030780118;N2800;15;11;22.87;;;;
PERINAT_P;2020;030000087;030780118;NAUT;7;0;9.73;;;;
PERINAT_P;2020;030781116;030000426;M1030;;1;0.02;0;1;;
PERINAT_P;2020;030781116;030000426;MIVG;;1;0.02;;;;
PERINAT_P;2020;030781116;030000426;N2200;;1;0.02;;;;
PERINAT_P;2020;040000093;040780215;M1140;2;2;0.92;0;1;;
PERINAT_P;2020;040000093;040780215;M2050;6;1;2.27;;1;;
PERINAT_P;2020;040000093;040780215;MIVG;4;1;0.7;;;;
PERINAT_P;2020;040000093;040780215;N2200;1;0;1.47;;;;
PERINAT_P;2020;040000093;040780215;N2340;2;4;4.13;;;;
PERINAT_P;2020;040000093;040780215;N2700;0;1;0.14;;;;
PERINAT_P;2020;040000093;040780215;N2800;13;8;17.24;;;;
PERINAT_P;2020;040000093;040780215;N280H;13;8;17.24;;;;
PERINAT_P;2020;040000093;040780215;NAUT;7;5;10.7;;;;
PERINAT_P;2020;040000911;040788879;M2050;;3;2.3;0;1;;
PERINAT_P;2020;040000911;040788879;N2700;;1;0.3;;;;
PERINAT_P;2020;040000911;040788879;N2800;;10;4.44;;;;
PERINAT_P;2020;040000911;040788879;NAUT;4;11;7.59;;;;
PERINAT_P;2020;050000231;050000116;M2050;1;4;1.25;;;;
PERINAT_P;2020;050000231;050000116;N2530;5;3;6.39;;;;
PERINAT_P;2020;050000231;050000116;N2700;0;1;0.4;;;;
PERINAT_P;2020;050000231;050000116;N2800;2;10;9.77;;;;
PERINAT_P;2020;050000231;050000116;N280H;2;10;9.77;;;;
PERINAT_P;2020;050000231;050000116;NAUT;3;2;3.53;;;;
PERINAT_P;2020;050000256;050000124;N2800;1;0;1;;;;
PERINAT_P;2020;050000256;050000124;NAUT;0;1;0.05;;;;
PERINAT_P;2020;050000348;050002948;M1140;0;4;1.86;;;;
PERINAT_P;2020;050000348;050002948;M2050;1;7;4.19;;;;
PERINAT_P;2020;050000348;050002948;MIVG;0;1;0.3;;;;
PERINAT_P;2020;050000348;050002948;N2200;0;4;2.74;;;;
PERINAT_P;2020;050000348;050002948;N2340;0;10;5.73;;;;
PERINAT_P;2020;050000348;050002948;N2530;9;16;20.81;;;;
PERINAT_P;2020;050000348;050002948;N2800;10;15;18.82;;;;
PERINAT_P;2020;050000348;050002948;N280H;10;15;18.82;;;;
PERINAT_P;2020;050000348;050002948;NAUT;5;11;12.51;;;;
PERINAT_P;2020;060000478;060780897;M1140;6;0;1.92;;;;
PERINAT_P;2020;060000478;060780897;M2050;6;1;0.5;;;;
PERINAT_P;2020;060000478;060780897;N2530;19;6;22.81;;;;
PERINAT_P;2020;060000478;060780897;N2700;0;1;0.81;;;;
PERINAT_P;2020;060000478;060780897;N2800;16;15;27.14;;;;
PERINAT_P;2020;060000478;060780897;N280H;16;15;27.14;;;;
PERINAT_P;2020;060000478;060780897;NAUT;2;1;4.53;;;;
PERINAT_P;2020;060000510;060780954;M1030;5;2;5.85;1;0;0;0
PERINAT_P;2020;060000510;060780954;M1140;1;8;3.4;0;1;;
PERINAT_P;2020;060000510;060780954;M2050;5;1;3.3;0;1;;
PERINAT_P;2020;060000510;060780954;MIVG;1;;1;;;;
PERINAT_P;2020;060000510;060780954;N2700;;;0.3;;;;
PERINAT_P;2020;060000510;060780954;N2800;17;5;20.02;;;;
PERINAT_P;2020;060000544;060780988;M1030;0;10;1.21;1;0;0;0
PERINAT_P;2020;060000544;060780988;M1140;;4;0.74;1;0;;
PERINAT_P;2020;060000544;060780988;M2050;4;9;8.47;1;0;;
PERINAT_P;2020;060000544;060780988;MIVG;;1;0.1;;;;
PERINAT_P;2020;060000544;060780988;N2200;1;;1.7;;;;
PERINAT_P;2020;060000544;060780988;N2340;2;2;3.02;;;;
PERINAT_P;2020;060000544;060780988;N2530;20;17;32.71;;;;
PERINAT_P;2020;060000544;060780988;N2700;;1;0.42;;;;
PERINAT_P;2020;060000544;060780988;N2800;22;8;26.51;;;;
PERINAT_P;2020;060000544;060780988;N280H;11;1;11.95;;;;
PERINAT_P;2020;060000544;060780988;NAUT;7;8;10.75;;;;
PERINAT_P;2020;060002102;060791761;M2050;1;;0.8;0;0;;
PERINAT_P;2020;060002102;060791761;N2800;1;;1;;;;
PERINAT_P;2020;060002102;060791761;NAUT;1;;1;;;;
PERINAT_P;2020;060780517;060000239;M1030;;13;0;0;1;;0
PERINAT_P;2020;060780517;060000239;M1140;;5;0;0;1;;
PERINAT_P;2020;060780517;060000239;M2050;;9;0;0;1;;
PERINAT_P;2020;060780517;060000239;MIVG;;6;0;;;;
PERINAT_P;2020;060780517;060000239;N2530;9;2;13.38;;;;
PERINAT_P;2020;060780517;060000239;N2700;;1;0.47;;;;
PERINAT_P;2020;060780517;060000239;N2800;9;3;14.39;;;;
PERINAT_P;2020;060780517;060000239;N280H;1;0;1;;;;
PERINAT_P;2020;060780517;060000239;NAUT;;1;0.55;;;;
PERINAT_P;2020;060780715;060000361;M1030;;8;3.6;1;;;
PERINAT_P;2020;060780715;060000361;M1140;;12;5;0;0;;
PERINAT_P;2020;060780715;060000361;M2050;;17;6;1;;;
PERINAT_P;2020;060780715;060000361;N2340;2;;2;;;;
PERINAT_P;2020;060780715;060000361;N2700;;1;0.2;;;;
PERINAT_P;2020;060780715;060000361;N2800;18;3;19.1;;;;
PERINAT_P;2020;060780715;060000361;N280H;8;1;8.6;;;;
PERINAT_P;2020;060780756;060000403;M1030;5;;5;1;0;;
PERINAT_P;2020;060780756;060000403;M1140;2;4;6;0;1;;
PERINAT_P;2020;060780756;060000403;M2050;;20;20;1;0;;
PERINAT_P;2020;060780756;060000403;N2340;4;;3.09;;;;
PERINAT_P;2020;060780756;060000403;N2700;;1;0.51;;;;
PERINAT_P;2020;060780756;060000403;N2800;36;;26.52;;;;
PERINAT_P;2020;060789195;060785011;M1030;3;4;4.29;1;0;1;0
PERINAT_P;2020;060789195;060785011;M1140;4;7;7.09;1;0;;
PERINAT_P;2020;060789195;060785011;M2050;3;12;6.08;1;0;;
PERINAT_P;2020;060789195;060785011;MAUT;0;4;1.07;;;;
PERINAT_P;2020;060789195;060785011;MIVG;0;2;0.27;;;;
PERINAT_P;2020;060789195;060785011;N2200;19;7;20.12;;;;
PERINAT_P;2020;060789195;060785011;N2340;32;14;41.65;;;;
PERINAT_P;2020;060789195;060785011;N2530;38;10;40.99;;;;
PERINAT_P;2020;060789195;060785011;N2700;3;1;1.74;;;;
PERINAT_P;2020;060789195;060785011;N2800;58;16;65.25;;;;
PERINAT_P;2020;060789195;060785011;N280H;51;12;54.01;;;;
PERINAT_P;2020;060789195;060785011;NAUT;76;17;80.36;;;;
PERINAT_P;2020;070000013;070002878;M1140;;2;0.1;;;;
PERINAT_P;2020;070000013;070002878;MIVG;;1;0.1;;;;
PERINAT_P;2020;070000013;070002878;N2800;3;2;4.3;;;;
PERINAT_P;2020;070000013;070002878;NAUT;;2;1.65;;;;
PERINAT_P;2020;070000096;070780184;N2800;;3;2;;;;
PERINAT_P;2020;070000179;070780358;M1140;2;1;1.02;0;0;;
PERINAT_P;2020;070000179;070780358;M2050;3;0;1.95;0;1;;
PERINAT_P;2020;070000179;070780358;N2200;2;2;1.74;;;;
PERINAT_P;2020;070000179;070780358;N2340;0;4;2.69;;;;
PERINAT_P;2020;070000179;070780358;N2530;4;12;12.17;;;;
PERINAT_P;2020;070000179;070780358;N2700;2;0;0.34;;;;
PERINAT_P;2020;070000179;070780358;N2800;4;8;9.74;;;;
PERINAT_P;2020;070000179;070780358;N280H;4;8;9.74;;;;
PERINAT_P;2020;070000179;070780358;NAUT;5;6;7.62;;;;
PERINAT_P;2020;070000195;070780374;M2050;;2;0.2;0;0;;
PERINAT_P;2020;070000195;070780374;N2530;5;3;6.47;;;;
PERINAT_P;2020;070000195;070780374;N2700;;1;0.1;;;;
PERINAT_P;2020;070000195;070780374;N2800;3;5;4.81;;;;
PERINAT_P;2020;070000195;070780374;NAUT;;4;1.42;;;;
PERINAT_P;2020;070000609;070005566;M2050;7;1;4.11;;;;
PERINAT_P;2020;070000609;070005566;N2700;;1;0.2;;;;
PERINAT_P;2020;070000609;070005566;N2800;12;7;16.2;;;;
PERINAT_P;2020;070000609;070005566;N280H;12;7;16.2;;;;
PERINAT_P;2020;070000609;070005566;NAUT;8;8;16.97;;;;
PERINAT_P;2020;070780424;070000245;M1030;9;5;13;1;1;0;1
PERINAT_P;2020;070780424;070000245;M1140;3;2;4;0;1;;
PERINAT_P;2020;070780424;070000245;M2050;5;;5;0;1;;
PERINAT_P;2020;070780424;070000245;N2530;11;6;12.35;;;;
PERINAT_P;2020;070780424;070000245;N2700;;1;0.35;;;;
PERINAT_P;2020;070780424;070000245;N2800;8;10;13.48;;;;
PERINAT_P;2020;070780424;070000245;N280H;8;10;13.48;;;;
PERINAT_P;2020;070780424;070000245;NAUT;1;;1.2;;;;
PERINAT_P;2020;080000110;080011174;M1030;3;1;2.83;1;0;0;0
PERINAT_P;2020;080000110;080011174;M1140;2;;1.68;1;0;;
PERINAT_P;2020;080000110;080011174;M2050;4;2;3.83;1;0;;
PERINAT_P;2020;080000110;080011174;N2530;7;2;8.65;;;;
PERINAT_P;2020;080000110;080011174;N2700;;;0.2;;;;
PERINAT_P;2020;080000110;080011174;N2800;12;3;14.79;;;;
PERINAT_P;2020;080000110;080011174;NAUT;11;7;14.56;;;;
PERINAT_P;2020;080000425;080011174;M1030;4;1;4.51;1;0;1;0
PERINAT_P;2020;080000425;080011174;M1140;4;1;2.61;1;0;;
PERINAT_P;2020;080000425;080011174;M2050;7;;5.67;1;0;;
PERINAT_P;2020;080000425;080011174;N2200;7;9;11.54;;;;
PERINAT_P;2020;080000425;080011174;N2340;8;5;11.63;;;;
PERINAT_P;2020;080000425;080011174;N2530;15;9;21.45;;;;
PERINAT_P;2020;080000425;080011174;N2800;24;7;29.08;;;;
PERINAT_P;2020;080000425;080011174;N280H;13;5;16.34;;;;
PERINAT_P;2020;080000425;080011174;NAUT;3;2;4.59;;;;
PERINAT_P;2020;090000175;090781774;M1030;;;;1;;0;
PERINAT_P;2020;090000175;090781774;M1140;4;3;6.03;;1;;
PERINAT_P;2020;090000175;090781774;M2050;7;1;6.33;1;;;
PERINAT_P;2020;090000175;090781774;N2200;;6;1.72;;;;
PERINAT_P;2020;090000175;090781774;N2340;;9;2.84;;;;
PERINAT_P;2020;090000175;090781774;N2800;17;13;27.42;;;;
PERINAT_P;2020;090000175;090781774;NAUT;21;1;22.56;;;;
PERINAT_P;2020;090000183;090781816;M1030;;;0.11;1;0;;
PERINAT_P;2020;090000183;090781816;M1140;;1;0.5;0;0;;
PERINAT_P;2020;090000183;090781816;M2050;2;1;1.49;0;1;;
PERINAT_P;2020;090000183;090781816;N2530;3;1;3.86;;;;
PERINAT_P;2020;090000183;090781816;N2800;6;3;7.3;;;;
PERINAT_P;2020;090000183;090781816;N280H;5;3;7.1;;;;
PERINAT_P;2020;090000183;090781816;NAUT;5;;3.1;;;;
PERINAT_P;2020;090001629;090781774;M1140;;1;0.2;0;0;;
PERINAT_P;2020;090001629;090781774;M2050;;1;0.1;0;0;;
PERINAT_P;2020;090001629;090781774;N2800;;2;0.5;;;;
PERINAT_P;2020;090001629;090781774;NAUT;;2;0.7;;;;
PERINAT_P;2020;100000090;100000017;M1030;1;0;1;1;0;1;0
PERINAT_P;2020;100000090;100000017;M1140;1;8;8.01;0;1;;
PERINAT_P;2020;100000090;100000017;M2050;3;8;7.27;1;1;;
PERINAT_P;2020;100000090;100000017;MIVG;0;8;0.1;;;;
PERINAT_P;2020;100000090;100000017;N2200;12;7;17.04;;;;
PERINAT_P;2020;100000090;100000017;N2340;17;8;22.99;;;;
PERINAT_P;2020;100000090;100000017;N2530;22;3;21.63;;;;
PERINAT_P;2020;100000090;100000017;N2700;1;1;1.6;;;;
PERINAT_P;2020;100000090;100000017;N2800;32;15;43.81;;;;
PERINAT_P;2020;100000090;100000017;N280H;29;12;14.81;;;;
PERINAT_P;2020;100000090;100000017;NAUT;34;12;41.95;;;;
PERINAT_P;2020;100000199;100006279;M1030;;1;0.42;;;;
PERINAT_P;2020;100000199;100006279;M1140;;1;0.34;;;;
PERINAT_P;2020;100000199;100006279;M2050;1;1;1.2;;;;
PERINAT_P;2020;100000199;100006279;N2200;5;;5.25;;;;
PERINAT_P;2020;100000199;100006279;N2530;12;4;13.95;;;;
PERINAT_P;2020;100000199;100006279;N2800;11;2;12.34;;;;
PERINAT_P;2020;100000199;100006279;NAUT;2;;1.5;;;;
PERINAT_P;2020;100010818;100010792;M1030;4;;4;;;;
PERINAT_P;2020;100010818;100010792;M1140;2;1;2.5;;;;
PERINAT_P;2020;100010818;100010792;M2050;5;0;5;0;1;;
PERINAT_P;2020;100010818;100010792;MIVG;5;;5;;;;
PERINAT_P;2020;100010818;100010792;N2200;1;1;1.82;;;;
PERINAT_P;2020;100010818;100010792;N2340;1;0;1;;;;
PERINAT_P;2020;100010818;100010792;N2530;7;4;9.66;;;;
PERINAT_P;2020;100010818;100010792;N2800;9;2;10;;;;
PERINAT_P;2020;100010818;100010792;N280H;7;2;8;;;;
PERINAT_P;2020;100010818;100010792;NAUT;2;0;2;;;;
PERINAT_P;2020;110000023;110780061;M1030;3;9;2.01;1;0;1;0
PERINAT_P;2020;110000023;110780061;M1140;1;6;3.25;0;1;;
PERINAT_P;2020;110000023;110780061;M2050;5;9;7.14;1;0;;
PERINAT_P;2020;110000023;110780061;MIVG;;9;0.21;;;;
PERINAT_P;2020;110000023;110780061;N2200;2;0;2;;;;
PERINAT_P;2020;110000023;110780061;N2340;9;0;10.23;;;;
PERINAT_P;2020;110000023;110780061;N2530;23;9;29.93;;;;
PERINAT_P;2020;110000023;110780061;N2700;1;0;1;;;;
PERINAT_P;2020;110000023;110780061;N2800;25;20;36.81;;;;
PERINAT_P;2020;110000023;110780061;N280H;4;16;13.06;;;;
PERINAT_P;2020;110000023;110780061;NAUT;0;11;5.99;;;;
PERINAT_P;2020;110000049;110780087;M2050;0;1;0.12;0;0;;
PERINAT_P;2020;110000056;110780137;M1030;6;2;8.28;1;0;0;0
PERINAT_P;2020;110000056;110780137;M1140;5;1;4.41;0;1;;
PERINAT_P;2020;110000056;110780137;M2050;4;2;5.21;1;0;;
PERINAT_P;2020;110000056;110780137;N2340;;1;0.06;;;;
PERINAT_P;2020;110000056;110780137;N2800;17;3;18.65;;;;
PERINAT_P;2020;110000056;110780137;N280H;10;8;16.15;;;;
PERINAT_P;2020;110000056;110780137;NAUT;21;3;19.38;;;;
PERINAT_P;2020;110780483;110000155;M1140;2;;2;;;;
PERINAT_P;2020;110780483;110000155;M2050;1;;1;;;;
PERINAT_P;2020;110780483;110000155;N2700;;1;0.1;;;;
PERINAT_P;2020;120000039;120780044;M1030;1;9;3.5;1;0;0;0
PERINAT_P;2020;120000039;120780044;M1140;1;7;4.07;1;0;;
PERINAT_P;2020;120000039;120780044;M2050;6;5;7.5;1;0;;
PERINAT_P;2020;120000039;120780044;MIVG;0;3;0.15;;;;
PERINAT_P;2020;120000039;120780044;N2200;0;0;0.33;;;;
PERINAT_P;2020;120000039;120780044;N2340;8;8;12.24;;;;
PERINAT_P;2020;120000039;120780044;N2530;22;2;21.1;;;;
PERINAT_P;2020;120000039;120780044;N2700;0;1;0.07;;;;
PERINAT_P;2020;120000039;120780044;N2800;14;17;24.45;;;;
PERINAT_P;2020;120000039;120780044;N280H;14;17;24.45;;;;
PERINAT_P;2020;120000039;120780044;NAUT;11;6;12.59;;;;
PERINAT_P;2020;120000054;120780069;M1030;0;0;0;;1;;0
PERINAT_P;2020;120000054;120780069;M1140;1;1;1.38;;1;;
PERINAT_P;2020;120000054;120780069;M2050;0;6;0.42;;1;;
PERINAT_P;2020;120000054;120780069;N2530;3;4;5.69;;;;
PERINAT_P;2020;120000054;120780069;N2800;10;5;13.02;;;;
PERINAT_P;2020;120000054;120780069;N280H;10;5;13.02;;;;
PERINAT_P;2020;120000054;120780069;NAUT;9;4;10.34;;;;
PERINAT_P;2020;120000070;120780085;M1140;;2;0.28;0;0;;
PERINAT_P;2020;120000070;120780085;M2050;;4;0.6;0;0;;
PERINAT_P;2020;120000070;120780085;N2800;1;1;1.8;;;;
PERINAT_P;2020;120000070;120780085;NAUT;1;1;1.4;;;;
PERINAT_P;2020;120004569;120004528;M1030;;1;0.2;0;0;;
PERINAT_P;2020;120004569;120004528;M1140;;4;1.56;0;1;;
PERINAT_P;2020;120004569;120004528;M2050;;5;2.8;0;1;;
PERINAT_P;2020;120004569;120004528;MIVG;;1;0.2;;;;
PERINAT_P;2020;120004569;120004528;N2800;7;3;9.82;;;;
PERINAT_P;2020;120004569;120004528;N280H;5;3;8.32;;;;
PERINAT_P;2020;120004668;120004619;M1030;;1;0.14;0;1;0;1
PERINAT_P;2020;120004668;120004619;M1140;;4;1.14;0;1;;
PERINAT_P;2020;120004668;120004619;M2050;;2;0.68;0;1;;
PERINAT_P;2020;120004668;120004619;MAUT;;2;0.12;;;;
PERINAT_P;2020;120004668;120004619;N2530;6;1;6.8;;;;
PERINAT_P;2020;120004668;120004619;N2800;5;4;7.74;;;;
PERINAT_P;2020;120004668;120004619;N280H;5;4;7.74;;;;
PERINAT_P;2020;120004668;120004619;NAUT;;2;0.35;;;;
PERINAT_P;2020;130000409;130041916;M1030;0;13;3.54;1;0;1;0
PERINAT_P;2020;130000409;130041916;M1140;0;5;2.15;1;0;;
PERINAT_P;2020;130000409;130041916;M2050;2;19;7.25;1;0;;
PERINAT_P;2020;130000409;130041916;MIVG;0;5;0.61;;;;
PERINAT_P;2020;130000409;130041916;N2200;13;22;28.03;;;;
PERINAT_P;2020;130000409;130041916;N2340;14;14;22.3;;;;
PERINAT_P;2020;130000409;130041916;N2530;19;12;26.57;;;;
PERINAT_P;2020;130000409;130041916;N2700;3;2;3.59;;;;
PERINAT_P;2020;130000409;130041916;N2800;21;14;30;;;;
PERINAT_P;2020;130000409;130041916;N280H;21;14;30;;;;
PERINAT_P;2020;130000409;130041916;NAUT;47;42;72.11;;;;
PERINAT_P;2020;130000565;130781446;M1030;;;;1;0;0;0
PERINAT_P;2020;130000565;130781446;M1140;2;4;0.77;1;0;;
PERINAT_P;2020;130000565;130781446;M2050;4;4;4.99;1;0;;
PERINAT_P;2020;130000565;130781446;MIVG;;2;0.3;;;;
PERINAT_P;2020;130000565;130781446;N2200;1;1;1.73;;;;
PERINAT_P;2020;130000565;130781446;N2530;23;5;25.09;;;;
PERINAT_P;2020;130000565;130781446;N2700;;1;0.4;;;;
PERINAT_P;2020;130000565;130781446;N2800;13;11;22.34;;;;
PERINAT_P;2020;130000565;130781446;N280H;7;6;12.47;;;;
PERINAT_P;2020;130000565;130781446;NAUT;;1;0.2;;;;
PERINAT_P;2020;130001225;130782634;M1030;;7;4.71;1;0;0;0
PERINAT_P;2020;130001225;130782634;M1140;4;2;5.81;1;0;;
PERINAT_P;2020;130001225;130782634;M2050;;9;5.74;1;0;;
PERINAT_P;2020;130001225;130782634;MIVG;;6;0.47;;;;
PERINAT_P;2020;130001225;130782634;N2200;1;1;2.25;;;;
PERINAT_P;2020;130001225;130782634;N2340;3;12;11.93;;;;
PERINAT_P;2020;130001225;130782634;N2530;6;20;21.05;;;;
PERINAT_P;2020;130001225;130782634;N2700;;2;0.89;;;;
PERINAT_P;2020;130001225;130782634;N2800;16;15;27.01;;;;
PERINAT_P;2020;130001225;130782634;N280H;16;15;27.01;;;;
PERINAT_P;2020;130001225;130782634;NAUT;11;7;16.9;;;;
