BOR;AN;nofinesset;nofinessej;AUTSU;AUTGEN;AUTSAIS;AUTPED;EMG
URGENCES;2020;010000024;010780054;1;1;0;0;
URGENCES;2020;010000032;010780062;1;1;0;0;0
URGENCES;2020;010005239;010008407;1;1;0;0;0
URGENCES;2020;010780195;010000156;1;1;0;0;1
URGENCES;2020;010780203;010010718;1;1;0;0;
URGENCES;2020;020000162;020000063;1;1;0;1;1
URGENCES;2020;020000394;020000253;1;1;0;1;0
URGENCES;2020;020000519;020000261;1;1;0;1;0
URGENCES;2020;020000535;020000287;1;1;0;0;1
URGENCES;2020;020001061;020004404;1;1;0;0;
URGENCES;2020;020001087;020004495;1;1;0;0;0
URGENCES;2020;020010047;020001632;1;1;0;0;0
URGENCES;2020;030000061;030780092;1;1;0;0;1
URGENCES;2020;030000079;030780100;1;1;0;0;1
URGENCES;2020;030000087;030780118;1;1;0;0;1
URGENCES;2020;030781116;030000426;1;1;0;0;
URGENCES;2020;040000093;040780215;1;1;0;0;0
URGENCES;2020;040000135;050002948;1;1;0;0;
URGENCES;2020;040000911;040788879;1;1;0;0;1
URGENCES;2020;050000231;050000116;1;1;0;0;
URGENCES;2020;050000256;050000124;1;1;0;0;
URGENCES;2020;050000348;050002948;1;1;0;0;1
URGENCES;2020;060000478;060780897;1;1;0;0;
URGENCES;2020;060000510;060780954;1;1;0;0;
URGENCES;2020;060000544;060780988;1;1;0;0;1
URGENCES;2020;060002102;060791761;1;1;0;0;1
URGENCES;2020;060780491;060790797;1;1;0;0;0
URGENCES;2020;060780517;060000239;1;1;0;0;0
URGENCES;2020;060780715;060000361;1;1;0;0;0
URGENCES;2020;060780723;060004959;1;1;0;0;0
URGENCES;2020;060780947;060800174;1;0;0;1;
URGENCES;2020;060785003;060785011;1;1;0;0;1
URGENCES;2020;070000013;070002878;1;1;0;0;1
URGENCES;2020;070000179;070780358;1;1;0;0;1
URGENCES;2020;070000609;070005566;1;1;0;0;1
URGENCES;2020;070780424;070000245;1;1;0;0;
URGENCES;2020;080000110;080011174;1;1;0;0;0
URGENCES;2020;080000219;080001969;1;1;0;0;0
URGENCES;2020;080000276;080001969;1;1;0;0;0
URGENCES;2020;080000425;080011174;1;1;0;0;1
URGENCES;2020;090000175;090781774;1;1;0;0;
URGENCES;2020;090000183;090781816;1;1;0;0;
URGENCES;2020;090001629;090781774;1;1;0;0;0
URGENCES;2020;100000090;100000017;1;1;0;0;0
URGENCES;2020;100000199;100006279;1;1;0;0;0
URGENCES;2020;110000023;110780061;1;1;0;0;1
URGENCES;2020;110000049;110780087;1;1;0;0;0
URGENCES;2020;110000056;110780137;1;1;0;0;1
URGENCES;2020;110780228;110000114;1;1;0;0;0
URGENCES;2020;110780483;110000155;1;1;0;0;0
URGENCES;2020;120000039;120780044;1;1;0;0;0
URGENCES;2020;120000054;120780069;1;1;0;0;1
URGENCES;2020;120000070;120780085;1;1;0;0;0
URGENCES;2020;120004569;120004528;1;1;0;0;0
URGENCES;2020;120004668;120004619;1;1;0;0;0
URGENCES;2020;130000409;130041916;1;1;0;0;1
URGENCES;2020;130000565;130781446;1;1;0;0;1
URGENCES;2020;130001225;130782634;1;1;0;0;1
URGENCES;2020;130002215;130785512;1;1;0;0;0
URGENCES;2020;130002827;130789274;1;1;0;0;1
URGENCES;2020;130002835;130789316;1;1;0;0;1
URGENCES;2020;130043664;130002157;1;1;0;0;0
URGENCES;2020;130780521;130786049;1;1;0;0;1
URGENCES;2020;130781479;130000599;1;1;0;0;0
URGENCES;2020;130782071;130002454;1;1;0;0;
URGENCES;2020;130782147;130000979;1;1;0;0;0
URGENCES;2020;130783293;130786049;1;1;0;0;1
URGENCES;2020;130784713;130038847;1;1;0;0;0
URGENCES;2020;130785652;130014228;1;1;0;0;0
URGENCES;2020;130786361;130002447;1;1;0;0;0
URGENCES;2020;130786742;750821092;1;1;0;0;1
URGENCES;2020;130804297;130786049;1;0;0;1;
URGENCES;2020;140000027;140000035;1;1;0;0;1
URGENCES;2020;140000209;140000100;1;1;0;1;1
URGENCES;2020;140000233;140000118;1;1;0;0;0
URGENCES;2020;140000373;140000159;1;1;0;0;0
URGENCES;2020;140002452;140025800;1;0;0;0;0
URGENCES;2020;140016759;140003146;1;1;0;0;
URGENCES;2020;140017237;140003278;1;1;0;0;
URGENCES;2020;140024886;140000092;1;1;0;0;0
URGENCES;2020;140026410;140026279;1;1;0;0;
URGENCES;2020;150000032;150780088;1;1;0;0;0
URGENCES;2020;150000040;150780096;1;1;0;0;0
URGENCES;2020;150000164;150780468;1;1;0;0;0
URGENCES;2020;160000253;160000451;1;1;0;0;1
URGENCES;2020;160000303;160006037;1;1;0;0;1
URGENCES;2020;160000311;160000485;1;1;0;0;1
URGENCES;2020;160000337;160000493;1;1;0;0;0
URGENCES;2020;160015368;160014411;1;1;0;0;1
URGENCES;2020;170000038;170780050;1;1;0;0;0
URGENCES;2020;170000087;170024194;1;1;0;0;
URGENCES;2020;170000095;170780167;1;1;0;0;0
