BOR;AN;nofinesset;nofinessej;EQUIPIMA;NB;NBEXP;ACTET;ACTEXET;ACTEXEJ;ACTEX;ACTNUI;ACTINT
IMAGES;2020;060780590;060000270;RADIO;2;;;;;;;0
IMAGES;2020;060780715;060000361;IRM;2;2;209;;;21108;0;0
IMAGES;2020;060780715;060000361;LITHO;1;1;170;;;;;
IMAGES;2020;060780715;060000361;RADIO;2;2;16590;;;7259;;
IMAGES;2020;060780715;060000361;SCAN;2;2;3825;;;23631;;0
IMAGES;2020;060780715;060000361;VASC;5;5;1691;;;;;
IMAGES;2020;060780715;060000361;dtIRM1;1;1;50;;;10563;;0
IMAGES;2020;060780723;060004959;LITHO;1;;;;;;;
IMAGES;2020;060780723;060004959;RADIO;2;;;;;;;
IMAGES;2020;060780723;060004959;SCAN;1;;;;;;;
IMAGES;2020;060780723;060004959;VASC;1;;;;;;;
IMAGES;2020;060780756;060000403;RADIO;1;1;358;;;;;
IMAGES;2020;060780947;060800174;IRM;1;1;981;;10571;5049;;0
IMAGES;2020;060780947;060800174;SCAN;1;1;1644;;12298;1909;;0
IMAGES;2020;060780996;630786754;RADIO;1;1;755;;;;;0
IMAGES;2020;060781200;060000635;LITHO;1;1;28;;;;;
IMAGES;2020;060781200;060000635;RADIO;5;5;2190;;;1498;;
IMAGES;2020;060785003;060785011;IRM;3;3;4685;187;113;9401;51;0
IMAGES;2020;060785003;060785011;RADIO;8;8;34946;506;23;40576;1423;0
IMAGES;2020;060785003;060785011;SCAN;3;3;26096;1711;253;20170;851;1
IMAGES;2020;060785003;060785011;VASC;2;2;1454;66;15;1208;22;1
IMAGES;2020;060785003;060785011;dtIRM2;1;1;770;87;91;4903;;
IMAGES;2020;060788957;060785011;RADIO;1;1;2398;7;0;57;0;0
IMAGES;2020;060789195;060785011;CAM;1;1;266;1082;26;2326;1;0
IMAGES;2020;060789195;060785011;IRM;1;1;562;33;12;3744;5;0
IMAGES;2020;060789195;060785011;RADIO;2;2;8577;7;0;1435;121;0
IMAGES;2020;060789195;060785011;SCAN;2;2;5713;75;141;6992;21;1
IMAGES;2020;060789195;060785011;TOMO;1;1;236;421;17;2788;4;0
IMAGES;2020;060789195;060785011;VASC;1;1;3650;62;352;783;18;1
IMAGES;2020;060789674;130037815;RADIO;1;1;2497;;;;;
IMAGES;2020;060790177;060785011;RADIO;1;1;153;4;0;90;0;0
IMAGES;2020;060791811;060010808;RADIO;2;2;6343;;64;5;;0
IMAGES;2020;060794013;060790797;CAM;1;;;;;;;
IMAGES;2020;060794013;060790797;IRM;2;;;;;;;
IMAGES;2020;060794013;060790797;SCAN;2;;;;;;;
IMAGES;2020;060794013;060790797;VASC;3;3;6719;66;0;0;0;1
IMAGES;2020;060798881;060798873;RADIO;1;1;500;;;;;1
IMAGES;2020;060800174;060800174;IRM;1;1;62;511;;7757;;
IMAGES;2020;060800174;060800174;SCAN;1;1;3;843;;7147;;
IMAGES;2020;070000013;070002878;MAMM;1;1;;;;1033;;
IMAGES;2020;070000013;070002878;RADIO;2;2;1175;;;7083;35;1
IMAGES;2020;070000013;070002878;SCAN;1;1;2557;;;4521;12;1
IMAGES;2020;070000070;070780150;RADIO;1;1;71;;;1955;;
IMAGES;2020;070000096;070780184;RADIO;1;;;;;;;
IMAGES;2020;070000179;070780358;IRM;1;1;274;;;5030;;0
IMAGES;2020;070000179;070780358;MAMM;1;1;;;;1885;;
IMAGES;2020;070000179;070780358;RADIO;3;3;5957;;;17368;;0
IMAGES;2020;070000179;070780358;SCAN;1;1;1397;;;10117;;0
IMAGES;2020;070000187;070780366;RADIO;1;1;319;130;0;1805;0;0
IMAGES;2020;070000195;070780374;RADIO;1;1;380;83;0;71;0;0
IMAGES;2020;070000609;070005566;IRM;1;1;276;;956;4763;7;0
IMAGES;2020;070000609;070005566;MAMM;1;1;;;;1015;;
IMAGES;2020;070000609;070005566;RADIO;2;2;3351;;;21299;134;0
IMAGES;2020;070000609;070005566;SCAN;1;1;2276;;944;6980;84;0
IMAGES;2020;080000110;080011174;RADIO;3;3;4369;;;7949;184;0
IMAGES;2020;080000110;080011174;SCAN;1;1;3018;;;2384;132;0
IMAGES;2020;080000219;080001969;MAMM;1;1;;;;70;;
IMAGES;2020;080000219;080001969;RADIO;3;3;2878;;;9230;45;0
IMAGES;2020;080000219;080001969;SCAN;1;1;1206;30;;6840;54;0
IMAGES;2020;080000276;080001969;RADIO;2;2;1219;;;4171;6;0
IMAGES;2020;080000284;080011174;MAMM;1;1;;;;1449;;
IMAGES;2020;080000284;080011174;RADIO;2;2;92;;;2202;;0
IMAGES;2020;080000284;080011174;SCAN;1;1;11;;;1284;;0
IMAGES;2020;080000425;080011174;CAM;2;2;336;;12;3428;;0
IMAGES;2020;080000425;080011174;IRM;2;2;1248;;25;6317;;0
IMAGES;2020;080000425;080011174;LITHO;1;1;36;;;;;1
IMAGES;2020;080000425;080011174;MAMM;1;1;;;;30;;
IMAGES;2020;080000425;080011174;RADIO;7;7;17886;;50;28273;;0
IMAGES;2020;080000425;080011174;SCAN;2;2;8096;;18;6574;;1
IMAGES;2020;080000425;080011174;VASC;1;1;82;;;618;;1
IMAGES;2020;090000019;090180019;RADIO;1;1;729;0;0;0;0;0
IMAGES;2020;090000175;090781774;IRM;1;1;527;5;4;6344;32;0
IMAGES;2020;090000175;090781774;RADIO;5;5;10680;57;15;20722;339;1
IMAGES;2020;090000175;090781774;SCAN;1;1;7845;231;4;10616;294;1
IMAGES;2020;090000183;090781816;MAMM;1;1;;;;1380;;
IMAGES;2020;090000183;090781816;RADIO;6;3;2481;;;13880;76;0
IMAGES;2020;090000183;090781816;SCAN;1;1;2087;;;5028;68;0
IMAGES;2020;090001629;090781774;RADIO;2;2;511;0;0;3809;19;0
IMAGES;2020;100000090;100000017;CAM;2;2;336;;;823;4;
IMAGES;2020;100000090;100000017;IRM;2;2;1782;20;;4756;5;0
IMAGES;2020;100000090;100000017;MAMM;2;2;;;;2928;;
IMAGES;2020;100000090;100000017;RADIO;3;3;18374;476;;23803;366;1
IMAGES;2020;100000090;100000017;SCAN;2;2;16892;289;;9598;530;1
IMAGES;2020;100000090;100000017;TOMO;1;1;248;9;;571;3;
IMAGES;2020;100000090;100000017;VASC;1;1;1407;;;;;1
IMAGES;2020;100000090;100000017;dtIRM2;1;1;1249;11;;3320;;0
IMAGES;2020;100000124;100009075;IRM;2;;;;;;;
IMAGES;2020;100000124;100009075;SCAN;1;;;;;;;
IMAGES;2020;100000199;100006279;IRM;1;1;28;7;0;702;0;0
IMAGES;2020;100000199;100006279;RADIO;3;3;760;55;370;9333;153;0
IMAGES;2020;100000199;100006279;SCAN;1;1;1905;220;58;4339;91;0
IMAGES;2020;100010818;100010792;IRM;1;1;105;;;17701;;0
IMAGES;2020;100010818;100010792;LITHO;1;1;45;;;;;
IMAGES;2020;100010818;100010792;RADIO;5;5;352;;;31025;11;
IMAGES;2020;100010818;100010792;SCAN;1;1;2095;;;19950;;0
IMAGES;2020;110000023;110780061;CAM;2;2;358;8;2;2201;0;0
IMAGES;2020;110000023;110780061;IRM;2;2;1786;30;2;4340;20;0
IMAGES;2020;110000023;110780061;RADIO;4;4;12217;48;2;15332;512;0
IMAGES;2020;110000023;110780061;SCAN;2;2;10471;181;0;7729;360;0
IMAGES;2020;110000023;110780061;VASC;2;2;1429;0;0;0;7;1
IMAGES;2020;110000023;110780061;dtIRM1;1;1;0;0;0;772;;0
IMAGES;2020;110000049;110780087;MAMM;1;1;;;;599;;
IMAGES;2020;110000049;110780087;RADIO;2;2;850;;;11316;;
IMAGES;2020;110000049;110780087;SCAN;1;1;900;;;5805;;
IMAGES;2020;110000056;110780137;IRM;1;1;1239;;;4415;;0
IMAGES;2020;110000056;110780137;MAMM;1;1;;;;837;;
IMAGES;2020;110000056;110780137;RADIO;3;3;10652;;;18374;;1
IMAGES;2020;110000056;110780137;SCAN;1;1;6580;;;6366;;1
IMAGES;2020;110780228;110000114;IRM;1;;;;;;;
IMAGES;2020;110780228;110000114;RADIO;3;;;;;;;
IMAGES;2020;110780228;110000114;SCAN;1;;;;;;;
IMAGES;2020;120000039;120780044;CAM;1;1;244;0;0;3011;0;
IMAGES;2020;120000039;120780044;IRM;1;1;1208;0;0;4835;79;0
IMAGES;2020;120000039;120780044;MAMM;1;1;;;;2033;;
IMAGES;2020;120000039;120780044;RADIO;3;3;8720;0;0;22862;371;1
IMAGES;2020;120000039;120780044;SCAN;1;1;5214;0;0;9723;323;1
IMAGES;2020;120000039;120780044;TOMO;1;1;45;0;0;2262;0;
IMAGES;2020;120000039;120780044;VASC;2;2;2407;0;0;193;7;1
IMAGES;2020;120000054;120780069;IRM;1;1;108;;;4239;;
IMAGES;2020;120000054;120780069;MAMM;1;1;;;;713;;
IMAGES;2020;120000054;120780069;RADIO;10;10;2545;;;17844;;
IMAGES;2020;120000054;120780069;SCAN;1;1;1373;;;6465;;
IMAGES;2020;120000070;120780085;RADIO;2;2;1759;0;;6554;61;
IMAGES;2020;120000070;120780085;SCAN;1;1;1000;0;;3360;17;
IMAGES;2020;120000088;120780093;RADIO;1;1;300;;;170;;
IMAGES;2020;120000096;120780101;RADIO;1;1;382;;;338;;
IMAGES;2020;120004569;120004528;IRM;1;1;263;;25;4803;6;0
IMAGES;2020;120004569;120004528;MAMM;1;1;;;;1485;;
IMAGES;2020;120004569;120004528;RADIO;2;2;2697;;;13559;;0
IMAGES;2020;120004569;120004528;SCAN;1;1;2532;;12;7795;65;0
IMAGES;2020;120004668;120004619;MAMM;1;;;;;;;
IMAGES;2020;120004668;120004619;RADIO;2;2;1060;;;6199;45;0
IMAGES;2020;120004668;120004619;SCAN;1;1;1639;;;2481;62;0
IMAGES;2020;130000409;130041916;CAM;3;3;441;;80;5708;;
IMAGES;2020;130000409;130041916;IRM;2;2;2029;50;89;5301;88;0
IMAGES;2020;130000409;130041916;LITHO;1;1;52;;;;;
IMAGES;2020;130000409;130041916;MAMM;1;1;;;;1386;;
IMAGES;2020;130000409;130041916;RADIO;4;4;14497;76;1371;24237;921;
IMAGES;2020;130000409;130041916;SCAN;2;2;8683;119;207;17520;637;1
IMAGES;2020;130000409;130041916;TOMO;1;1;191;;77;5141;;
IMAGES;2020;130000409;130041916;VASC;2;2;2208;180;481;150;11;1
IMAGES;2020;130000433;130781131;RADIO;1;1;68;;;;;1
IMAGES;2020;130000516;130781339;RADIO;3;3;2955;;;1186;;1
IMAGES;2020;130000565;130781446;IRM;1;1;102;;;2828;67;0
IMAGES;2020;130000565;130781446;RADIO;3;3;5576;;;12146;264;1
IMAGES;2020;130000565;130781446;SCAN;1;1;5558;;;5974;208;1
IMAGES;2020;130001225;130782634;RADIO;3;3;5286;;;17004;342;1
IMAGES;2020;130001225;130782634;SCAN;1;1;6050;;;11555;393;1
IMAGES;2020;130001225;130782634;dtIRM2;0;;;;;;;1
IMAGES;2020;130001647;130784127;CAM;1;1;1657;;;2692;0;0
IMAGES;2020;130001647;130784127;IRM;2;2;1592;;;13660;126;0
IMAGES;2020;130001647;130784127;MAMM;2;2;;;;15556;;
IMAGES;2020;130001647;130784127;RADIO;1;1;4037;;;341;;0
IMAGES;2020;130001647;130784127;SCAN;3;3;19268;;;23702;325;1
IMAGES;2020;130001647;130784127;TOMO;2;2;422;;;7792;0;0
IMAGES;2020;130001647;130784127;VASC;2;2;6582;;;946;6;1
IMAGES;2020;130002215;130785512;RADIO;2;2;3688;;;12198;;1
IMAGES;2020;130002215;130785512;SCAN;1;1;3317;;;9077;;1
IMAGES;2020;130002827;130789274;IRM;1;1;336;;;1633;;0
IMAGES;2020;130002827;130789274;RADIO;4;4;6464;;;12315;;0
IMAGES;2020;130002827;130789274;SCAN;2;2;4363;;;6618;;0
IMAGES;2020;130002835;130789316;IRM;1;1;513;14;;5347;69;0
IMAGES;2020;130002835;130789316;MAMM;1;1;;;;879;;
IMAGES;2020;130002835;130789316;RADIO;4;4;5432;58;;10051;265;0
IMAGES;2020;130002835;130789316;SCAN;1;1;5945;89;;7632;240;1
IMAGES;2020;130037922;130037823;CAM;2;2;116;;5259;;;0
IMAGES;2020;130037922;130037823;IRM;1;1;340;;22883;;;0
IMAGES;2020;130037922;130037823;LITHO;1;;;;;;;
IMAGES;2020;130037922;130037823;RADIO;2;2;2321;;12458;;16;
IMAGES;2020;130037922;130037823;SCAN;1;1;847;;24813;;0;1
IMAGES;2020;130041767;130041262;VASC;2;2;3576;;;;6;1
IMAGES;2020;130042096;130042062;IRM;1;1;67;;;;;
IMAGES;2020;130042096;130042062;LITHO;1;0;0;;;;;
IMAGES;2020;130042096;130042062;MAMM;1;0;;;;;;
IMAGES;2020;130042096;130042062;RADIO;2;2;412;;;;;
IMAGES;2020;130042096;130042062;SCAN;1;1;411;;;;;
IMAGES;2020;130042096;130042062;VASC;2;2;3841;;;;;
IMAGES;2020;130042526;310021399;RADIO;1;1;1704;;;;;0
IMAGES;2020;130043664;130002157;IRM;3;;;;;;;0
IMAGES;2020;130043664;130002157;LITHO;1;1;254;;1;0;9;1
IMAGES;2020;130043664;130002157;MAMM;2;2;;;;4316;;
IMAGES;2020;130043664;130002157;RADIO;4;4;12563;;394;27363;375;1
IMAGES;2020;130043664;130002157;SCAN;3;;;;;;;1
IMAGES;2020;130043664;130002157;VASC;1;1;1025;;1;113;4;1
IMAGES;2020;130780521;130786049;CAM;2;2;712;;;3021;;0
IMAGES;2020;130780521;130786049;IRM;2;2;2002;;;7124;9;0
IMAGES;2020;130780521;130786049;MAMM;1;1;;;;1019;;
IMAGES;2020;130780521;130786049;RADIO;5;5;10654;;;18834;425;
IMAGES;2020;130780521;130786049;SCAN;3;3;19192;;;14120;405;1
IMAGES;2020;130780521;130786049;TOMO;1;1;285;;;2262;;0
IMAGES;2020;130780521;130786049;VASC;1;1;948;;;353;0;
IMAGES;2020;130780521;130786049;dtIRM2;1;1;438;;;4163;;0
IMAGES;2020;130781438;130000557;RADIO;1;1;568;0;0;0;0;0
IMAGES;2020;130781479;130000599;CAM;2;2;109;0;109;4526;;0
IMAGES;2020;130781479;130000599;IRM;1;1;1175;;12;10265;0;0
IMAGES;2020;130781479;130000599;MAMM;1;1;;;;4274;;
IMAGES;2020;130781479;130000599;RADIO;3;3;8145;;;11989;319;
IMAGES;2020;130781479;130000599;SCAN;1;1;5654;;112;15671;3;1
IMAGES;2020;130781479;130000599;TOMO;1;;;;;;;
IMAGES;2020;130781479;130000599;VASC;3;3;2450;;;1848;;
IMAGES;2020;130782071;130002454;IRM;1;;;;;;;
IMAGES;2020;130782071;130002454;MAMM;1;;;;;;;
IMAGES;2020;130782071;130002454;RADIO;2;;;;;;;
IMAGES;2020;130782071;130002454;SCAN;1;;;;;;;
IMAGES;2020;130782147;130000979;IRM;2;;;;;;;0
IMAGES;2020;130782147;130000979;MAMM;1;;;;;;;
IMAGES;2020;130782147;130000979;RADIO;3;;;;;;;0
IMAGES;2020;130782147;130000979;SCAN;1;;;;;;;0
IMAGES;2020;130782147;130000979;VASC;2;;;;;;;1
IMAGES;2020;130782147;130000979;dtIRM1;1;;;;;;;0
IMAGES;2020;130782162;130000987;LITHO;1;;;;;;;
IMAGES;2020;130782162;130000987;MAMM;1;;;;;;;
IMAGES;2020;130782162;130000987;RADIO;1;;;;;;;
IMAGES;2020;130782162;130000987;SCAN;1;;;;;;;
IMAGES;2020;130782675;130001233;LITHO;1;;;;;;;
IMAGES;2020;130782675;130001233;RADIO;2;;;;;;;
IMAGES;2020;130782675;130001233;VASC;1;;;;;;;
IMAGES;2020;130783236;130786049;IRM;1;1;1087;;;4180;;0
IMAGES;2020;130783236;130786049;RADIO;5;5;8184;;;3106;;1
IMAGES;2020;130783236;130786049;SCAN;1;1;5006;;;6306;9;1
IMAGES;2020;130783293;130786049;CAM;4;4;745;;;4966;;0
IMAGES;2020;130783293;130786049;IRM;4;4;8062;;;12506;75;1
IMAGES;2020;130783293;130786049;MAMM;1;1;;;;1084;;
IMAGES;2020;130783293;130786049;RADIO;6;6;18425;;;26219;727;1
IMAGES;2020;130783293;130786049;SCAN;4;4;46491;;;16677;925;1
IMAGES;2020;130783293;130786049;TOMO;1;1;1061;;;3649;;0
IMAGES;2020;130783293;130786049;VASC;4;4;6851;;;702;15;1
IMAGES;2020;130783293;130786049;dtIRM2;2;2;1429;;;7577;;0
IMAGES;2020;130783327;130001415;IRM;1;1;181;;;7961;;1
IMAGES;2020;130783327;130001415;MAMM;1;1;;;;1791;;
IMAGES;2020;130783327;130001415;RADIO;3;3;2228;;;3237;;
IMAGES;2020;130783327;130001415;SCAN;1;1;1030;;;11471;;1
IMAGES;2020;130783665;130043722;MAMM;1;1;;;;1260;;
IMAGES;2020;130783665;130043722;RADIO;4;4;545;;;9147;;
IMAGES;2020;130783665;130043722;SCAN;1;;;;;;;
IMAGES;2020;130783723;130001456;RADIO;3;3;3387;;;10120;;
IMAGES;2020;130784051;130037823;CAM;3;2;375;;7962;;;0
IMAGES;2020;130784051;130037823;IRM;2;1;5926;;32034;;17;0
IMAGES;2020;130784051;130037823;RADIO;3;2;16419;;10341;;182;0
IMAGES;2020;130784051;130037823;SCAN;1;1;14170;;20769;;11;1
IMAGES;2020;130784051;130037823;TOMO;1;1;382;;4868;;;
IMAGES;2020;130784051;130037823;VASC;3;3;2839;;;;;0
IMAGES;2020;130784051;130037823;dtIRM2;1;;;;;;;0
IMAGES;2020;130784234;130786049;IRM;2;2;871;;;9349;;0
IMAGES;2020;130784234;130786049;RADIO;4;4;5926;;;11900;;1
IMAGES;2020;130784234;130786049;SCAN;1;1;1127;;;6115;;1
IMAGES;2020;130784598;130001852;RADIO;1;1;208;0;0;0;0;0
IMAGES;2020;130784713;130038847;LITHO;1;1;956;;;;;1
IMAGES;2020;130784713;130038847;MAMM;1;1;;;;3427;;
IMAGES;2020;130784713;130038847;RADIO;2;2;4179;;;10465;0;1
IMAGES;2020;130784713;130038847;SCAN;1;1;3754;;502;8385;0;1
IMAGES;2020;130784713;130038847;VASC;2;2;2677;;;;1;1
IMAGES;2020;130784903;130002041;RADIO;1;1;963;;;;;0
IMAGES;2020;130785389;130002173;IRM;1;1;60;;;5125;;0
IMAGES;2020;130785389;130002173;LITHO;1;1;113;;;;;1
IMAGES;2020;130785389;130002173;RADIO;2;2;1477;;;10047;;0
IMAGES;2020;130785389;130002173;SCAN;1;1;153;;;12504;;0
IMAGES;2020;130785652;130014228;IRM;2;2;2645;;;10345;;0
IMAGES;2020;130785652;130014228;LITHO;1;1;13;;;;;1
IMAGES;2020;130785652;130014228;MAMM;1;1;;;;5930;;
IMAGES;2020;130785652;130014228;RADIO;6;6;27391;;;24455;;
IMAGES;2020;130785652;130014228;SCAN;2;2;13693;;;17214;;0
IMAGES;2020;130785652;130014228;VASC;2;2;1308;;;164;;1
IMAGES;2020;130785678;130002249;RADIO;2;2;3241;;;11403;4;1
IMAGES;2020;130785678;130002249;SCAN;1;1;1753;;502;8665;;1
IMAGES;2020;130785678;130002249;VASC;1;1;126;;;;;1
IMAGES;2020;130786361;130002447;IRM;1;;;;;;;
IMAGES;2020;130786361;130002447;LITHO;1;;;;;;;
IMAGES;2020;130786361;130002447;RADIO;1;;;;;;;
IMAGES;2020;130786361;130002447;SCAN;2;;;;;;;
