BOR;AN;nofinesset;nofinessej;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2020;040000093;040780215;MREG;7;8;1.15;1;0;0;0
SMURSAMU_P;2020;040000093;040780215;N1220;0;0;0;1;0;0;0
SMURSAMU_P;2020;040000093;040780215;N2120;0;0;0;1;0;0;0
SMURSAMU_P;2020;040000093;040780215;N2223;3;0;0.28;1;0;0;0
SMURSAMU_P;2020;040000093;040780215;N9999;3;0;0.28;1;0;0;0
SMURSAMU_P;2020;040000135;050002948;M9999;0;8;2.95;;0;0;0
SMURSAMU_P;2020;040000135;050002948;N2223;2;3;4.28;;0;0;0
SMURSAMU_P;2020;040000135;050002948;N9999;2;3;4.28;;0;0;0
SMURSAMU_P;2020;040000911;040788879;M9999;;14;3.6;1;1;11;3.9
SMURSAMU_P;2020;040000911;040788879;N1220;;;;;7;4;8.21
SMURSAMU_P;2020;040000911;040788879;N2120;;1;0.13;1;;1;0.13
SMURSAMU_P;2020;040000911;040788879;N2223;;18;1.61;1;;;
SMURSAMU_P;2020;040000911;040788879;N5140;;9;8.68;1;;;
SMURSAMU_P;2020;040000911;040788879;N9999;;28;10.42;1;7;5;8.34
SMURSAMU_P;2020;050000231;050000116;M9999;0;19;6.97;;0;0;0
SMURSAMU_P;2020;050000231;050000116;N1220;0;4;0.43;;0;0;0
SMURSAMU_P;2020;050000231;050000116;N2223;0;16;6.25;;0;0;0
SMURSAMU_P;2020;050000231;050000116;N9999;0;20;6.68;;0;0;0
SMURSAMU_P;2020;050000348;050002948;M9999;0;21;8.74;;0;14;5.34
SMURSAMU_P;2020;050000348;050002948;N1220;1;0;0.05;;9;3;10.62
SMURSAMU_P;2020;050000348;050002948;N2120;0;0;0;;0;1;0.1
SMURSAMU_P;2020;050000348;050002948;N2223;3;9;8.71;;0;0;0
SMURSAMU_P;2020;050000348;050002948;N2500;0;0;0;;1;0;1.64
SMURSAMU_P;2020;050000348;050002948;N9999;4;9;8.76;;10;4;12.37
SMURSAMU_P;2020;060000478;060780897;M9999;3;0;1.7;;0;0;0
SMURSAMU_P;2020;060000478;060780897;MREG;3;0;1.7;1;0;0;0
SMURSAMU_P;2020;060000510;060780954;M9999;;11;5.2;1;;;
SMURSAMU_P;2020;060000510;060780954;N2120;;;0.03;1;;;
SMURSAMU_P;2020;060000510;060780954;N2223;3;;3;1;;;
SMURSAMU_P;2020;060000510;060780954;N9999;3;;3.1;1;;;
SMURSAMU_P;2020;060000544;060780988;M9999;2;6;3.19;1;;;
SMURSAMU_P;2020;060000544;060780988;N2120;;1;0.2;;;;
SMURSAMU_P;2020;060000544;060780988;N2223;1;9;6;;;;
SMURSAMU_P;2020;060000544;060780988;N9999;1;10;6.2;;;;
SMURSAMU_P;2020;060002102;060791761;M9999;3;5;4.08;1;;;
SMURSAMU_P;2020;060002102;060791761;N2223;5;;5;1;;;
SMURSAMU_P;2020;060002102;060791761;N9999;5;;5;;;;
SMURSAMU_P;2020;060785003;060785011;M9999;5;42;19.1;1;1;1;8.1
SMURSAMU_P;2020;060785003;060785011;N1220;;;;;33;13;39.8
SMURSAMU_P;2020;060785003;060785011;N2120;1;;0.25;;;;
SMURSAMU_P;2020;060785003;060785011;N2223;28;2;19.55;;3;;1.31
SMURSAMU_P;2020;060785003;060785011;N2500;2;;2;;;;
SMURSAMU_P;2020;060785003;060785011;N5140;22;;21.64;;1;;0.36
SMURSAMU_P;2020;060785003;060785011;N9999;53;2;43.44;;37;13;41.47
SMURSAMU_P;2020;060789195;060785011;M1140;0;1;0.94;0;;;
SMURSAMU_P;2020;060789195;060785011;M9999;0;1;0.94;0;;;
SMURSAMU_P;2020;060789195;060785011;N2223;1;;1;;;;
SMURSAMU_P;2020;060789195;060785011;N9999;3;1;3;;;;
SMURSAMU_P;2020;070000013;070002878;M9999;3;3;4.64;;5;2;5.62
SMURSAMU_P;2020;070000013;070002878;MREG;3;3;4.64;;;;
SMURSAMU_P;2020;070000013;070002878;N1220;;;;;14;;14.66
SMURSAMU_P;2020;070000013;070002878;N2120;;;;;1;;0.6
SMURSAMU_P;2020;070000013;070002878;N2223;2;;1.84;;;;
SMURSAMU_P;2020;070000013;070002878;N2500;;;;;2;;2.57
SMURSAMU_P;2020;070000013;070002878;N9999;2;;1.84;;17;;17.83
SMURSAMU_P;2020;070000179;070780358;M9999;5;1;2.8;1;;;
SMURSAMU_P;2020;070000179;070780358;N2120;1;;0.1;1;;;
SMURSAMU_P;2020;070000179;070780358;N2223;6;;6.37;1;;;
SMURSAMU_P;2020;070000179;070780358;N9999;8;1;8.17;1;;;
SMURSAMU_P;2020;070000609;070005566;M9999;2;2;4.02;1;;;
SMURSAMU_P;2020;070000609;070005566;MREG;2;2;4.02;1;;;
SMURSAMU_P;2020;070000609;070005566;N2223;5;1;4.72;1;;;
SMURSAMU_P;2020;070000609;070005566;N5140;6;;6.5;1;;;
SMURSAMU_P;2020;070000609;070005566;N9999;11;1;11.22;1;;;
SMURSAMU_P;2020;080000110;080011174;M9999;4;2;1.83;1;;;
SMURSAMU_P;2020;080000110;080011174;N2120;1;;1;1;;;
SMURSAMU_P;2020;080000110;080011174;N2223;18;1;5.66;1;;;
SMURSAMU_P;2020;080000110;080011174;N5140;6;;5.67;1;;;
SMURSAMU_P;2020;080000110;080011174;N9999;25;1;12.33;1;;;
SMURSAMU_P;2020;080000219;080001969;M9999;0;4;2.14;;0;0;0
SMURSAMU_P;2020;080000219;080001969;N1220;0;2;0.46;;0;0;0
SMURSAMU_P;2020;080000219;080001969;N2120;0;2;0.2;;0;0;0
SMURSAMU_P;2020;080000219;080001969;N2223;1;15;6.15;;0;0;0
SMURSAMU_P;2020;080000219;080001969;N5140;0;4;2.42;;0;0;0
SMURSAMU_P;2020;080000219;080001969;N9999;1;23;9.23;;0;0;0
SMURSAMU_P;2020;080000276;080001969;M9999;0;2;0.15;;0;0;0
SMURSAMU_P;2020;080000276;080001969;N1220;0;1;0.25;;0;0;0
SMURSAMU_P;2020;080000276;080001969;N2120;0;2;0.2;;0;0;0
SMURSAMU_P;2020;080000276;080001969;N2223;0;3;1.77;;0;0;0
SMURSAMU_P;2020;080000276;080001969;N5140;0;6;4.2;;0;0;0
SMURSAMU_P;2020;080000276;080001969;N9999;0;12;6.42;;0;0;0
SMURSAMU_P;2020;080000425;080011174;M9999;12;3;8.04;1;9;1;3.21
SMURSAMU_P;2020;080000425;080011174;MREG;;0;;1;9;1;3.21
SMURSAMU_P;2020;080000425;080011174;N1220;;;;;8;;7.63
SMURSAMU_P;2020;080000425;080011174;N2120;;;;;1;;0.98
SMURSAMU_P;2020;080000425;080011174;N2223;4;20;10.64;1;;;
SMURSAMU_P;2020;080000425;080011174;N2500;;;0.03;;;;
SMURSAMU_P;2020;080000425;080011174;N5140;10;2;11.33;0;;;
SMURSAMU_P;2020;080000425;080011174;N9999;14;22;22;;10;;9.59
SMURSAMU_P;2020;080009814;080011174;M9999;7;2;2.53;1;;;
SMURSAMU_P;2020;080009814;080011174;N2223;6;;6;0;;;
SMURSAMU_P;2020;080009814;080011174;N2500;2;1;2.5;;;;
SMURSAMU_P;2020;080009814;080011174;N9999;8;1;8.5;0;;;
SMURSAMU_P;2020;090000175;090781774;M9999;;33;5.07;1;;33;4.76
SMURSAMU_P;2020;090000175;090781774;MREG;;;;1;;;
SMURSAMU_P;2020;090000175;090781774;N1220;;;;1;7;1;8.06
SMURSAMU_P;2020;090000175;090781774;N2120;;1;0.17;1;;;
SMURSAMU_P;2020;090000175;090781774;N2223;;33;6;1;;;
SMURSAMU_P;2020;090000175;090781774;N2500;;29;7.56;;;;
SMURSAMU_P;2020;090000175;090781774;N5140;;;;1;;;
SMURSAMU_P;2020;090000175;090781774;N9999;;63;13.73;1;7;1;8.06
SMURSAMU_P;2020;090000183;090781816;M9999;9;;4.75;1;;;
SMURSAMU_P;2020;090000183;090781816;N2120;1;0;0.4;1;;;
SMURSAMU_P;2020;090000183;090781816;N2223;1;;0.5;0;;;
SMURSAMU_P;2020;090000183;090781816;N5140;8;2;5.39;0;;;
SMURSAMU_P;2020;090000183;090781816;N9999;10;2;11.04;;;;
SMURSAMU_P;2020;100000090;100000017;M9999;0;15;4.94;1;0;5;2.47
SMURSAMU_P;2020;100000090;100000017;MREG;0;0;0;;0;5;2.47
SMURSAMU_P;2020;100000090;100000017;N1220;1;0;1;0;18;1;16.95
SMURSAMU_P;2020;100000090;100000017;N2223;12;5;14.78;0;0;0;0
SMURSAMU_P;2020;100000090;100000017;N5140;12;0;12.16;0;1;0;1
SMURSAMU_P;2020;100000090;100000017;N9999;25;5;27.94;0;20;1;19.45
SMURSAMU_P;2020;100000199;100006279;M9999;3;3;0.66;1;;;
SMURSAMU_P;2020;100000199;100006279;N1220;1;;1.08;;;;
SMURSAMU_P;2020;100000199;100006279;N2120;;;;1;;;
SMURSAMU_P;2020;100000199;100006279;N2223;6;;6.92;1;;;
SMURSAMU_P;2020;100000199;100006279;N5140;1;;0.92;1;;;
SMURSAMU_P;2020;100000199;100006279;N9999;;;;1;;;
SMURSAMU_P;2020;100010206;100000017;M9999;0;9;2.47;1;;;
SMURSAMU_P;2020;100010206;100000017;N2223;4;0;4;0;;;
SMURSAMU_P;2020;100010206;100000017;N9999;4;0;4;0;;;
SMURSAMU_P;2020;110000023;110780061;M9999;0;26;10.71;1;0;26;5.85
SMURSAMU_P;2020;110000023;110780061;MREG;;;;1;;;
SMURSAMU_P;2020;110000023;110780061;N1220;0;1;0.37;0;18;6;22.9
SMURSAMU_P;2020;110000023;110780061;N2120;0;1;0.09;0;0;1;0.24
SMURSAMU_P;2020;110000023;110780061;N2223;;20;13.6;0;;;
SMURSAMU_P;2020;110000023;110780061;N5140;13;2;13.55;0;;;
SMURSAMU_P;2020;110000023;110780061;N9999;13;24;27.62;0;18;7;23.14
SMURSAMU_P;2020;110000056;110780137;M1140;;;;1;;;
SMURSAMU_P;2020;110000056;110780137;M9999;16;8;8.72;1;;;
SMURSAMU_P;2020;110000056;110780137;MREG;;;;1;;;
SMURSAMU_P;2020;110000056;110780137;N1220;0;0;0;1;;;
SMURSAMU_P;2020;110000056;110780137;N2223;34;1;14.93;1;;;
SMURSAMU_P;2020;110000056;110780137;N2500;5;0;0.64;;;;
SMURSAMU_P;2020;110000056;110780137;N5140;0;0;;1;;;
SMURSAMU_P;2020;110000056;110780137;N9999;39;1;15.57;1;;;
SMURSAMU_P;2020;110007580;110780061;M9999;0;26;1.02;1;;;
SMURSAMU_P;2020;110007580;110780061;MREG;;;;1;;;
SMURSAMU_P;2020;110007580;110780061;N1220;0;1;0.05;1;;;
SMURSAMU_P;2020;110007580;110780061;N2120;0;1;0.05;1;;;
SMURSAMU_P;2020;110007580;110780061;N2223;0;20;1.01;0;;;
SMURSAMU_P;2020;110007580;110780061;N5140;0;3;1.14;0;;;
SMURSAMU_P;2020;110007580;110780061;N9999;0;25;2.25;1;;;
SMURSAMU_P;2020;110007598;110780061;M9999;0;26;4.76;1;;;
SMURSAMU_P;2020;110007598;110780061;N1220;0;1;0.08;1;;;
SMURSAMU_P;2020;110007598;110780061;N2120;0;1;0.08;1;;;
SMURSAMU_P;2020;110007598;110780061;N2223;2;20;6.24;1;;;
SMURSAMU_P;2020;110007598;110780061;N9999;2;22;6.4;1;;;
SMURSAMU_P;2020;120000039;120780044;M9999;0;21;2;;0;21;2
SMURSAMU_P;2020;120000039;120780044;N1220;0;0;0;;10;3;10.36
SMURSAMU_P;2020;120000039;120780044;N2120;0;0;0;;0;1;0.19
SMURSAMU_P;2020;120000039;120780044;N2223;12;0;11.26;;0;0;0
SMURSAMU_P;2020;120000039;120780044;N2500;6;0;5.91;;0;1;0.5
SMURSAMU_P;2020;120000039;120780044;N9999;18;0;17.22;;10;5;11.1
SMURSAMU_P;2020;120000054;120780069;M9999;0;7;1.49;1;0;0;0
SMURSAMU_P;2020;120000054;120780069;N2223;5;1;5.66;1;;;
SMURSAMU_P;2020;120000054;120780069;N9999;5;1;5.66;1;0;0;0
SMURSAMU_P;2020;120000070;120780085;M9999;;24;4.34;1;;;
SMURSAMU_P;2020;120000070;120780085;N2223;1;1;1.65;1;;;
SMURSAMU_P;2020;120000070;120780085;N9999;1;1;1.65;;;;
SMURSAMU_P;2020;120004569;120004528;M9999;7;6;4.52;1;;;
SMURSAMU_P;2020;120004569;120004528;N2223;14;2;6.5;;;;
SMURSAMU_P;2020;120004569;120004528;N9999;14;2;6.5;;;;
SMURSAMU_P;2020;120004668;120004619;M9999;;7;2.79;1;;;
SMURSAMU_P;2020;120004668;120004619;N2120;;1;0.2;1;;;
SMURSAMU_P;2020;120004668;120004619;N2223;2;3;4.74;1;;;
SMURSAMU_P;2020;120004668;120004619;N9999;2;4;4.94;1;;;
SMURSAMU_P;2020;130000409;130041916;M9999;0;10;4.45;1;;;
SMURSAMU_P;2020;130000409;130041916;N1220;;3;0.75;1;;;
SMURSAMU_P;2020;130000409;130041916;N2223;8;2;7.95;0;;;
SMURSAMU_P;2020;130000409;130041916;N2500;;6;2.22;;;;
SMURSAMU_P;2020;130000409;130041916;N9999;8;11;10.92;1;;;
SMURSAMU_P;2020;130000565;130781446;M9999;5;1;6;1;;;
SMURSAMU_P;2020;130000565;130781446;N2120;;1;0.1;1;;;
SMURSAMU_P;2020;130000565;130781446;N2223;5;3;7.5;1;;;
SMURSAMU_P;2020;130000565;130781446;N5140;6;;5.87;0;;;
SMURSAMU_P;2020;130000565;130781446;N9999;11;4;13.47;;;;
SMURSAMU_P;2020;130001225;130782634;M9999;;8;0.71;1;;;
SMURSAMU_P;2020;130001225;130782634;MREG;;8;0.71;1;;;
SMURSAMU_P;2020;130001225;130782634;N2120;;1;0.4;1;;;
SMURSAMU_P;2020;130001225;130782634;N9999;;1;0.4;1;;;
SMURSAMU_P;2020;130002215;130785512;M9999;7;4;4.8;1;;;
SMURSAMU_P;2020;130002215;130785512;N1220;1;0;0.5;1;;;
SMURSAMU_P;2020;130002215;130785512;N2120;1;;0.5;1;;;
SMURSAMU_P;2020;130002215;130785512;N2223;20;1;5.8;1;;;
SMURSAMU_P;2020;130002215;130785512;N9999;22;1;7.3;1;;;
SMURSAMU_P;2020;130002827;130789274;M9999;0;5;2.4;;0;0;0
SMURSAMU_P;2020;130002827;130789274;N2223;2;2;3.05;;0;0;0
SMURSAMU_P;2020;130002827;130789274;N9999;2;2;3.05;;0;0;0
SMURSAMU_P;2020;130002835;130789316;M9999;;21;7.78;;;;
SMURSAMU_P;2020;130002835;130789316;N1220;1;;1;;;;
SMURSAMU_P;2020;130002835;130789316;N2223;;51;7.71;;;;
SMURSAMU_P;2020;130002835;130789316;N9999;1;51;8.71;;;;
SMURSAMU_P;2020;130044977;130786049;M9999;;19;19;;;;
SMURSAMU_P;2020;130044977;130786049;MREG;;19;19;;;;
SMURSAMU_P;2020;130044977;130786049;N2223;13;;13;;;;
SMURSAMU_P;2020;130044977;130786049;N9999;13;;13;;;;
SMURSAMU_P;2020;130044985;130786049;M9999;14;;14;;;;
SMURSAMU_P;2020;130044985;130786049;MREG;8;;8;;;;
SMURSAMU_P;2020;130044985;130786049;N5140;9;;9;;;;
SMURSAMU_P;2020;130044985;130786049;N9999;9;9;17.66;;;;
SMURSAMU_P;2020;130044993;130786049;M9999;15;;15;;;;
SMURSAMU_P;2020;130044993;130786049;MREG;8;;8;;;;
SMURSAMU_P;2020;130044993;130786049;N5140;9;;9;;;;
SMURSAMU_P;2020;130044993;130786049;N9999;9;9;17.66;;;;
SMURSAMU_P;2020;130045008;130786049;M9999;14;;14;;;;
SMURSAMU_P;2020;130045008;130786049;MREG;6;;6;;;;
SMURSAMU_P;2020;130045008;130786049;N5140;9;;9;;;;
SMURSAMU_P;2020;130045008;130786049;N9999;9;9;17.66;;;;
SMURSAMU_P;2020;130045016;130786049;M9999;;1;0.7;;;;
SMURSAMU_P;2020;130045016;130786049;MREG;;1;0.7;;;;
SMURSAMU_P;2020;130045016;130786049;N2223;13;;13;;;;
SMURSAMU_P;2020;130045016;130786049;N9999;13;;13;;;;
SMURSAMU_P;2020;130045040;130786049;M9999;2;2;3.8;;;;
SMURSAMU_P;2020;130045040;130786049;MREG;2;2;3.8;;;;
SMURSAMU_P;2020;130045040;130786049;N2223;4;;4;;;;
SMURSAMU_P;2020;130045040;130786049;N5140;5;;5;;;;
SMURSAMU_P;2020;130045040;130786049;N9999;9;;9;;;;
SMURSAMU_P;2020;130780521;130786049;M9999;3;4;5.3;;;;
SMURSAMU_P;2020;130780521;130786049;MREG;3;4;5.3;;;;
SMURSAMU_P;2020;130780521;130786049;N2223;6;1;6.8;;;;
SMURSAMU_P;2020;130780521;130786049;N5140;6;;6;;;;
SMURSAMU_P;2020;130780521;130786049;N9999;12;1;12.8;;;;
SMURSAMU_P;2020;130783293;130786049;M1140;;4;2.5;;;;
SMURSAMU_P;2020;130783293;130786049;M9999;12;25;14.79;;11;30;15.78
SMURSAMU_P;2020;130783293;130786049;N1220;1;;1;;64;3;59.71
SMURSAMU_P;2020;130783293;130786049;N2120;1;1;1.71;;;;0.25
SMURSAMU_P;2020;130783293;130786049;N2223;31;3;32.19;;;1;0.5
SMURSAMU_P;2020;130783293;130786049;N2500;;;;;2;;2.12
SMURSAMU_P;2020;130783293;130786049;N5140;33;1;32.37;;;;
SMURSAMU_P;2020;130783293;130786049;N9999;68;5;68.28;;68;5;64.08
SMURSAMU_P;2020;130804297;130786049;M1140;;4;3.1;;;;
SMURSAMU_P;2020;130804297;130786049;M9999;;4;3.1;;;;
SMURSAMU_P;2020;130804297;130786049;N2223;8;;8;;;;
SMURSAMU_P;2020;130804297;130786049;N9999;10;;10;;;;
SMURSAMU_P;2020;140000027;140000035;M9999;4;1;2.49;1;;;
SMURSAMU_P;2020;140000027;140000035;N1220;;;;1;;;
SMURSAMU_P;2020;140000027;140000035;N2120;0;1;0.25;1;;;
SMURSAMU_P;2020;140000027;140000035;N2223;4;3;4;1;;;
SMURSAMU_P;2020;140000027;140000035;N2500;2;5;4;;;;
SMURSAMU_P;2020;140000027;140000035;N5140;;;;1;;;
SMURSAMU_P;2020;140000027;140000035;N9999;6;9;8.25;;;;
SMURSAMU_P;2020;140000209;140000100;M9999;11;5;9.19;1;5;2;3.8
SMURSAMU_P;2020;140000209;140000100;MREG;;;;0;5;2;3.8
SMURSAMU_P;2020;140000209;140000100;N1220;1;1;0.35;0;18;3;18.94
SMURSAMU_P;2020;140000209;140000100;N2120;3;;1.32;0;;;
SMURSAMU_P;2020;140000209;140000100;N2223;15;6;15.08;0;;;
SMURSAMU_P;2020;140000209;140000100;N2500;;;;;2;;2
SMURSAMU_P;2020;140000209;140000100;N5140;18;;18;0;1;;0.32
SMURSAMU_P;2020;140000209;140000100;N9999;37;7;34.75;0;21;3;21.26
SMURSAMU_P;2020;140000233;140000118;M9999;1;1;3.03;;;;
SMURSAMU_P;2020;140000233;140000118;N2223;;11;1.19;;;;
SMURSAMU_P;2020;140000233;140000118;N9999;;13;2.77;;;;
SMURSAMU_P;2020;140000373;140000159;M9999;2;1;2.43;1;;;
SMURSAMU_P;2020;140000373;140000159;N2120;1;;0.2;1;;;
SMURSAMU_P;2020;140000373;140000159;N2223;14;6;5;1;;;
SMURSAMU_P;2020;140000373;140000159;N5140;11;1;5.8;1;;;
SMURSAMU_P;2020;140000373;140000159;N9999;26;7;11;1;;;
SMURSAMU_P;2020;140024886;140000092;M9999;;15;4.04;1;;;
SMURSAMU_P;2020;140024886;140000092;N1220;;2;0.2;1;;;
SMURSAMU_P;2020;140024886;140000092;N2120;;1;0.1;1;;;
SMURSAMU_P;2020;140024886;140000092;N2223;;19;5.66;1;;;
SMURSAMU_P;2020;140024886;140000092;N9999;;36;9.52;1;;;
SMURSAMU_P;2020;140026410;140026279;M9999;3;;2.5;1;;;
SMURSAMU_P;2020;140026410;140026279;N1220;1;;0.5;1;;;
SMURSAMU_P;2020;140026410;140026279;N2223;2;;2.95;1;;;
SMURSAMU_P;2020;140026410;140026279;N2500;4;;3.04;;;;
SMURSAMU_P;2020;140026410;140026279;N5140;4;;3.15;1;;;
SMURSAMU_P;2020;140026410;140026279;N9999;11;;9.64;1;;;
SMURSAMU_P;2020;150000032;150780088;M9999;2;1;2.6;1;;;
SMURSAMU_P;2020;150000032;150780088;N2223;13;0;6.52;1;;;
SMURSAMU_P;2020;150000032;150780088;N9999;13;0;6.52;1;;;
SMURSAMU_P;2020;150000040;150780096;M9999;16;1;8.45;1;16;;5.9
SMURSAMU_P;2020;150000040;150780096;MREG;;;;;16;;5.9
SMURSAMU_P;2020;150000040;150780096;N1220;;;;;8;1;7.4
SMURSAMU_P;2020;150000040;150780096;N2120;;3;0.4;;;2;0.25
SMURSAMU_P;2020;150000040;150780096;N2223;2;8;5.36;;;;
SMURSAMU_P;2020;150000040;150780096;N2500;1;;1;;;;
SMURSAMU_P;2020;150000040;150780096;N5140;5;;4.89;;2;;2
SMURSAMU_P;2020;150000040;150780096;N9999;8;11;11.74;;10;3;9.65
SMURSAMU_P;2020;150000164;150780468;M9999;;2;1;;;;
