BOR;AN;nofinesset;nofinessej;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;CONV;IMG;AMP;PAT_AMP
PERINAT;2020;060000510;060780954;TYPE2;;1;16;6;;;3;1269;141;220;21;0;0;0;0;815;3;4276;1548;0;0;2440;933;3834;200;1123;1;923;10;4;0;943;12258;4469;296;125;0;1;376;428;274;26;4;6;0;0
PERINAT;2020;060000544;060780988;TYPE2;;0;24;6;;;4;1674;125;149;14;0;0;0;0;1279;2;6117;1181;0;0;4296;1404;5755;276;1452;2;1398;6;6;0;1433;8653;1983;156;113;0;1;402;396;285;25;16;17;0;0
PERINAT;2020;060002102;060791761;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1366;1428;11;0;0;1;97;163;97;0;;0;0;0
PERINAT;2020;060780517;060000239;TYPE1;;;21;;;;5;983;92;0;0;0;0;0;0;805;11;3183;0;0;0;2609;804;3046;198;910;0;802;2;11;;808;;;;93;0;1;99;223;48;1;;2;0;0
PERINAT;2020;060780715;060000361;TYPE1;;0;30;;;;6;1890;155;0;0;0;0;0;0;1437;14;6308;0;0;0;4717;1504;5794;382;1824;0;1490;14;15;;1518;;;;149;0;1;5;0;0;1;;5;1;744
PERINAT;2020;060780756;060000403;TYPE2;;1;52;6;;;5;2459;246;329;8;0;0;0;0;1688;6;8489;1255;0;0;5084;1996;7900;666;3354;0;1977;19;11;;2019;;;;250;0;1;86;108;0;1;;4;0;0
PERINAT;2020;060781200;060000635;;;;;;;;;46;45;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;1;;;;0;0;1;95;191;2;0;;0;0;0
PERINAT;2020;060789195;060785011;TYPE3;;0;59;20;9;8;9;3805;143;417;10;250;7;313;15;2770;0;16302;5209;2658;2580;8772;3095;13531;638;4104;49;2987;108;5;5;3234;3431;19418;873;411;0;1;945;911;396;89;33;69;1;250
PERINAT;2020;070000013;070002878;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;537;2969;128;0;0;1;48;47;41;0;0;0;0;0
PERINAT;2020;070000096;070780184;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;1291;23;;;0;;;;;;;0;
PERINAT;2020;070000179;070780358;TYPE2;;;19;6;;;3;926;80;451;68;0;0;0;0;582;2;3138;1741;0;0;1975;662;2740;163;910;0;656;6;11;;668;3470;5194;;64;0;1;157;138;120;2;;7;0;0
PERINAT;2020;070000195;070780374;CPPR;;;;;;;;0;0;0;0;0;0;0;0;192;0;0;0;0;0;682;0;0;0;0;0;0;0;0;;0;362;1918;52;0;0;0;0;0;0;0;;0;0;0
PERINAT;2020;070000609;070005566;TYPE2;;;16;4;;;3;907;95;87;12;0;0;0;0;628;1;2926;872;0;0;1999;683;2711;139;790;0;672;11;9;;702;;;;72;0;1;305;265;241;6;;22;0;0
PERINAT;2020;070780424;070000245;TYPE1;;0;27;;;;4;1089;109;0;0;0;0;0;0;832;15;3950;0;0;0;3053;825;3517;191;1157;9;818;7;15;;836;;;;24;8;0;0;0;0;0;0;8;1;312
PERINAT;2020;080000110;080011174;TYPE2;;1;15;4;;;3;851;111;161;10;0;0;0;0;420;1;2677;932;0;0;1343;543;2273;118;614;0;535;8;6;;552;4695;2229;31;41;0;1;105;127;74;7;;11;0;0
PERINAT;2020;080000219;080001969;CPPR;;;0;;;;0;45;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;592;2441;4;0;0;1;32;30;0;4;;0;0;0
PERINAT;2020;080000276;080001969;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;239;219;4;0;0;0;0;0;0;0;;0;0;0
PERINAT;2020;080000425;080011174;TYPE2;;1;26;6;6;;6;2112;401;218;9;106;16;0;0;1229;1;6976;1329;763;0;4219;1369;6051;275;1583;3;1352;17;9;;1393;15202;1566;254;29;0;1;166;207;148;9;;13;1;73
PERINAT;2020;090000175;090781774;TYPE2;;1;23;4;;;2;1271;111;257;68;0;0;0;0;795;14;5113;1316;0;0;2727;966;4601;191;1296;3;950;16;10;;993;2233;3253;121;76;0;1;352;371;246;23;;1;0;0
PERINAT;2020;090000183;090781816;TYPE1;;;4;;;;2;253;26;0;0;0;0;0;0;200;4;708;0;0;0;572;198;658;33;152;0;198;0;2;;201;5030;507;102;40;0;1;123;104;102;1;;1;0;0
PERINAT;2020;090001629;090781774;CPPR;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;400;23;;;0;;;;;;;0;
PERINAT;2020;100000090;100000017;TYPE3;;;45;6;3;6;5;2796;194;785;10;159;2;136;5;1490;0;10238;3362;1608;2537;4240;2104;8647;478;2739;24;2071;33;1;;2167;2321;9436;;272;0;1;624;655;441;47;5;17;0;0
PERINAT;2020;100000199;100006279;TYPE1;;;;;;;;681;91;0;0;0;0;0;0;403;8;2216;0;0;0;1298;406;1621;80;404;0;404;2;8;;408;;;;29;0;1;141;100;94;6;;0;0;0
PERINAT;2020;100010818;100010792;TYPE1;;;15;;;;2;681;93;0;0;0;0;0;0;406;10;2103;0;0;0;1394;414;1680;108;567;0;413;1;9;;411;;;;21;0;1;104;77;58;5;;0;0;0
PERINAT;2020;110000023;110780061;TYPE2;;0;30;6;;;5;2187;286;335;16;0;0;0;0;1330;2;7950;2375;0;0;4386;1579;6965;272;1592;0;1556;23;13;0;1617;15464;6268;196;81;0;1;479;495;345;27;7;8;0;0
PERINAT;2020;110000049;110780087;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;290;48;15;0;0;1;37;35;37;0;;0;0;0
PERINAT;2020;110000056;110780137;TYPE1;;0;24;0;0;0;4;1603;278;0;0;0;0;0;0;946;6;4861;0;0;0;2874;1050;4101;180;1012;0;1044;6;9;;1064;3401;4450;218;193;0;1;458;388;372;18;;5;0;0
PERINAT;2020;110780483;110000155;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;51;39;38;0;;0;0;0
PERINAT;2020;120000039;120780044;TYPE2;;;24;10;2;;3;1600;101;294;16;99;17;0;0;1039;1;6549;2075;350;0;3482;1239;5570;268;1516;9;1220;19;6;;1264;5997;4495;92;67;0;1;315;324;257;13;;3;0;0
PERINAT;2020;120000054;120780069;TYPE1;;;12;;;;3;724;154;0;0;0;0;0;0;478;14;2149;0;0;0;1691;473;1958;88;456;0;469;4;11;0;482;5444;2314;89;29;1;1;144;134;95;2;;1;0;0
PERINAT;2020;120000070;120780085;CPPR;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;650;1058;37;0;0;1;5;33;5;0;;0;0;0
PERINAT;2020;120004569;120004528;TYPE1;;;12;;;;2;477;53;0;0;0;0;0;0;6;0;1426;0;0;0;18;340;1248;90;427;0;337;3;6;;346;3231;1110;76;54;0;1;124;119;112;4;6;0;0;0
PERINAT;2020;120004668;120004619;TYPE1;;0;6;;;;2;226;37;0;0;0;0;0;0;159;4;653;0;0;0;480;158;556;31;144;0;158;0;4;;159;2840;1351;109;33;0;1;37;57;29;0;1;0;0;0
PERINAT;2020;130000409;130041916;TYPE2;;;19;6;6;;6;2251;246;321;19;179;12;0;0;1342;1;8514;2134;1921;0;4504;1562;6993;375;2232;18;1525;37;3;0;1600;9108;10799;;102;0;1;859;900;556;38;14;6;1;276
PERINAT;2020;130000565;130781446;TYPE1;;;19;0;0;0;3;1357;82;0;0;0;0;0;0;1042;6;4894;0;0;0;3650;1094;4480;215;1031;1;1088;6;16;;1103;6237;2191;;63;0;1;309;390;234;12;0;10;0;0
PERINAT;2020;130001225;130782634;TYPE2;;1;22;6;0;0;3;1728;282;225;24;0;0;0;0;989;1;6109;1187;0;0;3315;1125;5127;241;1392;3;1115;10;11;;1140;;;;68;0;1;422;389;273;29;16;1;0;0
PERINAT;2020;130002215;130785512;TYPE1;;;20;;;;3;1304;85;0;0;0;0;0;0;1113;6;4174;0;0;0;3477;1094;3900;164;756;1;1079;15;5;;1112;;;;217;0;1;436;529;365;23;;4;0;0
