BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2020;030000079;030780100;N2310;9;1;8.04;0;1
BLOCS_P;2020;030000079;030780100;N2320;7;;7.34;0;1
BLOCS_P;2020;030000079;030780100;N2510;7;1;7.25;0;0
BLOCS_P;2020;030000079;030780100;NAUT;1;;0.81;0;0
BLOCS_P;2020;030000087;030780118;M1030;5;3;7.04;1;0
BLOCS_P;2020;030000087;030780118;M200H;25;4;22.41;0;1
BLOCS_P;2020;030000087;030780118;N2200;25;7;31.08;;
BLOCS_P;2020;030000087;030780118;N2310;15;4;18.2;;
BLOCS_P;2020;030000087;030780118;N2320;10;1;8.6;;
BLOCS_P;2020;030000087;030780118;N2510;9;1;10.6;;
BLOCS_P;2020;030000087;030780118;N4130;3;2;4.73;;
BLOCS_P;2020;030000087;030780118;N4160;2;0;2.05;;
BLOCS_P;2020;030000087;030780118;NAUT;11;1;10.81;;
BLOCS_P;2020;030780548;030000194;M100H;6;9;9.11;0;1
BLOCS_P;2020;030780548;030000194;M1030;3;;3;0;1
BLOCS_P;2020;030780548;030000194;M200H;17;9;18.03;0;1
BLOCS_P;2020;030780548;030000194;N2200;15;2;18.39;;1
BLOCS_P;2020;030780548;030000194;N2320;1;;1.22;;1
BLOCS_P;2020;030780548;030000194;N2510;6;;6;;0
BLOCS_P;2020;030780548;030000194;N4160;1;;1;;1
BLOCS_P;2020;030780548;030000194;NAUT;5;1;4.95;;0
BLOCS_P;2020;030781116;030000426;M100H;10;2;11;0;1
BLOCS_P;2020;030781116;030000426;M1030;5;;5;0;1
BLOCS_P;2020;030781116;030000426;M200H;13;;12;0;1
BLOCS_P;2020;030781116;030000426;N2200;19;3;20.94;0;
BLOCS_P;2020;030781116;030000426;N2320;4;;3.5;0;
BLOCS_P;2020;030781116;030000426;N2510;8;;8;0;
BLOCS_P;2020;030781116;030000426;N4130;;;;0;1
BLOCS_P;2020;030781116;030000426;N4160;2;;2;0;
BLOCS_P;2020;030781116;030000426;NAUT;7;;7;0;
BLOCS_P;2020;030785430;030785422;M100H;13;9;15.6;0;0
BLOCS_P;2020;030785430;030785422;M1030;4;;4;0;1
BLOCS_P;2020;030785430;030785422;M200H;11;5;13.2;0;1
BLOCS_P;2020;030785430;030785422;N2200;5;0;4.24;0;1
BLOCS_P;2020;030785430;030785422;N2320;11;0;10.22;0;1
BLOCS_P;2020;030785430;030785422;N2510;3;0;2.85;0;1
BLOCS_P;2020;030785430;030785422;N4160;1;;1;0;0
BLOCS_P;2020;030785430;030785422;NAUT;1;;1;0;0
BLOCS_P;2020;040000093;040780215;M100H;1;0;0.26;0;
BLOCS_P;2020;040000093;040780215;M1030;0;0;0;1;
BLOCS_P;2020;040000093;040780215;M200H;9;4;1.97;0;1
BLOCS_P;2020;040000093;040780215;N2200;6;9;12.81;0;1
BLOCS_P;2020;040000093;040780215;N2310;9;3;11.32;0;1
BLOCS_P;2020;040000093;040780215;N2320;3;1;4.53;0;1
BLOCS_P;2020;040000093;040780215;N2510;2;0;1.31;0;0
BLOCS_P;2020;040000093;040780215;N4160;1;0;1;0;0
BLOCS_P;2020;040000093;040780215;NAUT;6;1;6.67;0;0
BLOCS_P;2020;040000911;040788879;M100H;;2;0.2;0;1
BLOCS_P;2020;040000911;040788879;M1030;;21;2.66;0;1
BLOCS_P;2020;040000911;040788879;M200H;;8;2.34;0;1
BLOCS_P;2020;040000911;040788879;N2200;11;1;11.35;0;1
BLOCS_P;2020;040000911;040788879;N2310;6;1;6.8;0;1
BLOCS_P;2020;040000911;040788879;N2320;3;;3;0;1
BLOCS_P;2020;040000911;040788879;N2510;6;6;11.22;0;1
BLOCS_P;2020;040000911;040788879;N4130;;;;0;1
BLOCS_P;2020;040000911;040788879;N4160;;;;0;1
BLOCS_P;2020;040000911;040788879;NAUT;1;12;6.9;0;1
BLOCS_P;2020;040780470;040000192;M100H;1;;1;0;0
BLOCS_P;2020;040780470;040000192;M1030;3;;3;0;1
BLOCS_P;2020;040780470;040000192;M200H;5;15;8;0;1
BLOCS_P;2020;040780470;040000192;N2200;9;;9;;
BLOCS_P;2020;040780470;040000192;N2310;2;;2;;
BLOCS_P;2020;040780470;040000192;N2320;1;;1;;
BLOCS_P;2020;040780470;040000192;N4160;1;;1;;
BLOCS_P;2020;040780470;040000192;NAUT;2;1;2.25;;
BLOCS_P;2020;050000090;050006931;M100H;4;;4;0;1
BLOCS_P;2020;050000090;050006931;M1030;5;2;6;1;1
BLOCS_P;2020;050000090;050006931;M200H;23;;23;0;1
BLOCS_P;2020;050000090;050006931;N2200;16;1;16.8;;0
BLOCS_P;2020;050000090;050006931;N2310;5;1;5.5;0;0
BLOCS_P;2020;050000090;050006931;N2320;6;10;11;0;0
BLOCS_P;2020;050000090;050006931;N4160;2;;2;0;1
BLOCS_P;2020;050000090;050006931;NAUT;9;1;9.8;;0
BLOCS_P;2020;050000231;050000116;M100H;0;1;0.3;;
BLOCS_P;2020;050000231;050000116;M1030;3;6;6.38;;
BLOCS_P;2020;050000231;050000116;M200H;0;18;4.6;;
BLOCS_P;2020;050000231;050000116;N2200;7;2;8.88;;
BLOCS_P;2020;050000231;050000116;N2310;9;0;7.89;;
BLOCS_P;2020;050000231;050000116;N2320;6;3;8.28;;
BLOCS_P;2020;050000231;050000116;N2510;4;2;5.1;;
BLOCS_P;2020;050000231;050000116;NAUT;2;0;2.3;;
BLOCS_P;2020;050000348;050002948;M1030;0;11;7.21;;
BLOCS_P;2020;050000348;050002948;N2200;8;2;8.68;;
BLOCS_P;2020;050000348;050002948;N2310;15;9;19.83;;
BLOCS_P;2020;050000348;050002948;N2320;9;7;13.9;;
BLOCS_P;2020;050000348;050002948;N2510;9;5;11.58;;
BLOCS_P;2020;050000348;050002948;NAUT;4;3;5.31;;
BLOCS_P;2020;060000478;060780897;M100H;1;0;0.81;0;1
BLOCS_P;2020;060000478;060780897;M1030;6;1;4.96;1;
BLOCS_P;2020;060000478;060780897;M200H;13;7;4.36;1;0
BLOCS_P;2020;060000478;060780897;N2200;11;1;11.61;;
BLOCS_P;2020;060000478;060780897;N2310;17;2;13.38;;
BLOCS_P;2020;060000478;060780897;N2320;11;2;11.72;;
BLOCS_P;2020;060000478;060780897;N2510;1;0;1;;
BLOCS_P;2020;060000478;060780897;N4160;3;0;0.6;;
BLOCS_P;2020;060000478;060780897;NAUT;11;0;7.11;;
BLOCS_P;2020;060000510;060780954;M1030;5;2;5.85;1;0
BLOCS_P;2020;060000510;060780954;M200H;18;22;16.48;0;1
BLOCS_P;2020;060000510;060780954;N2200;14;4;16.2;0;0
BLOCS_P;2020;060000510;060780954;N2310;11;3;12.89;0;1
BLOCS_P;2020;060000510;060780954;N2320;11;;9.43;0;1
BLOCS_P;2020;060000510;060780954;N2510;7;1;7.98;0;0
BLOCS_P;2020;060000510;060780954;NAUT;11;1;12.53;0;0
BLOCS_P;2020;060000528;060780962;M100H;6;2;1.38;;
BLOCS_P;2020;060000528;060780962;M1030;7;1;4.29;;
BLOCS_P;2020;060000528;060780962;M200H;9;3;4.5;;
BLOCS_P;2020;060000528;060780962;N2200;13;;13.25;;
BLOCS_P;2020;060000528;060780962;N2310;11;1;10.42;;
BLOCS_P;2020;060000528;060780962;N2320;3;1;3.47;;
BLOCS_P;2020;060000528;060780962;N2510;10;;7.86;;
BLOCS_P;2020;060000528;060780962;N4160;1;;1;;
BLOCS_P;2020;060000528;060780962;NAUT;8;;4.62;;
BLOCS_P;2020;060000544;060780988;M100H;9;1;3.21;;
BLOCS_P;2020;060000544;060780988;M1030;11;4;10.89;1;0
BLOCS_P;2020;060000544;060780988;M200H;32;11;9.78;;
BLOCS_P;2020;060000544;060780988;N2200;14;13;23.35;0;1
BLOCS_P;2020;060000544;060780988;N2310;13;11;19.06;0;1
BLOCS_P;2020;060000544;060780988;N2320;4;4;6.57;0;1
BLOCS_P;2020;060000544;060780988;N2510;6;6;11.95;0;0
BLOCS_P;2020;060000544;060780988;NAUT;9;5;12.31;0;0
BLOCS_P;2020;060002102;060791761;M1030;3;2;4;0;1
BLOCS_P;2020;060002102;060791761;M200H;5;13;7.3;0;1
BLOCS_P;2020;060002102;060791761;N2200;8;3;10.1;0;1
BLOCS_P;2020;060002102;060791761;N2310;3;1;3.8;0;1
BLOCS_P;2020;060002102;060791761;N2320;3;1;3.8;0;1
BLOCS_P;2020;060002102;060791761;N2510;6;;6;0;1
BLOCS_P;2020;060002102;060791761;N4160;1;;1;0;0
BLOCS_P;2020;060002102;060791761;NAUT;3;;3;0;0
BLOCS_P;2020;060010899;060785011;M100H;0;1;0.19;0;1
BLOCS_P;2020;060010899;060785011;M1030;0;3;2.4;0;0
BLOCS_P;2020;060010899;060785011;M200H;0;11;2.88;0;1
BLOCS_P;2020;060010899;060785011;N2200;7;1;7.05;;
BLOCS_P;2020;060010899;060785011;N2310;3;1;4;;
BLOCS_P;2020;060010899;060785011;N2320;1;;1;;
BLOCS_P;2020;060010899;060785011;N2510;4;0;3.88;;
BLOCS_P;2020;060010899;060785011;NAUT;0;2;2;;
BLOCS_P;2020;060021417;060000221;M100H;3;4;5.3;0;1
BLOCS_P;2020;060021417;060000221;M1030;9;;9;;1
BLOCS_P;2020;060021417;060000221;M200H;74;;74;;1
BLOCS_P;2020;060021417;060000221;N2200;23;9;28.9;;1
BLOCS_P;2020;060021417;060000221;N2310;;6;4.8;0;0
BLOCS_P;2020;060021417;060000221;N2320;;1;0.57;0;0
BLOCS_P;2020;060021417;060000221;N2510;4;1;4.5;0;0
BLOCS_P;2020;060021417;060000221;N4160;2;1;2.57;0;1
BLOCS_P;2020;060780442;060000213;M1030;4;;4;0;1
BLOCS_P;2020;060780442;060000213;M200H;6;;6;0;1
BLOCS_P;2020;060780442;060000213;N2200;9;;9;0;1
BLOCS_P;2020;060780442;060000213;N2310;1;;1;0;0
BLOCS_P;2020;060780442;060000213;N2510;1;;1;0;0
BLOCS_P;2020;060780442;060000213;N4130;1;;1;0;0
BLOCS_P;2020;060780442;060000213;N4160;1;;1;0;0
BLOCS_P;2020;060780442;060000213;NAUT;5;;5;0;0
BLOCS_P;2020;060780491;060790797;M100H;;16;7.14;0;1
BLOCS_P;2020;060780491;060790797;M1030;;12;6;1;1
BLOCS_P;2020;060780491;060790797;M200H;;26;13;0;1
BLOCS_P;2020;060780491;060790797;N2200;28;1;26.14;0;1
BLOCS_P;2020;060780491;060790797;N2320;1;;0.98;0;1
BLOCS_P;2020;060780491;060790797;N2510;6;;5.79;0;1
BLOCS_P;2020;060780491;060790797;N4160;2;;1.5;0;1
BLOCS_P;2020;060780491;060790797;NAUT;4;;5.25;0;1
BLOCS_P;2020;060780517;060000239;M100H;;3;0;0;0
BLOCS_P;2020;060780517;060000239;M1030;;13;0;0;1
BLOCS_P;2020;060780517;060000239;M200H;;63;0;0;1
BLOCS_P;2020;060780517;060000239;N2200;28;18;40.55;0;1
BLOCS_P;2020;060780517;060000239;N2510;7;1;7.57;0;0
BLOCS_P;2020;060780517;060000239;N4160;3;;3.06;0;0
BLOCS_P;2020;060780517;060000239;NAUT;1;;1;0;0
BLOCS_P;2020;060780590;060000270;M100H;6;1;6.5;0;1
BLOCS_P;2020;060780590;060000270;M1030;3;2;3.5;0;1
BLOCS_P;2020;060780590;060000270;M200H;14;7;17.5;0;1
BLOCS_P;2020;060780590;060000270;N2200;4;4;6.97;0;1
BLOCS_P;2020;060780590;060000270;N2310;2;;2;0;1
BLOCS_P;2020;060780590;060000270;N2320;1;1;1.95;0;1
BLOCS_P;2020;060780590;060000270;N2510;2;;2;0;0
BLOCS_P;2020;060780590;060000270;N4160;1;;1;0;0
BLOCS_P;2020;060780590;060000270;NAUT;5;;5;0;0
BLOCS_P;2020;060780715;060000361;M100H;20;5;21;1;1
BLOCS_P;2020;060780715;060000361;M1030;24;2;24.8;1;1
BLOCS_P;2020;060780715;060000361;M200H;74;19;78;1;1
BLOCS_P;2020;060780715;060000361;N2200;27;;27;1;1
BLOCS_P;2020;060780715;060000361;N2310;;;;1;1
BLOCS_P;2020;060780715;060000361;N2320;2;;2;1;1
BLOCS_P;2020;060780715;060000361;N2510;6;;6;0;0
BLOCS_P;2020;060780715;060000361;N4130;4;;4;0;1
BLOCS_P;2020;060780715;060000361;N4160;2;;2;0;1
BLOCS_P;2020;060780715;060000361;NAUT;33;;33;1;0
BLOCS_P;2020;060780723;060004959;M100H;25;24;37;;0
BLOCS_P;2020;060780723;060004959;M1030;9;2;10;;1
BLOCS_P;2020;060780723;060004959;M200H;8;17;17;;0
BLOCS_P;2020;060780723;060004959;N2200;13;3;12.8;0;1
BLOCS_P;2020;060780723;060004959;N2320;1;3;2.6;0;1
BLOCS_P;2020;060780723;060004959;N2510;2;;2;0;0
BLOCS_P;2020;060780723;060004959;N4160;1;;1;0;0
BLOCS_P;2020;060780756;060000403;M100H;3;25;25;0;
BLOCS_P;2020;060780756;060000403;M1030;5;1;6;1;
BLOCS_P;2020;060780756;060000403;M200H;;36;36;1;
BLOCS_P;2020;060780756;060000403;N4130;2;;2;0;
BLOCS_P;2020;060780756;060000403;N4160;1;;1;0;
BLOCS_P;2020;060780947;060800174;M100H;;1;0.1;1;
BLOCS_P;2020;060780947;060800174;M1030;;7;5.08;1;
BLOCS_P;2020;060780947;060800174;M200H;;13;2.86;1;
BLOCS_P;2020;060780947;060800174;N2200;6;4;8.1;;1
BLOCS_P;2020;060780947;060800174;N2310;4;4;6.62;;1
BLOCS_P;2020;060780947;060800174;N2320;2;3;4.35;;1
BLOCS_P;2020;060780947;060800174;N2510;1;;1.38;;1
BLOCS_P;2020;060780947;060800174;N4160;2;;2;;1
BLOCS_P;2020;060780947;060800174;NAUT;8;7;13.81;;1
BLOCS_P;2020;060781200;060000635;M100H;;4;2;0;1
BLOCS_P;2020;060781200;060000635;M1030;6;;6;0;1
BLOCS_P;2020;060781200;060000635;M200H;;40;10;0;1
BLOCS_P;2020;060781200;060000635;N2200;10;1;10.5;0;1
BLOCS_P;2020;060781200;060000635;N2510;6;1;6.8;0;0
BLOCS_P;2020;060781200;060000635;N4130;2;;2;0;1
BLOCS_P;2020;060781200;060000635;N4160;1;1;1.2;0;1
BLOCS_P;2020;060781200;060000635;NAUT;5;;5;0;0
BLOCS_P;2020;060785003;060785011;M100H;1;14;4.89;1;1
BLOCS_P;2020;060785003;060785011;M1030;7;20;18.15;1;1
BLOCS_P;2020;060785003;060785011;M200H;0;5;1.7;1;1
BLOCS_P;2020;060785003;060785011;N2200;80;15;80.81;0;0
BLOCS_P;2020;060785003;060785011;N2310;35;9;39.69;0;0
BLOCS_P;2020;060785003;060785011;N2320;15;;13.73;0;0
BLOCS_P;2020;060785003;060785011;N2510;65;4;66.14;0;0
BLOCS_P;2020;060785003;060785011;N4130;3;2;3.12;0;0
BLOCS_P;2020;060785003;060785011;NAUT;49;2;28.25;0;
BLOCS_P;2020;060789195;060785011;M100H;0;13;3.32;0;1
BLOCS_P;2020;060789195;060785011;M1030;2;13;10.78;1;1
BLOCS_P;2020;060789195;060785011;M200H;0;4;0.38;1;1
BLOCS_P;2020;060789195;060785011;N2200;22;6;23.49;0;
BLOCS_P;2020;060789195;060785011;N2310;14;10;20.67;0;
BLOCS_P;2020;060789195;060785011;N2320;9;;8.13;0;
BLOCS_P;2020;060789195;060785011;N2510;27;4;31.86;0;
BLOCS_P;2020;060789195;060785011;NAUT;19;;14.32;0;
BLOCS_P;2020;060791811;060010808;M100H;;3;0.22;0;0
BLOCS_P;2020;060791811;060010808;M200H;;2;0.23;0;0
BLOCS_P;2020;060791811;060010808;N2310;;1;0.25;0;0
BLOCS_P;2020;060791811;060010808;N4160;;1;0.59;0;0
BLOCS_P;2020;060794013;060790797;M100H;6;2;6.42;0;1
BLOCS_P;2020;060794013;060790797;M1030;5;;6.65;1;1
BLOCS_P;2020;060794013;060790797;M200H;3;;2.5;0;1
BLOCS_P;2020;060794013;060790797;N2200;16;1;17.63;0;1
BLOCS_P;2020;060794013;060790797;N2310;2;;2.64;0;1
BLOCS_P;2020;060794013;060790797;N2510;1;5;1.45;0;0
BLOCS_P;2020;060794013;060790797;N4130;3;1;2.69;0;1
BLOCS_P;2020;060794013;060790797;NAUT;3;1;3.74;0;1
BLOCS_P;2020;060800166;060780608;M100H;9;7;12.5;0;1
BLOCS_P;2020;060800166;060780608;M1030;10;;10;0;1
BLOCS_P;2020;060800166;060780608;M200H;21;19;29;0;1
BLOCS_P;2020;060800166;060780608;N2200;30;;30;0;1
BLOCS_P;2020;060800166;060780608;N2510;2;;2;0;0
BLOCS_P;2020;060800166;060780608;N4130;;4;0.5;0;1
BLOCS_P;2020;060800166;060780608;N4160;2;;2;0;0
BLOCS_P;2020;060800166;060780608;NAUT;3;;3;0;0
BLOCS_P;2020;070000013;070002878;M1030;4;;2.86;;
BLOCS_P;2020;070000013;070002878;N2200;7;;5.63;;
BLOCS_P;2020;070000013;070002878;N2310;4;2;5.79;;
BLOCS_P;2020;070000013;070002878;N2320;2;;2.66;;
BLOCS_P;2020;070000013;070002878;N2510;3;;3;;
BLOCS_P;2020;070000013;070002878;NAUT;;1;0.25;;
BLOCS_P;2020;070000096;070780184;M100H;;1;0.1;0;0
BLOCS_P;2020;070000096;070780184;M1030;;1;0.2;0;0
BLOCS_P;2020;070000096;070780184;N2200;1;;0.3;0;0
BLOCS_P;2020;070000096;070780184;N2510;1;;0.3;0;0
BLOCS_P;2020;070000179;070780358;M100H;3;2;2.09;0;1
BLOCS_P;2020;070000179;070780358;M1030;4;0;2.69;0;1
BLOCS_P;2020;070000179;070780358;M200H;11;0;5.08;0;1
BLOCS_P;2020;070000179;070780358;N2200;6;4;11.03;0;1
BLOCS_P;2020;070000179;070780358;N2310;5;4;6.46;0;1
BLOCS_P;2020;070000179;070780358;N2320;2;8;9.02;0;1
BLOCS_P;2020;070000179;070780358;N2510;3;1;5.44;0;0
BLOCS_P;2020;070000179;070780358;NAUT;20;12;19.92;0;0
BLOCS_P;2020;070000609;070005566;M1030;2;4;3.93;;
BLOCS_P;2020;070000609;070005566;N2200;4;1;4.61;;
BLOCS_P;2020;070000609;070005566;N2310;7;3;9.02;;
BLOCS_P;2020;070000609;070005566;N2320;9;2;10.67;;
BLOCS_P;2020;070000609;070005566;N2510;5;;5.03;;
BLOCS_P;2020;070000609;070005566;N4160;1;;1;;
BLOCS_P;2020;070780168;070000088;M100H;;2;0.8;0;0
BLOCS_P;2020;070780168;070000088;M1030;;4;3;0;0
BLOCS_P;2020;070780168;070000088;M200H;3;7;5.6;0;0
BLOCS_P;2020;070780168;070000088;N2200;8;;8;0;1
BLOCS_P;2020;070780168;070000088;N2310;1;1;1.8;0;0
BLOCS_P;2020;070780168;070000088;N2320;2;;2;0;1
BLOCS_P;2020;070780168;070000088;N2510;3;1;3.71;0;0
BLOCS_P;2020;070780168;070000088;N4160;;1;0.5;0;0
BLOCS_P;2020;070780168;070000088;NAUT;2;;2;0;0
BLOCS_P;2020;070780424;070000245;M100H;14;;14;0;0
BLOCS_P;2020;070780424;070000245;M1030;9;5;13;1;
BLOCS_P;2020;070780424;070000245;M200H;42;;42;0;1
BLOCS_P;2020;070780424;070000245;N2200;24;6;18.17;0;1
BLOCS_P;2020;070780424;070000245;N2310;7;5;10.42;0;0
BLOCS_P;2020;070780424;070000245;N2320;;2;0.97;0;1
BLOCS_P;2020;070780424;070000245;N2510;1;2;2.45;0;0
BLOCS_P;2020;070780424;070000245;N4130;;20;15;0;0
BLOCS_P;2020;070780424;070000245;N4160;1;;1.31;0;0
BLOCS_P;2020;070780424;070000245;NAUT;6;3;8.32;0;0
BLOCS_P;2020;080000110;080011174;M100H;;2;0.39;;
BLOCS_P;2020;080000110;080011174;M1030;2;3;1.5;1;0
BLOCS_P;2020;080000110;080011174;M200H;9;2;2.28;0;1
BLOCS_P;2020;080000110;080011174;N2200;3;1;3.54;0;1
BLOCS_P;2020;080000110;080011174;N2310;3;;3;0;1
BLOCS_P;2020;080000110;080011174;N2320;7;;6.87;0;1
BLOCS_P;2020;080000110;080011174;N2510;4;;4;0;0
BLOCS_P;2020;080000110;080011174;N4160;1;;0.54;0;0
BLOCS_P;2020;080000110;080011174;NAUT;3;2;5.34;0;1
BLOCS_P;2020;080000219;080001969;M100H;0;1;0.2;;
BLOCS_P;2020;080000219;080001969;M1030;0;3;0.31;;
BLOCS_P;2020;080000219;080001969;M200H;0;12;2.33;;
BLOCS_P;2020;080000219;080001969;N2200;7;3;9.68;;
