,IRIS1,IRIS2,TIME
14439,60270105,60040101,9.333333
27941,60440103,60040101,20.066668
72931,61230110,60040101,17.833334
58745,60882402,60040101,23.166666
23334,60300102,60040101,17.983334
59203,60882502,60040101,22.616667
18582,60290103,60040101,19.316668
52052,60881605,60040101,24.533333
43126,60880904,60040101,25.1
50001,60881502,60040101,25.25
3307,61120000,60040101,24.566668
53341,60881705,60040101,25.983334
19036,60290106,60040101,18.483334
52273,60881606,60040101,27.9
42002,60880702,60040101,26.516666
53555,60881801,60040101,23.966667
50223,60881503,60040101,24.7
69840,61050102,60040101,17.366667
69753,61050101,60040101,25.8
71359,61230105,60040101,11.233334
3647,60890000,60040101,21.883333
29095,60690105,60040101,19.816668
22967,60290132,60040101,14.3
73195,61230111,60040101,16.116667
21616,60290123,60040101,19.8
7735,60040109,60040101,5.65
23166,60300101,60040101,18.35
53782,60881802,60040101,19.433332
40836,60880602,60040101,23.783333
28908,60690104,60040101,17.266666
27104,60330104,60040101,27.4
18010,60270117,60040101,10.7
184,60070000,60040101,24.533333
45411,60881104,60040101,22.7
77832,61570107,60040101,24.4
45653,60881105,60040101,26.05
19198,60290107,60040101,15.55
58969,60882501,60040101,21.666666
52480,60881701,60040101,25.966667
22796,60290131,60040101,18.483334
72629,61230109,60040101,14.866667
18447,60290102,60040101,19.1
47829,60881305,60040101,22.583334
77201,61570102,60040101,25.166666
35434,60880201,60040101,24.5
28431,60650102,60040101,26.183332
42898,60880903,60040101,27.183332
59686,60882504,60040101,21.85
18328,60290101,60040101,20.416666
3224,60100000,60040101,29.416666
58533,60882401,60040101,24.816668
80394,61610107,60040101,9.283334
70710,61230103,60040101,12.05
28337,60650101,60040101,27.083334
50445,60881504,60040101,23.383333
45164,60881103,60040101,22.75
26873,60330103,60040101,22.166666
12843,60180103,60040101,5.016667
9637,60040117,60040101,7.516667
41774,60880701,60040101,26.65
26654,60330102,60040101,23.716667
34456,60850107,60040101,12.683333
77680,61570106,60040101,22.416666
41536,60880605,60040101,25.133333
28750,60690103,60040101,20.3
28646,60690102,60040101,26.35
52694,60881702,60040101,25.9
28519,60690101,60040101,24.183332
71044,61230104,60040101,14.65
77113,61570101,60040101,25.65
72332,61230108,60040101,15.716666
41308,60880604,60040101,26.85
52908,60881703,60040101,24.816668
59435,60882503,60040101,20.8
4004,61140000,60040101,25.666666
70395,61230102,60040101,14.933333
41077,60880603,60040101,25.75
53124,60881704,60040101,25.583334
77364,61570104,60040101,25.3
48282,60881307,60040101,26.433332
34657,60850108,60040101,13.366667
18711,60290104,60040101,18.733334
69272,60950101,60040101,26.933332
48071,60881306,60040101,26.95
10875,60040122,60040101,9.066667
71698,61230106,60040101,13.416667
29416,60690107,60040101,17.866667
58078,60882303,60040101,22.333334
12664,60180102,60040101,11.366667
27687,60440102,60040101,17.533333
9906,60040118,60040101,9.583333
26412,60330101,60040101,21.566668
24215,60300107,60040101,12.416667
51827,60881604,60040101,24.133333
27450,60440101,60040101,19.0
72020,61230107,60040101,13.8
59920,60882601,60040101,20.666666
69160,60900102,60040101,25.0
21765,60290124,60040101,16.55
11618,60040126,60040101,10.083333
35663,60880202,60040101,28.65
40599,60880601,60040101,23.966667
19383,60290108,60040101,17.05
77455,61570105,60040101,19.283333
34852,60880101,60040101,27.316668
2988,61500000,60040101,29.116667
29257,60690106,60040101,20.316668
51595,60881603,60040101,23.866667
17688,60270116,60040101,13.183333
29587,60690108,60040101,19.3
69418,60950103,60040101,27.85
69007,60900101,60040101,19.933332
58310,60882304,60040101,22.833334
18858,60290105,60040101,16.5
7496,60040108,60040101,9.766666
40371,60880509,60040101,25.716667
27277,60330105,60040101,26.383333
14133,60270104,60040101,15.1
40142,60880508,60040101,26.833334
72333,61230108,60040102,19.216667
10671,60040121,60040102,10.7
41078,60880603,60040102,29.25
16077,60270110,60040102,17.516666
62498,60882803,60040102,20.45
56498,60882103,60040102,24.166666
64289,60882904,60040102,19.266666
32933,60840102,60040102,20.25
49111,60881402,60040102,27.25
52695,60881702,60040102,29.4
41537,60880605,60040102,28.633333
77681,61570106,60040102,25.9
13467,60270102,60040102,15.266666
71045,61230104,60040102,18.15
61666,60882705,60040102,25.066668
25044,60300111,60040102,14.016666
20322,60290114,60040102,16.966667
63038,60882805,60040102,24.616667
9907,60040118,60040102,9.483334
24045,60300106,60040102,17.8
75300,61550102,60040102,10.05
31579,60790106,60040102,17.55
76160,61550106,60040102,10.783334
37181,60880303,60040102,28.616667
70711,61230103,60040102,15.55
20170,60290113,60040102,19.25
3225,60100000,60040102,29.116667
25661,60300114,60040102,14.883333
36718,60880301,60040102,27.983334
6952,60040106,60040102,13.983334
18859,60290105,60040102,16.25
64887,60882906,60040102,20.983334
33087,60840103,60040102,14.4
13799,60270103,60040102,14.933333
50446,60881504,60040102,26.866667
75014,61550101,60040102,7.5666666
62781,60882804,60040102,23.0
22273,60290127,60040102,17.85
16380,60270111,60040102,20.283333
14134,60270104,60040102,18.6
78769,61610102,60040102,18.216667
64596,60882905,60040102,19.933332
58970,60882501,60040102,25.166666
33659,60850102,60040102,13.633333
59436,60882503,60040102,24.3
12665,60180102,60040102,14.85
12844,60180103,60040102,8.5
20794,60290117,60040102,20.733334
55717,60882002,60040102,23.766666
76588,61550108,60040102,12.433333
31427,60790104,60040102,22.266666
77202,61570102,60040102,28.65
31379,60790103,60040102,29.4
18448,60290102,60040102,19.0
27451,60440101,60040102,22.5
77456,61570105,60040102,22.783333
33281,60840104,60040102,15.966666
23851,60300105,60040102,14.016666
21946,60290125,60040102,18.233334
23167,60300101,60040102,18.083334
15772,60270109,60040102,18.416666
15120,60270107,60040102,12.1
62213,60882802,60040102,20.366667
18712,60290104,60040102,18.85
46439,60881203,60040102,28.716667
56234,60882102,60040102,22.933332
50224,60881503,60040102,28.2
63620,60882902,60040102,16.783333
24216,60300107,60040102,12.15
36947,60880302,60040102,27.266666
45412,60881104,60040102,26.183332
750,60260000,60040102,28.65
75975,61550105,60040102,13.683333
46901,60881301,60040102,28.616667
6366,60040104,60040102,5.4333334
75747,61550104,60040102,10.65
6243,60040103,60040102,17.85
7736,60040109,60040102,6.4333334
37624,60880305,60040102,29.55
71360,61230105,60040102,14.733334
22106,60290126,60040102,17.85
6694,60040105,60040102,10.45
63287,60882901,60040102,16.483334
56748,60882104,60040102,25.616667
20641,60290116,60040102,19.166666
22968,60290132,60040102,14.033334
76379,61550107,60040102,10.333333
32752,60840101,60040102,17.233334
44011,60881003,60040102,29.75
27278,60330105,60040102,29.866667
25243,60300112,60040102,11.766666
47127,60881302,60040102,28.716667
3648,60890000,60040102,21.6
77365,61570104,60040102,28.783333
34658,60850108,60040102,13.466666
48283,60881307,60040102,29.916666
79071,61610103,60040102,16.016666
31928,60790108,60040102,16.216667
3308,61120000,60040102,25.0
12429,60180101,60040102,13.35
8727,60040113,60040102,17.966667
71699,61230106,60040102,16.916666
24858,60300110,60040102,15.483334
21766,60290124,60040102,16.3
19037,60290106,60040102,18.583334
75545,61550103,60040102,12.183333
15453,60270108,60040102,16.633333
52481,60881701,60040102,29.466667
21096,60290119,60040102,21.05
5934,60040102,60040102,0.0
46174,60881202,60040102,24.633333
59204,60882502,60040102,26.116667
52053,60881605,60040102,28.033333
49770,60881501,60040102,26.716667
55970,60882101,60040102,22.95
61910,60882801,60040102,19.333334
72021,61230107,60040102,17.3
56979,60882201,60040102,27.483334
49338,60881403,60040102,29.4
58746,60882402,60040102,26.666666
18583,60290103,60040102,19.216667
27688,60440102,60040102,21.033333
20494,60290115,60040102,19.366667
31747,60790107,60040102,16.0
37404,60880304,60040102,29.266666
27942,60440103,60040102,23.566668
51828,60881604,60040102,27.633333
63956,60882903,60040102,16.483334
33465,60850101,60040102,14.466666
49553,60881404,60040102,29.45
25471,60300113,60040102,14.583333
20934,60290118,60040102,18.066668
32109,60790109,60040102,15.266666
42419,60880901,60040102,27.2
47830,60881305,60040102,26.083334
55488,60882001,60040102,27.0
28909,60690104,60040102,17.0
30066,60690111,60040102,22.583334
73196,61230111,60040102,19.616667
67113,60883301,60040102,24.45
57627,60882301,60040102,26.5
48891,60881401,60040102,28.466667
29096,60690105,60040102,19.55
67346,60883401,60040102,28.766666
7497,60040108,60040102,12.05
7237,60040107,60040102,13.85
11116,60040123,60040102,11.6
69419,60950103,60040102,27.583334
67556,60883402,60040102,26.733334
36293,60880205,60040102,29.75
11460,60040125,60040102,14.2
29910,60690110,60040102,20.983334
13140,60270101,60040102,16.05
29258,60690106,60040102,20.05
69273,60950101,60040102,26.666666
34045,60850104,60040102,17.116667
34228,60850105,60040102,11.316667
57414,60882203,60040102,28.75
8488,60040112,60040102,12.133333
60645,60882701,60040102,21.916666
30201,60690112,60040102,15.616667
69841,61050102,60040102,20.866667
58311,60882304,60040102,26.333334
17148,60270114,60040102,19.7
61436,60882704,60040102,25.883333
19713,60290110,60040102,19.183332
26027,60300116,60040102,15.616667
74443,61520102,60040102,17.916666
77833,61570107,60040102,27.9
42664,60880902,60040102,28.45
185,60070000,60040102,24.283333
54545,60881805,60040102,27.016666
18011,60270117,60040102,14.2
66682,60883201,60040102,28.233334
21371,60290121,60040102,24.25
40837,60880602,60040102,27.283333
53783,60881802,60040102,22.916666
66888,60883202,60040102,26.683332
9170,60040115,60040102,15.233334
74247,61520101,60040102,14.05
4790,61280000,60040102,24.233334
14440,60270105,60040102,12.833333
48655,60881309,60040102,27.116667
29417,60690107,60040102,17.966667
68388,60883602,60040102,29.766666
11619,60040126,60040102,9.983334
80077,61610106,60040102,15.116667
44919,60881102,60040102,26.6
8045,60040110,60040102,9.2
21482,60290122,60040102,20.816668
4634,61260000,60040102,29.6
10876,60040122,60040102,8.966666
45654,60881105,60040102,29.55
47572,60881304,60040102,25.25
57852,60882302,60040102,26.8
69008,60900101,60040102,19.666666
68794,60883801,60040102,29.066668
54046,60881803,60040102,24.866667
9348,60040116,60040102,6.4666667
10434,60040120,60040102,9.233334
60168,60882602,60040102,27.283333
76939,61550110,60040102,15.133333
22622,60290130,60040102,17.433332
40372,60880509,60040102,29.216667
26208,60300117,60040102,14.133333
26413,60330101,60040102,25.066668
67774,60883403,60040102,28.116667
36073,60880204,60040102,29.183332
69161,60900102,60040102,24.75
2774,61080000,60040102,18.166666
50678,60881505,60040102,29.683332
23502,60300103,60040102,17.366667
29756,60690109,60040102,20.766666
19384,60290108,60040102,16.783333
79743,61610105,60040102,10.283334
59921,60882601,60040102,24.166666
67983,60883501,60040102,27.666666
40600,60880601,60040102,27.466667
17421,60270115,60040102,20.583334
24442,60300108,60040102,12.55
54290,60881804,60040102,23.983334
51596,60881603,60040102,27.366667
60392,60882603,60040102,24.033333
19558,60290109,60040102,18.866667
17689,60270116,60040102,16.683332
58079,60882303,60040102,25.833334
21617,60290123,60040102,19.533333
69754,61050101,60040102,27.383333
51345,60881602,60040102,24.616667
4005,61140000,60040102,29.166666
77114,61570101,60040102,29.133333
21233,60290120,60040102,20.633333
26874,60330103,60040102,25.666666
52909,60881703,60040102,28.316668
30871,60690117,60040102,24.016666
57197,60882202,60040102,27.633333
28432,60650102,60040102,29.666666
51123,60881601,60040102,27.85
65771,60883003,60040102,20.133333
33863,60850103,60040102,16.983334
30746,60690116,60040102,25.65
28520,60690101,60040102,23.916666
45884,60881201,60040102,23.066668
46665,60881204,60040102,27.633333
79402,61610104,60040102,11.65
1389,60380000,60040102,23.333334
61189,60882703,60040102,24.233334
29588,60690108,60040102,19.033333
25849,60300115,60040102,16.45
70396,61230102,60040102,18.416666
16647,60270112,60040102,24.333334
55261,60881903,60040102,26.45
8273,60040111,60040102,10.066667
72630,61230109,60040102,18.366667
65476,60883002,60040102,19.933332
14780,60270106,60040102,12.166667
35435,60880201,60040102,27.466667
65166,60883001,60040102,18.733334
18329,60290101,60040102,20.333334
74831,61520104,60040102,15.116667
59687,60882504,60040102,25.35
24658,60300109,60040102,13.583333
55026,60881902,60040102,25.65
31195,60790102,60040102,15.316667
9638,60040117,60040102,7.4166665
8949,60040114,60040102,11.3
50900,60881506,60040102,28.4
19990,60290112,60040102,15.533334
28647,60690102,60040102,26.083334
30581,60690114,60040102,21.516666
5598,60040101,60040102,4.483333
74606,61520103,60040102,11.183333
53342,60881705,60040102,29.483334
22442,60290128,60040102,16.7
11304,60040124,60040102,14.3
5165,61380000,60040102,26.566668
30391,60690113,60040102,16.383333
66357,60883102,60040102,16.283333
80395,61610107,60040102,12.783334
53556,60881801,60040102,27.466667
70065,61230101,60040102,16.166666
5097,61370000,60040102,28.833334
76779,61550109,60040102,14.916667
45165,60881103,60040102,26.233334
23335,60300102,60040102,17.733334
54774,60881901,60040102,24.216667
72932,61230110,60040102,21.333334
43127,60880904,60040102,28.6
78459,61610101,60040102,16.5
50002,60881502,60040102,28.75
19199,60290107,60040102,15.283334
16868,60270113,60040102,20.166666
28751,60690103,60040102,20.033333
23673,60300104,60040102,16.916666
38595,60880501,60040102,28.916666
58534,60882401,60040102,28.316668
34457,60850107,60040102,12.783334
10146,60040119,60040102,5.016667
26655,60330102,60040102,27.216667
44676,60881101,60040102,27.016666
30996,60790101,60040102,13.816667
38817,60880502,60040102,28.733334
60914,60882702,60040102,21.333334
66064,60883101,60040102,20.55
22797,60290131,60040102,18.216667
53125,60881704,60040102,29.083334
19864,60290111,60040102,20.583334
14781,60270106,60040103,24.583334
13800,60270103,60040103,26.816668
6953,60040106,60040103,17.733334
10435,60040120,60040103,11.683333
8046,60040110,60040103,13.416667
76940,61550110,60040103,21.5
34229,60850105,60040103,25.65
76589,61550108,60040103,16.4
76780,61550109,60040103,17.083334
33466,60850101,60040103,29.55
15121,60270107,60040103,23.983334
78460,61610101,60040103,28.4
76380,61550107,60040103,13.983334
7498,60040108,60040103,15.333333
7737,60040109,60040103,14.95
6695,60040105,60040103,15.783334
21097,60290119,60040103,29.75
7238,60040107,60040103,16.066668
11305,60040124,60040103,4.633333
34458,60850107,60040103,27.116667
24217,60300107,60040103,27.25
14441,60270105,60040103,24.716667
33660,60850102,60040103,28.733334
24443,60300108,60040103,27.65
24659,60300109,60040103,28.683332
34659,60850108,60040103,27.8
11620,60040126,60040103,11.55
8274,60040111,60040103,10.433333
8489,60040112,60040103,14.1
10147,60040119,60040103,14.766666
33088,60840103,60040103,28.716667
11117,60040123,60040103,8.166667
9171,60040115,60040103,9.966666
79744,61610105,60040103,19.683332
30202,60690112,60040103,29.95
19714,60290110,60040103,25.45
66358,60883102,60040103,29.2
74607,61520103,60040103,25.316668
19865,60290111,60040103,21.75
25850,60300115,60040103,27.8
19991,60290112,60040103,29.166666
8950,60040114,60040103,8.65
74832,61520104,60040103,29.916666
30997,60790101,60040103,28.916666
79403,61610104,60040103,20.8
5599,60040101,60040103,17.4
75015,61550101,60040103,21.9
25662,60300114,60040103,29.983334
20171,60290113,60040103,29.4
10672,60040121,60040103,11.066667
75301,61550102,60040103,21.05
13468,60270102,60040103,27.166666
16078,60270110,60040103,29.4
5935,60040102,60040103,18.0
13141,60270101,60040103,27.933332
74248,61520101,60040103,28.383333
11461,60040125,60040103,4.5833335
19559,60290109,60040103,26.433332
18860,60290105,60040103,28.333334
9908,60040118,60040103,11.616667
12666,60180102,60040103,24.616667
71700,61230106,60040103,29.833334
18713,60290104,60040103,24.55
71361,61230105,60040103,27.633333
22969,60290132,60040103,29.133333
18584,60290103,60040103,20.4
19038,60290106,60040103,25.6
12845,60180103,60040103,21.4
18449,60290102,60040103,20.166666
75546,61550103,60040103,21.4
70712,61230103,60040103,28.466667
80396,61610107,60040103,24.666666
9639,60040117,60040103,12.45
19200,60290107,60040103,29.116667
70066,61230101,60040103,29.066668
18012,60270117,60040103,26.083334
19385,60290108,60040103,28.85
17690,60270116,60040103,28.116667
10877,60040122,60040103,13.933333
9349,60040116,60040103,14.45
80078,61610106,60040103,19.966667
26209,60300117,60040103,26.216667
18330,60290101,60040103,21.5
8728,60040113,60040103,16.9
26028,60300116,60040103,28.233334
6367,60040104,60040103,18.35
25045,60300111,60040103,29.116667
20642,60290116,60040103,27.15
6244,60040103,60040103,0.0
75976,61550105,60040103,21.966667
20795,60290117,60040103,26.916666
75748,61550104,60040103,19.3
79072,61610103,60040103,27.9
63621,60882902,60040103,29.7
63288,60882901,60040103,29.4
12430,60180101,60040103,20.766666
25244,60300112,60040103,26.866667
63957,60882903,60040103,29.4
15454,60270108,60040103,26.733334
23852,60300105,60040103,29.116667
76161,61550106,60040103,20.3
14442,60270105,60040104,7.383333
69162,60900102,60040104,29.233334
26414,60330101,60040104,19.616667
29259,60690106,60040104,24.533333
49771,60881501,60040104,21.266666
19201,60290107,60040104,19.766666
2989,61500000,60040104,27.166666
70067,61230101,60040104,10.716666
15455,60270108,60040104,11.2
69842,61050102,60040104,15.433333
29097,60690105,60040104,24.033333
73197,61230111,60040104,14.183333
7499,60040108,60040104,15.2
28910,60690104,60040104,21.483334
49554,60881404,60040104,24.016666
72933,61230110,60040104,15.9
18013,60270117,60040104,8.766666
21618,60290123,60040104,24.016666
69755,61050101,60040104,23.166666
43128,60880904,60040104,23.166666
1187,60340000,60040104,28.25
17691,60270116,60040104,11.25
19386,60290108,60040104,21.266666
26210,60300117,60040104,19.433332
68194,60883601,60040104,27.266666
48656,60881309,60040104,21.683332
1860,60540000,60040104,26.566668
76941,61550110,60040104,20.433332
10436,60040120,60040104,15.466666
68389,60883602,60040104,24.333334
44920,60881102,60040104,21.166666
4635,61260000,60040104,24.15
47573,60881304,60040104,19.816668
68595,60883701,60040104,27.9
62214,60882802,60040104,14.916667
68795,60883801,60040104,23.633333
60169,60882602,60040104,21.85
73881,61490103,60040104,26.833334
29589,60690108,60040104,23.516666
48284,60881307,60040104,24.483334
69009,60900101,60040104,24.15
10878,60040122,60040104,15.2
73493,61490101,60040104,28.183332
29418,60690107,60040104,23.266666
75977,61550105,60040104,18.983334
50003,60881502,60040104,23.3
21483,60290122,60040104,25.3
59922,60882601,60040104,18.733334
20935,60290118,60040104,22.55
26656,60330102,60040104,21.766666
25472,60300113,60040104,19.066668
28521,60690101,60040104,28.4
18585,60290103,60040104,25.45
45413,60881104,60040104,20.75
27105,60330104,60040104,25.45
3649,60890000,60040104,26.9
62499,60882803,60040104,15.016666
7738,60040109,60040104,11.783334
71362,61230105,60040104,9.283334
27279,60330105,60040104,24.433332
77366,61570104,60040104,23.35
24218,60300107,60040104,16.65
50225,60881503,60040104,22.766666
27943,60440103,60040104,18.133333
20796,60290117,60040104,25.216667
72022,61230107,60040104,11.85
27689,60440102,60040104,15.6
21767,60290124,60040104,20.783333
76162,61550106,60040104,16.083334
43800,60881002,60040104,25.783333
71701,61230106,60040104,11.483334
77457,61570105,60040104,17.35
14135,60270104,60040104,13.166667
27452,60440101,60040104,17.05
48072,60881306,60040104,25.0
62782,60882804,60040104,17.55
18714,60290104,60040104,24.15
3309,61120000,60040104,23.4
25046,60300111,60040104,18.516666
19039,60290106,60040104,22.75
34459,60850107,60040104,18.083334
28433,60650102,60040104,24.233334
6368,60040104,60040104,0.0
77115,61570101,60040104,23.7
59688,60882504,60040104,19.916666
70397,61230102,60040104,12.983334
72631,61230109,60040104,12.933333
47831,60881305,60040104,20.633333
26875,60330103,60040104,20.216667
45166,60881103,60040104,20.8
33282,60840104,60040104,21.25
18331,60290101,60040104,26.55
28338,60650101,60040104,25.15
46175,60881202,60040104,19.183332
70713,61230103,60040104,10.116667
63039,60882805,60040104,19.183332
77203,61570102,60040104,23.216667
32934,60840102,60040104,24.733334
34660,60850108,60040104,18.766666
59437,60882503,60040104,18.85
18450,60290102,60040104,25.216667
72334,61230108,60040104,13.783334
77299,61570103,60040104,28.416666
59205,60882502,60040104,20.683332
71046,61230104,60040104,12.716666
28752,60690103,60040104,24.516666
4006,61140000,60040104,23.733334
17422,60270115,60040104,15.15
19560,60290109,60040104,23.35
64888,60882906,60040104,15.533334
2276,60600000,60040104,29.366667
45885,60881201,60040104,17.633333
75016,61550101,60040104,12.866667
6954,60040106,60040104,11.966666
