,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
66,60270110,A,3.0,142.13547546398604,Bréguières Sud,06027,Cagnes-sur-Mer
67,60270111,A,1.0,126.71314970675242,Bréguières Nord,06027,Cagnes-sur-Mer
68,60270112,A,3.0,80.62051012015606,Le Nord-Est,06027,Cagnes-sur-Mer
69,60270113,A,2.0,118.09427801204095,Les Gros Buaux,06027,Cagnes-sur-Mer
70,60270114,A,2.0,120.24388679097075,Les Colettes,06027,Cagnes-sur-Mer
71,60270115,A,0.0,99.84728188562914,Le Nord-Ouest,06027,Cagnes-sur-Mer
72,60270116,A,2.0,156.70900256267439,Le Village du Cros,06027,Cagnes-sur-Mer
73,60270117,A,3.0,156.26410541645,RN7,06027,Cagnes-sur-Mer
74,60280000,C,0.0,33.13449233098019,Caille (commune non irisée),06028,Caille
75,60290101,A,4.0,105.52840307884856,Moure Rouge,06029,Cannes
76,60290102,A,4.0,120.62033675805137,La Source,06029,Cannes
77,60290103,A,2.0,105.52843975644056,La Californie,06029,Cannes
78,60290104,A,0.25,103.84416044970276,Montfleury,06029,Cannes
79,60290105,A,0.0,135.72121547437033,La Peyrière,06029,Cannes
80,60290106,A,5.5,108.87847713645266,Terrefial,06029,Cannes
81,60290107,A,7.5,145.04006552275578,Camp Long,06029,Cannes
82,60290108,A,1.0,135.15053512691136,Carnot,06029,Cannes
83,60290109,A,1.5,131.0323084199976,Saint-Nicolas,06029,Cannes
84,60290110,A,5.5,136.9843912387374,Gare,06029,Cannes
85,60290111,A,18.0,124.2278637952819,Croisette-Palm-Beach,06029,Cannes
86,60290112,A,5.5,140.71773835117145,Petit Juas,06029,Cannes
87,60290113,A,1.0,115.23679067062551,Vallergues,06029,Cannes
88,60290114,A,3.0,127.69647167760482,Broussailles,06029,Cannes
89,60290115,A,2.0,117.04110950674185,Tassigny,06029,Cannes
90,60290116,A,1.0,139.50489649525622,Stanislas,06029,Cannes
91,60290117,A,4.0,95.59897750768545,Le Vieux Port-Les îles,06029,Cannes
92,60290118,A,1.0,129.7910502154148,Le Grand Jas,06029,Cannes
93,60290119,A,2.0,124.62730976980639,Le Riou,06029,Cannes
94,60290120,A,0.0,86.39960735248336,Croix des Gardes,06029,Cannes
95,60290121,A,6.5,111.67215898517897,Pierre Longue,06029,Cannes
96,60290122,A,0.0,94.41858201696805,Font de Veyre,06029,Cannes
97,60290123,A,4.5,109.89659421692978,Saint-Joseph,06029,Cannes
98,60290124,C,3.0,93.57556160805427,Saint-Cassien-Bastide Rouge,06029,Cannes
99,60290125,A,8.0,109.15256510451573,Bocca Centre,06029,Cannes
100,60290126,A,0.0,114.91128954024633,Les Mûriers,06029,Cannes
101,60290127,A,1.0,115.63569567883138,Le Plan,06029,Cannes
102,60290128,A,1.0,108.80474619674034,Colline des Puits,06029,Cannes
103,60290130,A,0.0,112.48001232072899,Ranguin,06029,Cannes
104,60290131,A,0.0,93.58655363922117,Le Grand Saule,06029,Cannes
105,60290132,A,0.0,121.5347582997454,Pont d'Avril-L'Abadie,06029,Cannes
106,60300101,A,2.0,116.23645005716335,Garibondy,06030,Le Cannet
107,60300102,A,0.0,116.4153263640829,Hauts de Saint-Jean-Hauts de l'Aubarède,06030,Le Cannet
108,60300103,A,0.5,124.43153542677875,Mirandoles,06030,Le Cannet
109,60300104,A,5.0,127.85006606443709,Mimosas,06030,Le Cannet
110,60300105,A,1.0,143.35322415216658,Blanchisserie,06030,Le Cannet
111,60300106,A,6.583333333333333,130.8650273437393,Four à Chaux,06030,Le Cannet
112,60300107,A,4.0,144.23862468500295,Colombier,06030,Le Cannet
