,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
347,60882702,A,2.0,154.5027800510576,Pastorelle-Bosquets,06088,Nice
348,60882703,A,0.0,151.95901961762763,Faculté de Lettres,06088,Nice
349,60882704,A,0.0,108.95238366161469,Gattamua,06088,Nice
350,60882705,A,1.0,134.32979987704613,Abbaye de Roseland,06088,Nice
351,60882801,A,10.0,162.39508294286549,Carras,06088,Nice
352,60882802,A,6.0,142.4792341843163,Caucade,06088,Nice
353,60882803,A,2.0,148.42127479149582,Lanterne-Mandariniers,06088,Nice
354,60882804,A,2.0,142.82882270219173,Lanterne,06088,Nice
355,60882805,A,1.0,124.16590431992051,Napoléon III,06088,Nice
356,60882901,A,1.5,146.9454761375873,Les Siagnes,06088,Nice
357,60882902,A,1.0,152.43030007045513,Les Moulins,06088,Nice
358,60882903,A,0.0,145.68847957541325,Digue des Français,06088,Nice
359,60882904,A,6.0,156.05922690066146,Paul Montel,06088,Nice
360,60882905,A,1.0,141.31202251093248,La Victorine-Grinda,06088,Nice
361,60882906,A,0.0,132.22497761680498,Plateaux Fleuris,06088,Nice
362,60883001,C,2.0,127.89989982817497,Arenas-Aéroport,06088,Nice
363,60883002,A,0.0,142.41138133791836,Arenas-Cassin,06088,Nice
364,60883003,A,2.5,161.29679021186956,Saint-Augustin,06088,Nice
365,60883101,A,0.0,127.66138914039932,Spagnol-Sainte-Marguerite,06088,Nice
366,60883102,A,4.583333333333333,138.2957233307406,Parc des Sports,06088,Nice
367,60883201,A,1.0,83.17074980809032,Fabron-Terron-Archet,06088,Nice
368,60883202,A,2.0,88.7071528047609,Saint-Antoine Ginestière,06088,Nice
369,60883301,A,5.666666666666666,78.65848921899313,Lingostière-Saint-Isidore,06088,Nice
370,60883401,A,0.0,93.24379737862819,Bellet-Magnan,06088,Nice
371,60883402,A,1.0,118.4423435597923,Madeleine-Nicolaï,06088,Nice
372,60883403,A,4.0,100.46855593153404,Madeleine Supérieure,06088,Nice
373,60883501,A,0.0,71.02693875103027,Crémat-Bellet,06088,Nice
374,60883601,A,0.0,71.80777278067316,Saint-Pierre de Féric,06088,Nice
375,60883602,A,1.0,91.33684747056766,Costière,06088,Nice
376,60883701,A,0.0,85.56924825526228,Saint-Pancrace-Pessicart,06088,Nice
377,60883801,A,0.0,103.57191400154258,Gairaut,06088,Nice
378,60890000,C,1.0,87.27889728979967,Opio (commune non irisée),06089,Opio
379,60900101,A,6.0,100.53776180861742,Nord,06090,Pégomas
380,60900102,A,6.0,78.89567263023994,Sud,06090,Pégomas
381,60910000,C,1.0,25.064807415567085,Peille (commune non irisée),06091,Peille
382,60920000,C,0.0,34.42493192796383,Peillon (commune non irisée),06092,Peillon
383,60930000,C,0.0,0.0,La Penne (commune non irisée),06093,La Penne
384,60940000,C,1.0,81.4410809701359,Péone (commune non irisée),06094,Péone
385,60950101,A,0.0,69.9223601778918,Nord,06095,Peymeinade
386,60950102,A,6.0,56.7644288644343,Est,06095,Peymeinade
387,60950103,A,0.0,60.95341613626411,Ouest,06095,Peymeinade
388,60960000,C,0.0,3.0163409718925625,Pierlas (commune non irisée),06096,Pierlas
389,60970000,C,0.0,2.251199820274135,Pierrefeu (commune non irisée),06097,Pierrefeu
390,60980000,C,0.0,6.196871067281943,Puget-Rostang (commune non irisée),06098,Puget-Rostang
391,60990000,C,0.0,26.749626448532602,Puget-Théniers (commune non irisée),06099,Puget-Théniers
392,61000000,C,0.0,9.72196354101991,Revest-les-Roches (commune non irisée),06100,Revest-les-Roches
393,61010000,C,0.0,13.548059129572254,Rigaud (commune non irisée),06101,Rigaud
394,61020000,C,0.0,90.8083493262204,Rimplas (commune non irisée),06102,Rimplas
395,61030000,C,4.0,144.58143402289915,Roquebillière (commune non irisée),06103,Roquebillière
396,61040101,A,5.333333333333333,84.68978989320345,Carnoles,06104,Roquebrune-Cap-Martin
397,61040102,A,3.0,77.21231823856134,Cap Martin,06104,Roquebrune-Cap-Martin
398,61040103,A,2.0,75.95327433541473,Cabbe-Saint-Roman,06104,Roquebrune-Cap-Martin
399,61040104,A,0.0,75.65306856115798,Village-Cros de Caste-Coupière-Mont Gros,06104,Roquebrune-Cap-Martin
400,61040105,A,2.0,66.8624443216499,Val de Gorbio,06104,Roquebrune-Cap-Martin
401,61050101,A,2.0,65.12729334524731,Nord,06105,Roquefort-les-Pins
402,61050102,A,5.5,84.7645571203,Sud,06105,Roquefort-les-Pins
403,61060000,C,0.0,1.0957765911351178,Roquestéron (commune non irisée),06106,Roquestéron
404,61070000,C,0.0,1.0957765911351178,La Roque-en-Provence (commune non irisée),06107,La Roque-en-Provence
405,61080000,C,3.0,94.50698620594363,La Roquette-sur-Siagne (commune non irisée),06108,La Roquette-sur-Siagne
406,61090000,C,0.0,21.135523993061256,La Roquette-sur-Var (commune non irisée),06109,La Roquette-sur-Var
407,61100000,C,0.0,6.513164189556147,Roubion (commune non irisée),06110,Roubion
408,61110000,C,0.0,8.27985444187705,Roure (commune non irisée),06111,Roure
409,61120000,C,6.0,70.13191257740127,Le Rouret (commune non irisée),06112,Le Rouret
410,61130000,C,0.0,30.470481065375846,Sainte-Agnès (commune non irisée),06113,Sainte-Agnès
411,61140000,C,5.0,101.09337776660672,Saint-André-de-la-Roche (commune non irisée),06114,Saint-André-de-la-Roche
412,61150000,C,0.0,0.0,Saint-Antonin (commune non irisée),06115,Saint-Antonin
413,61160000,C,0.0,7.850481003049089,Saint-Auban (commune non irisée),06116,Saint-Auban
414,61170000,C,0.0,16.222762117584768,Saint-Blaise (commune non irisée),06117,Saint-Blaise
415,61180000,C,3.0,44.0190762203211,Saint-Cézaire-sur-Siagne (commune non irisée),06118,Saint-Cézaire-sur-Siagne
416,61190000,C,0.0,80.2594505430366,Saint-Dalmas-le-Selvage (commune non irisée),06119,Saint-Dalmas-le-Selvage
417,61200000,C,3.5,236.33836279383468,Saint-Étienne-de-Tinée (commune non irisée),06120,Saint-Étienne-de-Tinée
418,61210000,C,1.0,48.42011812046418,Saint-Jean-Cap-Ferrat (commune non irisée),06121,Saint-Jean-Cap-Ferrat
419,61220000,C,5.0,46.01869486179672,Saint-Jeannet (commune non irisée),06122,Saint-Jeannet
420,61230101,C,3.0,155.78748352119908,Le Lac,06123,Saint-Laurent-du-Var
421,61230102,A,2.0,145.30875488355386,Les Paluds,06123,Saint-Laurent-du-Var
422,61230103,A,12.0,157.12300071196776,Les Pomarels,06123,Saint-Laurent-du-Var
423,61230104,A,13.333333333333334,143.48155962224797,Les Galinières,06123,Saint-Laurent-du-Var
424,61230105,A,4.0,151.80610783435702,Les Condamines,06123,Saint-Laurent-du-Var
425,61230106,A,2.0,144.69112189136177,Les Jaquons,06123,Saint-Laurent-du-Var
426,61230107,A,5.0,134.24108124399564,Centre Ville,06123,Saint-Laurent-du-Var
427,61230108,A,2.0,141.2183541855746,Les Plans,06123,Saint-Laurent-du-Var
428,61230109,A,3.0,124.70427113871644,Les Rascas-Les Pugets,06123,Saint-Laurent-du-Var
429,61230110,A,0.0,89.5645399281477,Tuilière-La Tour-Les Iscles-Les Crottes,06123,Saint-Laurent-du-Var
430,61230111,A,0.0,111.63541949856807,Le Grimond-Plateaux Fleuris-Vallière,06123,Saint-Laurent-du-Var
431,61240000,C,0.0,0.0,Saint-Léger (commune non irisée),06124,Saint-Léger
432,61250000,C,0.0,5.154550031720587,Saint-Martin-d'Entraunes (commune non irisée),06125,Saint-Martin-d'Entraunes
433,61260000,C,5.0,48.569506542955374,Saint-Martin-du-Var (commune non irisée),06126,Saint-Martin-du-Var
434,61270000,C,1.0,83.04805050854141,Saint-Martin-Vésubie (commune non irisée),06127,Saint-Martin-Vésubie
435,61280000,C,6.0,80.03421838700535,Saint-Paul-de-Vence (commune non irisée),06128,Saint-Paul-de-Vence
436,61290000,C,0.3333333333333333,95.43934814454825,Saint-Sauveur-sur-Tinée (commune non irisée),06129,Saint-Sauveur-sur-Tinée
437,61300000,C,4.0,48.471614549481416,Saint-Vallier-de-Thiey (commune non irisée),06130,Saint-Vallier-de-Thiey
438,61310000,C,0.0,0.0,Sallagriffon (commune non irisée),06131,Sallagriffon
439,61320000,C,0.0,32.11564936785264,Saorge (commune non irisée),06132,Saorge
440,61330000,C,0.0,2.2252734922354738,Sauze (commune non irisée),06133,Sauze
441,61340000,C,0.0,23.117150875707004,Séranon (commune non irisée),06134,Séranon
442,61350000,C,0.0,0.0,Sigale (commune non irisée),06135,Sigale
443,61360000,C,4.0,63.974601772313555,Sospel (commune non irisée),06136,Sospel
444,61370000,C,2.0,52.233240903420956,Spéracèdes (commune non irisée),06137,Spéracèdes
445,61380000,C,4.0,88.4940771454803,Théoule-sur-Mer (commune non irisée),06138,Théoule-sur-Mer
446,61390000,C,0.0,12.18591862503917,Thiéry (commune non irisée),06139,Thiéry
447,61400000,C,2.0,51.56490503310544,Le Tignet (commune non irisée),06140,Le Tignet
448,61410000,C,0.0,3.690428121892878,Toudon (commune non irisée),06141,Toudon
449,61420000,C,0.0,15.503377653378791,Touët-de-l'Escarène (commune non irisée),06142,Touët-de-l'Escarène
450,61430000,C,1.0,100.1351234811795,Touët-sur-Var (commune non irisée),06143,Touët-sur-Var
451,61440000,C,0.0,0.0,La Tour (commune non irisée),06144,La Tour
452,61450000,C,0.0,6.628852130686054,Tourette-du-Château (commune non irisée),06145,Tourette-du-Château
453,61460000,C,0.0,33.01715070339205,Tournefort (commune non irisée),06146,Tournefort
454,61470000,C,2.3333333333333335,47.07074448980724,Tourrette-Levens (commune non irisée),06147,Tourrette-Levens
455,61480000,C,3.0,51.77098306731976,Tourrettes-sur-Loup (commune non irisée),06148,Tourrettes-sur-Loup
456,61490101,A,0.0,87.79715909165036,La Plana,06149,La Trinité
457,61490102,A,12.0,68.63650969205554,Centre,06149,La Trinité
458,61490103,A,4.0,104.15834905130987,Le Rostit,06149,La Trinité
459,61490104,A,0.0,59.684702269671924,Laghet-Périphérie,06149,La Trinité
460,61500000,C,3.0,67.0660311449456,La Turbie (commune non irisée),06150,La Turbie
461,61510000,C,0.0,0.6147120984886345,Utelle (commune non irisée),06151,Utelle
462,61520101,A,8.0,100.62643441688617,Le Village,06152,Valbonne
463,61520102,A,1.0,106.98293702915444,Écarts Sud,06152,Valbonne
464,61520103,A,15.5,110.12378717224081,Garbejaire-Haut Sartoux,06152,Valbonne
465,61520104,A,1.0,80.89591941311139,Île Verte-Nord-Est,06152,Valbonne
466,61530000,C,2.0,203.29274668030718,Valdeblore (commune non irisée),06153,Valdeblore
467,61540000,C,1.0,110.01038871437166,Valderoure (commune non irisée),06154,Valderoure
468,61550101,A,0.0,110.00406401533611,Les Impiniers-Font de Cine-Vaucontrade,06155,Vallauris
469,61550102,A,0.0,113.35785463260096,Subreville-La Fuont,06155,Vallauris
470,61550103,A,0.0,113.84192620184346,Les Issarts,06155,Vallauris
471,61550104,A,4.333333333333333,119.08823057479268,Vallauris Centre,06155,Vallauris
472,61550105,A,1.0,96.79183157056993,Riquebonne-Ferratone-Pizou,06155,Vallauris
473,61550106,A,1.0,96.95193249148105,Brusquet-Retenaou-Devens,06155,Vallauris
474,61550107,A,1.0,121.94770932522621,Les Paluds-Lauvert,06155,Vallauris
475,61550108,A,4.0,117.87251252175358,Gabelle-Courcettes-Les Clos,06155,Vallauris
476,61550109,A,4.0,105.82220423996255,La Mer-Le Puadon-Cannes Eden,06155,Vallauris
477,61550110,A,4.0,92.06709414745274,La Maure-Super Cannes,06155,Vallauris
478,61560000,C,0.0,28.847001428574263,Venanson (commune non irisée),06156,Venanson
479,61570101,A,8.5,75.1753689963443,Saint-Martin,06157,Vence
480,61570102,A,4.0,75.22322977519131,Sainte-Anne,06157,Vence
481,61570103,A,1.0,43.75024800247996,Plan de Noves,06157,Vence
482,61570104,A,7.0,64.00698484536998,Notre-Dame,06157,Vence
483,61570105,A,1.0,70.41304774114829,Sainte-Élisabeth,06157,Vence
484,61570106,A,0.0,77.67523408149161,Centre Ville,06157,Vence
485,61570107,A,0.0,54.50573909163554,Sainte-Colombe,06157,Vence
486,61580000,C,2.0,166.21937532822668,Villars-sur-Var (commune non irisée),06158,Villars-sur-Var
487,61590101,A,0.0,95.32355167777617,Col de Villefranche,06159,Villefranche-sur-Mer
488,61590102,A,8.0,80.27376714580464,Le Port,06159,Villefranche-sur-Mer
489,61590103,D,0.0,71.36676153193667,Mont Leuze,06159,Villefranche-sur-Mer
490,61600000,C,0.0,10.589678771092276,Villeneuve-d'Entraunes (commune non irisée),06160,Villeneuve-d'Entraunes
491,61610101,D,0.0,100.13814054230053,Route de Grasse,06161,Villeneuve-Loubet
492,61610102,A,1.5,110.75978095474386,Espères,06161,Villeneuve-Loubet
493,61610103,A,1.0,128.47401004199205,Village,06161,Villeneuve-Loubet
494,61610104,A,2.5,144.8567666668402,Les Bouches du Loup,06161,Villeneuve-Loubet
495,61610105,A,6.0,159.51895211169864,Marina,06161,Villeneuve-Loubet
496,61610106,A,0.0,116.06303543466858,Vaugrenier,06161,Villeneuve-Loubet
497,61610107,A,0.0,127.60929454828837,Plan,06161,Villeneuve-Loubet
498,61620000,C,0.0,28.03954107404518,La Brigue (commune non irisée),06162,La Brigue
499,61630000,C,1.5,61.06621163121781,Tende (commune non irisée),06163,Tende
