;BONIJOLY;MURIEL;;;;;7100;ANNONAY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;ALLARY;CLAIRE;;;;;6370;MOUANS SARTOUX;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;ROSE JEAN;PHILIPPE;;;;;8000;CHARLEVILLE MEZIERES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;HONORE MONTAUD MARIE;CATHERINE;;;;;9000;FOIX;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;MACHET MARIE;JEANNE;;;;;8000;CHARLEVILLE MEZIERES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;SCHWEITZER;ALAIN;;;;;7500;GUILHERAND GRANGES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;LEONARD;PIERRE;;;;;8600;GIVET;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;TRAN PHU;MY;;;;;6300;NICE;;60;;;c2;;;;;;;;;;;;;;;;;;;
;MARC;BRIGITTE;;;;;7100;ANNONAY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BETTINGER MARIE;SOPHIE;;;;;8300;RETHEL;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;QUILLEROU;DANIEL;;;;;10000;TROYES;;60;;;c2;;;;;;23;75;;;;;;;;;;;;
;TOLOSANO;RODICA;;;;;6240;BEAUSOLEIL;;60;;;c2;;;;;;44;56;;;;;;;;;;;;
;LEYDIER;ANNE;;;;;7500;GUILHERAND GRANGES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;FERLET;MICHEL;;;;;10800;ST JULIEN LES VILLAS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;MEURANT;ANNIE;;;;;8600;GIVET;;60;;;c1;;;;;;;;;;;;;;;;;;;
;BLONDEL;GENEVIEVE;;;;;7500;GUILHERAND GRANGES;;60;;;c1;;;;;;;;;;;;;;;;;;;
;MEUNIER GRELET;ISABELLE;;;;;6340;LA TRINITE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BDIRI;MOHAMED;;;;;10105;ROMILLY SUR SEINE CEDEX;;60;;;c2;;;;;;45;50;;;;;;;;;;;;
;ABOU TARA;MAHER;;;;;8000;CHARLEVILLE MEZIERES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;SECAREANU;DIANA;;;;;10000;TROYES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;PONS;LYSIANNE;;;;;11100;NARBONNE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;KOURBAGE;ANTOINE;;;;;7100;ROIFFIEUX;;60;;;c1;;;;;;;;;;;;;;;;;;;
;TERRISSE;MICHELE;;;;;6110;LE CANNET;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;RIQUE;JACQUES;;;;;11100;NARBONNE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;QUEVREUX;SYLVIE;;;;;10000;TROYES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;DELBECQ MARIE;DOMINIQUE;;;;;6220;VALLAURIS;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;DELGADO JEAN;LOUIS;;;;;11300;LIMOUX;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;GRANIER;ALAIN;;;;;11100;NARBONNE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BION;BRUNO;;;;;12000;RODEZ;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BOURGEOIS MARSALLON;ANNE;;;;;10100;ROMILLY SUR SEINE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;VARE;DOMIANE;;;;;6000;NICE;;60;;;c2;;;;;;23;45;;;;;;;;;;;;
;CARDINAL;ALAIN;;;;;12100;MILLAU;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;PARAIRE;HELENE;;;;;11400;CASTELNAUDARY;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;LEONARD MARTELLI;VANESSA;;;;;6500;MENTON;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BRONDEAU;VERONIQUE;;;;;11000;CARCASSONNE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BARILAR;PHILIPPE;;;;;13800;ISTRES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;ROSSIGNOL;SERGE;;;;;12027;RODEZ CEDEX 9;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;LIEVRE;CHRISTELE;;;;;11000;CARCASSONNE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;SABAN;PHILIPPE;;;;;13300;SALON DE PROVENCE;;60;;;c2;;;;;;45;60;;;;;;;;;;;;
;SIGAL FOLACCI;MARTINE;;;;;6700;ST LAURENT DU VAR;;60;;;c2;;;;;;27;42;;;;;;;;;;;;
;MANIA;REGINE;;;;;12400;ST AFFRIQUE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;TRONC;FREDERIC;;;;;11000;CARCASSONNE;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;BARRIERE SOPHRON;ISABELLE;;;;;13500;MARTIGUES;;60;;;c1;;;;;28;;;;;;;;;;;;;;
;LAURENCON;CATHERINE;;;;;6500;MENTON;;60;;;c2;;;;;;23;50;;;;;;;;;;;;
