;BERNARD RENARD;ANNE;;;;;14000;CAEN;;37;;;c2;;;;;;41;55;;;;;;;;;;;;
;MAZEL;CHRISTIAN;;;;;15000;AURILLAC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;FALSON;VERONIQUE;;;;;13090;AIX EN PROVENCE;;37;;;c2;;;;;58;;;;;;;;;;;;;;
;VAUGEOIS;CLAUDINE;;;;;14200;HEROUVILLE ST CLAIR;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GALLO;ELIZABETH;;;;;15000;AURILLAC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ANSELMI CLARENC;FRANCOISE;;;;;12000;RODEZ;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BENMOURA MARIE;DOMINIQUE;;;;;13006;MARSEILLE;;37;;;c2;;;;;;;;;;;;;;;;;;;
;BOUSSUGE MARIE;MARTINE;;;;;15100;ST FLOUR;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BOURDELEIX;SYLVIE;;;;;14000;CAEN;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;ROUSSEAUX;FRANCOISE;;;;;13400;AUBAGNE;;37;;;c2;;;;;62;;;;;;;;;;;;;;
;MARTIN;BRIGITTE;;;;;14000;CAEN;;37;;;c2;;;;;;28;44;;;;;;;;;;;;
;LA MACCHIA SARRADON;PIERRETTE;;;;;13016;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VILLARET GARDETTE;LAURENCE;;;;;13001;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DELAUTRE;VERONIQUE;;;;;14000;CAEN;;37;;;c2;;;;;;23;48;;;;;;;;;;;;
;JOURDAN;MARTINE;;;;;13110;PORT DE BOUC;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;VISCHETTI;FREDERIQUE;;;;;16110;LA ROCHEFOUCAULD;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GARNIER;MADELEINE;;;;;14200;HEROUVILLE ST CLAIR;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;MARTEL FERRIGNO;THERESE;;;;;13009;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BOYER;JACQUES;;;;;16100;CHATEAUBERNARD;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;GUIGUES;BEATRICE;;;;;14000;CAEN;;37;;;c2;;;;;50;;;;;;;;;;;;;;
;GERMAIN;FRANCOISE;;;;;13600;LA CIOTAT;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BOUTET;GERARD;;;;;17000;LA ROCHELLE;;37;;;c2;;;;;43;;;;;;;;;;;;;;
;CLOITRE MARIE;NOELLE;;;;;16000;ANGOULEME;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;BOIZANTE;BRIGITTE;;;;;13012;MARSEILLE;;37;;;c1;;;;;28;;;;;;;;;;;;;;
;DURAND;FRANCOISE;;;;;17100;SAINTES;;37;;;c1;;;;;28;;;;;;;;;;;;;;
