origin_id,destination_id,origin_city,destination_city,latitude,longitude,distance,duration
190010000,190330000,Affieux (commune non irisée),Bugeat (commune non irisée),45.517646,1.76851499999998,21665.9,1505.9
190010000,190340000,Affieux (commune non irisée),Camps-Saint-Mathurin-Léobazel (commune non irisée),45.517646,1.76851499999998,84173.5,5424.4
190010000,190350000,Affieux (commune non irisée),Chabrignac (commune non irisée),45.517646,1.76851499999998,60417.8,4042.1
190010000,190360000,Affieux (commune non irisée),Chamberet (commune non irisée),45.517646,1.76851499999998,12797.7,859.9
190010000,190370000,Affieux (commune non irisée),Chamboulive (commune non irisée),45.517646,1.76851499999998,15632.0,1102.1
190010000,190380000,Affieux (commune non irisée),Chameyrat (commune non irisée),45.517646,1.76851499999998,43005.8,3118.4
190010000,190390000,Affieux (commune non irisée),Champagnac-la-Noaille (commune non irisée),45.517646,1.76851499999998,42701.1,3133.3
190010000,190400000,Affieux (commune non irisée),Champagnac-la-Prune (commune non irisée),45.517646,1.76851499999998,52348.3,3807.7
190010000,190410000,Affieux (commune non irisée),Chanac-les-Mines (commune non irisée),45.517646,1.76851499999998,43799.9,2926.2
190010000,190420000,Affieux (commune non irisée),Chanteix (commune non irisée),45.517646,1.76851499999998,35389.8,2498.4
190010000,190460000,Affieux (commune non irisée),Chapelle-Spinasse (commune non irisée),45.517646,1.76851499999998,33467.1,2461.8
190010000,190470000,Affieux (commune non irisée),Chartrier-Ferrière (commune non irisée),45.517646,1.76851499999998,77140.8,4024.7
190010000,190490000,Affieux (commune non irisée),Chasteaux (commune non irisée),45.517646,1.76851499999998,69677.6,3850.7
190010000,190500000,Affieux (commune non irisée),Chauffour-sur-Vell (commune non irisée),45.517646,1.76851499999998,88489.9,4914.9
190010000,190510000,Affieux (commune non irisée),Chaumeil (commune non irisée),45.517646,1.76851499999998,20532.2,1430.3
190010000,190520000,Affieux (commune non irisée),Chavanac (commune non irisée),45.517646,1.76851499999998,38947.1,2657.0
190010000,190530000,Affieux (commune non irisée),Chaveroche (commune non irisée),45.517646,1.76851499999998,56287.9,3804.5
190010000,190540000,Affieux (commune non irisée),Chenailler-Mascheix (commune non irisée),45.517646,1.76851499999998,70362.2,4821.9
190010000,190550000,Affieux (commune non irisée),Chirac-Bellevue (commune non irisée),45.517646,1.76851499999998,73051.2,4167.7
190010000,190560000,Affieux (commune non irisée),Clergoux (commune non irisée),45.517646,1.76851499999998,40804.2,2883.5
190010000,190570000,Affieux (commune non irisée),Collonges-la-Rouge (commune non irisée),45.517646,1.76851499999998,81959.9,4415.8
190010000,190580000,Affieux (commune non irisée),Combressol (commune non irisée),45.517646,1.76851499999998,48227.6,3140.4
190010000,190590000,Affieux (commune non irisée),Concèze (commune non irisée),45.517646,1.76851499999998,54891.0,3694.7
190010000,190600000,Affieux (commune non irisée),Condat-sur-Ganaveix (commune non irisée),45.517646,1.76851499999998,20519.1,1481.0
190010000,191670000,Affieux (commune non irisée),Confolent-Port-Dieu (commune non irisée),45.517646,1.76851499999998,92308.0,4966.9
190010000,190610000,Affieux (commune non irisée),Cornil (commune non irisée),45.517646,1.76851499999998,48497.0,3270.1
190010000,190620000,Affieux (commune non irisée),Corrèze (commune non irisée),45.517646,1.76851499999998,23839.7,1694.9
190010000,190630000,Affieux (commune non irisée),Cosnac (commune non irisée),45.517646,1.76851499999998,65599.7,3874.2
190010000,190640000,Affieux (commune non irisée),Couffy-sur-Sarsonne (commune non irisée),45.517646,1.76851499999998,63930.1,4547.3
190010000,190650000,Affieux (commune non irisée),Courteix (commune non irisée),45.517646,1.76851499999998,81939.0,4693.2
190010000,190660000,Affieux (commune non irisée),Cublac (commune non irisée),45.517646,1.76851499999998,73620.1,3984.9
190010000,190670000,Affieux (commune non irisée),Curemonte (commune non irisée),45.517646,1.76851499999998,74856.6,4841.7
190010000,190680000,Affieux (commune non irisée),Dampniat (commune non irisée),45.517646,1.76851499999998,64499.7,3671.4
190010000,190690000,Affieux (commune non irisée),Darazac (commune non irisée),45.517646,1.76851499999998,72648.8,4951.8
190010000,190700000,Affieux (commune non irisée),Darnets (commune non irisée),45.517646,1.76851499999998,42956.0,2906.8
190010000,190710000,Affieux (commune non irisée),Davignac (commune non irisée),45.517646,1.76851499999998,45069.0,3322.4
190010000,190720000,Affieux (commune non irisée),Donzenac (commune non irisée),45.517646,1.76851499999998,54191.2,3023.6
190010000,190730102,Affieux (commune non irisée),Sud-Est,45.517646,1.76851499999998,36085.4,2513.9
190010000,190730101,Affieux (commune non irisée),Nord-Ouest,45.517646,1.76851499999998,31322.8,2133.7
190010000,190750000,Affieux (commune non irisée),Espagnac (commune non irisée),45.517646,1.76851499999998,45140.3,3100.1
190010000,190760000,Affieux (commune non irisée),Espartignac (commune non irisée),45.517646,1.76851499999998,20520.0,1503.0
190010000,190770000,Affieux (commune non irisée),Estivals (commune non irisée),45.517646,1.76851499999998,78238.8,4250.8
190010000,190780000,Affieux (commune non irisée),Estivaux (commune non irisée),45.517646,1.76851499999998,35739.8,2682.7
190010000,190790000,Affieux (commune non irisée),Eyburie (commune non irisée),45.517646,1.76851499999998,16324.5,1111.6
