year,specialite,iris,iris_string,type_iris,nb,apl,ap,accessibilite_weight,R,wpop,swpop,pop_gp,iris_label,dept,code_commune,commune_label
2021,5,60010000,060010000,C,0.0,0.0,0.0,1.0,0.0,92.72714049324335,268.5859215105314,92.72714049324335,Aiglun,6,06001,Aiglun
2021,5,60020000,060020000,C,0.0,0.0,0.0,1.0,0.0,50.98864188375086,211.8309705356017,50.98864188375086,Amirat,6,06002,Amirat
2021,5,60030000,060030000,C,0.0,0.0,0.0,1.0,0.0,630.7402485443486,1191.3229189602157,630.7402485443486,Andon,6,06003,Andon
2021,5,60040101,060040101,C,0.0,17.717143221389264,0.0,1.0,0.0,2056.7012281513375,181298.8818743177,2056.7012281513375,Les Trois Moulins,6,06004,Antibes
2021,5,60040102,060040102,A,0.0,14.122005501984116,0.0,1.0,0.0,2475.314775996692,144597.26664353535,2475.314775996692,Les Semboules,6,06004,Antibes
2021,5,60040103,060040103,A,0.0,8.733153722786016,0.0,1.0,0.0,798.3796776660674,81153.42753674698,798.3796776660674,Le Cap,6,06004,Antibes
2021,5,60040104,060040104,A,0.0,16.570964349684186,0.0,1.0,0.0,2084.8203969576616,169872.83679208712,2084.8203969576616,Les Cougoulins-Rastines,6,06004,Antibes
2021,5,60040105,060040105,A,1.0,14.476463046646485,0.709522063000413,1.0,0.709522063000413,4017.0103720928914,140939.94424517534,4017.0103720928914,La Constance-Le Puy,6,06004,Antibes
2021,5,60040106,060040106,A,1.5,14.384652415522323,1.0987611126698866,1.0,1.0987611126698866,2599.1387873424733,136517.3906050552,2599.1387873424733,Les Groules-Les Bréguières,6,06004,Antibes
2021,5,60040107,060040107,A,1.0,15.273672831937391,0.6890236094470221,1.0,0.6890236094470221,3452.666191737899,145132.90782627216,3452.666191737899,Azurville-Val Claret,6,06004,Antibes
2021,5,60040108,060040108,A,1.0,14.645684628542403,0.7212907589701765,1.0,0.7212907589701765,2533.991599546475,138640.34545898673,2533.991599546475,La Fontonne,6,06004,Antibes
2021,5,60040109,060040109,A,0.0,15.545256444133582,0.0,1.0,0.0,7430.288691145047,155311.71359397864,7430.288691145047,Les Combes,6,06004,Antibes
2021,5,60040110,060040110,A,0.0,14.430789042765726,0.0,1.0,0.0,1539.7273108878817,138107.80125628048,1539.7273108878817,Rabiac-La Paganne,6,06004,Antibes
2021,5,60040111,060040111,A,0.0,13.07598095137087,0.0,1.0,0.0,3201.89834804251,122804.71300465081,3201.89834804251,La Colle,6,06004,Antibes
2021,5,60040112,060040112,A,0.0,15.612843417473417,0.0,1.0,0.0,2429.1143475314716,150352.39599003695,2429.1143475314716,Les Prugnons,6,06004,Antibes
2021,5,60040113,060040113,C,0.0,14.495854812951734,0.0,1.0,0.0,48.4552969569666,136618.8474773705,48.4552969569666,Port Vauban,6,06004,Antibes
2021,5,60040114,060040114,A,2.0,16.03783162308617,1.3491442874771202,1.0,1.3491442874771202,2507.2849763890613,148242.11306115895,2507.2849763890613,Lagare,6,06004,Antibes
2021,5,60040115,060040115,A,0.0,15.144336217189904,0.0,1.0,0.0,1962.229308910063,135324.5009543739,1962.229308910063,Vieille Ville,6,06004,Antibes
2021,5,60040116,060040116,A,0.0,15.382263661406668,0.0,1.0,0.0,4332.038934228944,152034.57286910256,4332.038934228944,Les Bastides,6,06004,Antibes
2021,5,60040117,060040117,A,0.0,15.66763107532615,0.0,1.0,0.0,3909.069006597888,151813.00086937824,3909.069006597888,Fontmerle,6,06004,Antibes
2021,5,60040118,060040118,A,0.0,13.974883028027284,0.0,1.0,0.0,2613.8244439786613,132351.23653961616,2613.8244439786613,Laval,6,06004,Antibes
2021,5,60040119,060040119,A,0.0,14.728651101009756,0.0,1.0,0.0,3962.794408128702,148552.47722943182,3962.794408128702,L'Estagnol,6,06004,Antibes
2021,5,60040120,060040120,A,0.0,13.89411359648505,0.0,1.0,0.0,2138.611322661206,131309.44821899998,2138.611322661206,Saint-Jean,6,06004,Antibes
2021,5,60040121,060040121,A,0.0,12.517244188109201,0.0,1.0,0.0,1234.0968693395066,119107.79253023198,1234.0968693395066,La Badine,6,06004,Antibes
2021,5,60040122,060040122,A,0.0,13.596381540952667,0.0,1.0,0.0,2969.405012926484,131490.79990660705,2969.405012926484,Saint-Maymes-Lauvert,6,06004,Antibes
2021,5,60040123,060040123,A,4.0,15.352520116770267,2.8652851501410566,1.0,2.8652851501410566,4373.144939843472,139602.16140453183,4373.144939843472,Place de Gaulle,6,06004,Antibes
2021,5,60040124,060040124,A,1.0,13.457717683840054,0.8202151924081951,1.0,0.8202151924081951,4056.8920656327196,121919.22427868561,4056.8920656327196,Ponteil,6,06004,Antibes
2021,5,60040125,060040125,A,0.0,13.227930009393337,0.0,1.0,0.0,4649.251653007264,122259.85937787846,4649.251653007264,Juan Les Pins-Gallice,6,06004,Antibes
2021,5,60040126,060040126,A,0.0,13.405746433455699,0.0,1.0,0.0,4906.56130709944,129326.37870358076,4906.56130709944,Pont du Lys-Antibes-Les Pins,6,06004,Antibes
2021,5,60050000,060050000,C,0.0,0.0,0.0,1.0,0.0,183.72816934112808,316.2779274346429,183.72816934112808,Ascros,6,06005,Ascros
2021,5,60060000,060060000,C,0.0,5.884746367158232,0.0,1.0,0.0,2245.370373084493,70128.99637422714,2245.370373084493,Aspremont,6,06006,Aspremont
2021,5,60070000,060070000,C,0.0,7.825207846655883,0.0,1.0,0.0,3202.5682623387765,61681.762118395185,3202.5682623387765,Auribeau-sur-Siagne,6,06007,Auribeau-sur-Siagne
