dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
63,41,26,39,25,.64102566,58.974358,58.974358,53.846153,10.256411,41.337502,37.792,48.139999,60.467
64,48,33,48,33,.6875,60.416668,60.416668,52.083332,6.25,41.598038,38.66,46.430557,54.769
65,8,5,8,5,.625,50,50,37.5,37.5,42.1875,40.625,49.5,65
66,36,22,35,22,.62857145,54.285713,51.42857,45.714287,11.428572,42.205715,40.686,49.418182,64.727
67,106,84,103,83,.80582523,81.553398,78.640778,73.786407,21.359222,48.709175,62.364,52.913483,76.378
68,57,48,55,46,.83636361,83.63636,83.63636,83.63636,40,51.637932,72.126,55.612244,85.374
69,166,154,156,145,.92948717,92.307693,91.025642,88.46154,61.53846,58.560909,95.203,60.600975,102.003
70,7,2,6,1,.16666667,16.666666,16.666666,16.666666,0,34.333332,14.444,56,86.667
71,25,18,24,17,.70833331,62.5,58.333332,45.833332,16.666666,42.829166,42.764,48.111763,60.373
72,19,13,19,13,.68421054,63.157894,63.157894,31.578947,0,38.131817,27.106,41.181252,37.271
73,22,16,22,16,.72727275,68.181816,68.181816,68.181816,13.636364,45.377274,51.258,51.143749,70.479
74,46,38,44,36,.81818181,70.454544,63.636364,59.090908,27.272728,47.089771,56.966,50.887501,69.625
75,477,446,403,377,.93548387,91.811417,91.31514,90.07444,84.11911,80.45253,168.175,83.963402,179.878
76,61,35,56,34,.60714287,51.785713,51.785713,42.857143,1.7857143,39.098274,30.328,45.077145,50.257
77,67,51,59,47,.79661018,67.796608,67.796608,67.796608,50.847458,51.91695,73.057,57.512768,91.709
78,115,111,100,96,.95999998,95,95,94,83,66.514153,121.714,67.946075,126.487
79,9,5,9,5,.55555558,33.333332,33.333332,33.333332,0,36.222221,20.741,41.200001,37.333
80,27,20,26,19,.73076922,26.923077,26.923077,11.538462,0,34.103848,13.679,35.615791,18.719
81,17,9,14,9,.64285713,57.142857,57.142857,57.142857,7.1428571,42.857143,42.857,50,66.667
82,12,7,12,7,.58333331,41.666668,41.666668,33.333332,0,37.916668,26.389,43.57143,45.238
83,74,59,67,51,.76119405,62.686565,62.686565,58.208954,35.820896,47.89143,59.638,53.192593,77.309
84,39,28,38,27,.71052629,55.263157,55.263157,52.63158,21.052631,44.761539,49.205,51.322224,71.074
85,25,17,24,15,.625,62.5,62.5,54.166668,0,38.907406,29.691,43.361111,44.537
86,21,18,19,16,.84210527,73.684212,68.421051,52.63158,5.2631578,43.078949,43.596,45.53125,51.771
87,22,17,21,16,.76190478,71.428574,71.428574,71.428574,4.7619047,42.952381,43.175,47,56.667
88,19,13,19,13,.68421054,57.894737,57.894737,42.105263,5.2631578,39.889999,32.967,45.215385,50.718
89,13,11,13,11,.84615386,69.230766,61.53846,53.846153,15.384615,43.5,45,45.954544,53.182
90,16,13,15,12,.80000001,66.666664,66.666664,66.666664,20,45.733334,52.444,49.666668,65.556
91,78,60,68,50,.7352941,64.705879,64.705879,63.235294,52.941177,52.732353,75.77500000000001,60.916,103.053
92,171,146,136,115,.84558821,78.676468,78.676468,78.676468,69.852943,68.158089,127.194,75.126083,150.42
93,66,47,57,39,.68421054,57.894737,57.894737,54.385963,38.596493,47.47541,58.251,55.380951,84.60300000000001
94,100,83,88,71,.80681819,75,73.86364,73.86364,64.772728,56.475281,88.251,62.726387,109.088
95,71,57,67,55,.82089549,68.656715,68.656715,67.164177,56.716419,53.656715,78.85599999999999,58.81818,96.06100000000001
201,9,4,6,2,.33333334,16.666666,16.666666,16.666666,0,32.933334,9.778,38.800003,29.333
202,8,6,7,6,.85714287,71.428574,71.428574,42.857143,28.571428,47.142857,57.143,50,66.667
0,4038,3085,3751,2840,.75713146,.68381763,.67262065,.62223405,.33990934,50.603786,68.67929077148438,57.143127,90.47708892822266
