dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
60,45,41,29,29,1,82.758621,82.758621,82.758621,37.931034,50.620689,68.736,50.620689,68.736
61,9,6,7,5,.71428573,57.142857,57.142857,57.142857,14.285714,41.857143,39.524,46.599998,55.333
62,72,50,58,41,.70689654,56.896553,53.448277,46.551723,3.4482758,40.094913,33.65,44.180954,47.27
63,41,25,39,24,.61538464,56.410255,53.846153,46.153847,2.5641026,40.358974,34.53,46.833332,56.111
64,61,53,58,52,.89655173,106.89655,105.17242,101.72414,8.6206894,46.348682,54.496,47.75,59.167
65,9,7,8,6,.75,87.5,75,75,62.5,47.599998,58.667,52,73.333
66,39,25,35,23,.65714288,62.857143,57.142857,51.42857,0,40.205128,34.017,44.740742,49.136
67,93,68,82,60,.73170733,73.170731,73.170731,71.951218,32.92683,47.133335,57.111,52.676472,75.58800000000001
68,50,27,45,24,.53333336,51.111111,48.888889,46.666668,13.333333,42.599998,42,53.625,78.75
69,155,122,113,87,.76991153,69.911507,68.141594,61.946903,43.362831,48.898304,62.994,54.239132,80.797
71,33,27,27,22,.81481481,62.962963,62.962963,55.555557,22.222221,43.740742,45.802,46.863636,56.212
72,21,17,20,16,.80000001,95,95,95,20,51.260868,70.87,55.736843,85.789
73,34,23,26,17,.65384614,69.230766,69.230766,57.692307,15.384615,43.710346,45.701,49.880001,66.267
74,39,24,31,19,.61290324,51.612904,48.387096,38.709679,3.2258065,39.46875,31.563,45.150002,50.5
75,364,332,213,193,.90610331,80.281693,79.81221,76.995308,67.136147,65.466515,118.222,69.104103,130.347
76,64,43,56,36,.64285713,57.142857,57.142857,46.42857,3.5714285,40.122952,33.743,45.060974,50.203
77,70,51,57,46,.80701756,73.684212,64.912277,64.912277,38.596493,48.377586,61.259,52.678722,75.596
78,111,83,87,65,.74712646,72.413795,72.413795,72.413795,39.08046,50.864773,69.54900000000001,57.819698,92.732
79,15,13,12,10,.83333331,66.666664,58.333332,58.333332,0,40.75,35.833,42.900002,43
80,33,18,27,16,.5925926,29.629629,29.629629,29.629629,3.7037036,36.035713,20.119,39.941177,33.137
81,28,20,27,19,.7037037,59.259258,59.259258,59.259258,7.4074073,42.740742,42.469,48.105263,60.351
82,18,15,14,12,.85714287,28.571428,21.428572,14.285714,0,32.533333,8.444000000000001,33.166668,10.556
83,105,66,82,48,.58536583,47.560974,46.341465,40.243904,7.3170733,39.024391,30.081,45.416668,51.389
84,42,34,37,31,.83783782,89.189186,86.486488,78.37838,8.1081085,46.469769,54.899,49.672222,65.574
85,38,22,34,20,.58823532,61.764706,58.823528,47.058823,0,38.297298,27.658,43.347828,44.493
86,18,10,16,8,.5,31.25,31.25,18.75,12.5,36.28125,20.938,42.5625,41.875
87,21,10,17,8,.47058824,58.823528,52.941177,0,0,33.799999,12.667,37.307693,24.359
88,8,7,7,6,.85714287,85.714287,85.714287,85.714287,0,49.142857,63.81,52.333332,74.444
89,14,9,8,6,.75,50,37.5,25,0,37.125,23.75,39.5,31.667
90,10,5,9,5,.55555558,44.444443,44.444443,44.444443,0,40,33.333,48,60
91,71,49,49,32,.65306121,53.061226,51.020409,42.857143,16.32653,42.020409,40.068,48.40625,61.354
92,130,106,90,72,.80000001,67.777779,64.444443,63.333332,53.333332,53.393406,77.97800000000001,59.566666,98.556
93,50,35,31,21,.67741936,61.290321,58.064518,48.387096,12.903226,42.4375,41.458,48.090908,60.303
94,83,64,58,46,.79310346,74.137932,74.137932,74.137932,60.344826,54.517242,81.724,60.913044,103.043
95,66,53,48,40,.83333331,79.166664,70.833336,62.5,45.833332,49.057693,63.526,52.522728,75.07600000000001
201,12,9,10,7,.69999999,60,60,60,30,46.5,55,53.57143,78.571
202,15,14,9,9,1,33.333332,33.333332,33.333332,11.111111,36.090908,20.303,36.090908,20.303
0,3944,2768,3322,2299,.69205296,.64328718,.61890429,.54936785,.19626731,43.849998,46.16666030883789,49.417835,64.72611999511719
