dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
80,19,11,18,10,.55555558,16.666666,16.666666,0,0,31.736841,5.789,33,10
81,10,0,10,0,0,0,0,0,0,30,0,,
82,6,4,6,4,.66666669,33.333332,0,0,0,31.666666,5.556,32.5,8.333
83,39,21,39,21,.53846157,33.333332,23.076923,12.820513,5.1282053,34.848717,16.162,39.004761,30.016
84,23,8,20,7,.34999999,25,25,15,5,35.055,16.85,44.442856,48.143
85,18,3,17,3,.17647059,11.764706,5.8823528,0,0,30.882353,2.941,35,16.667
86,9,4,8,4,.5,12.5,0,0,0,30.375,1.25,30.75,2.5
87,7,3,6,2,.33333334,0,0,0,0,30,0,30,0
88,4,3,3,2,.66666669,0,0,0,0,30,0,30,0
89,5,3,5,3,.60000002,40,40,40,20,40,33.333,46.666668,55.556
90,5,1,3,1,.33333334,33.333332,33.333332,0,0,32.5,8.333,40,33.333
91,27,14,21,12,.5714286,47.619049,47.619049,42.857143,19.047619,40.695652,35.652,47.57143,58.571
92,68,55,55,43,.78181821,69.090912,69.090912,67.272728,50.909092,59.228069,97.42700000000001,67.86364,126.212
93,32,19,29,18,.62068963,31.034483,31.034483,27.586206,17.241379,39.666668,32.222,45.263157,50.877
94,43,34,33,25,.75757575,57.575756,57.575756,57.575756,27.272728,44.60606,48.687,49.279999,64.267
95,33,19,25,15,.60000002,56,56,56,24,44.880001,49.6,54.799999,82.667
201,7,4,6,4,.66666669,66.666664,66.666664,66.666664,0,43.333332,44.444,50,66.667
202,4,1,4,1,.25,0,0,0,0,30,0,30,0
0,1901,1092,1679,949,.56521738,.30256104,.28826684,.22811197,.10065515,37.470608,24.90202522277832,43.075424,43.58474731445313
