dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2,u
77,21,11,20,10,.5,50,50,45,15,41.799999,39.333,53.599998,78.667,39.334
78,54,33,54,33,.6111111,61.111111,61.111111,61.111111,42.592594,50.129631,67.099,62.939392,109.798,42.699001
79,4,0,4,0,0,0,0,0,0,30,0,,,
80,19,12,19,12,.63157892,63.157894,63.157894,52.63158,5.2631578,41.555,38.517,49.258331,64.194,25.677
81,12,1,12,1,.083333336,0,0,0,0,30,0,30,0,0
82,3,2,3,2,.66666669,66.666664,66.666664,33.333332,0,41.666668,38.889,47.5,58.333,19.444
83,47,22,46,21,.45652175,43.47826,43.47826,39.130436,10.869565,40.282608,34.275,52.523811,75.07900000000001,40.804001
84,20,12,17,9,.52941179,52.941177,52.941177,47.058823,0,39.764706,32.549,48.444443,61.481,28.931999
85,7,1,7,1,.14285715,14.285714,14.285714,14.285714,0,32.857143,9.524000000000001,50,66.667,57.143002
86,18,1,18,1,.055555556,5.5555553,5.5555553,5.5555553,0,31.222221,4.074,52,73.333,69.259003
87,16,7,16,7,.4375,37.5,31.25,12.5,0,34.9375,16.458,41.285713,37.619,21.160999
88,7,1,7,1,.14285715,14.285714,14.285714,14.285714,0,32.857143,9.524000000000001,50,66.667,57.143002
89,3,1,3,1,.33333334,33.333332,33.333332,33.333332,33.333332,41,36.667,63,110,73.333
90,4,1,4,1,.25,25,25,25,0,33.75,12.5,45,50,37.5
91,37,18,37,18,.48648649,48.648647,45.945946,45.945946,21.621622,41.394737,37.982,52.789474,75.965,37.983002
92,91,59,89,57,.64044946,65.168541,65.168541,64.044945,52.80899,55.944443,86.48100000000001,70.258621,134.195,47.714001
93,22,10,21,9,.42857143,38.095238,38.095238,33.333332,9.5238094,37.952381,26.508,48.555557,61.852,35.344002
94,46,27,45,27,.60000002,62.222221,57.777779,55.555557,46.666668,49.19149,63.972,61.103447,103.678,39.706001
95,24,12,22,11,.5,50,50,45.454544,22.727272,43.727272,45.758,57.454544,91.515,45.757
201,9,5,9,5,.55555558,55.555557,44.444443,22.222221,11.111111,38.666668,28.889,45.599998,52,23.111
202,4,1,4,1,.25,25,25,25,25,40,33.333,70,133.333,100
0,2339,1138,2240,1057,.47187501,.44151786,.43214285,.35580358,.175,41.710499,39.03499603271484,54.810196,82.70065307617188,43.665657
