dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,depmoyen,PrixMoyenS2,depmoyenS2
71,43,18,37,14,.37837839,35.135136,35.135136,0,0,25.922388,4.949,26.697561,8.087
72,27,3,24,3,.125,0,0,0,0,24.700001,0,24.700001,0
73,36,15,35,15,.42857143,14.285714,14.285714,0,0,25.76383,4.307,26.551853,7.497
74,75,47,60,42,.69999999,81.666664,81.666664,43.333332,0,33.123531,34.103,35.051807,41.91
75,365,290,255,208,.81568629,71.372551,71.372551,66.666664,53.333332,43.308823,75.339,47.1278,90.801
76,108,59,95,54,.56842107,0,0,0,0,24.700001,0,24.700001,0
77,143,110,110,93,.84545457,137.27272,137.27272,137.27272,104.54546,39.997501,61.933,41.464382,67.872
78,139,90,119,80,.67226893,55.462185,55.462185,47.899158,18.487394,36.031654,45.877,40.938145,65.741
79,29,15,23,15,.65217394,143.47826,143.47826,126.08696,0,34.254547,38.682,35.880852,45.267
80,46,15,34,15,.44117647,0,0,0,0,24.700001,0,24.700001,0
81,36,14,26,13,.5,0,0,0,0,24.700001,0,24.700001,0
82,14,0,13,0,0,0,0,0,0,24.700001,0,,
83,118,73,104,68,.65384614,37.5,37.5,0,0,27.168356,9.993,28.182144,14.098
84,62,17,52,16,.30769232,0,0,0,0,24.700001,0,24.700001,0
85,36,9,27,9,.33333334,37.037037,25.925926,7.4074073,0,27.602779,11.752,31.231251,26.442
86,37,21,26,14,.53846157,0,0,0,0,24.700001,0,24.700001,0
87,22,11,20,10,.5,0,0,0,0,24.700001,0,24.700001,0
88,34,19,28,16,.5714286,0,0,0,0,24.700001,0,24.700001,0
89,16,5,15,5,.33333334,0,0,0,0,24.700001,0,24.700001,0
90,15,4,10,2,.2,0,0,0,0,24.700001,0,24.700001,0
91,92,64,74,57,.77027029,98.648651,98.648651,37.837837,32.432434,36.534187,47.912,38.546001,56.057
92,148,117,115,91,.79130435,101.73913,101.73913,96.521736,52.173912,41.890049,69.595,44.557472,80.395
93,134,87,102,67,.65686274,54.901962,54.901962,53.92157,16.666666,32.911922,33.247,35.972729,45.639
94,144,107,114,88,.7719298,69.298248,69.298248,56.14035,8.7719297,32.8573,33.026,34.251266,38.669
95,78,36,60,31,.51666665,61.666668,61.666668,60,35,35.143589,42.282,41.32449,67.306
201,18,2,16,2,.125,0,0,0,0,24.700001,0,24.700001,0
202,11,1,10,1,.1,0,0,0,0,24.700001,0,24.700001,0
0,5138,2465,4414,2206,.49977344,.29293159,.28092432,.20910738,.092886269,28.448704,15.1769380569458,30.766405,24.56034469604492
