IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
61140000,Z,5,122.76115,Saint-André-de-la-Roche (commune non irisée),06114,Saint-André-de-la-Roche
61150000,Z,0,0,Saint-Antonin (commune non irisée),06115,Saint-Antonin
61160000,Z,0,2.5031857,Saint-Auban (commune non irisée),06116,Saint-Auban
61170000,Z,0,20.509237,Saint-Blaise (commune non irisée),06117,Saint-Blaise
61180000,Z,3,53.484615,Saint-Cézaire-sur-Siagne (commune non irisée),06118,Saint-Cézaire-sur-Siagne
61190000,Z,0,63.059654,Saint-Dalmas-le-Selvage (commune non irisée),06119,Saint-Dalmas-le-Selvage
61200000,Z,3.5,232.33954,Saint-Étienne-de-Tinée (commune non irisée),06120,Saint-Étienne-de-Tinée
61210000,Z,1,47.468132,Saint-Jean-Cap-Ferrat (commune non irisée),06121,Saint-Jean-Cap-Ferrat
61220000,Z,5,55.749077,Saint-Jeannet (commune non irisée),06122,Saint-Jeannet
61230101,A,3,158.88148,Le Lac,06123,Saint-Laurent-du-Var
61230102,H,2,146.13203,Les Paluds,06123,Saint-Laurent-du-Var
61230103,H,12,177.46475,Les Pomarels,06123,Saint-Laurent-du-Var
61230104,H,13.33,139.66425,Les Galinières,06123,Saint-Laurent-du-Var
61230105,H,4,184.26714,Les Condamines,06123,Saint-Laurent-du-Var
61230106,H,2,154.48689,Les Jaquons,06123,Saint-Laurent-du-Var
61230107,H,5,137.10133,Centre Ville,06123,Saint-Laurent-du-Var
61230108,H,2,111.40913,Les Plans,06123,Saint-Laurent-du-Var
61230109,H,3,118.73996,Les Rascas-Les Pugets,06123,Saint-Laurent-du-Var
61230110,H,0,81.107841,Tuilière-La Tour-Les Iscles-Les Crottes,06123,Saint-Laurent-du-Var
61230111,H,0,116.59277,Le Grimond-Plateaux Fleuris-Vallière,06123,Saint-Laurent-du-Var
61240000,Z,0,0,Saint-Léger (commune non irisée),06124,Saint-Léger
61250000,Z,0,5.0810308,Saint-Martin-d'Entraunes (commune non irisée),06125,Saint-Martin-d'Entraunes
61260000,Z,5,70.667747,Saint-Martin-du-Var (commune non irisée),06126,Saint-Martin-du-Var
61270000,Z,1,80.838737,Saint-Martin-Vésubie (commune non irisée),06127,Saint-Martin-Vésubie
61280000,Z,6,82.519218,Saint-Paul-de-Vence (commune non irisée),06128,Saint-Paul-de-Vence
61290000,Z,.33000001,97.722061,Saint-Sauveur-sur-Tinée (commune non irisée),06129,Saint-Sauveur-sur-Tinée
61300000,Z,4,65.419693,Saint-Vallier-de-Thiey (commune non irisée),06130,Saint-Vallier-de-Thiey
61310000,Z,0,0,Sallagriffon (commune non irisée),06131,Sallagriffon
61320000,Z,0,23.471933,Saorge (commune non irisée),06132,Saorge
61330000,Z,0,3.5237095,Sauze (commune non irisée),06133,Sauze
61340000,Z,0,55.918411,Séranon (commune non irisée),06134,Séranon
61350000,Z,0,0,Sigale (commune non irisée),06135,Sigale
61360000,Z,4,92.193008,Sospel (commune non irisée),06136,Sospel
61370000,Z,2,72.597694,Spéracèdes (commune non irisée),06137,Spéracèdes
61380000,Z,4,54.18623,Théoule-sur-Mer (commune non irisée),06138,Théoule-sur-Mer
61390000,Z,0,6.9151745,Thiéry (commune non irisée),06139,Thiéry
61400000,Z,2,62.330563,Le Tignet (commune non irisée),06140,Le Tignet
61410000,Z,0,4.750145,Toudon (commune non irisée),06141,Toudon
61420000,Z,0,33.019924,Touët-de-l'Escarène (commune non irisée),06142,Touët-de-l'Escarène
61430000,Z,1,106.9448,Touët-sur-Var (commune non irisée),06143,Touët-sur-Var
61440000,Z,0,.5219146,La Tour (commune non irisée),06144,La Tour
61450000,Z,0,9.112155,Tourette-du-Château (commune non irisée),06145,Tourette-du-Château
61460000,Z,0,29.496147,Tournefort (commune non irisée),06146,Tournefort
61470000,Z,2.3299999,44.165436,Tourrette-Levens (commune non irisée),06147,Tourrette-Levens
61480000,Z,3,55.528,Tourrettes-sur-Loup (commune non irisée),06148,Tourrettes-sur-Loup
61490101,H,0,78.181519,La Plana,06149,La Trinité
61490102,H,12,82.073837,Centre,06149,La Trinité
61490103,H,4,80.643112,Le Rostit,06149,La Trinité
61490104,H,0,41.285316,Laghet-Périphérie,06149,La Trinité
61500000,Z,3,94.2882,La Turbie (commune non irisée),06150,La Turbie
61510000,Z,0,29.905029,Utelle (commune non irisée),06151,Utelle
61520101,H,8,116.43188,Le Village,06152,Valbonne
61520102,H,1,61.928265,Écarts Sud,06152,Valbonne
61520103,H,15.5,116.66913,Garbejaire-Haut Sartoux,06152,Valbonne
61520104,H,1,84.012329,Île Verte-Nord-Est,06152,Valbonne
61530000,Z,2,200.48239,Valdeblore (commune non irisée),06153,Valdeblore
61540000,Z,1,55.918411,Valderoure (commune non irisée),06154,Valderoure
61550101,H,0,130.68208,Les Impiniers-Font de Cine-Vaucontrade,06155,Vallauris
61550102,H,0,124.44743,Subreville-La Fuont,06155,Vallauris
61550103,H,0,109.65449,Les Issarts,06155,Vallauris
61550104,H,4.3299999,125.67902,Vallauris Centre,06155,Vallauris
61550105,H,1,105.33272,Riquebonne-Ferratone-Pizou,06155,Vallauris
61550106,H,1,109.16774,Brusquet-Retenaou-Devens,06155,Vallauris
61550107,H,1,123.45532,Les Paluds-Lauvert,06155,Vallauris
61550108,H,4,115.71365,Gabelle-Courcettes-Les Clos,06155,Vallauris
61550109,H,4,98.006157,La Mer-Le Puadon-Cannes Eden,06155,Vallauris
61550110,H,4,101.11296,La Maure-Super Cannes,06155,Vallauris
61560000,Z,0,20.883854,Venanson (commune non irisée),06156,Venanson
61570101,H,8.5,85.276901,Saint-Martin,06157,Vence
61570102,H,4,76.193855,Sainte-Anne,06157,Vence
61570103,H,1,44.992828,Plan de Noves,06157,Vence
61570104,H,7,81.345795,Notre-Dame,06157,Vence
61570105,H,1,105.4256,Sainte-Élisabeth,06157,Vence
61570106,H,0,91.440796,Centre Ville,06157,Vence
61570107,H,0,59.044933,Sainte-Colombe,06157,Vence
61580000,Z,2,164.79819,Villars-sur-Var (commune non irisée),06158,Villars-sur-Var
61590101,H,0,87.084999,Col de Villefranche,06159,Villefranche-sur-Mer
61590102,H,8,76.433304,Le Port,06159,Villefranche-sur-Mer
61590103,D,0,69.178459,Mont Leuze,06159,Villefranche-sur-Mer
61600000,Z,0,8.8243437,Villeneuve-d'Entraunes (commune non irisée),06160,Villeneuve-d'Entraunes
61610101,D,0,109.17117,Route de Grasse,06161,Villeneuve-Loubet
61610102,H,1.5,115.62918,Espères,06161,Villeneuve-Loubet
61610103,H,1,146.77104,Village,06161,Villeneuve-Loubet
61610104,H,2.5,172.61729,Les Bouches du Loup,06161,Villeneuve-Loubet
61610105,H,6,184.44981,Marina,06161,Villeneuve-Loubet
61610106,H,0,120.5066,Vaugrenier,06161,Villeneuve-Loubet
61610107,H,0,128.46486,Plan,06161,Villeneuve-Loubet
61620000,Z,0,20.60146,La Brigue (commune non irisée),06162,La Brigue
61630000,Z,1.5,62.044353,Tende (commune non irisée),06163,Tende
