IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
60290118,H,1,129.21466,Le Grand Jas,06029,Cannes
60290119,H,2,114.19628,Le Riou,06029,Cannes
60290120,H,0,87.529228,Croix des Gardes,06029,Cannes
60290121,H,6.5,93.30262,Pierre Longue,06029,Cannes
60290122,H,0,93.112419,Font de Veyre,06029,Cannes
60290123,H,4.5,108.47199,Saint-Joseph,06029,Cannes
60290124,A,3,112.09833,Saint-Cassien-Bastide Rouge,06029,Cannes
60290125,H,8,121.00394,Bocca Centre,06029,Cannes
60290126,H,0,118.71003,Les Mûriers,06029,Cannes
60290127,H,1,117.53271,Le Plan,06029,Cannes
60290128,H,1,116.08663,Colline des Puits,06029,Cannes
60290130,H,0,107.75989,Ranguin,06029,Cannes
60290131,H,0,94.060844,Le Grand Saule,06029,Cannes
60290132,H,0,133.81119,Pont d'Avril-L'Abadie,06029,Cannes
60300101,H,2,113.77717,Garibondy,06030,Le Cannet
60300102,H,0,117.54298,Hauts de Saint-Jean-Hauts de l'Aubarède,06030,Le Cannet
60300103,H,.5,116.80608,Mirandoles,06030,Le Cannet
60300104,H,5,121.77853,Mimosas,06030,Le Cannet
60300105,H,1,137.04442,Blanchisserie,06030,Le Cannet
60300106,H,6.5799999,123.05975,Four à Chaux,06030,Le Cannet
60300107,H,4,145.03304,Colombier,06030,Le Cannet
60300108,H,3,137.08482,Maurice Jeanpierre,06030,Le Cannet
60300109,H,2.5,144.36963,Cougoussoles,06030,Le Cannet
60300110,H,5,134.12851,Europe,06030,Le Cannet
60300111,H,3.5,136.54216,Tignes et Sévigné,06030,Le Cannet
60300112,H,4,146.49379,Moulières,06030,Le Cannet
60300113,H,2,135.12961,Aubanel,06030,Le Cannet
60300114,H,6,118.57748,Sainte-Catherine,06030,Le Cannet
60300115,H,0,121.68613,Dolce Farniente,06030,Le Cannet
60300116,H,3.5,112.69546,Vieux Cannet,06030,Le Cannet
60300117,H,0,111.66274,Collines,06030,Le Cannet
60310000,Z,0,106.91727,Cantaron (commune non irisée),06031,Cantaron
60320000,Z,3,59.230782,Cap-d'Ail (commune non irisée),06032,Cap-d'Ail
60330101,H,0,85.356911,Ville Nouvelle-La Plaine-Le Planet,06033,Carros
60330102,H,3,67.014534,Ville Nouvelle-Eusière-Cigales-Espère,06033,Carros
60330103,H,3,80.540497,Ville Nouvelle-Les Arbousiers-L'Aspre,06033,Carros
60330104,A,0,44.119205,Les Terriers,06033,Carros
60330105,H,0,48.368893,Les Écarts-Village-Plans de Carros,06033,Carros
60340000,Z,0,31.561623,Castagniers (commune non irisée),06034,Castagniers
60350000,Z,0,42.482105,Castellar (commune non irisée),06035,Castellar
60360000,Z,0,39.998512,Castillon (commune non irisée),06036,Castillon
60370000,Z,0,17.621437,Caussols (commune non irisée),06037,Caussols
60380000,Z,4,84.241287,Châteauneuf-Grasse (commune non irisée),06038,Châteauneuf-Grasse
60390000,Z,0,22.004189,Châteauneuf-Villevieille (commune non irisée),06039,Châteauneuf-Villevieille
60400000,Z,0,3.3052566,Châteauneuf-d'Entraunes (commune non irisée),06040,Châteauneuf-d'Entraunes
60410000,Z,0,.53879607,Cipières (commune non irisée),06041,Cipières
60420000,Z,0,2.7845268,Clans (commune non irisée),06042,Clans
60430000,Z,0,6.3548851,Coaraze (commune non irisée),06043,Coaraze
60440101,H,1.5,98.933685,Quartiers Est-Les Salettes-Les Campons,06044,La Colle-sur-Loup
60440102,H,2,100.76611,Village Centre,06044,La Colle-sur-Loup
60440103,H,4,79.295105,Quartiers Ouest-Montgros-Montmeuille,06044,La Colle-sur-Loup
60450000,Z,0,0,Collongues (commune non irisée),06045,Collongues
60460000,Z,3,53.093983,Colomars (commune non irisée),06046,Colomars
60470000,Z,0,7.5543036,Conségudes (commune non irisée),06047,Conségudes
60480101,H,6,58.681152,Contes Sud-Village-Pointe,06048,Contes
60480102,H,2,35.188477,Contes Nord et Hameaux,06048,Contes
60490000,Z,0,3.559593,Courmes (commune non irisée),06049,Courmes
60500000,Z,0,10.357048,Coursegoules (commune non irisée),06050,Coursegoules
60510000,Z,0,2.574141,La Croix-sur-Roudoule (commune non irisée),06051,La Croix-sur-Roudoule
60520000,Z,0,0,Cuébris (commune non irisée),06052,Cuébris
60530000,Z,0,4.6159344,Daluis (commune non irisée),06053,Daluis
60540000,Z,1,101.52869,Drap (commune non irisée),06054,Drap
60550000,Z,0,18.881636,Duranus (commune non irisée),06055,Duranus
60560000,Z,0,0,Entraunes (commune non irisée),06056,Entraunes
60570000,Z,4,49.265587,L'Escarène (commune non irisée),06057,L'Escarène
60580000,Z,0,22.098923,Escragnolles (commune non irisée),06058,Escragnolles
60590000,Z,2,73.035286,Èze (commune non irisée),06059,Èze
60600000,Z,3.5,56.172203,Falicon (commune non irisée),06060,Falicon
60610000,Z,0,16.611868,Les Ferres (commune non irisée),06061,Les Ferres
60620000,Z,0,37.845943,Fontan (commune non irisée),06062,Fontan
60630000,Z,0,0,Gars (commune non irisée),06063,Gars
60640000,Z,1.33,54.219048,Gattières (commune non irisée),06064,Gattières
60650101,H,3,53.722237,Nord,06065,La Gaude
60650102,H,0,31.916666,Sud,06065,La Gaude
60660000,Z,2,57.154823,Gilette (commune non irisée),06066,Gilette
60670000,Z,0,13.081092,Gorbio (commune non irisée),06067,Gorbio
60680000,Z,0,19.27681,Gourdon (commune non irisée),06068,Gourdon
60690101,H,3,89.397804,Centre Ville Nord,06069,Grasse
60690102,H,3,76.799179,Saint-François,06069,Grasse
60690103,H,2,121.44936,Centre Ville Sud-Ouest,06069,Grasse
60690104,H,0,126.20721,Saint-Antoine,06069,Grasse
60690105,H,4,123.84061,Saint-Jacques Nord,06069,Grasse
60690106,H,0,112.99993,Saint-Claude (canton Nord),06069,Grasse
60690107,H,2,113.70826,Le Plan,06069,Grasse
60690108,H,0,109.88226,Saint-Claude (canton Sud),06069,Grasse
60690109,H,9.5,116.80625,Centre Ville Sud-Est,06069,Grasse
60690110,H,1.5,109.8772,Saint-Mathieu,06069,Grasse
60690111,H,3,92.146957,Secteur Sauvegardé,06069,Grasse
60690112,H,5,111.38583,Plascassier,06069,Grasse
60690113,H,11,130.23904,Les Aspres,06069,Grasse
60690114,H,0,97.161758,Saint-Jacques Sud,06069,Grasse
60690115,H,1,31.490635,Roquevignon-La Marbrière,06069,Grasse
60690116,H,0,82.474281,Magagnosc,06069,Grasse
60690117,H,0,92.80983,Saint-Jean-Saint-Christophe,06069,Grasse
60700000,Z,0,3.3220558,Gréolières (commune non irisée),06070,Gréolières
60710000,Z,0,27.09947,Guillaumes (commune non irisée),06071,Guillaumes
60720000,Z,0,2.0341499,Ilonse (commune non irisée),06072,Ilonse
60730000,Z,1,149.65894,Isola (commune non irisée),06073,Isola
60740000,Z,.5,76.470909,Lantosque (commune non irisée),06074,Lantosque
60750000,Z,5,80.081627,Levens (commune non irisée),06075,Levens
60760000,Z,0,4.9506354,Lieuche (commune non irisée),06076,Lieuche
60770000,Z,0,14.579008,Lucéram (commune non irisée),06077,Lucéram
60780000,Z,0,58.085331,Malaussène (commune non irisée),06078,Malaussène
60790101,A,0,134.27827,Les Tourrades-Pont de Siagne ou la Canardière,06079,Mandelieu-la-Napoule
60790102,H,0,119.39107,Le Gavelier-La Tour,06079,Mandelieu-la-Napoule
