year,specialite,iris,iris_string,type_iris,nb,apl,ap,accessibilite_weight,R,wpop,swpop,pop_gp,pop,iris_label,dept,code_commune,commune_label
2023,10,60010000,060010000,C,0.0,0.0,0.0,1.0,0.0,99.50958366737959,99.50958366737959,99.50958366737959,93.0,Aiglun,6,06001,Aiglun
2023,10,60020000,060020000,C,0.0,0.0,0.0,1.0,0.0,59.51187120506601,77.46723325228007,59.51187120506601,51.0,Amirat,6,06002,Amirat
2023,10,60030000,060030000,C,0.0,0.0,0.0,1.0,0.0,623.0427681076459,805.2830987425813,623.0427681076459,640.0,Andon,6,06003,Andon
2023,10,60040101,060040101,C,0.0,9.248526805731826,0.0,1.0,0.0,1729.109702838909,11096.70102978416,1729.109702838909,1763.36426710317,Les Trois Moulins,6,06004,Antibes
2023,10,60040102,060040102,A,0.0,118.21295161336437,0.0,1.0,0.0,2534.731392243948,15623.2465004053,2534.731392243948,2534.26566565609,Les Semboules,6,06004,Antibes
2023,10,60040103,060040103,A,0.0,10.36641658001896,0.0,1.0,0.0,971.4815743228276,12080.69099652064,971.4815743228276,791.815372425302,Le Cap,6,06004,Antibes
2023,10,60040104,060040104,A,0.0,8.835114259958136,0.0,1.0,0.0,2330.0713438609505,10161.51226142542,2330.0713438609505,2163.47084891732,Les Cougoulins-Rastines,6,06004,Antibes
2023,10,60040105,060040105,A,0.0,0.0,0.0,1.0,0.0,4424.707455754097,7889.080646603175,4424.707455754097,3845.8330341722,La Constance-Le Puy,6,06004,Antibes
2023,10,60040106,060040106,A,0.0,16.77270858060366,0.0,1.0,0.0,3104.079523739105,12185.177910583025,3104.079523739105,2571.70673291678,Les Groules-Les Bréguières,6,06004,Antibes
2023,10,60040107,060040107,A,1.0,14.735157647703282,9.010541312848611,1.0,9.010541312848611,3324.953428957846,11098.11236949823,3324.953428957846,3126.70987792343,Azurville-Val Claret,6,06004,Antibes
2023,10,60040108,060040108,A,0.0,2.3397979816068624,0.0,1.0,0.0,2710.904622909754,9366.958910098723,2710.904622909754,2452.33748148042,La Fontonne,6,06004,Antibes
2023,10,60040109,060040109,A,2.0,33.54235365465513,15.404391471074655,1.0,15.404391471074655,6767.825735883776,12983.310660180685,6767.825735883776,6889.60611193241,Les Combes,6,06004,Antibes
2023,10,60040110,060040110,A,0.0,5.22688344517032,0.0,1.0,0.0,1671.776157794464,9489.032961331555,1671.776157794464,1511.55108502398,Rabiac-La Paganne,6,06004,Antibes
2023,10,60040111,060040111,A,0.0,3.695660434590788,0.0,1.0,0.0,3718.4467188459366,7320.719738863319,3718.4467188459366,3096.79139597293,La Colle,6,06004,Antibes
2023,10,60040112,060040112,A,0.0,22.972775985493726,0.0,1.0,0.0,2500.998132238606,10156.479809051227,2500.998132238606,2329.86907726508,Les Prugnons,6,06004,Antibes
2023,10,60040113,060040113,C,0.0,17.372959937588732,0.0,1.0,0.0,40.345303745756226,7122.5979429966665,40.345303745756226,42.0000659106381,Port Vauban,6,06004,Antibes
2023,10,60040114,060040114,A,8.0,88.83362063069345,86.42182578776615,1.0,86.42182578776615,2828.0635461577076,9256.920838083564,2828.0635461577076,2444.36879224923,Lagare,6,06004,Antibes
2023,10,60040115,060040115,A,1.0,14.452861837242844,12.313791701881577,1.0,12.313791701881577,1939.7197467057777,8120.975441278559,1939.7197467057777,1767.5114877077,Vieille Ville,6,06004,Antibes
2023,10,60040116,060040116,A,0.0,5.249162713999458,0.0,1.0,0.0,4145.911629179483,8524.953974068534,4145.911629179483,4066.72449833423,Les Bastides,6,06004,Antibes
2023,10,60040117,060040117,A,0.0,9.879197857441484,0.0,1.0,0.0,4451.078704445451,8248.491245053374,4451.078704445451,3846.60233067152,Fontmerle,6,06004,Antibes
2023,10,60040118,060040118,A,0.0,6.872350544314377,0.0,1.0,0.0,2971.664688222334,11086.596912763891,2971.664688222334,2591.15691448659,Laval,6,06004,Antibes
2023,10,60040119,060040119,A,0.0,10.512110617634246,0.0,1.0,0.0,3727.170270612685,8906.964833309294,3727.170270612685,3846.36241805164,L'Estagnol,6,06004,Antibes
2023,10,60040120,060040120,A,0.0,10.150302807629494,0.0,1.0,0.0,2250.594102468259,6986.934820651451,2250.594102468259,2101.72001618168,Saint-Jean,6,06004,Antibes
2023,10,60040121,060040121,A,1.0,22.709253447435213,17.330940847593848,1.0,17.330940847593848,1584.9022940141376,5770.027194679598,1584.9022940141376,1260.46209754355,La Badine,6,06004,Antibes
2023,10,60040122,060040122,A,0.0,45.314283596137315,0.0,1.0,0.0,3241.2311729836774,12322.811829827793,3241.2311729836774,2967.54408473632,Saint-Maymes-Lauvert,6,06004,Antibes
2023,10,60040123,060040123,A,15.0,155.11371596643716,152.9746458310759,1.0,152.9746458310759,5152.405712288842,9805.546480273555,5152.405712288842,4242.52511101244,Place de Gaulle,6,06004,Antibes
2023,10,60040124,060040124,A,2.0,17.26947797488326,17.26947797488326,1.0,17.26947797488326,5135.0307194403085,11581.12597791781,5135.0307194403085,4018.57161220575,Ponteil,6,06004,Antibes
2023,10,60040125,060040125,A,0.0,1.7931114298480104,0.0,1.0,0.0,4972.90686197494,10383.057983154271,4972.90686197494,4260.33534088338,Juan Les Pins-Gallice,6,06004,Antibes
2023,10,60040126,060040126,A,0.0,10.219925581568694,0.0,1.0,0.0,4990.952409352198,8932.325379789247,4990.952409352198,4596.7942792362,Pont du Lys-Antibes-Les Pins,6,06004,Antibes
2023,10,60050000,060050000,C,0.0,0.0,0.0,1.0,0.0,192.54138237871626,192.54138237871626,192.54138237871626,178.0,Ascros,6,06005,Ascros
