psp_spe_snds,ann,age_ben_snds,nb,total_nb,ratio
2,23,50,1019544,7261747,0.14039927306748637
2,23,60,1211348,7261747,0.16681220097588087
2,23,70,1269814,7261747,0.17486343162327192
2,23,80,837820,7261747,0.11537444088867321
2,23,99,4078,7261747,0.0005615728556778417
2,24,0,284482,3313282,0.08586108879352859
2,24,20,287139,3313282,0.08666301268651445
2,24,30,342007,3313282,0.10322302780143676
2,24,40,371639,3313282,0.11216642591846997
2,24,50,465777,3313282,0.14057873733657442
2,24,60,561122,3313282,0.16935534011291523
2,24,70,598062,3313282,0.18050440620508607
2,24,80,401372,3313282,0.12114030740516503
2,24,99,1682,3313282,0.0005076537403094576
3,20,0,364022,9330265,0.03901518338439476
3,20,20,412228,9330265,0.04418181048448249
3,20,30,564981,9330265,0.060553585562682304
3,20,40,854096,9330265,0.09154037961408384
3,20,50,1348240,9330265,0.1445017906779711
3,20,60,1876017,9330265,0.20106792250809596
3,20,70,2101126,9330265,0.22519467560674858
3,20,80,1798380,9330265,0.19274693698410494
3,20,99,11175,9330265,0.0011977151774360106
3,21,0,406596,9844042,0.04130376526227743
3,21,20,462345,9844042,0.04696698774751266
3,21,30,621317,9844042,0.06311604521801106
3,21,40,912864,9844042,0.09273263970226864
3,21,50,1421286,9844042,0.14438032669913436
3,21,60,1956460,9844042,0.1987455965750654
3,21,70,2221515,9844042,0.22567102009520074
3,21,80,1830056,9844042,0.18590493620405113
3,21,99,11603,9844042,0.0011786824964785806
3,22,0,415974,10075208,0.041286889560989706
3,22,20,479688,10075208,0.04761072922762488
3,22,30,634723,10075208,0.06299850087462214
3,22,40,926472,10075208,0.09195562017181184
3,22,50,1447469,10075208,0.14366641363632393
3,22,60,2004940,10075208,0.1989973805007301
3,22,70,2301888,10075208,0.22847051892129672
3,22,80,1853262,10075208,0.18394280296744245
3,22,99,10792,10075208,0.0010711441391582188
3,23,0,362421,9963721,0.03637406145756189
3,23,20,438579,9963721,0.0440175914199123
3,23,30,593562,9963721,0.05957232242853849
3,23,40,889500,9963721,0.08927387669727002
3,23,50,1433056,9963721,0.14382739139323553
3,23,60,2025294,9963721,0.20326683173886542
3,23,70,2355016,9963721,0.23635908713220694
3,23,80,1855712,9963721,0.18624688507436127
3,23,99,10581,9963721,0.0010619526580481328
3,24,0,175447,5048108,0.03475500127968736
3,24,20,215387,5048108,0.04266687638220101
3,24,30,296651,5048108,0.05876478870895789
3,24,40,444922,5048108,0.08813638693942365
3,24,50,717469,5048108,0.14212631742427065
3,24,60,1026551,5048108,0.20335361287832987
3,24,70,1206768,5048108,0.239053522626695
3,24,80,959623,5048108,0.19009557640208966
3,24,99,5290,5048108,0.0010479173583449483
4,20,0,1564298,19342102,0.08087528439256499
4,20,20,1715799,19342102,0.08870799047590587
4,20,30,1938774,19342102,0.10023595160443265
4,20,40,2268990,19342102,0.11730834632140809
4,20,50,2988882,19342102,0.1545272587229661
4,20,60,3390461,19342102,0.17528916970864905
4,20,70,3195682,19342102,0.1652189612070084
4,20,80,2263402,19342102,0.11701944287130737
4,20,99,15814,19342102,0.0008175946957574725
4,21,0,1747535,20977777,0.08330410796148706
4,21,20,1877980,20977777,0.08952235501407037
4,21,30,2107522,20977777,0.10046450584349333
4,21,40,2449693,20977777,0.11677562403299453
4,21,50,3210926,20977777,0.153063215420776
4,21,60,3631861,20977777,0.1731289735799937
4,21,70,3510174,20977777,0.167328215949669
4,21,80,2425751,20977777,0.11563432102457757
4,21,99,16335,20977777,0.000778681172938391
4,22,0,1804222,21801437,0.08275702193392115
4,22,20,1961053,21801437,0.08995063031854277
4,22,30,2152664,21801437,0.0987395463886165
4,22,40,2487755,21801437,0.1141096800178814
4,22,50,3291072,21801437,0.15095665482967935
4,22,60,3789559,21801437,0.1738215237830424
4,22,70,3764174,21801437,0.17265715099422116
4,22,80,2536572,21801437,0.11634884434452647
4,22,99,14366,21801437,0.0006589473895688619
4,23,0,1809690,22278842,0.08122908722096059
4,23,20,1998307,22278842,0.08969528128975465
4,23,30,2201072,22278842,0.09879651734143094
4,23,40,2514638,22278842,0.11287112678477633
4,23,50,3349687,22278842,0.1503528325215467
4,23,60,3893732,22278842,0.17477263854198527
4,23,70,3913397,22278842,0.1756553145805334
4,23,80,2585000,22278842,0.11602936992865248
4,23,99,13319,22278842,0.0005978317903596605
4,24,0,922987,11591605,0.07962547032960492
4,24,20,1038155,11591605,0.08956093655710318
4,24,30,1139760,11591605,0.09832633185827157
4,24,40,1298321,11591605,0.11200528313378519
4,24,50,1741941,11591605,0.15027608342416776
4,24,60,2045678,11591605,0.17647927098965155
4,24,70,2058108,11591605,0.17755159876479573
4,24,80,1340590,11591605,0.11565180145458717
4,24,99,6065,11591605,0.0005232234880329342
5,20,0,1161996,8133481,0.14286576682234828
5,20,20,1061403,8133481,0.1304979995650079
5,20,30,918358,8133481,0.11291081887324751
5,20,40,892631,8133481,0.10974772056392583
5,20,50,990086,8133481,0.12172967515384864
5,20,60,1121661,8133481,0.13790663554755953
5,20,70,1102361,8133481,0.13553372780977788
5,20,80,881410,8133481,0.10836811446415133
5,20,99,3575,8133481,0.0004395412001331287
5,21,0,1197541,8260932,0.14496439384805493
5,21,20,1088059,8260932,0.13171140980218696
5,21,30,929923,8260932,0.11256877553283334
5,21,40,904597,8260932,0.10950301975612436
5,21,50,989217,8260932,0.11974641602182418
5,21,60,1118808,8260932,0.13543362903846684
5,21,70,1132463,8260932,0.13708659022977068
5,21,80,897482,8260932,0.10864173679192614
5,21,99,2842,8260932,0.00034402897881256016
5,22,0,1110443,8164914,0.1360017998964839
5,22,20,1025991,8164914,0.12565851887723495
5,22,30,901367,8164914,0.11039516154119933
5,22,40,890506,8164914,0.10906495769581896
5,22,50,991543,8164914,0.1214394909732056
5,22,60,1136950,8164914,0.13924825172684
5,22,70,1186306,8164914,0.14529314087080403
5,22,80,919328,8164914,0.11259493976299077
5,22,99,2480,8164914,0.0003037386554224576
5,23,0,1077073,8381636,0.12850391021514176
5,23,20,1032590,8381636,0.12319671243179732
5,23,30,922700,8381636,0.11008590685637028
5,23,40,916555,8381636,0.10935275643084477
5,23,50,1033484,8381636,0.1233033741861374
5,23,60,1190690,8381636,0.1420593783838859
5,23,70,1251603,8381636,0.14932681400146702
5,23,80,954663,8381636,0.11389936284515338
5,23,99,2278,8381636,0.00027178464920213667
5,24,0,552415,4280226,0.12906211027174733
5,24,20,528806,4280226,0.12354628003287677
5,24,30,464298,4280226,0.10847511323000233
5,24,40,460390,4280226,0.10756207732956156
5,24,50,521583,4280226,0.12185875231821872
5,24,60,606770,4280226,0.14176120606715625
5,24,70,645055,4280226,0.15070582721566572
5,24,80,500049,4280226,0.11682770956486876
5,24,99,860,4280226,0.00020092396990252384
6,20,0,808387,11299459,0.07154209772343968
6,20,20,1021586,11299459,0.09041016919482606
6,20,30,1149053,11299459,0.10169097476259704
6,20,40,1365898,11299459,0.12088171654943834
6,20,50,1761547,11299459,0.15589657876540816
6,20,60,2043871,11299459,0.18088219975841321
6,20,70,1902967,11299459,0.16841222221347057
6,20,80,1232423,11299459,0.10906920410968349
6,20,99,13727,11299459,0.0012148369227234686
6,21,0,895516,11985020,0.07471960831104162
6,21,20,1092897,11985020,0.09118858374871297
6,21,30,1230519,11985020,0.10267141815366182
6,21,40,1436603,11985020,0.11986655007667905
6,21,50,1837384,11985020,0.15330671121116193
6,21,60,2135158,11985020,0.1781522266963259
6,21,70,2042699,11985020,0.17043767970349652
