"year","specialite_id","source","time","time_type","exp","mean","std","q10","q25","q50","q75","q90","min","max","date","key","meanw"
25,9,PA,45,HP,-0.08,2.0088254030769144,2.064768795851697,0.11690062426984033,0.47268317667463366,1.2899359403859063,2.9544998887214056,4.996478447278603,0.0,25.261792471903235,2026-01-18 12:19:51.214,663007820754,3.0744536378742287
25,8,PA,45,HP,-0.08,5.813371283573255,4.746011525683035,0.9840705358632075,2.1661584732653623,4.425710554593733,8.392053125809172,13.124057316441615,0.0,68.86276991492012,2026-01-18 12:10:13.789,257806888364,8.113292925503861
25,7,PA,45,HP,-0.08,2.1118948449578627,2.4222188800421454,0.1036285419888608,0.4243333590433554,1.1852723102783969,2.935076814785757,5.708513382848758,0.0,60.63206427667364,2026-01-18 12:00:38.411,773764463495,3.272569143188821
25,6,PA,45,HP,-0.08,3.989636317715061,3.4039212503107934,0.6486430651734473,1.4238034256891876,2.925611110583742,5.693157444225568,9.189806747234057,0.0,33.68837057566162,2026-01-18 11:51:05.729,399973979658,5.6955713522758336
25,5,PA,45,HP,-0.08,6.752085414093324,7.4322096063411065,0.5045098622977067,1.606140675716004,3.9049875698626395,9.221148512444765,17.742481547261843,0.0,118.03239966537629,2026-01-18 11:41:26.154,812359715677,10.696766332245344
25,4,PA,45,HP,-0.08,1.781579368074219,1.777477639691819,0.17782873530733834,0.48678682610673774,1.147400084971905,2.5438528941198717,4.482097506603336,0.0,19.28289589875039,2026-01-18 11:31:51.692,423940055921,2.6094367109556393
25,3,PA,45,HP,-0.08,2.1175341843791657,2.4608721280003176,0.11895243771862721,0.4346323617282721,1.170246236480848,2.85610038164704,5.929539046396897,0.0,62.491156477996796,2026-01-18 11:22:21.143,573843412587,3.216493910355765
25,2,PA,45,HP,-0.08,3.882559098861965,4.571065796655132,0.13152669103614265,0.7279352569302135,2.175549810029316,5.459089484422167,9.97986957349143,0.0,35.07080713778333,2026-01-18 11:12:48.921,179454986607,5.956718711156188
25,1,PA,45,HP,-0.08,5.269050485681663,6.855446225581162,0.4509155600682872,1.0743410635800268,2.496818383782331,6.371033115010973,14.604403394708081,0.0,58.21943000269917,2026-01-18 11:03:10.447,185641220135,8.382309821638074
24,9,PA,45,HP,-0.08,2.000314148918191,2.0640004546945456,0.11579673891291849,0.4633520527177478,1.2782670383071262,2.9493718174538146,4.989786390408679,0.0,25.261792471903235,2026-01-18 07:59:13.866,518555281788,3.0645282173109556
24,8,PA,45,HP,-0.08,5.8030180148335555,4.746656895648225,0.9700699804770782,2.14324312700646,4.421261660410191,8.388343570699334,13.063793814927788,0.0,68.86317791119707,2026-01-18 07:49:36.533,265245979943,8.101375023904433
24,7,PA,45,HP,-0.08,2.112016432167379,2.4049461488330466,0.10793158027177654,0.4368935252151237,1.1979464280485486,2.924645338604142,5.681213861266544,0.0,60.63206427667364,2026-01-18 07:40:00.743,758402257596,3.2668730637040864
24,6,PA,45,HP,-0.08,4.006856580597724,3.4160645878594056,0.6626713275045494,1.4269307423646134,2.935672290305526,5.732839324313802,9.212308848580692,0.0,33.68837057566162,2026-01-18 07:30:30.106,921572834266,5.719643996653505
24,5,PA,45,HP,-0.08,6.750575598767247,7.437124030551271,0.5011425154836059,1.607015170148824,3.9112815250177304,9.229327453098929,17.729625363491472,0.0,118.03239966537629,2026-01-18 07:20:53.702,12135273660,10.696792720830146
24,4,PA,45,HP,-0.08,1.7837030584041234,1.77082288549347,0.17946498228813348,0.49205807469388635,1.1568203438704265,2.547719693752899,4.445220367187441,0.0,19.27574505042455,2026-01-18 07:11:21.204,557150737307,2.6065697340013823
24,3,PA,45,HP,-0.08,2.1323919155258113,2.459633899006489,0.12285113306350635,0.4448586497336068,1.1925174136088708,2.8804579572385673,5.910918699155839,0.0,62.491156477996796,2026-01-18 07:01:52.404,715419707145,3.235928099900729
24,2,PA,45,HP,-0.08,3.8634383877047602,4.543016396224018,0.13149930054110623,0.7259189022351888,2.1772650501892903,5.439251788521012,9.885599029988704,0.0,35.079646430960935,2026-01-18 06:52:23.810,723166368465,5.923975542092523
24,1,PA,45,HP,-0.08,5.269313736334178,6.872354771942994,0.43920548471925097,1.0655634014449649,2.485339220969309,6.3909004856665295,14.58323183164568,0.0,69.863316003239,2026-01-18 06:42:46.171,765453776608,8.385545619749779
23,9,PA,45,HP,-0.08,2.0003882940789524,2.0278433419703297,0.12918041128588753,0.47236752642255125,1.2983414754301106,2.9825302341382582,4.947028137025978,0.0,25.402219104104663,2026-01-18 03:38:34.472,295601401572,3.0439628650947737
23,8,PA,45,HP,-0.08,5.5377425224600785,4.594865090524995,0.9587655917392431,2.0077911025193353,4.107113796925605,8.068995113022396,12.521104624438756,0.0,61.2625146712673,2026-01-18 03:28:43.615,83421465450,7.807044453262778
