"year","specialite_id","source","time","time_type","exp","mean","std","q10","q25","q50","q75","q90","min","max","date","key","meanw"
20,10,PA,30,HC,-0.12,65.75689863542279,36.09497779155388,29.184563968335535,40.10908530541833,56.69590766184786,84.1789875270847,117.24094994025876,0.0,729.7170711518086,2026-01-26 18:14:32.236,538429955477,83.96725322391758
21,10,PA,30,HC,-0.12,64.75692031082525,35.63420160546689,28.47652543577777,39.34618012960494,55.8530167914239,83.04370826587062,115.8040305876132,0.0,698.2429788596467,2026-01-26 21:36:16.958,492082220222,82.74558797871786
22,10,PA,30,HC,-0.12,63.77879399873493,35.49715292429249,27.66762598664355,38.57380258809546,54.86160776424395,81.75589237919802,114.5805260670653,0.0,697.8014157438838,2026-01-27 00:49:40.341,208181222198,81.6119062548563
23,10,PA,30,HC,-0.12,63.742926132456624,35.694050077211976,27.37564878257357,38.51942459584858,54.78365186452291,81.5279018979486,115.37057433118218,0.0,671.0983762804187,2026-01-27 04:03:21.825,192983174442,81.56605402433328
24,10,PA,30,HC,-0.12,63.13756828098419,36.20944057651719,26.361995799182907,37.47858664125128,54.028292257175906,81.03942403092064,114.68453618760239,0.0,671.10988616481,2026-01-27 07:15:03.061,137706272959,80.99253954602248
25,10,PA,30,HC,-0.12,62.88793853231923,36.073224704579374,26.07398771924917,37.19811256875632,53.79796894887901,80.95266599032169,113.88421430122473,0.0,671.10988616481,2026-01-27 10:28:33.131,483729913004,80.69242552811461
